TM;Category;unknown;Quantity
03-19-2015 12:01 AM;Gamma;6.356232006E+17;384
2015-12-30 00:01:00;Pi;6.35870E+017;913
12-07-2012 12:01 AM;Omega;6.349043526E+17;544
07-28-2014 12:01 AM;Eta;6.354210246E+17;423
2017-01-26T00:01:00.0000000;Kappa;636,209,856,600,000,000.00000000;250
10-07-2014 12:01 AM;Sigma;6.354823686E+17;780
07-09-2015 12:01 AM;Upsilon;6.357199686E+17;40
01-20-2017 12:01 AM;Omega;6.362046726E+17;255
2018-12-11 00:01:00;Iota;636800832600000000;916
2013-07-22 00:01:00;Tau;635100480600000000;993
2012-11-23 00:01:00;Chi;634892256600000000;204
2019-05-04 00:01:00;Chi;636925248600000000;8
07-28-2019 12:01 AM;Omega;6.369986886E+17;258
2011-12-20 00:01:00;Zeta;634599360600000000;865
2019-08-05T00:02:00.0000000;Upsilon;637,005,601,200,000,000.00000000;651
02-18-2019 12:01 AM;Theta;6.368604486E+17;694
10-01-2015 12:02 AM;Eta;6.357925452E+17;764
03-17-2015 12:01 AM;Eta;6.356214726E+17;385
2013-06-28 00:01:00;Upsilon;635079744600000000;894
2017-10-20 00:01:00;Sigma;636440544600000000;423
2019-06-15 00:01:00;Pi;636961536600000000;890
2014-05-26 00:01:00;Chi;635366592600000000;266
2015-05-02T00:01:00.0000000;Omega;635,661,216,600,000,000.00000000;855
2012-01-10 00:01:00;Iota;6.34618E+017;120
07-22-2015 12:02 AM;Phi;6.357312012E+17;642
2011-05-03 00:01:00;Mu;6.34400E+017;895
07-27-2015 12:01 AM;Chi;6.357355206E+17;855
10-29-2012 12:02 AM;Kappa;6.348706572E+17;493
2016-06-27 00:01:00;Iota;6.36026E+017;750
04-19-2010 12:02 AM;Upsilon;6.340723212E+17;807
2012-03-23 00:02:00;Lambda;6.34681E+017;131
05-07-2017 12:01 AM;Pi;6.362971206E+17;978
2015-08-20T00:01:00.0000000;Zeta;635,756,256,600,000,000.00000000;266
01-31-2013 12:02 AM;Delta;6.349518732E+17;669
2016-08-03 00:01:00;Zeta;6.36058E+017;282
