TM;Category;unknown;Quantity
2017-03-27 00:01:00;Gamma;6.36262E+017;43
2013-02-27 00:01:00;Mu;634975200600000000;263
2014-03-09 00:01:00;Upsilon;635299200600000000;93
2019-07-22 00:01:00;Phi;636993504600000000;381
06-11-2017 12:02 AM;Pi;6.363273612E+17;68
2016-09-25 00:01:00;Omicron;6.36104E+017;842
2012-10-17 00:01:00;Pi;634860288600000000;584
2017-12-31 00:01:00;Mu;636502752600000000;368
2016-09-25 00:01:00;Upsilon;6.36104E+017;435
10-28-2014 12:01 AM;Mu;6.355005126E+17;222
2013-03-31T00:02:00.0000000;Delta;635,002,849,200,000,000.00000000;119
2018-12-03 00:01:00;Eta;6.36794E+017;527
2010-10-16 00:02:00;Upsilon;6.34228E+017;188
2013-08-26T00:01:00.0000000;Pi;635,130,720,600,000,000.00000000;575
2018-04-20 00:01:00;Mu;636597792600000000;775
2011-09-01T00:01:00.0000000;Omega;634,504,320,600,000,000.00000000;388
2017-03-06 00:01:00;Psi;636243552600000000;591
10-21-2015 12:01 AM;Alpha;6.358098246E+17;48
2010-06-08 00:01:00;Upsilon;634115520600000000;879
11-21-2011 12:01 AM;Alpha;6.345743046E+17;65
07-15-2018 12:02 AM;Iota;6.366720972E+17;906
03-31-2012 12:01 AM;Upsilon;6.346874886E+17;921
2011-08-09 00:01:00;Lambda;634484448600000000;650
2013-07-24 00:01:00;Alpha;6.35102E+017;313
01-16-2017 12:01 AM;Delta;6.362012166E+17;407
10-11-2018 12:01 AM;Rho;6.367481286E+17;921
2017-04-13 00:01:00;Rho;6.36276E+017;600
04-21-2016 12:01 AM;Eta;6.359679366E+17;706
2017-10-28 00:02:00;Alpha;6.36447E+017;75
06-24-2013 12:01 AM;Omega;6.350762886E+17;646
05-04-2017 12:01 AM;Sigma;6.362945286E+17;266
2014-08-01 00:01:00;Gamma;635424480600000000;599
2010-06-07 00:01:00;Gamma;634114656600000000;152
2012-07-05 00:02:00;Tau;634770433200000000;628
05-17-2014 12:01 AM;Omicron;6.353588166E+17;774
2016-06-05 00:02:00;Chi;636006817200000000;775
07-16-2018 12:02 AM;Pi;6.366729612E+17;168
10-12-2013 12:02 AM;Gamma;6.351713292E+17;666
06-27-2012 12:01 AM;Beta;6.347635206E+17;411
2013-12-31 00:02:00;Mu;635240449200000000;792
2011-07-30 00:01:00;Xi;634475808600000000;51
2016-03-12 00:01:00;Epsilon;6.35933E+017;255
2016-08-16T00:01:00.0000000;Iota;636,069,024,600,000,000.00000000;619
11-16-2018 12:01 AM;Kappa;6.367792326E+17;282
03-27-2012 12:01 AM;Lambda;6.346840326E+17;531
