TM;Category;unknown;Quantity
12-10-2016 12:01 AM;Rho;6.361692486E+17;276
2014-02-05T00:01:00.0000000;Omicron;635,271,552,600,000,000.00000000;453
2011-02-19 00:01:00;Xi;6.34337E+017;514
2014-05-23T00:01:00.0000000;Epsilon;635,364,000,600,000,000.00000000;373
02-02-2017 12:02 AM;Mu;6.362159052E+17;366
04-21-2010 12:01 AM;Theta;6.340740486E+17;571
2019-12-08 00:01:00;Beta;637113600600000000;663
2010-09-22T00:01:00.0000000;Xi;634,207,104,600,000,000.00000000;544
2018-07-07 00:01:00;Mu;636665184600000000;545
2014-09-05 00:01:00;Upsilon;635454720600000000;371
05-13-2014 12:01 AM;Phi;6.353553606E+17;463
2016-04-10T00:01:00.0000000;Zeta;635,958,432,600,000,000.00000000;19
03-19-2015 12:01 AM;Tau;6.356232006E+17;304
10-26-2014 12:01 AM;Epsilon;6.354987846E+17;449
2017-11-07 00:02:00;Xi;636456097200000000;783
2011-11-14 00:01:00;Delta;634568256600000000;457
2017-06-01T00:01:00.0000000;Alpha;636,318,720,600,000,000.00000000;872
2014-11-23 00:02:00;Sigma;635522977200000000;873
2017-01-04 00:01:00;Sigma;636190848600000000;803
2012-09-20 00:01:00;Epsilon;6.34837E+017;911
08-17-2013 12:01 AM;Rho;6.351229446E+17;608
2013-07-07 00:02:00;Chi;6.35088E+017;603
2014-09-28T00:01:00.0000000;Xi;635,474,592,600,000,000.00000000;671
2013-01-17T00:02:00.0000000;Tau;634,939,777,200,000,000.00000000;790
01-22-2015 12:01 AM;Nu;6.355748166E+17;512
2016-10-25T00:01:00.0000000;Theta;636,129,504,600,000,000.00000000;420
2015-03-25 00:01:00;Pi;635628384600000000;912
2011-07-09T00:01:00.0000000;Pi;634,457,664,600,000,000.00000000;49
2017-05-10 00:02:00;Omega;636299713200000000;758
01-11-2014 12:01 AM;Upsilon;6.352499526E+17;307
2010-01-16 00:01:00;Pi;6.33992E+017;46
2010-03-12 00:01:00;Iota;6.34039E+017;868
2019-11-04T00:01:00.0000000;Alpha;637,084,224,600,000,000.00000000;358
2017-12-03 00:02:00;Zeta;6.36479E+017;294
2019-01-20T00:01:00.0000000;Xi;636,835,392,600,000,000.00000000;777
09-19-2014 12:01 AM;Mu;6.354668166E+17;871
01-14-2019 12:01 AM;Omicron;6.368302086E+17;257
2015-05-23 00:01:00;Theta;635679360600000000;539
2017-04-29 00:02:00;Psi;636290209200000000;620
08-01-2018 12:01 AM;Mu;6.366867846E+17;368
2018-05-27 00:01:00;Alpha;636629760600000000;666
2014-10-16T00:01:00.0000000;Kappa;635,490,144,600,000,000.00000000;17
11-06-2011 12:01 AM;Xi;6.345613446E+17;423
2011-09-15 00:01:00;Xi;634516416600000000;818
