TM;Category;unknown;Quantity
2018-09-13 00:01:00;Iota;636723936600000000;582
2013-03-31 00:01:00;Nu;635002848600000000;336
2014-01-16T00:01:00.0000000;Eta;635,254,272,600,000,000.00000000;540
2012-05-13 00:01:00;Omega;634724640600000000;126
08-11-2014 12:02 AM;Beta;6.354331212E+17;894
09-03-2014 12:01 AM;Lambda;6.354529926E+17;387
2011-01-12 00:01:00;Omega;634303872600000000;471
07-20-2016 12:01 AM;Tau;6.360456966E+17;904
02-21-2012 12:01 AM;Sigma;6.346537926E+17;206
2015-03-05 00:01:00;Alpha;635611104600000000;470
2016-12-07 00:01:00;Xi;6.36167E+017;37
2018-10-01 00:01:00;Tau;636739488600000000;918
2011-11-27 00:02:00;Delta;634579489200000000;630
12-08-2011 12:01 AM;Mu;6.345889926E+17;209
2013-12-09 00:01:00;Gamma;635221440600000000;270
08-16-2013 12:01 AM;Beta;6.351220806E+17;223
2015-06-07T00:01:00.0000000;Kappa;635,692,320,600,000,000.00000000;869
04-13-2018 12:01 AM;Theta;6.365917446E+17;280
2014-12-26T00:01:00.0000000;Mu;635,551,488,600,000,000.00000000;153
2012-04-12 00:01:00;Upsilon;6.34698E+017;34
08-17-2013 12:03 AM;Theta;6.351229458E+17;684
06-28-2018 12:02 AM;Omicron;6.366574092E+17;905
2017-10-12 00:01:00;Lambda;6.36434E+017;322
2015-12-04 00:01:00;Theta;635847840600000000;545
05-06-2011 12:01 AM;Beta;6.344023686E+17;792
01-28-2019 12:01 AM;Zeta;6.368423046E+17;834
05-31-2015 12:01 AM;Epsilon;6.356862726E+17;572
2015-04-29 00:01:00;Iota;635658624600000000;467
2019-03-12 00:01:00;Eta;636879456600000000;247
2016-02-16T00:01:00.0000000;Iota;635,911,776,600,000,000.00000000;464
2015-01-14T00:01:00.0000000;Eta;635,567,904,600,000,000.00000000;290
2017-01-24T00:02:00.0000000;Delta;636,208,129,200,000,000.00000000;684
2017-06-21 00:02:00;Iota;636336001200000000;605
04-09-2013 12:02 AM;Beta;6.350106252E+17;208
2012-05-08 00:01:00;Kappa;634720320600000000;724
2011-10-12 00:01:00;Alpha;6.34540E+017;377
12-26-2011 12:01 AM;Beta;6.346045446E+17;372
08-22-2018 12:01 AM;Iota;6.367049286E+17;647
2016-05-17T00:02:00.0000000;Alpha;635,990,401,200,000,000.00000000;195
2011-01-31 00:01:00;Nu;6.34320E+017;382
2010-02-18 00:01:00;Iota;634020480600000000;190
2015-05-24 00:01:00;Sigma;635680224600000000;803
09-16-2015 12:01 AM;Psi;6.357795846E+17;556
2013-03-30 00:02:00;Chi;635001985200000000;917
2013-12-18 00:01:00;Kappa;6.35229E+017;264
01-07-2015 12:03 AM;Mu;6.355618578E+17;683
2010-09-02T00:02:00.0000000;Beta;634,189,825,200,000,000.00000000;935
2019-09-09 00:01:00;Omicron;637035840600000000;378
2017-07-31 00:02:00;Sigma;6.36371E+017;134
01-13-2012 12:02 AM;Lambda;6.346200972E+17;570
2013-02-27 00:02:00;Tau;634975201200000000;639
12-06-2013 12:01 AM;Upsilon;6.352188486E+17;899
2012-08-10T00:02:00.0000000;Beta;634,801,537,200,000,000.00000000;135
11-19-2017 12:02 AM;Delta;6.364664652E+17;569
2013-04-27 00:01:00;Omega;6.35026E+017;783
09-30-2011 12:01 AM;Upsilon;6.345293766E+17;981
03-15-2017 12:01 AM;Delta;6.362513286E+17;539
2015-12-27 00:01:00;Nu;635867712600000000;946
03-27-2019 12:02 AM;Psi;6.368924172E+17;817
2011-11-18 00:01:00;Tau;6.34572E+017;930
2013-08-23 00:01:00;Zeta;635128128600000000;70
2012-10-04 00:02:00;Psi;634849057200000000;693
2017-04-09 00:02:00;Beta;636272929200000000;183
2010-05-17T00:02:00.0000000;Pi;634,096,513,200,000,000.00000000;962
2012-11-08T00:02:00.0000000;Omega;634,879,297,200,000,000.00000000;690
08-26-2016 12:02 AM;Mu;6.360776652E+17;205
2010-07-25 00:03:00;Pi;634156129800000000;186
2012-03-14 00:02:00;Pi;634672801200000000;300
04-21-2015 12:02 AM;Alpha;6.356517132E+17;846
2013-02-11 00:03:00;Xi;6.34961E+017;407
2019-10-17T00:02:00.0000000;Kappa;637,068,673,200,000,000.00000000;796
2019-03-01 00:01:00;Gamma;636869952600000000;4
2016-12-24 00:01:00;Nu;636181344600000000;252
2018-10-28 00:01:00;Kappa;6.36763E+017;427
06-30-2016 12:01 AM;Delta;6.360284166E+17;250
2012-01-11 00:01:00;Iota;6.34618E+017;735
09-08-2018 12:01 AM;Omicron;6.367196166E+17;942
03-19-2015 12:02 AM;Delta;6.356232012E+17;38
12-19-2019 12:02 AM;Nu;6.371231052E+17;92
09-10-2017 12:01 AM;Sigma;6.364059846E+17;177
2016-05-15T00:03:00.0000000;Beta;635,988,673,800,000,000.00000000;455
2012-06-16 00:04:00;Upsilon;634754018400000000;318
12-10-2010 12:02 AM;Upsilon;6.342753612E+17;18
2010-06-09 00:02:00;Omicron;6.34116E+017;73
08-03-2017 12:01 AM;Phi;6.363731526E+17;352
2013-09-27T00:03:00.0000000;Phi;635,158,369,800,000,000.00000000;341
12-08-2011 12:01 AM;Omega;6.345889926E+17;732
2019-09-12T00:02:00.0000000;Chi;637,038,433,200,000,000.00000000;916
2014-07-30 00:02:00;Lambda;635422753200000000;934
10-31-2018 12:01 AM;Eta;6.367654086E+17;458
2016-03-03T00:02:00.0000000;Omega;635,925,601,200,000,000.00000000;175
11-02-2018 12:01 AM;Theta;6.367671366E+17;94
05-04-2018 12:01 AM;Sigma;6.366098886E+17;780
2016-07-07T00:03:00.0000000;Epsilon;636,034,465,800,000,000.00000000;495
2011-07-03 00:02:00;Alpha;634452481200000000;644
2019-06-19 00:01:00;Theta;6.36965E+017;637
2012-06-19 00:02:00;Psi;634756609200000000;632
2019-03-01 00:02:00;Theta;6.36870E+017;296
2010-02-21 00:01:00;Beta;6.34023E+017;965
03-16-2011 12:01 AM;Eta;6.343583046E+17;827
11-02-2011 12:02 AM;Rho;6.345578892E+17;372
2017-06-21 00:02:00;Sigma;636336001200000000;104
05-09-2010 12:03 AM;Kappa;6.340896018E+17;521
2014-12-07T00:02:00.0000000;Delta;635,535,073,200,000,000.00000000;554
2019-10-16 00:01:00;Gamma;637067808600000000;5
08-27-2010 12:01 AM;Epsilon;6.341846406E+17;946
01-16-2018 12:01 AM;Delta;6.365165766E+17;447
2019-03-18 00:01:00;Nu;636884640600000000;880
2017-10-05T00:01:00.0000000;Kappa;636,427,584,600,000,000.00000000;17
2014-11-07 00:01:00;Gamma;6.35509E+017;538
09-24-2013 12:01 AM;Zeta;6.351557766E+17;35
07-04-2016 12:01 AM;Eta;6.360318726E+17;467
06-25-2018 12:02 AM;Upsilon;6.366548172E+17;511
2011-11-28 00:01:00;Xi;634580352600000000;276
11-13-2014 12:03 AM;Gamma;6.355143378E+17;499
2013-11-28 00:01:00;Nu;6.35212E+017;123
2010-06-24T00:01:00.0000000;Omega;634,129,344,600,000,000.00000000;530
2010-10-09T00:01:00.0000000;Zeta;634,221,792,600,000,000.00000000;495
2012-02-15 00:01:00;Delta;6.34649E+017;953
2019-06-17 00:01:00;Rho;636963264600000000;201
2013-04-25 00:01:00;Tau;6.35024E+017;874
12-06-2018 12:04 AM;Omicron;6.367965144E+17;777
2017-12-21 00:03:00;Rho;6.36494E+017;564
10-31-2017 12:02 AM;Epsilon;6.364500492E+17;70
08-04-2017 12:01 AM;Alpha;6.363740166E+17;174
2014-08-01 00:02:00;Omicron;635424481200000000;455
2019-10-20 00:03:00;Nu;637071265800000000;617
2013-05-23 00:02:00;Tau;635048641200000000;361
2014-02-23 00:02:00;Epsilon;635287105200000000;344
2019-03-31T00:02:00.0000000;Rho;636,895,873,200,000,000.00000000;714
2014-10-03 00:02:00;Phi;6.35479E+017;663
2018-01-24 00:03:00;Iota;636523489800000000;659
2017-05-28 00:03:00;Epsilon;636315265800000000;892
2015-09-04T00:02:00.0000000;Omicron;635,769,217,200,000,000.00000000;401
2012-06-14 00:01:00;Iota;634752288600000000;175
12-17-2015 12:02 AM;Mu;6.358590732E+17;538
2017-11-23 00:03:00;Omicron;636469921800000000;960
2010-08-11 00:02:00;Theta;634170817200000000;903
01-23-2010 12:02 AM;Iota;6.339980172E+17;516
2016-11-10 00:02:00;Tau;636143329200000000;638
2011-11-29T00:02:00.0000000;Eta;634,581,217,200,000,000.00000000;20
2012-05-11T00:02:00.0000000;Theta;634,722,913,200,000,000.00000000;558
2018-04-26 00:01:00;Mu;636602976600000000;45
07-14-2018 12:02 AM;Rho;6.366712332E+17;734
2011-12-23 00:02:00;Iota;6.34602E+017;514
08-15-2019 12:02 AM;Psi;6.370142412E+17;468
2013-09-30T00:01:00.0000000;Delta;635,160,960,600,000,000.00000000;966
2016-08-15 00:04:00;Epsilon;636068162400000000;4
07-18-2016 12:01 AM;Omega;6.360439686E+17;50
2015-12-04T00:03:00.0000000;Zeta;635,847,841,800,000,000.00000000;154
2012-01-28 00:02:00;Nu;6.34633E+017;583
05-06-2016 12:01 AM;Zeta;6.359808966E+17;146
2014-03-18 00:02:00;Iota;6.35307E+017;577
2016-05-16T00:03:00.0000000;Theta;635,989,537,800,000,000.00000000;937
2013-10-13 00:02:00;Rho;635172193200000000;894
2016-07-12 00:02:00;Eta;636038785200000000;829
2019-03-04 00:01:00;Delta;6.36873E+017;654
2015-01-01 00:03:00;Beta;6.35557E+017;987
2014-08-24 00:05:00;Lambda;6.35444E+017;141
2011-09-20 00:03:00;Nu;634520737800000000;313
2010-07-14 00:01:00;Omicron;634146624600000000;0
2018-01-07 00:03:00;Xi;6.36509E+017;111
2019-12-27T00:03:00.0000000;Iota;637,130,017,800,000,000.00000000;351
2013-08-02 00:01:00;Beta;635109984600000000;851
2017-02-15 00:05:00;Iota;6.36227E+017;148
2010-05-04 00:02:00;Phi;6.34085E+017;220
2017-08-07 00:02:00;Beta;636376609200000000;72
05-05-2010 12:04 AM;Zeta;6.340861464E+17;356
2013-10-18T00:02:00.0000000;Zeta;635,176,513,200,000,000.00000000;192
2010-12-07 00:02:00;Tau;6.34273E+017;151
2019-07-07 00:03:00;Pi;6.36981E+017;139
03-10-2013 12:01 AM;Epsilon;6.349847046E+17;164
11-25-2016 12:02 AM;Theta;6.361562892E+17;818
2012-12-20 00:02:00;Delta;6.34916E+017;509
09-11-2010 12:04 AM;Upsilon;6.341976024E+17;763
2015-09-28 00:01:00;Rho;635789952600000000;942
2019-06-26 00:03:00;Phi;636971041800000000;581
2017-04-26 00:04:00;Epsilon;636287618400000000;729
10-11-2017 12:04 AM;Eta;6.364327704E+17;617
03-14-2017 12:02 AM;Rho;6.362504652E+17;602
2015-06-29 00:04:00;Kappa;6.35711E+017;884
2011-11-10T00:02:00.0000000;Zeta;634,564,801,200,000,000.00000000;854
2015-01-30T00:02:00.0000000;Epsilon;635,581,729,200,000,000.00000000;980
2017-10-23T00:03:00.0000000;Beta;636,443,137,800,000,000.00000000;957
02-28-2015 12:03 AM;Beta;6.356067858E+17;395
09-13-2010 12:04 AM;Mu;6.341993304E+17;30
2011-07-29 00:04:00;Beta;6.34475E+017;36
2017-10-02 00:01:00;Sigma;636424992600000000;397
2015-08-13 00:03:00;Delta;635750209800000000;604
08-08-2010 12:02 AM;Pi;6.341682252E+17;501
2013-07-05 00:02:00;Psi;6.35086E+017;229
11-08-2010 12:02 AM;Lambda;6.342477132E+17;6
10-17-2016 12:02 AM;Alpha;6.361225932E+17;356
2015-02-14 00:03:00;Phi;635594689800000000;866
2017-11-17 00:01:00;Mu;6.36465E+017;869
2015-09-05T00:02:00.0000000;Alpha;635,770,081,200,000,000.00000000;333
2011-07-28 00:03:00;Rho;634474081800000000;681
03-06-2013 12:02 AM;Rho;6.349812492E+17;870
2010-11-11T00:05:00.0000000;Omicron;634,250,307,000,000,000.00000000;363
09-06-2012 12:01 AM;Lambda;6.348248646E+17;920
2010-01-10T00:02:00.0000000;Alpha;633,986,785,200,000,000.00000000;745
01-08-2013 12:03 AM;Nu;6.349320018E+17;126
03-28-2012 12:03 AM;Alpha;6.346848978E+17;201
12-13-2011 12:01 AM;Delta;6.345933126E+17;636
2011-09-22 00:02:00;Theta;634522465200000000;732
2017-05-01 00:03:00;Epsilon;6.36292E+017;497
2018-07-03T00:02:00.0000000;Epsilon;636,661,729,200,000,000.00000000;412
2016-11-02 00:02:00;Phi;6.36136E+017;470
2015-03-06T00:03:00.0000000;Epsilon;635,611,969,800,000,000.00000000;247
2013-07-01T00:03:00.0000000;Gamma;635,082,337,800,000,000.00000000;571
2011-05-18 00:05:00;Rho;6.34413E+017;786
10-15-2011 12:02 AM;Lambda;6.345423372E+17;943
2019-11-23 00:03:00;Theta;637100641800000000;113
2015-09-18 00:03:00;Kappa;635781313800000000;210
02-08-2015 12:03 AM;Zeta;6.355895058E+17;733
2012-08-27T00:01:00.0000000;Alpha;634,816,224,600,000,000.00000000;805
2015-12-25 00:06:00;Theta;6.35866E+017;672
2012-08-26T00:02:00.0000000;Omicron;634,815,361,200,000,000.00000000;699
05-23-2017 12:01 AM;Sigma;6.363109446E+17;61
03-14-2017 12:03 AM;Epsilon;6.362504658E+17;19
2013-07-03 00:02:00;Pi;635084065200000000;643
2010-01-12 00:03:00;Omicron;633988513800000000;398
2010-01-04 00:04:00;Mu;633981602400000000;643
12-31-2010 12:03 AM;Nu;6.342935058E+17;579
2016-03-17 00:05:00;Theta;635937699000000000;327
2010-01-31 00:01:00;Delta;634004928600000000;86
2010-06-22T00:03:00.0000000;Psi;634,127,617,800,000,000.00000000;855
2013-12-14 00:02:00;Epsilon;635225761200000000;310
2013-06-09T00:06:00.0000000;Xi;635,063,331,600,000,000.00000000;17
10-12-2016 12:06 AM;Eta;6.361182756E+17;882
11-22-2010 12:04 AM;Chi;6.342598104E+17;506
07-05-2015 12:03 AM;Sigma;6.357165138E+17;983
2010-11-27T00:06:00.0000000;Epsilon;634,264,131,600,000,000.00000000;604
2012-10-06 00:03:00;Upsilon;6.34851E+017;287
