TM;Category;unknown;Quantity
06-24-2012 12:01 AM;Zeta;6.347609286E+17;41
2010-06-25 00:01:00;Lambda;634130208600000000;591
2019-08-04 00:01:00;Iota;637004736600000000;456
08-23-2011 12:01 AM;Rho;6.344965446E+17;594
09-11-2011 12:01 AM;Sigma;6.345129606E+17;126
2014-07-23 00:01:00;Eta;6.35417E+017;404
2011-02-14T00:01:00.0000000;Omega;634,332,384,600,000,000.00000000;151
2012-07-23T00:01:00.0000000;Upsilon;634,785,984,600,000,000.00000000;818
2011-05-21 00:01:00;Kappa;6.34415E+017;71
2013-10-17T00:01:00.0000000;Gamma;635,175,648,600,000,000.00000000;801
2015-04-15T00:01:00.0000000;Xi;635,646,528,600,000,000.00000000;239
02-22-2012 12:01 AM;Mu;6.346546566E+17;24
2013-05-23 00:01:00;Xi;635048640600000000;734
2018-11-06 00:01:00;Lambda;636770592600000000;648
2015-02-18T00:01:00.0000000;Phi;635,598,144,600,000,000.00000000;91
2017-08-13 00:02:00;Theta;636381793200000000;227
2016-06-10 00:01:00;Nu;6.36011E+017;448
2017-07-11 00:02:00;Omicron;6.36353E+017;581
2014-09-23 00:01:00;Zeta;635470272600000000;840
08-17-2018 12:01 AM;Phi;6.367006086E+17;281
2011-07-04 00:02:00;Gamma;634453345200000000;263
07-12-2013 12:01 AM;Pi;6.350918406E+17;734
2013-07-19T00:01:00.0000000;Omega;635,097,888,600,000,000.00000000;491
2017-12-14 00:01:00;Eta;636488064600000000;693
11-15-2019 12:01 AM;Gamma;6.370937286E+17;291
12-05-2019 12:01 AM;Alpha;6.371110086E+17;31
2014-09-29 00:02:00;Tau;635475457200000000;934
2014-10-29 00:01:00;Epsilon;635501376600000000;249
05-04-2018 12:01 AM;Kappa;6.366098886E+17;500
2015-06-15 00:01:00;Lambda;6.35699E+017;956
03-05-2014 12:01 AM;Kappa;6.352957446E+17;83
2012-12-15T00:01:00.0000000;Rho;634,911,264,600,000,000.00000000;925
07-03-2011 12:01 AM;Iota;6.344524806E+17;188
2013-03-18 00:02:00;Zeta;634991617200000000;374
2017-04-09 00:02:00;Upsilon;636272929200000000;336
