TM;Category;unknown;Quantity
2019-11-19 00:01:00;Rho;637097184600000000;797
07-04-2010 12:01 AM;Mu;6.341379846E+17;734
2019-11-09 00:01:00;Omicron;637088544600000000;152
2011-09-01T00:01:00.0000000;Sigma;634,504,320,600,000,000.00000000;156
2012-06-18 00:01:00;Pi;634755744600000000;177
05-25-2017 12:01 AM;Phi;6.363126726E+17;35
11-16-2012 12:01 AM;Rho;6.348862086E+17;729
2016-03-20 00:02:00;Xi;635940289200000000;413
09-21-2019 12:01 AM;Xi;6.370462086E+17;336
06-22-2013 12:01 AM;Iota;6.350745606E+17;300
2019-06-10 00:01:00;Eta;636957216600000000;295
10-29-2013 12:01 AM;Mu;6.351860166E+17;346
2015-09-23T00:01:00.0000000;Mu;635,785,632,600,000,000.00000000;369
2016-03-27 00:01:00;Gamma;635946336600000000;875
2015-12-08 00:01:00;Upsilon;635851296600000000;982
2016-12-26 00:01:00;Tau;6.36183E+017;885
2010-07-14 00:02:00;Beta;634146625200000000;84
2012-03-22 00:01:00;Gamma;634679712600000000;219
2015-12-04 00:01:00;Mu;635847840600000000;670
10-03-2015 12:01 AM;Omega;6.357942726E+17;52
2013-11-07 00:01:00;Alpha;635193792600000000;146
05-10-2011 12:01 AM;Nu;6.344058246E+17;40
2015-12-20 00:01:00;Iota;635861664600000000;301
2014-09-14 00:01:00;Omega;6.35462E+017;216
2010-05-17T00:01:00.0000000;Delta;634,096,512,600,000,000.00000000;936
2012-12-18 00:01:00;Lambda;634913856600000000;554
2011-06-07 00:01:00;Sigma;6.34430E+017;918
03-27-2019 12:01 AM;Psi;6.368924166E+17;887
2014-02-01 00:01:00;Psi;635268096600000000;183
2014-10-17 00:01:00;Epsilon;635491008600000000;234
05-19-2012 12:01 AM;Upsilon;6.347298246E+17;226
2016-03-28 00:01:00;Eta;6.35947E+017;567
04-08-2015 12:01 AM;Eta;6.356404806E+17;250
2014-03-14 00:02:00;Nu;635303521200000000;364
