TM;Category;unknown;Quantity
2015-06-13 00:01:00;Iota;6.35698E+017;753
02-21-2017 12:01 AM;Omicron;6.362323206E+17;846
2012-01-27 00:01:00;Psi;634632192600000000;700
2014-06-26 00:01:00;Upsilon;635393376600000000;528
06-23-2014 12:01 AM;Tau;6.353907846E+17;429
2018-09-03 00:01:00;Rho;6.36715E+017;339
2015-04-10 00:01:00;Gamma;635642208600000000;215
2013-03-21 00:02:00;Pi;6.34994E+017;754
2012-07-25 00:01:00;Delta;634787712600000000;723
2013-04-04 00:01:00;Mu;635006304600000000;472
2015-09-08 00:02:00;Gamma;635772673200000000;129
2012-08-31 00:02:00;Eta;634819681200000000;38
2012-05-12T00:01:00.0000000;Tau;634,723,776,600,000,000.00000000;11
06-01-2015 12:01 AM;Eta;6.356871366E+17;626
2013-04-08 00:01:00;Lambda;6.35010E+017;712
2010-10-10T00:01:00.0000000;Kappa;634,222,656,600,000,000.00000000;997
04-28-2013 12:01 AM;Gamma;6.350270406E+17;342
2015-01-01 00:01:00;Upsilon;6.35557E+017;548
2010-07-13 00:01:00;Rho;634145760600000000;521
2012-04-08 00:01:00;Zeta;634694400600000000;845
05-18-2019 12:01 AM;Tau;6.369373446E+17;14
2016-12-03T00:01:00.0000000;Omega;636,163,200,600,000,000.00000000;137
2014-11-02T00:01:00.0000000;Zeta;635,504,832,600,000,000.00000000;829
2015-01-28 00:01:00;Upsilon;635580000600000000;765
2011-03-10 00:01:00;Sigma;6.34353E+017;628
2012-07-09 00:01:00;Rho;6.34774E+017;728
2011-10-28 00:01:00;Iota;634553568600000000;73
04-11-2014 12:01 AM;Upsilon;6.353277126E+17;296
2013-08-24T00:01:00.0000000;Omega;635,128,992,600,000,000.00000000;359
06-04-2012 12:03 AM;Pi;6.347436498E+17;326
2016-06-09 00:01:00;Alpha;6.36010E+017;616
2019-05-31 00:01:00;Mu;6.36949E+017;360
2019-05-03 00:02:00;Xi;636924385200000000;236
02-06-2016 12:01 AM;Upsilon;6.359031366E+17;901
2015-04-01 00:02:00;Xi;6.35634E+017;639
12-29-2010 12:02 AM;Tau;6.342917772E+17;636
2011-01-04 00:02:00;Kappa;634296961200000000;256
2018-04-06T00:01:00.0000000;Omicron;636,585,696,600,000,000.00000000;131
2018-10-03T00:01:00.0000000;Psi;636,741,216,600,000,000.00000000;207
06-29-2017 12:01 AM;Gamma;6.363429126E+17;814
12-21-2018 12:02 AM;Phi;6.368094732E+17;396
11-14-2019 12:01 AM;Rho;6.370928646E+17;828
2011-12-16T00:02:00.0000000;Delta;634,595,905,200,000,000.00000000;301
2016-06-05T00:01:00.0000000;Alpha;636,006,816,600,000,000.00000000;723
10-31-2019 12:01 AM;Sigma;6.370807686E+17;855
06-10-2018 12:01 AM;Alpha;6.366418566E+17;757
2017-10-05T00:01:00.0000000;Omicron;636,427,584,600,000,000.00000000;261
2017-07-23 00:01:00;Omega;636363648600000000;932
2014-01-20 00:02:00;Omicron;635257729200000000;254
2014-01-21 00:02:00;Psi;6.35259E+017;769
2018-04-01 00:02:00;Delta;636581377200000000;46
2010-11-16 00:02:00;Rho;634254625200000000;263
2018-01-03T00:01:00.0000000;Alpha;636,505,344,600,000,000.00000000;722
05-19-2019 12:01 AM;Eta;6.369382086E+17;953
04-18-2018 12:01 AM;Upsilon;6.365960646E+17;221
2013-08-19 00:03:00;Kappa;635124673800000000;969
2015-01-31T00:01:00.0000000;Omega;635,582,592,600,000,000.00000000;747
2017-12-06 00:01:00;Tau;6.36481E+017;268
06-11-2017 12:03 AM;Delta;6.363273618E+17;943
11-02-2018 12:01 AM;Sigma;6.367671366E+17;328
04-21-2011 12:02 AM;Eta;6.343894092E+17;469
2011-10-04 00:02:00;Mu;634532833200000000;36
12-11-2010 12:02 AM;Omega;6.342762252E+17;163
2019-04-05 00:03:00;Omicron;6.36900E+017;966
12-14-2010 12:03 AM;Theta;6.342788178E+17;864
2016-11-03 00:01:00;Tau;6.36137E+017;398
08-13-2015 12:02 AM;Zeta;6.357502092E+17;511
2013-06-18 00:02:00;Omicron;6.35071E+017;919
06-17-2015 12:02 AM;Beta;6.357009612E+17;900
05-01-2019 12:01 AM;Xi;6.369226566E+17;852
2010-02-04 00:02:00;Eta;6.34008E+017;427
2012-07-04T00:01:00.0000000;Omega;634,769,568,600,000,000.00000000;54
2019-02-26 00:02:00;Theta;636867361200000000;285
2010-12-03 00:03:00;Delta;634269313800000000;980
2012-09-02 00:01:00;Eta;6.34821E+017;201
2013-08-09 00:01:00;Beta;635116032600000000;83
10-16-2012 12:01 AM;Xi;6.348594246E+17;586
02-16-2014 12:02 AM;Psi;6.352810572E+17;160
05-05-2017 12:01 AM;Epsilon;6.362953926E+17;737
2016-09-15 00:02:00;Tau;636094945200000000;83
02-20-2012 12:01 AM;Theta;6.346529286E+17;944
2010-01-27T00:02:00.0000000;Nu;634,001,473,200,000,000.00000000;598
2016-12-01T00:02:00.0000000;Omicron;636,161,473,200,000,000.00000000;553
2010-08-14 00:01:00;Beta;634173408600000000;843
07-29-2012 12:02 AM;Chi;6.347911692E+17;244
06-13-2017 12:01 AM;Rho;6.363290886E+17;209
2018-10-21T00:01:00.0000000;Upsilon;636,756,768,600,000,000.00000000;548
2018-03-03 00:02:00;Tau;636556321200000000;802
02-22-2017 12:02 AM;Kappa;6.362331852E+17;596
2016-06-02 00:01:00;Omega;636004224600000000;1
11-12-2015 12:01 AM;Alpha;6.358288326E+17;791
2014-06-27T00:03:00.0000000;Psi;635,394,241,800,000,000.00000000;74
2016-04-29T00:02:00.0000000;Mu;635,974,849,200,000,000.00000000;292
2012-06-21 00:01:00;Chi;6.34758E+017;737
2013-01-19T00:01:00.0000000;Eta;634,941,504,600,000,000.00000000;256
2015-12-22T00:02:00.0000000;Kappa;635,863,393,200,000,000.00000000;3
2012-06-21 00:03:00;Upsilon;6.34758E+017;620
2019-12-09 00:01:00;Tau;637114464600000000;912
09-15-2015 12:01 AM;Mu;6.357787206E+17;576
2013-05-27 00:04:00;Gamma;635052098400000000;114
2014-05-29 00:01:00;Phi;6.35369E+017;181
2018-02-26T00:01:00.0000000;Zeta;636,552,000,600,000,000.00000000;862
2014-09-25 00:01:00;Rho;635472000600000000;57
2012-09-11 00:02:00;Alpha;634829185200000000;475
06-30-2017 12:03 AM;Xi;6.363437778E+17;995
2015-09-20 00:01:00;Nu;635783040600000000;2
12-05-2012 12:01 AM;Lambda;6.349026246E+17;579
09-01-2014 12:02 AM;Theta;6.354512652E+17;691
2017-10-23T00:02:00.0000000;Lambda;636,443,137,200,000,000.00000000;994
2013-05-10 00:02:00;Kappa;635037409200000000;43
2013-10-22 00:02:00;Upsilon;6.35180E+017;368
07-09-2019 12:02 AM;Alpha;6.369822732E+17;238
03-28-2012 12:02 AM;Omega;6.346848972E+17;68
2015-10-09 00:01:00;Omicron;635799456600000000;976
02-03-2012 12:01 AM;Omicron;6.346382406E+17;649
2016-05-15T00:02:00.0000000;Omega;635,988,673,200,000,000.00000000;159
2013-05-28 00:02:00;Beta;635052961200000000;352
2010-08-12 00:02:00;Xi;634171681200000000;689
2012-01-20 00:01:00;Zeta;634626144600000000;866
2011-03-01T00:02:00.0000000;Psi;634,345,345,200,000,000.00000000;63
09-07-2018 12:01 AM;Beta;6.367187526E+17;122
2017-01-02 00:02:00;Epsilon;636189121200000000;965
2013-08-22 00:01:00;Xi;635127264600000000;531
2012-03-14 00:01:00;Rho;634672800600000000;746
2012-08-12 00:03:00;Chi;634803265800000000;195
08-08-2010 12:01 AM;Beta;6.341682246E+17;925
2013-11-08 00:02:00;Kappa;635194657200000000;901
05-04-2012 12:02 AM;Upsilon;6.347168652E+17;548
2015-02-14 00:02:00;Lambda;635594689200000000;217
01-18-2011 12:01 AM;Tau;6.343090566E+17;48
11-04-2016 12:02 AM;Upsilon;6.361381452E+17;312
12-05-2018 12:03 AM;Tau;6.367956498E+17;717
2017-06-26 00:01:00;Chi;6.36340E+017;829
10-01-2016 12:01 AM;Beta;6.361087686E+17;486
2017-01-31 00:02:00;Delta;6.36214E+017;435
05-17-2019 12:02 AM;Pi;6.369364812E+17;695
2019-03-18 00:04:00;Phi;6.36885E+017;101
09-16-2010 12:01 AM;Zeta;6.342019206E+17;459
2011-04-22 00:02:00;Xi;634390273200000000;723
2013-04-03 00:02:00;Upsilon;635005441200000000;458
10-15-2016 12:03 AM;Lambda;6.361208658E+17;898
2012-02-17 00:01:00;Zeta;6.34650E+017;738
2019-03-16T00:01:00.0000000;Alpha;636,882,912,600,000,000.00000000;327
2017-06-24 00:03:00;Sigma;6.36339E+017;504
2013-01-19T00:01:00.0000000;Beta;634,941,504,600,000,000.00000000;88
2016-06-10 00:02:00;Sigma;6.36011E+017;627
2012-09-10 00:02:00;Sigma;634828321200000000;569
10-15-2016 12:03 AM;Alpha;6.361208658E+17;450
11-15-2013 12:02 AM;Omega;6.352007052E+17;155
2014-05-25 00:03:00;Omega;635365729800000000;35
11-02-2012 12:02 AM;Nu;6.348741132E+17;966
2011-10-06T00:03:00.0000000;Rho;634,534,561,800,000,000.00000000;660
2014-02-23 00:03:00;Sigma;635287105800000000;946
03-06-2012 12:04 AM;Beta;6.346658904E+17;868
10-20-2010 12:03 AM;Xi;6.342312978E+17;891
08-11-2010 12:01 AM;Omega;6.341708166E+17;309
2014-09-24 00:02:00;Lambda;635471137200000000;707
2019-10-22 00:02:00;Nu;6.37073E+017;833
05-06-2016 12:03 AM;Omicron;6.359808978E+17;592
2019-01-17T00:02:00.0000000;Omicron;636,832,801,200,000,000.00000000;415
02-17-2014 12:01 AM;Eta;6.352819206E+17;742
09-23-2019 12:03 AM;Rho;6.370479378E+17;54
2012-12-18 00:01:00;Mu;634913856600000000;556
12-06-2018 12:02 AM;Epsilon;6.367965132E+17;28
2013-03-21 00:02:00;Mu;6.34994E+017;540
12-24-2012 12:03 AM;Lambda;6.349190418E+17;412
02-16-2019 12:02 AM;Psi;6.368587212E+17;229
2014-06-27T00:02:00.0000000;Eta;635,394,241,200,000,000.00000000;830
07-29-2012 12:02 AM;Psi;6.347911692E+17;158
2011-01-23 00:02:00;Eta;634313377200000000;835
2019-04-21 00:03:00;Alpha;636914017800000000;175
2010-01-25 00:02:00;Pi;633999745200000000;959
2019-09-27T00:04:00.0000000;Beta;637,051,394,400,000,000.00000000;121
2017-08-29T00:03:00.0000000;Psi;636,395,617,800,000,000.00000000;268
2019-04-18T00:02:00.0000000;Gamma;636,911,425,200,000,000.00000000;330
2019-07-25 00:02:00;Gamma;6.36996E+017;175
2011-07-05 00:01:00;Epsilon;634454208600000000;86
2014-12-28 00:03:00;Nu;635553217800000000;260
2019-08-23T00:03:00.0000000;Pi;637,021,153,800,000,000.00000000;116
12-21-2019 12:03 AM;Lambda;6.371248338E+17;450
2014-12-10 00:03:00;Upsilon;635537665800000000;243
2014-10-17 00:03:00;Gamma;635491009800000000;485
11-04-2017 12:03 AM;Omicron;6.364535058E+17;786
2019-09-29T00:02:00.0000000;Alpha;637,053,121,200,000,000.00000000;226
2010-11-16 00:03:00;Xi;634254625800000000;78
2019-02-11 00:03:00;Epsilon;6.36854E+017;22
2010-04-07 00:04:00;Lambda;634061954400000000;76
09-11-2011 12:04 AM;Pi;6.345129624E+17;373
03-03-2015 12:02 AM;Nu;6.356093772E+17;428
2017-12-13 00:02:00;Upsilon;636487201200000000;617
2015-10-09 00:02:00;Zeta;635799457200000000;956
2019-05-21 00:03:00;Phi;636939937800000000;646
03-08-2012 12:01 AM;Omega;6.346676166E+17;228
2018-12-18 00:02:00;Zeta;6.36807E+017;691
2017-06-17T00:02:00.0000000;Xi;636,332,545,200,000,000.00000000;286
2013-10-17T00:02:00.0000000;Chi;635,175,649,200,000,000.00000000;868
2011-08-09 00:03:00;Epsilon;634484449800000000;58
2015-11-15 00:02:00;Nu;635831425200000000;320
06-26-2017 12:02 AM;Upsilon;6.363403212E+17;697
04-20-2017 12:02 AM;Phi;6.362824332E+17;424
02-26-2015 12:02 AM;Alpha;6.356050572E+17;25
06-27-2017 12:03 AM;Psi;6.363411858E+17;342
01-15-2017 12:02 AM;Alpha;6.362003532E+17;976
2016-07-30 00:03:00;Chi;636054337800000000;955
04-22-2010 12:04 AM;Epsilon;6.340749144E+17;172
2018-08-08T00:03:00.0000000;Epsilon;636,692,833,800,000,000.00000000;857
2016-09-24 00:02:00;Lambda;6.36103E+017;636
2010-11-18 00:02:00;Sigma;634256353200000000;125
04-24-2010 12:02 AM;Eta;6.340766412E+17;747
03-25-2013 12:02 AM;Omega;6.349976652E+17;786
2017-06-24 00:02:00;Tau;6.36339E+017;717
2012-08-07T00:02:00.0000000;Chi;634,798,945,200,000,000.00000000;591
11-25-2010 12:02 AM;Kappa;6.342624012E+17;315
2013-12-25 00:03:00;Delta;635235265800000000;78
2015-08-16T00:03:00.0000000;Phi;635,752,801,800,000,000.00000000;955
2015-03-03 00:03:00;Epsilon;635609377800000000;281
12-25-2011 12:06 AM;Alpha;6.346036836E+17;807
2010-06-21T00:02:00.0000000;Eta;634,126,753,200,000,000.00000000;511
2011-04-14 00:02:00;Pi;6.34383E+017;642
2014-05-21T00:03:00.0000000;Lambda;635,362,273,800,000,000.00000000;761
09-10-2011 12:03 AM;Kappa;6.345120978E+17;916
2018-02-05 00:03:00;Epsilon;636533857800000000;653
2013-06-14T00:01:00.0000000;Theta;635,067,648,600,000,000.00000000;766
2016-09-20T00:01:00.0000000;Omicron;636,099,264,600,000,000.00000000;187
08-17-2012 12:02 AM;Iota;6.348075852E+17;883
11-03-2011 12:02 AM;Psi;6.345587532E+17;847
09-23-2018 12:03 AM;Sigma;6.367325778E+17;292
2017-08-04 00:06:00;Lambda;636374019600000000;927
2013-05-31 00:04:00;Phi;6.35056E+017;419
2019-08-08 00:03:00;Zeta;637008193800000000;640
2012-04-22T00:03:00.0000000;Rho;634,706,497,800,000,000.00000000;375
04-25-2015 12:03 AM;Psi;6.356551698E+17;244
10-18-2016 12:04 AM;Mu;6.361234584E+17;559
2012-07-19 00:03:00;Lambda;634782529800000000;986
08-13-2019 12:04 AM;Rho;6.370125144E+17;998
09-12-2015 12:04 AM;Beta;6.357761304E+17;643
06-22-2014 12:03 AM;Lambda;6.353899218E+17;104
05-09-2017 12:01 AM;Chi;6.362988486E+17;75
12-23-2017 12:03 AM;Delta;6.364958418E+17;233
02-03-2017 12:04 AM;Omega;6.362167704E+17;289
2015-09-23T00:04:00.0000000;Pi;635,785,634,400,000,000.00000000;848
06-24-2019 12:02 AM;Kappa;6.369693132E+17;224
08-14-2013 12:04 AM;Sigma;6.351203544E+17;508
2014-09-08T00:02:00.0000000;Zeta;635,457,313,200,000,000.00000000;490
2015-01-14 00:03:00;Pi;635567905800000000;68
2017-11-12 00:04:00;Alpha;636460418400000000;78
2011-02-27 00:04:00;Mu;634343618400000000;821
2013-08-03 00:02:00;Sigma;635110849200000000;316
2013-08-07 00:03:00;Mu;635114305800000000;336
2019-06-19 00:02:00;Omega;6.36965E+017;779
2016-06-26 00:02:00;Theta;6.36025E+017;448
2011-01-31 00:02:00;Tau;6.34320E+017;327
