TM;Category;unknown;Quantity
2012-04-27 00:01:00;Rho;634710816600000000;833
2013-03-21 00:01:00;Xi;6.34994E+017;956
2018-01-27 00:01:00;Sigma;6.36526E+017;469
2015-01-10 00:01:00;Delta;635564448600000000;591
01-17-2012 12:01 AM;Delta;6.346235526E+17;291
2013-11-03 00:01:00;Chi;635190336600000000;851
10-10-2013 12:01 AM;Zeta;6.351696006E+17;939
03-20-2014 12:01 AM;Theta;6.353087046E+17;153
2013-06-11 00:01:00;Alpha;635065056600000000;909
2010-01-12T00:01:00.0000000;Phi;633,988,512,600,000,000.00000000;681
2012-06-02 00:01:00;Sigma;634741920600000000;589
2014-07-14 00:01:00;Nu;635408928600000000;599
2012-05-29T00:01:00.0000000;Phi;634,738,464,600,000,000.00000000;263
2018-04-28 00:02:00;Chi;6.36605E+017;664
2016-10-06 00:01:00;Omicron;636113088600000000;948
05-15-2014 12:02 AM;Xi;6.353570892E+17;803
2011-10-07T00:02:00.0000000;Sigma;634,535,425,200,000,000.00000000;109
2017-06-02T00:01:00.0000000;Xi;636,319,584,600,000,000.00000000;463
2012-01-29 00:02:00;Sigma;6.34634E+017;675
2010-03-23T00:01:00.0000000;Epsilon;634,048,992,600,000,000.00000000;420
2015-08-03 00:01:00;Tau;635741568600000000;993
05-08-2010 12:02 AM;Alpha;6.340887372E+17;247
2010-03-04 00:01:00;Psi;634032576600000000;144
07-16-2017 12:01 AM;Eta;6.363576006E+17;922
12-25-2018 12:01 AM;Delta;6.368129286E+17;822
2014-06-12 00:01:00;Xi;635381280600000000;420
11-10-2010 12:01 AM;Epsilon;6.342494406E+17;156
2013-10-06 00:02:00;Psi;6.35166E+017;480
03-01-2015 12:01 AM;Omega;6.356076486E+17;306
2010-01-08 00:01:00;Gamma;633985056600000000;888
12-16-2015 12:01 AM;Omicron;6.358582086E+17;69
2016-12-07 00:01:00;Gamma;6.36167E+017;586
2016-03-25 00:01:00;Gamma;635944608600000000;376
2011-09-04 00:01:00;Phi;634506912600000000;295
05-02-2012 12:01 AM;Epsilon;6.347151366E+17;965
2013-06-16 00:01:00;Sigma;635069376600000000;563
2016-03-09 00:01:00;Epsilon;635930784600000000;346
2015-11-15 00:01:00;Psi;635831424600000000;576
2010-09-09 00:01:00;Pi;6.34196E+017;833
2016-01-09 00:01:00;Lambda;635878944600000000;222
2019-02-24T00:02:00.0000000;Delta;636,865,633,200,000,000.00000000;448
