TM;Category;unknown;Quantity
2014-05-23T00:01:00.0000000;Beta;635,364,000,600,000,000.00000000;292
2010-09-09 00:01:00;Mu;6.34196E+017;960
2015-07-02 00:01:00;Gamma;6.35714E+017;897
2014-11-09 00:01:00;Gamma;6.35511E+017;343
2011-07-04 00:01:00;Zeta;634453344600000000;291
2019-03-19 00:01:00;Omega;636885504600000000;68
2017-12-23 00:01:00;Rho;6.36496E+017;178
2013-06-13T00:01:00.0000000;Kappa;635,066,784,600,000,000.00000000;160
2011-05-19 00:01:00;Psi;634413600600000000;106
12-28-2017 12:01 AM;Pi;6.365001606E+17;771
2017-07-21 00:02:00;Gamma;636361921200000000;558
2019-11-22T00:01:00.0000000;Theta;637,099,776,600,000,000.00000000;129
12-09-2011 12:01 AM;Eta;6.345898566E+17;437
2013-09-27 00:01:00;Omicron;635158368600000000;977
02-23-2017 12:01 AM;Kappa;6.362340486E+17;744
2016-05-17T00:01:00.0000000;Rho;635,990,400,600,000,000.00000000;768
11-17-2019 12:01 AM;Phi;6.370954566E+17;221
2013-07-19T00:01:00.0000000;Pi;635,097,888,600,000,000.00000000;780
2016-02-15T00:02:00.0000000;Chi;635,910,913,200,000,000.00000000;724
2010-10-23 00:01:00;Omega;634233888600000000;380
2013-07-06 00:02:00;Pi;6.35087E+017;493
2016-04-09T00:01:00.0000000;Phi;635,957,568,600,000,000.00000000;755
2014-11-26 00:01:00;Eta;6.35526E+017;829
2015-10-17 00:01:00;Omega;6.35806E+017;604
04-17-2012 12:01 AM;Gamma;6.347021766E+17;300
2014-07-19 00:02:00;Mu;635413249200000000;320
2015-03-11 00:02:00;Lambda;635616289200000000;987
2019-12-15 00:01:00;Psi;637119648600000000;6
2010-05-03 00:02:00;Phi;634084417200000000;783
2017-01-14 00:01:00;Epsilon;6.36199E+017;55
2012-09-20 00:01:00;Delta;6.34837E+017;685
06-11-2011 12:01 AM;Psi;6.344334726E+17;113
2018-07-04T00:01:00.0000000;Lambda;636,662,592,600,000,000.00000000;300
2014-08-27 00:02:00;Psi;6.35447E+017;114
2017-02-16 00:01:00;Delta;636228000600000000;35
2017-11-26 00:01:00;Iota;636472512600000000;854
2015-07-03 00:01:00;Beta;6.35715E+017;172
2018-05-27 00:01:00;Omega;636629760600000000;217
11-24-2016 12:02 AM;Xi;6.361554252E+17;24
2016-11-14T00:01:00.0000000;Zeta;636,146,784,600,000,000.00000000;757
04-01-2017 12:02 AM;Delta;6.362660172E+17;501
2013-09-19 00:01:00;Phi;6.35151E+017;211
2012-08-10T00:01:00.0000000;Eta;634,801,536,600,000,000.00000000;739
08-27-2016 12:01 AM;Nu;6.360785286E+17;427
2012-06-04 00:01:00;Theta;6.34744E+017;571
2014-10-31T00:02:00.0000000;Omicron;635,503,105,200,000,000.00000000;212
02-20-2011 12:02 AM;Sigma;6.343375692E+17;201
2016-03-07 00:01:00;Gamma;635929056600000000;295
2016-01-27 00:01:00;Delta;635894496600000000;789
