TM;Category;unknown;Quantity
2013-03-31 00:01:00;Omicron;635002848600000000;535
2012-02-28T00:01:00.0000000;Sigma;634,659,840,600,000,000.00000000;44
01-13-2018 12:01 AM;Zeta;6.365139846E+17;635
2015-12-30 00:01:00;Epsilon;6.35870E+017;282
2015-07-30 00:01:00;Lambda;635738112600000000;288
10-04-2010 12:01 AM;Rho;6.342174726E+17;119
04-24-2015 12:01 AM;Phi;6.356543046E+17;997
05-23-2018 12:01 AM;Zeta;6.366263046E+17;202
2018-01-07 00:01:00;Beta;636508800600000000;0
11-05-2016 12:01 AM;Rho;6.361390086E+17;356
2016-11-03 00:01:00;Phi;6.36137E+017;544
2011-01-09T00:01:00.0000000;Psi;634,301,280,600,000,000.00000000;754
2017-10-22 00:01:00;Zeta;636442272600000000;134
2012-08-31 00:01:00;Kappa;634819680600000000;362
08-01-2019 12:01 AM;Iota;6.370021446E+17;877
2017-01-09 00:02:00;Kappa;636195169200000000;596
02-28-2016 12:01 AM;Psi;6.359221446E+17;900
2012-03-03 00:01:00;Eta;634663296600000000;621
06-29-2018 12:01 AM;Eta;6.366582726E+17;476
10-02-2015 12:01 AM;Chi;6.357934086E+17;941
2010-06-12 00:01:00;Gamma;6.34119E+017;979
08-01-2018 12:01 AM;Beta;6.366867846E+17;583
04-10-2013 12:01 AM;Mu;6.350114886E+17;682
2019-08-06T00:01:00.0000000;Mu;637,006,464,600,000,000.00000000;219
07-02-2011 12:01 AM;Omicron;6.344516166E+17;447
03-25-2018 12:03 AM;Kappa;6.365753298E+17;98
2011-06-06 00:02:00;Epsilon;6.34429E+017;932
12-08-2011 12:01 AM;Zeta;6.345889926E+17;12
01-28-2019 12:01 AM;Xi;6.368423046E+17;524
2018-09-13 00:01:00;Omicron;636723936600000000;103
2011-07-30 00:01:00;Iota;634475808600000000;275
08-21-2012 12:01 AM;Theta;6.348110406E+17;77
03-24-2014 12:01 AM;Upsilon;6.353121606E+17;732
08-01-2018 12:02 AM;Psi;6.366867852E+17;125
04-28-2019 12:01 AM;Rho;6.369200646E+17;364
2015-08-18T00:02:00.0000000;Mu;635,754,529,200,000,000.00000000;517
03-29-2017 12:01 AM;Mu;6.362634246E+17;663
2014-02-24 00:01:00;Lambda;635287968600000000;387
2010-03-30 00:01:00;Kappa;6.34055E+017;712
2016-07-30 00:02:00;Psi;636054337200000000;445
2011-01-22 00:01:00;Lambda;634312512600000000;531
2010-09-03T00:02:00.0000000;Pi;634,190,689,200,000,000.00000000;874
09-12-2011 12:02 AM;Xi;6.345138252E+17;898
2013-11-09 00:02:00;Rho;6.35196E+017;203
2017-09-21 00:01:00;Iota;636415488600000000;115
2017-02-27 00:02:00;Lambda;636237505200000000;67
07-26-2014 12:01 AM;Tau;6.354192966E+17;242
2011-10-22 00:01:00;Rho;634548384600000000;697
2010-11-12 00:02:00;Omega;634251169200000000;282
2018-02-28T00:01:00.0000000;Zeta;636,553,728,600,000,000.00000000;322
01-01-2011 12:01 AM;Epsilon;6.342943686E+17;203
2016-02-12 00:03:00;Nu;635908321800000000;343
02-29-2016 12:01 AM;Gamma;6.359230086E+17;32
2011-08-16 00:02:00;Sigma;634490497200000000;620
2012-01-06 00:03:00;Phi;634614049800000000;693
12-24-2018 12:01 AM;Theta;6.368120646E+17;423
05-01-2012 12:01 AM;Xi;6.347142726E+17;601
03-28-2013 12:01 AM;Omicron;6.350002566E+17;790
2017-10-25T00:01:00.0000000;Epsilon;636,444,864,600,000,000.00000000;872
02-18-2013 12:01 AM;Lambda;6.349674246E+17;519
05-03-2018 12:01 AM;Sigma;6.366090246E+17;606
2012-09-30 00:02:00;Psi;634845601200000000;795
2012-06-13 00:02:00;Gamma;634751425200000000;896
05-12-2010 12:02 AM;Rho;6.340921932E+17;559
2015-03-07 00:01:00;Upsilon;635612832600000000;58
11-30-2013 12:03 AM;Chi;6.352136658E+17;465
03-10-2017 12:02 AM;Alpha;6.362470092E+17;588
2012-05-11T00:01:00.0000000;Rho;634,722,912,600,000,000.00000000;484
05-28-2011 12:01 AM;Sigma;6.344213766E+17;284
2012-06-19 00:01:00;Kappa;634756608600000000;500
2010-09-06 00:01:00;Xi;634193280600000000;501
2012-02-25 00:01:00;Nu;634657248600000000;885
2015-08-07 00:01:00;Theta;6.35745E+017;460
11-27-2010 12:02 AM;Beta;6.342641292E+17;292
2013-11-12 00:01:00;Epsilon;6.35198E+017;683
2014-04-18 00:02:00;Sigma;635333761200000000;608
2017-12-21 00:02:00;Pi;6.36494E+017;972
2018-02-05 00:01:00;Iota;636533856600000000;124
2016-02-13 00:02:00;Beta;635909185200000000;727
2019-03-28 00:02:00;Xi;636893281200000000;161
2010-05-16T00:01:00.0000000;Delta;634,095,648,600,000,000.00000000;288
2019-03-15T00:01:00.0000000;Omega;636,882,048,600,000,000.00000000;544
10-29-2013 12:01 AM;Iota;6.351860166E+17;336
06-18-2014 12:02 AM;Chi;6.353864652E+17;548
04-05-2010 12:01 AM;Pi;6.340602246E+17;8
2019-08-13 00:02:00;Kappa;6.37013E+017;834
2010-07-25 00:01:00;Upsilon;634156128600000000;725
2019-08-05 00:01:00;Alpha;637005600600000000;310
2012-11-09 00:02:00;Tau;634880161200000000;284
06-13-2010 12:01 AM;Theta;6.341198406E+17;822
2015-03-10 00:03:00;Omicron;635615425800000000;989
2010-12-04T00:01:00.0000000;Pi;634,270,176,600,000,000.00000000;998
08-20-2012 12:02 AM;Psi;6.348101772E+17;254
2015-01-10 00:03:00;Pi;635564449800000000;452
12-24-2018 12:02 AM;Beta;6.368120652E+17;355
2019-04-08 00:01:00;Rho;6.36903E+017;208
2014-03-26 00:02:00;Chi;635313889200000000;453
01-18-2011 12:01 AM;Lambda;6.343090566E+17;641
2011-10-22 00:01:00;Theta;634548384600000000;111
2015-12-30 00:02:00;Kappa;6.35870E+017;771
2015-07-15 00:03:00;Upsilon;635725153800000000;825
2013-04-18T00:02:00.0000000;Upsilon;635,018,401,200,000,000.00000000;490
06-02-2015 12:02 AM;Nu;6.356880012E+17;436
10-03-2010 12:01 AM;Omicron;6.342166086E+17;720
2016-02-19 00:02:00;Epsilon;635914369200000000;605
2017-05-10 00:01:00;Theta;636299712600000000;839
2017-06-01T00:02:00.0000000;Iota;636,318,721,200,000,000.00000000;410
2014-06-07 00:02:00;Iota;635376961200000000;765
2010-01-09T00:02:00.0000000;Pi;633,985,921,200,000,000.00000000;6
2012-08-16 00:02:00;Rho;6.34807E+017;138
2016-09-06 00:03:00;Iota;6.36087E+017;10
2019-04-17T00:03:00.0000000;Iota;636,910,561,800,000,000.00000000;656
2013-10-23 00:01:00;Beta;6.35181E+017;68
2014-02-24 00:02:00;Iota;635287969200000000;192
10-28-2019 12:01 AM;Omicron;6.370781766E+17;742
2010-11-30 00:02:00;Omega;634266721200000000;520
2017-06-24 00:01:00;Zeta;6.36339E+017;621
08-22-2017 12:01 AM;Zeta;6.363895686E+17;935
2015-03-15 00:01:00;Xi;6.35620E+017;107
2018-12-15T00:01:00.0000000;Omega;636,804,288,600,000,000.00000000;231
2016-06-11 00:01:00;Chi;6.36012E+017;747
2017-11-08 00:02:00;Theta;636456961200000000;745
08-11-2014 12:03 AM;Mu;6.354331218E+17;732
2018-03-13 00:02:00;Kappa;636564961200000000;774
2015-06-02 00:04:00;Phi;635688002400000000;96
2011-11-06 00:03:00;Omicron;634561345800000000;345
2010-12-19T00:03:00.0000000;Nu;634,283,137,800,000,000.00000000;631
2016-07-29 00:02:00;Delta;636053473200000000;906
