TM;Category;unknown;Quantity
2019-08-14 00:01:00;Omega;6.37013E+017;497
2019-03-14T00:01:00.0000000;Rho;636,881,184,600,000,000.00000000;84
2014-05-21 00:01:00;Iota;635362272600000000;585
01-09-2019 12:01 AM;Gamma;6.368258886E+17;340
04-22-2010 12:01 AM;Phi;6.340749126E+17;296
2018-11-06 00:01:00;Mu;636770592600000000;873
2019-04-05 00:01:00;Zeta;636900192600000000;6
02-06-2010 12:03 AM;Phi;6.340101138E+17;282
2018-07-07 00:01:00;Zeta;636665184600000000;976
2012-12-09 00:02:00;Delta;634906081200000000;429
2015-10-14 00:01:00;Phi;635803776600000000;321
2015-08-23 00:01:00;Kappa;635758848600000000;53
05-02-2019 12:02 AM;Chi;6.369235212E+17;622
2015-10-26 00:01:00;Omega;635814144600000000;990
12-23-2012 12:02 AM;Sigma;6.349181772E+17;669
01-10-2014 12:01 AM;Phi;6.352490886E+17;248
12-21-2014 12:01 AM;Xi;6.355471686E+17;620
2013-12-14 00:01:00;Iota;635225760600000000;357
2016-06-04T00:02:00.0000000;Pi;636,005,953,200,000,000.00000000;857
05-07-2011 12:01 AM;Gamma;6.344032326E+17;525
03-11-2018 12:02 AM;Pi;6.365632332E+17;108
2011-04-10 00:01:00;Theta;634379904600000000;17
2013-03-01 00:02:00;Gamma;6.34977E+017;271
2018-01-05T00:01:00.0000000;Alpha;636,507,072,600,000,000.00000000;680
07-14-2013 12:02 AM;Psi;6.350935692E+17;240
2017-05-17 00:02:00;Pi;636305761200000000;580
11-15-2019 12:01 AM;Iota;6.370937286E+17;713
2013-12-31 00:02:00;Theta;635240449200000000;262
2014-07-22 00:01:00;Epsilon;6.35416E+017;63
10-23-2014 12:01 AM;Beta;6.354961926E+17;753
2015-02-24 00:01:00;Upsilon;6.35603E+017;724
2018-04-21T00:02:00.0000000;Zeta;636,598,657,200,000,000.00000000;118
2012-11-15 00:01:00;Mu;6.34885E+017;433
2019-02-23 00:01:00;Mu;636864768600000000;947
2011-03-20T00:02:00.0000000;Gamma;634,361,761,200,000,000.00000000;780
12-16-2014 12:02 AM;Sigma;6.355428492E+17;533
10-21-2015 12:02 AM;Phi;6.358098252E+17;567
2010-01-28T00:01:00.0000000;Iota;634,002,336,600,000,000.00000000;612
2014-02-06 00:01:00;Tau;635272416600000000;951
2015-08-04 00:01:00;Kappa;635742432600000000;180
2016-09-21T00:01:00.0000000;Rho;636,100,128,600,000,000.00000000;168
06-08-2018 12:01 AM;Tau;6.366401286E+17;956
2019-09-30T00:01:00.0000000;Zeta;637,053,984,600,000,000.00000000;612
2014-06-07 00:01:00;Sigma;635376960600000000;836
02-23-2010 12:02 AM;Phi;6.340248012E+17;342
2010-12-04 00:02:00;Sigma;634270177200000000;698
2019-06-09 00:02:00;Theta;636956353200000000;175
06-07-2019 12:02 AM;Omega;6.369546252E+17;497
2017-07-22T00:03:00.0000000;Nu;636,362,785,800,000,000.00000000;226
07-08-2014 12:01 AM;Omicron;6.354037446E+17;922
2017-08-31 00:02:00;Eta;636397345200000000;255
08-09-2016 12:02 AM;Kappa;6.360629772E+17;852
2014-11-26 00:01:00;Phi;6.35526E+017;876
11-08-2010 12:01 AM;Pi;6.342477126E+17;407
2016-01-30T00:01:00.0000000;Chi;635,897,088,600,000,000.00000000;73
02-15-2014 12:01 AM;Phi;6.352801926E+17;842
2019-04-06 00:01:00;Psi;636901056600000000;919
2012-04-23T00:02:00.0000000;Mu;634,707,361,200,000,000.00000000;987
2016-11-12T00:02:00.0000000;Theta;636,145,057,200,000,000.00000000;514
12-02-2019 12:02 AM;Alpha;6.371084172E+17;825
2017-08-11T00:02:00.0000000;Chi;636,380,065,200,000,000.00000000;198
2010-10-25 00:02:00;Beta;634235617200000000;357
2017-10-09 00:03:00;Chi;6.36431E+017;388
2016-05-31 00:03:00;Mu;636002497800000000;537
2019-01-26 00:01:00;Delta;6.36841E+017;886
2017-03-05 00:02:00;Kappa;636242689200000000;104
09-13-2011 12:02 AM;Phi;6.345146892E+17;58
2011-01-31 00:01:00;Epsilon;6.34320E+017;210
2019-11-08 00:01:00;Beta;637087680600000000;613
08-06-2017 12:01 AM;Psi;6.363757446E+17;536
07-30-2018 12:01 AM;Chi;6.366850566E+17;669
2014-06-26 00:01:00;Rho;635393376600000000;477
12-28-2011 12:02 AM;Beta;6.346062732E+17;917
2015-10-13 00:02:00;Eta;635802913200000000;464
2012-05-26 00:01:00;Delta;634735872600000000;330
2014-06-11T00:01:00.0000000;Omega;635,380,416,600,000,000.00000000;860
09-07-2017 12:02 AM;Eta;6.364033932E+17;635
2017-11-25 00:01:00;Omega;636471648600000000;469
06-04-2018 12:04 AM;Nu;6.366366744E+17;930
2017-05-29 00:02:00;Alpha;636316129200000000;550
2013-05-05 00:02:00;Beta;635033089200000000;825
04-03-2010 12:02 AM;Sigma;6.340584972E+17;279
05-19-2018 12:03 AM;Xi;6.366228498E+17;188
2010-09-04 00:02:00;Pi;634191553200000000;912
2010-06-08 00:01:00;Nu;634115520600000000;450
2012-07-02T00:02:00.0000000;Alpha;634,767,841,200,000,000.00000000;887
2013-07-15 00:03:00;Psi;635094433800000000;880
12-25-2017 12:01 AM;Mu;6.364975686E+17;843
2010-12-20T00:01:00.0000000;Mu;634,284,000,600,000,000.00000000;617
2019-10-14 00:01:00;Psi;637066080600000000;682
2010-06-27 00:03:00;Rho;6.34132E+017;652
02-25-2017 12:01 AM;Chi;6.362357766E+17;141
2014-09-14 00:03:00;Psi;6.35462E+017;550
2016-11-02 00:02:00;Eta;6.36136E+017;996
05-24-2016 12:03 AM;Psi;6.359964498E+17;678
2018-03-13 00:02:00;Lambda;636564961200000000;170
2016-06-07 00:01:00;Psi;636008544600000000;446
2010-01-05 00:03:00;Rho;633982465800000000;338
09-18-2015 12:02 AM;Lambda;6.357813132E+17;348
03-25-2019 12:01 AM;Rho;6.368906886E+17;89
2012-06-19 00:02:00;Tau;634756609200000000;674
04-20-2011 12:02 AM;Beta;6.343885452E+17;269
2013-11-02 00:01:00;Pi;635189472600000000;993
03-17-2010 12:02 AM;Pi;6.340438092E+17;216
2019-07-01T00:02:00.0000000;Psi;636,975,361,200,000,000.00000000;795
02-17-2019 12:02 AM;Epsilon;6.368595852E+17;738
2013-08-21 00:02:00;Epsilon;635126401200000000;481
2016-03-01 00:01:00;Omicron;635923872600000000;731
