TM;Category;unknown;Quantity
2013-11-23T00:01:00.0000000;Omega;635,207,616,600,000,000.00000000;753
12-22-2013 12:01 AM;Pi;6.352326726E+17;35
11-01-2017 12:01 AM;Sigma;6.364509126E+17;268
2011-01-14 00:01:00;Gamma;6.34306E+017;398
2017-03-07 00:01:00;Omega;6.36244E+017;38
2018-06-22 00:01:00;Epsilon;6.36652E+017;26
2013-11-11 00:01:00;Phi;6.35197E+017;165
2011-09-21 00:01:00;Delta;634521600600000000;420
2014-02-26 00:01:00;Beta;635289696600000000;711
2010-06-01 00:01:00;Gamma;634109472600000000;707
2014-06-27T00:01:00.0000000;Zeta;635,394,240,600,000,000.00000000;376
2013-03-12 00:01:00;Zeta;634986432600000000;239
2017-06-07 00:01:00;Zeta;6.36324E+017;852
08-04-2011 12:01 AM;Delta;6.344801286E+17;19
01-30-2013 12:01 AM;Kappa;6.349510086E+17;610
2018-12-21 00:01:00;Epsilon;6.36809E+017;25
2013-09-18 00:01:00;Tau;6.35151E+017;267
05-23-2012 12:01 AM;Rho;6.347332806E+17;796
11-26-2015 12:01 AM;Gamma;6.358409286E+17;738
08-19-2018 12:01 AM;Psi;6.367023366E+17;715
2014-11-21T00:01:00.0000000;Rho;635,521,248,600,000,000.00000000;83
2017-06-15 00:02:00;Tau;636330817200000000;243
2019-05-09T00:01:00.0000000;Chi;636,929,568,600,000,000.00000000;283
2018-06-11 00:02:00;Mu;636642721200000000;721
2015-01-28 00:01:00;Phi;635580000600000000;74
2015-09-05T00:02:00.0000000;Delta;635,770,081,200,000,000.00000000;649
09-22-2014 12:01 AM;Omega;6.354694086E+17;776
2013-01-22 00:01:00;Nu;634944096600000000;972
2016-09-06 00:01:00;Alpha;636087168600000000;443
2011-08-20 00:01:00;Omega;6.34494E+017;991
07-27-2015 12:01 AM;Omicron;6.357355206E+17;68
2017-11-10T00:01:00.0000000;Sigma;636,458,688,600,000,000.00000000;54
2010-04-30T00:02:00.0000000;Lambda;634,081,825,200,000,000.00000000;917
2017-07-13 00:02:00;Epsilon;6.36355E+017;943
2010-03-03 00:01:00;Pi;634031712600000000;323
2015-06-07T00:01:00.0000000;Lambda;635,692,320,600,000,000.00000000;547
05-27-2017 12:01 AM;Phi;6.363144006E+17;91
12-25-2012 12:02 AM;Beta;6.349199052E+17;133
10-15-2012 12:01 AM;Phi;6.348585606E+17;116
2014-09-09T00:01:00.0000000;Psi;635,458,176,600,000,000.00000000;471
2011-05-18 00:01:00;Nu;634412736600000000;459
05-24-2018 12:01 AM;Tau;6.366271686E+17;601
2013-09-01 00:01:00;Sigma;6.35136E+017;386
2011-05-31T00:04:00.0000000;Iota;634,423,970,400,000,000.00000000;935
2018-05-16 00:01:00;Rho;6.36620E+017;345
2016-04-29T00:01:00.0000000;Upsilon;635,974,848,600,000,000.00000000;299
2016-04-29T00:01:00.0000000;Eta;635,974,848,600,000,000.00000000;359
08-16-2019 12:03 AM;Mu;6.370151058E+17;213
2011-02-13T00:02:00.0000000;Upsilon;634,331,521,200,000,000.00000000;150
2019-07-08 00:01:00;Alpha;6.36981E+017;887
2013-08-12 00:02:00;Chi;6.35119E+017;186
2010-03-27 00:02:00;Phi;634052449200000000;976
2019-04-03 00:02:00;Tau;636898465200000000;916
04-06-2010 12:01 AM;Tau;6.340610886E+17;107
2012-08-23 00:01:00;Gamma;634812768600000000;73
08-25-2016 12:01 AM;Rho;6.360768006E+17;642
10-10-2014 12:01 AM;Psi;6.354849606E+17;253
11-23-2016 12:01 AM;Theta;6.361545606E+17;131
2018-09-13T00:03:00.0000000;Sigma;636,723,937,800,000,000.00000000;528
2012-06-17 00:02:00;Kappa;634754881200000000;913
2015-03-13 00:01:00;Pi;635618016600000000;860
2013-05-25T00:01:00.0000000;Mu;635,050,368,600,000,000.00000000;1
02-23-2017 12:01 AM;Pi;6.362340486E+17;352
2015-04-20 00:02:00;Kappa;6.35651E+017;450
2010-08-16T00:01:00.0000000;Rho;634,175,136,600,000,000.00000000;548
09-11-2016 12:02 AM;Gamma;6.360914892E+17;913
10-19-2011 12:01 AM;Chi;6.345457926E+17;694
2016-10-12 00:01:00;Sigma;636118272600000000;934
2019-07-22 00:02:00;Omicron;636993505200000000;9
2018-02-28T00:02:00.0000000;Beta;636,553,729,200,000,000.00000000;948
2019-08-03 00:01:00;Alpha;637003872600000000;243
12-01-2014 12:02 AM;Phi;6.355298892E+17;556
08-11-2010 12:01 AM;Beta;6.341708166E+17;603
2013-07-15 00:02:00;Tau;635094433200000000;6
2016-09-25 00:01:00;Eta;6.36104E+017;176
2010-06-19 00:01:00;Pi;634125024600000000;394
