TM;Category;unknown;Quantity
2018-06-23 00:01:00;Beta;6.36653E+017;778
2015-01-30 00:01:00;Sigma;635581728600000000;394
2013-09-12T00:01:00.0000000;Omega;635,145,408,600,000,000.00000000;458
2010-09-26 00:01:00;Alpha;6.34211E+017;559
2011-07-08T00:01:00.0000000;Tau;634,456,800,600,000,000.00000000;630
11-24-2010 12:01 AM;Epsilon;6.342615366E+17;29
08-13-2015 12:01 AM;Upsilon;6.357502086E+17;516
12-11-2011 12:01 AM;Xi;6.345915846E+17;490
04-18-2011 12:01 AM;Delta;6.343868166E+17;224
2017-10-22 00:01:00;Lambda;636442272600000000;608
2010-09-09 00:01:00;Alpha;6.34196E+017;865
2018-09-18 00:01:00;Epsilon;636728256600000000;601
09-03-2014 12:01 AM;Nu;6.354529926E+17;542
12-05-2012 12:01 AM;Tau;6.349026246E+17;202
2011-08-20 00:01:00;Mu;6.34494E+017;501
08-26-2016 12:01 AM;Tau;6.360776646E+17;521
2010-03-27 00:01:00;Delta;634052448600000000;634
11-06-2016 12:02 AM;Upsilon;6.361398732E+17;408
2013-09-14 00:01:00;Psi;635147136600000000;782
2017-08-28 00:01:00;Rho;636394752600000000;873
2016-07-09T00:01:00.0000000;Nu;636,036,192,600,000,000.00000000;144
09-15-2015 12:01 AM;Sigma;6.357787206E+17;521
02-06-2016 12:01 AM;Alpha;6.359031366E+17;608
2013-07-16 00:01:00;Kappa;635095296600000000;519
02-05-2017 12:01 AM;Nu;6.362184966E+17;854
2013-08-05T00:01:00.0000000;Phi;635,112,576,600,000,000.00000000;487
03-31-2017 12:02 AM;Sigma;6.362651532E+17;754
06-07-2018 12:01 AM;Zeta;6.366392646E+17;723
2013-03-01 00:01:00;Kappa;634976928600000000;268
2013-02-23 00:01:00;Kappa;634971744600000000;249
2017-02-27 00:01:00;Zeta;636237504600000000;940
10-08-2014 12:02 AM;Theta;6.354832332E+17;764
2015-02-20 00:02:00;Eta;635599873200000000;943
2013-05-28 00:01:00;Alpha;635052960600000000;615
05-07-2011 12:02 AM;Kappa;6.344032332E+17;283
07-05-2016 12:01 AM;Rho;6.360327366E+17;733
09-05-2012 12:01 AM;Gamma;6.348240006E+17;885
2016-04-27T00:01:00.0000000;Gamma;635,973,120,600,000,000.00000000;534
2017-06-25 00:01:00;Upsilon;6.36339E+017;384
2017-11-25 00:01:00;Iota;636471648600000000;780
11-20-2011 12:02 AM;Omega;6.345734412E+17;588
2016-01-13 00:01:00;Gamma;635882400600000000;864
2014-02-21T00:01:00.0000000;Pi;635,285,376,600,000,000.00000000;303
09-11-2010 12:01 AM;Delta;6.341976006E+17;563
05-09-2010 12:01 AM;Phi;6.340896006E+17;362
2015-03-13 00:02:00;Psi;6.35618E+017;924
2010-03-11 00:02:00;Omega;6.34039E+017;714
07-17-2018 12:01 AM;Omega;6.366738246E+17;278
11-02-2017 12:01 AM;Nu;6.364517766E+17;121
2013-02-28 00:01:00;Xi;634976064600000000;920
2011-05-15T00:01:00.0000000;Theta;634,410,144,600,000,000.00000000;575
2011-07-24 00:01:00;Lambda;634470624600000000;218
2016-09-18T00:02:00.0000000;Upsilon;636,097,537,200,000,000.00000000;405
2014-07-14 00:02:00;Nu;635408929200000000;854
10-23-2014 12:02 AM;Chi;6.354961932E+17;686
2016-05-05 00:01:00;Rho;6.35980E+017;653
2019-05-13 00:02:00;Zeta;6.36933E+017;204
2012-08-13 00:02:00;Beta;634804129200000000;663
2014-05-19 00:01:00;Delta;635360544600000000;910
2019-07-02T00:01:00.0000000;Omega;636,976,224,600,000,000.00000000;359
2016-07-31 00:01:00;Kappa;636055200600000000;202
2010-11-12T00:04:00.0000000;Beta;634,251,170,400,000,000.00000000;777
03-08-2013 12:02 AM;Zeta;6.349829772E+17;748
07-04-2015 12:02 AM;Beta;6.357156492E+17;148
10-16-2016 12:01 AM;Iota;6.361217286E+17;169
2018-11-10 00:01:00;Tau;636774048600000000;317
2012-03-15 00:01:00;Chi;634673664600000000;769
10-02-2016 12:02 AM;Tau;6.361096332E+17;993
08-09-2015 12:01 AM;Kappa;6.357467526E+17;303
10-01-2011 12:02 AM;Theta;6.345302412E+17;18
2013-11-04T00:02:00.0000000;Gamma;635,191,201,200,000,000.00000000;932
2010-03-30 00:02:00;Omicron;6.34055E+017;782
2015-12-25T00:01:00.0000000;Kappa;635,865,984,600,000,000.00000000;297
07-10-2014 12:02 AM;Tau;6.354054732E+17;282
2012-01-03 00:01:00;Alpha;634611456600000000;320
2017-06-01T00:02:00.0000000;Kappa;636,318,721,200,000,000.00000000;221
2012-11-08T00:01:00.0000000;Delta;634,879,296,600,000,000.00000000;227
2012-02-09T00:01:00.0000000;Beta;634,643,424,600,000,000.00000000;771
06-18-2015 12:03 AM;Beta;6.357018258E+17;613
2013-06-15 00:01:00;Upsilon;635068512600000000;686
2015-04-15T00:01:00.0000000;Sigma;635,646,528,600,000,000.00000000;155
09-13-2016 12:02 AM;Phi;6.360932172E+17;566
04-21-2017 12:01 AM;Iota;6.362832966E+17;279
03-25-2018 12:03 AM;Upsilon;6.365753298E+17;882
2018-04-30 00:01:00;Rho;6.36606E+017;112
01-20-2016 12:02 AM;Mu;6.358884492E+17;668
2011-09-24 00:01:00;Rho;6.34524E+017;673
12-14-2010 12:02 AM;Xi;6.342788172E+17;693
2016-02-03 00:02:00;Zeta;6.35901E+017;461
