TM;Category;unknown;Quantity
12-26-2017 12:01 AM;Mu;6.364984326E+17;868
2010-03-09 00:01:00;Delta;634036896600000000;28
2019-04-27 00:01:00;Mu;6.36919E+017;831
04-15-2012 12:01 AM;Mu;6.347004486E+17;408
2012-02-08 00:01:00;Mu;634642560600000000;969
2010-11-22 00:01:00;Omicron;6.34260E+017;516
2014-10-20 00:01:00;Theta;6.35494E+017;300
2013-05-12 00:01:00;Mu;635039136600000000;926
01-31-2018 12:02 AM;Eta;6.365295372E+17;18
2015-02-01T00:01:00.0000000;Tau;635,583,456,600,000,000.00000000;89
2014-10-18 00:01:00;Lambda;635491872600000000;197
2012-07-25 00:01:00;Omega;634787712600000000;0
2015-05-16 00:01:00;Delta;635673312600000000;992
03-10-2013 12:01 AM;Alpha;6.349847046E+17;145
2014-09-05 00:01:00;Psi;635454720600000000;442
2016-03-28 00:01:00;Phi;6.35947E+017;379
04-30-2013 12:02 AM;Phi;6.350287692E+17;180
2012-01-22T00:01:00.0000000;Lambda;634,627,872,600,000,000.00000000;515
2014-02-27 00:01:00;Upsilon;6.35291E+017;565
2010-10-27T00:02:00.0000000;Nu;634,237,345,200,000,000.00000000;691
2018-08-14 00:02:00;Alpha;6.36698E+017;132
2011-01-30 00:01:00;Pi;634319424600000000;639
2011-06-01T00:02:00.0000000;Beta;634,424,833,200,000,000.00000000;861
2010-03-06T00:02:00.0000000;Chi;634,034,305,200,000,000.00000000;635
2018-04-08 00:01:00;Pi;636587424600000000;143
12-20-2013 12:01 AM;Mu;6.352309446E+17;16
2017-07-31 00:01:00;Tau;6.36371E+017;591
2016-11-10 00:02:00;Xi;636143329200000000;146
09-03-2013 12:02 AM;Mu;6.351376332E+17;73
2013-04-20T00:01:00.0000000;Eta;635,020,128,600,000,000.00000000;482
10-04-2010 12:01 AM;Phi;6.342174726E+17;799
2013-06-29 00:01:00;Phi;635080608600000000;985
02-25-2011 12:01 AM;Lambda;6.343418886E+17;998
2010-01-08 00:01:00;Epsilon;633985056600000000;126
2011-11-26 00:01:00;Psi;634578624600000000;529
2013-10-15 00:01:00;Psi;635173920600000000;700
2019-10-14 00:01:00;Phi;637066080600000000;59
03-17-2010 12:01 AM;Omega;6.340438086E+17;758
02-01-2013 12:01 AM;Eta;6.349527366E+17;642
05-18-2019 12:02 AM;Beta;6.369373452E+17;484
2010-09-09 00:01:00;Nu;6.34196E+017;601
2016-03-19 00:01:00;Alpha;635939424600000000;230
06-14-2010 12:01 AM;Eta;6.341207046E+17;59
2011-11-30T00:02:00.0000000;Phi;634,582,081,200,000,000.00000000;868
11-09-2010 12:01 AM;Alpha;6.342485766E+17;644
2017-11-24 00:02:00;Upsilon;636470785200000000;278
06-06-2018 12:01 AM;Phi;6.366384006E+17;348
2011-06-03T00:01:00.0000000;Delta;634,426,560,600,000,000.00000000;465
06-20-2013 12:03 AM;Xi;6.350728338E+17;853
2010-06-09 00:01:00;Epsilon;634116384600000000;841
06-26-2017 12:02 AM;Gamma;6.363403212E+17;954
2015-09-20 00:01:00;Mu;635783040600000000;989
2013-03-18 00:03:00;Mu;6.34992E+017;863
2016-05-23 00:02:00;Chi;6.35996E+017;956
03-27-2019 12:02 AM;Pi;6.368924172E+17;485
12-04-2013 12:01 AM;Delta;6.352171206E+17;940
2014-07-14 00:01:00;Eta;635408928600000000;202
2014-05-22T00:01:00.0000000;Nu;635,363,136,600,000,000.00000000;24
2015-11-17T00:01:00.0000000;Theta;635,833,152,600,000,000.00000000;159
2015-03-28 00:02:00;Chi;635630977200000000;518
01-01-2017 12:02 AM;Eta;6.361882572E+17;548
08-14-2014 12:01 AM;Beta;6.354357126E+17;504
2016-05-15 00:01:00;Gamma;635988672600000000;826
2014-06-29T00:01:00.0000000;Alpha;635,395,968,600,000,000.00000000;976
2013-05-13 00:02:00;Phi;6.35040E+017;622
05-10-2010 12:01 AM;Beta;6.340904646E+17;779
2014-10-29 00:02:00;Iota;635501377200000000;566
2011-07-27 00:03:00;Beta;634473217800000000;753
2013-08-22 00:02:00;Alpha;635127265200000000;897
2015-06-03 00:01:00;Sigma;635688864600000000;78
2016-06-24 00:01:00;Mu;636023232600000000;98
2019-06-10 00:02:00;Eta;636957217200000000;583
2011-10-12 00:02:00;Omicron;6.34540E+017;1
2019-07-24 00:01:00;Nu;6.36995E+017;505
2015-10-27 00:01:00;Upsilon;635815008600000000;972
2019-12-07 00:02:00;Eta;637112737200000000;959
03-07-2018 12:02 AM;Phi;6.365597772E+17;510
2013-11-12 00:01:00;Beta;6.35198E+017;691
2017-10-21T00:03:00.0000000;Rho;636,441,409,800,000,000.00000000;719
2019-10-14 00:02:00;Tau;637066081200000000;515
2011-01-02 00:03:00;Mu;634295233800000000;684
2016-01-06 00:02:00;Kappa;635876353200000000;424
04-30-2019 12:03 AM;Upsilon;6.369217938E+17;898
2018-05-25 00:01:00;Gamma;636628032600000000;682
2014-09-08T00:01:00.0000000;Alpha;635,457,312,600,000,000.00000000;421
