TM;Category;unknown;Quantity
2011-06-21T00:01:00.0000000;Lambda;634,442,112,600,000,000.00000000;251
06-03-2014 12:01 AM;Psi;6.353735046E+17;837
10-18-2016 12:01 AM;Rho;6.361234566E+17;476
01-16-2012 12:01 AM;Lambda;6.346226886E+17;414
08-23-2016 12:01 AM;Epsilon;6.360750726E+17;782
2011-12-17T00:01:00.0000000;Kappa;634,596,768,600,000,000.00000000;720
06-23-2013 12:01 AM;Sigma;6.350754246E+17;485
07-27-2015 12:01 AM;Eta;6.357355206E+17;989
2013-05-08 00:03:00;Eta;635035681800000000;939
2014-10-03 00:01:00;Upsilon;6.35479E+017;203
2013-05-12 00:02:00;Mu;6.35039E+017;668
05-29-2015 12:01 AM;Gamma;6.356845446E+17;189
06-08-2013 12:01 AM;Lambda;6.350624646E+17;939
07-05-2010 12:01 AM;Delta;6.341388486E+17;31
2014-08-25 00:01:00;Sigma;635445216600000000;102
2012-02-11T00:01:00.0000000;Omicron;634,645,152,600,000,000.00000000;588
2014-08-28 00:01:00;Pi;6.35448E+017;951
2019-01-08 00:01:00;Mu;6.36825E+017;824
2014-02-25 00:01:00;Alpha;635288832600000000;421
2011-08-30T00:01:00.0000000;Alpha;634,502,592,600,000,000.00000000;895
03-16-2010 12:01 AM;Epsilon;6.340429446E+17;951
2018-07-18 00:01:00;Omega;636674688600000000;130
2017-01-02 00:02:00;Omicron;636189121200000000;362
2019-08-26 00:02:00;Omega;637023745200000000;38
2013-11-25 00:01:00;Omicron;635209344600000000;108
2018-10-20T00:01:00.0000000;Upsilon;636,755,904,600,000,000.00000000;272
2013-05-24 00:01:00;Alpha;635049504600000000;606
07-21-2015 12:02 AM;Chi;6.357303372E+17;383
08-30-2015 12:02 AM;Lambda;6.357648972E+17;702
2017-09-05 00:01:00;Sigma;6.36402E+017;525
2014-11-16 00:02:00;Omega;635516929200000000;197
2015-08-20T00:01:00.0000000;Tau;635,756,256,600,000,000.00000000;0
2012-11-23 00:02:00;Phi;634892257200000000;170
