TM;Category;unknown;Quantity
2019-05-28 00:01:00;Mu;636945984600000000;543
2018-04-21 00:01:00;Lambda;636598656600000000;216
02-17-2013 12:01 AM;Zeta;6.349665606E+17;416
06-06-2018 12:01 AM;Mu;6.366384006E+17;793
2014-12-26T00:01:00.0000000;Delta;635,551,488,600,000,000.00000000;272
2016-10-08T00:02:00.0000000;Iota;636,114,817,200,000,000.00000000;228
05-20-2019 12:01 AM;Zeta;6.369390726E+17;809
2019-07-20T00:01:00.0000000;Mu;636,991,776,600,000,000.00000000;122
05-28-2011 12:01 AM;Xi;6.344213766E+17;520
2019-02-26T00:01:00.0000000;Gamma;636,867,360,600,000,000.00000000;985
02-01-2013 12:01 AM;Psi;6.349527366E+17;86
07-17-2011 12:01 AM;Psi;6.344645766E+17;323
2014-07-16T00:01:00.0000000;Pi;635,410,656,600,000,000.00000000;528
07-27-2014 12:01 AM;Phi;6.354201606E+17;792
2010-05-03 00:01:00;Tau;634084416600000000;12
2011-07-14 00:01:00;Xi;6.34462E+017;717
2010-03-26 00:01:00;Omega;634051584600000000;199
2011-06-09 00:01:00;Mu;6.34432E+017;42
2014-05-07 00:02:00;Lambda;635350177200000000;182
2013-07-04 00:01:00;Phi;635084928600000000;524
2011-07-24 00:01:00;Theta;634470624600000000;986
2017-05-20 00:01:00;Sigma;6.36308E+017;591
2010-02-15T00:02:00.0000000;Phi;634,017,889,200,000,000.00000000;54
2014-10-19 00:01:00;Rho;635492736600000000;606
01-31-2018 12:01 AM;Xi;6.365295366E+17;307
12-10-2011 12:01 AM;Kappa;6.345907206E+17;235
06-23-2013 12:01 AM;Phi;6.350754246E+17;981
09-12-2016 12:01 AM;Sigma;6.360923526E+17;562
2014-05-20 00:01:00;Kappa;635361408600000000;865
03-30-2011 12:02 AM;Mu;6.343704012E+17;970
06-21-2013 12:01 AM;Phi;6.350736966E+17;29
03-15-2016 12:02 AM;Nu;6.359359692E+17;50
08-20-2018 12:02 AM;Eta;6.367032012E+17;712
2012-11-03 00:02:00;Alpha;634874977200000000;13
2012-01-30 00:01:00;Nu;6.34635E+017;436
2018-09-13T00:02:00.0000000;Sigma;636,723,937,200,000,000.00000000;446
2013-02-09 00:02:00;Eta;634959649200000000;729
02-16-2014 12:01 AM;Rho;6.352810566E+17;440
05-23-2011 12:02 AM;Sigma;6.344170572E+17;909
2010-01-30 00:03:00;Beta;634004065800000000;673
2010-04-15 00:02:00;Eta;6.34069E+017;710
03-22-2014 12:02 AM;Theta;6.353104332E+17;881
2014-12-22 00:01:00;Epsilon;635548032600000000;433
2013-11-20 00:01:00;Beta;635205024600000000;769
2014-03-12T00:02:00.0000000;Phi;635,301,793,200,000,000.00000000;482
05-08-2016 12:02 AM;Pi;6.359826252E+17;77
2014-02-25 00:01:00;Omicron;635288832600000000;375
01-16-2017 12:02 AM;Delta;6.362012172E+17;721
2018-05-28T00:02:00.0000000;Gamma;636,630,625,200,000,000.00000000;980
2018-01-25 00:01:00;Rho;636524352600000000;898
01-20-2016 12:01 AM;Lambda;6.358884486E+17;435
2015-03-29 00:01:00;Eta;635631840600000000;868
07-22-2010 12:01 AM;Lambda;6.341535366E+17;42
12-01-2014 12:02 AM;Pi;6.355298892E+17;275
2016-01-24 00:02:00;Epsilon;635891905200000000;917
2015-05-21T00:01:00.0000000;Beta;635,677,632,600,000,000.00000000;826
2016-06-20 00:01:00;Theta;636019776600000000;728
08-15-2019 12:01 AM;Eta;6.370142406E+17;171
02-03-2018 12:01 AM;Upsilon;6.365321286E+17;41
2016-12-06 00:02:00;Rho;6.36166E+017;283
2013-07-24 00:02:00;Chi;6.35102E+017;754
05-24-2012 12:01 AM;Psi;6.347341446E+17;917
01-11-2014 12:01 AM;Gamma;6.352499526E+17;330
04-09-2014 12:01 AM;Rho;6.353259846E+17;705
08-09-2010 12:01 AM;Chi;6.341690886E+17;561
12-23-2018 12:03 AM;Zeta;6.368112018E+17;9
2011-02-13 00:03:00;Upsilon;634331521800000000;689
03-29-2017 12:02 AM;Sigma;6.362634252E+17;480
2010-08-30 00:02:00;Zeta;634187233200000000;208
10-05-2014 12:02 AM;Upsilon;6.354806412E+17;857
2010-04-25 00:01:00;Chi;634077504600000000;356
2013-08-05T00:02:00.0000000;Psi;635,112,577,200,000,000.00000000;98
05-17-2014 12:01 AM;Tau;6.353588166E+17;137
2016-10-14 00:03:00;Iota;6.36120E+017;731
2012-08-24 00:03:00;Epsilon;634813633800000000;965
2011-10-10 00:02:00;Delta;634538017200000000;757
2015-03-05 00:01:00;Rho;635611104600000000;244
2012-06-22 00:02:00;Beta;6.34759E+017;842
2011-11-10T00:03:00.0000000;Xi;634,564,801,800,000,000.00000000;719
2015-12-31 00:01:00;Iota;6.35871E+017;491
2019-08-23 00:01:00;Phi;637021152600000000;393
2017-10-27 00:01:00;Alpha;636446592600000000;443
2011-10-12 00:01:00;Eta;6.34540E+017;15
2018-06-02 00:02:00;Phi;6.36635E+017;326
06-03-2014 12:02 AM;Theta;6.353735052E+17;832
01-19-2016 12:02 AM;Tau;6.358875852E+17;235
2017-07-19 00:03:00;Zeta;636360193800000000;639
07-27-2014 12:02 AM;Psi;6.354201612E+17;538
2019-10-25 00:01:00;Lambda;6.37076E+017;572
2018-02-08T00:01:00.0000000;Upsilon;636,536,448,600,000,000.00000000;737
2015-09-12 00:01:00;Beta;6.35776E+017;405
05-29-2016 12:02 AM;Omicron;6.360007692E+17;909
08-21-2017 12:01 AM;Chi;6.363887046E+17;816
2014-05-21T00:03:00.0000000;Gamma;635,362,273,800,000,000.00000000;17
09-28-2012 12:01 AM;Upsilon;6.348438726E+17;789
2010-10-15 00:01:00;Beta;6.34227E+017;463
2012-01-07 00:04:00;Eta;634614914400000000;974
2016-07-16 00:02:00;Delta;6.36042E+017;322
2012-05-11T00:02:00.0000000;Upsilon;634,722,913,200,000,000.00000000;557
2011-12-17T00:02:00.0000000;Epsilon;634,596,769,200,000,000.00000000;717
2013-01-16 00:01:00;Kappa;634938912600000000;648
2014-09-14 00:02:00;Sigma;6.35462E+017;704
2012-01-22T00:01:00.0000000;Tau;634,627,872,600,000,000.00000000;625
2015-11-24 00:01:00;Rho;6.35839E+017;724
2019-12-27 00:01:00;Epsilon;637130016600000000;870
2013-05-05T00:03:00.0000000;Gamma;635,033,089,800,000,000.00000000;463
2018-07-25 00:02:00;Theta;636680737200000000;318
2011-03-25 00:02:00;Mu;634366081200000000;176
2017-04-11 00:01:00;Kappa;636274656600000000;448
2012-08-15 00:02:00;Gamma;6.34806E+017;316
2011-06-22 00:01:00;Epsilon;634442976600000000;947
2015-03-28T00:01:00.0000000;Theta;635,630,976,600,000,000.00000000;327
09-02-2019 12:03 AM;Tau;6.370297938E+17;376
2016-01-30 00:02:00;Pi;635897089200000000;84
2017-08-26 00:02:00;Upsilon;636393025200000000;815
02-05-2016 12:02 AM;Tau;6.359022732E+17;75
2018-10-02T00:01:00.0000000;Rho;636,740,352,600,000,000.00000000;131
01-03-2016 12:02 AM;Psi;6.358737612E+17;374
2019-09-17 00:01:00;Epsilon;6.37043E+017;659
2013-05-15 00:01:00;Phi;6.35042E+017;418
2011-03-01T00:02:00.0000000;Omicron;634,345,345,200,000,000.00000000;563
05-18-2019 12:02 AM;Gamma;6.369373452E+17;363
02-24-2016 12:01 AM;Alpha;6.359186886E+17;537
2014-06-06 00:02:00;Alpha;635376097200000000;649
2014-02-20T00:02:00.0000000;Psi;635,284,513,200,000,000.00000000;688
2014-09-29 00:01:00;Xi;635475456600000000;428
10-18-2016 12:02 AM;Chi;6.361234572E+17;916
05-11-2014 12:03 AM;Epsilon;6.353536338E+17;691
06-16-2010 12:02 AM;Theta;6.341224332E+17;648
2013-10-12 00:04:00;Mu;635171330400000000;372
2013-09-15 00:02:00;Gamma;635148001200000000;560
10-16-2011 12:02 AM;Alpha;6.345432012E+17;499
05-12-2010 12:01 AM;Iota;6.340921926E+17;122
2017-08-27 00:02:00;Eta;636393889200000000;190
11-04-2010 12:02 AM;Kappa;6.342442572E+17;264
2018-02-09T00:02:00.0000000;Gamma;636,537,313,200,000,000.00000000;921
2017-01-21 00:01:00;Delta;636205536600000000;562
