TM;Category;unknown;Quantity
2018-09-11 00:01:00;Rho;636722208600000000;651
2018-05-17 00:01:00;Rho;6.36621E+017;538
2010-12-24 00:01:00;Iota;634287456600000000;438
2014-04-24 00:01:00;Gamma;6.35339E+017;106
2010-05-06 00:01:00;Omicron;6.34087E+017;826
2013-02-06T00:01:00.0000000;Chi;634,957,056,600,000,000.00000000;372
2014-10-31 00:01:00;Gamma;635503104600000000;364
11-23-2010 12:01 AM;Xi;6.342606726E+17;183
2015-06-04 00:01:00;Nu;635689728600000000;782
2019-09-11T00:01:00.0000000;Pi;637,037,568,600,000,000.00000000;356
2012-07-06 00:01:00;Xi;634771296600000000;7
2017-10-29 00:01:00;Nu;6.36448E+017;596
2012-03-01 00:01:00;Xi;634661568600000000;42
2016-08-14T00:01:00.0000000;Lambda;636,067,296,600,000,000.00000000;878
2019-04-04 00:01:00;Beta;636899328600000000;508
02-10-2015 12:01 AM;Theta;6.355912326E+17;454
2011-04-24 00:01:00;Epsilon;634392000600000000;14
2012-11-14 00:01:00;Omicron;6.34884E+017;389
2013-08-31 00:01:00;Chi;6.35135E+017;809
02-24-2016 12:01 AM;Eta;6.359186886E+17;897
2011-10-10 00:01:00;Theta;634538016600000000;146
06-02-2014 12:01 AM;Xi;6.353726406E+17;112
03-08-2018 12:01 AM;Mu;6.365606406E+17;567
06-25-2012 12:02 AM;Mu;6.347617932E+17;348
2012-11-04 00:02:00;Upsilon;634875841200000000;398
2014-01-12 00:01:00;Epsilon;635250816600000000;559
2014-02-26 00:01:00;Omicron;635289696600000000;147
08-16-2019 12:01 AM;Phi;6.370151046E+17;470
01-19-2017 12:01 AM;Lambda;6.362038086E+17;99
2015-05-04 00:02:00;Psi;635662945200000000;737
2010-09-09 00:01:00;Delta;6.34196E+017;723
2014-07-17T00:01:00.0000000;Chi;635,411,520,600,000,000.00000000;687
2012-08-14 00:01:00;Eta;6.34805E+017;680
2019-05-28 00:01:00;Gamma;636945984600000000;364
2014-02-09 00:01:00;Chi;6.35275E+017;950
2014-07-20 00:01:00;Xi;635414112600000000;69
04-09-2014 12:01 AM;Omicron;6.353259846E+17;73
12-30-2016 12:02 AM;Nu;6.361865292E+17;411
03-03-2014 12:02 AM;Gamma;6.352940172E+17;428
2017-02-17 00:02:00;Epsilon;6.36229E+017;858
2016-08-31 00:01:00;Delta;636081984600000000;894
2015-03-23 00:02:00;Beta;635626657200000000;941
2017-04-03 00:01:00;Nu;636267744600000000;983
11-08-2016 12:01 AM;Epsilon;6.361416006E+17;955
2012-07-21T00:01:00.0000000;Alpha;634,784,256,600,000,000.00000000;165
2014-04-18T00:01:00.0000000;Pi;635,333,760,600,000,000.00000000;486
11-09-2016 12:01 AM;Lambda;6.361424646E+17;475
12-04-2019 12:03 AM;Xi;6.371101458E+17;94
2017-11-18 00:01:00;Iota;6.36466E+017;825
2011-03-20T00:02:00.0000000;Theta;634,361,761,200,000,000.00000000;666
08-21-2011 12:01 AM;Upsilon;6.344948166E+17;826
2013-05-10 00:01:00;Rho;635037408600000000;742
10-18-2017 12:01 AM;Omega;6.364388166E+17;833
2016-11-18 00:03:00;Xi;6.36150E+017;331
2011-03-06 00:01:00;Eta;634349664600000000;784
08-04-2012 12:01 AM;Gamma;6.347963526E+17;438
03-15-2010 12:01 AM;Phi;6.340420806E+17;110
10-03-2016 12:01 AM;Mu;6.361104966E+17;569
2017-02-26 00:02:00;Alpha;636236641200000000;649
2014-03-19 00:01:00;Iota;6.35308E+017;198
2011-10-20 00:02:00;Iota;634546657200000000;190
2017-08-13T00:01:00.0000000;Beta;636,381,792,600,000,000.00000000;224
11-20-2011 12:01 AM;Lambda;6.345734406E+17;547
07-27-2019 12:01 AM;Delta;6.369978246E+17;962
2015-06-04 00:03:00;Theta;635689729800000000;189
2016-12-01T00:01:00.0000000;Zeta;636,161,472,600,000,000.00000000;589
2010-06-09 00:01:00;Sigma;634116384600000000;183
2018-10-05 00:01:00;Theta;636742944600000000;158
2016-03-21 00:01:00;Phi;635941152600000000;784
2012-10-09 00:01:00;Beta;6.34853E+017;320
2014-01-31 00:01:00;Theta;635267232600000000;130
05-07-2016 12:01 AM;Sigma;6.359817606E+17;391
01-13-2019 12:02 AM;Nu;6.368293452E+17;911
2019-02-21 00:01:00;Omega;636863040600000000;116
2014-08-03T00:01:00.0000000;Epsilon;635,426,208,600,000,000.00000000;21
2012-12-13T00:02:00.0000000;Eta;634,909,537,200,000,000.00000000;776
05-23-2017 12:02 AM;Rho;6.363109452E+17;231
2019-09-26 00:02:00;Phi;637050529200000000;727
2016-07-07 00:01:00;Nu;636034464600000000;514
2010-12-02 00:04:00;Phi;634268450400000000;284
2018-08-05 00:01:00;Xi;636690240600000000;949
2015-09-08 00:01:00;Rho;635772672600000000;834
2010-02-03 00:01:00;Lambda;6.34008E+017;588
2014-07-23 00:01:00;Sigma;6.35417E+017;467
2010-03-20 00:02:00;Epsilon;634046401200000000;393
11-14-2013 12:01 AM;Psi;6.351998406E+17;67
01-31-2019 12:02 AM;Lambda;6.368448972E+17;237
01-16-2018 12:02 AM;Omega;6.365165772E+17;42
08-17-2018 12:02 AM;Alpha;6.367006092E+17;649
2010-10-04 00:02:00;Eta;634217473200000000;819
11-22-2017 12:02 AM;Iota;6.364690572E+17;890
2010-09-07 00:01:00;Gamma;634194144600000000;781
05-07-2017 12:01 AM;Epsilon;6.362971206E+17;688
2018-03-17T00:02:00.0000000;Gamma;636,568,417,200,000,000.00000000;263
11-23-2010 12:02 AM;Theta;6.342606732E+17;251
2018-07-28 00:02:00;Mu;6.36683E+017;342
2019-11-28 00:02:00;Rho;6.37105E+017;849
2017-05-10 00:03:00;Tau;636299713800000000;431
2014-01-19 00:02:00;Sigma;635256865200000000;455
2011-03-19T00:02:00.0000000;Xi;634,360,897,200,000,000.00000000;363
02-28-2015 12:03 AM;Mu;6.356067858E+17;748
2018-04-07 00:02:00;Mu;636586561200000000;662
2014-07-02 00:01:00;Lambda;635398560600000000;909
2015-11-15 00:02:00;Chi;635831425200000000;611
02-17-2019 12:02 AM;Omicron;6.368595852E+17;856
2018-02-08T00:01:00.0000000;Gamma;636,536,448,600,000,000.00000000;110
08-22-2017 12:01 AM;Omicron;6.363895686E+17;781
08-11-2014 12:02 AM;Xi;6.354331212E+17;555
2016-01-15 00:02:00;Eta;6.35884E+017;817
2010-07-09T00:02:00.0000000;Nu;634,142,305,200,000,000.00000000;552
2017-05-14T00:01:00.0000000;Upsilon;636,303,168,600,000,000.00000000;315
2015-06-11 00:02:00;Psi;635695777200000000;600
2014-11-16 00:03:00;Kappa;635516929800000000;889
2014-10-16 00:02:00;Epsilon;635490145200000000;705
2015-01-16 00:01:00;Lambda;635569632600000000;803
2014-12-24T00:04:00.0000000;Kappa;635,549,762,400,000,000.00000000;484
2019-10-16T00:03:00.0000000;Mu;637,067,809,800,000,000.00000000;292
2017-06-21 00:03:00;Delta;636336001800000000;685
2019-04-01T00:01:00.0000000;Sigma;636,896,736,600,000,000.00000000;451
2010-09-24 00:03:00;Epsilon;634208833800000000;943
2012-05-27T00:02:00.0000000;Theta;634,736,737,200,000,000.00000000;417
