TM;Category;unknown;Quantity
2019-05-05 00:01:00;Beta;636926112600000000;466
2012-11-10 00:01:00;Eta;634881024600000000;861
2014-02-21T00:01:00.0000000;Gamma;635,285,376,600,000,000.00000000;142
2016-07-06 00:01:00;Iota;636033600600000000;547
2019-05-07T00:01:00.0000000;Gamma;636,927,840,600,000,000.00000000;926
01-15-2017 12:01 AM;Pi;6.362003526E+17;856
2018-11-11 00:01:00;Zeta;636774912600000000;555
2011-01-15 00:01:00;Mu;6.34306E+017;879
2013-01-20T00:01:00.0000000;Psi;634,942,368,600,000,000.00000000;624
12-22-2012 12:01 AM;Rho;6.349173126E+17;768
2016-12-18 00:01:00;Omicron;636176160600000000;997
05-15-2014 12:01 AM;Rho;6.353570886E+17;723
08-09-2015 12:01 AM;Sigma;6.357467526E+17;298
07-19-2016 12:01 AM;Psi;6.360448326E+17;166
2016-06-19 00:02:00;Xi;636018913200000000;498
06-15-2010 12:01 AM;Omega;6.341215686E+17;396
2016-11-12 00:01:00;Nu;636145056600000000;429
11-28-2015 12:02 AM;Delta;6.358426572E+17;610
2017-12-31 00:01:00;Psi;636502752600000000;901
2015-02-21 00:01:00;Eta;635600736600000000;903
2011-01-13 00:01:00;Pi;6.34305E+017;365
2015-03-27T00:01:00.0000000;Gamma;635,630,112,600,000,000.00000000;901
2015-09-08 00:01:00;Eta;635772672600000000;949
2013-10-24 00:01:00;Phi;6.35182E+017;947
2013-06-28 00:01:00;Mu;635079744600000000;84
2016-02-14 00:01:00;Epsilon;635910048600000000;495
2019-09-11T00:01:00.0000000;Upsilon;637,037,568,600,000,000.00000000;22
2013-10-01T00:01:00.0000000;Chi;635,161,824,600,000,000.00000000;180
2010-03-08 00:01:00;Upsilon;634036032600000000;145
2010-02-22 00:01:00;Rho;6.34024E+017;986
2018-11-09T00:01:00.0000000;Tau;636,773,184,600,000,000.00000000;804
2012-04-29 00:02:00;Omicron;6.34713E+017;589
09-10-2016 12:01 AM;Mu;6.360906246E+17;889
08-14-2014 12:01 AM;Iota;6.354357126E+17;97
2016-03-29 00:01:00;Gamma;6.35948E+017;957
2010-09-27 00:01:00;Phi;6.34211E+017;871
2019-09-27 00:01:00;Iota;637051392600000000;618
07-05-2016 12:01 AM;Psi;6.360327366E+17;58
2013-11-21T00:02:00.0000000;Iota;635,205,889,200,000,000.00000000;125
03-10-2018 12:01 AM;Omicron;6.365623686E+17;582
12-03-2019 12:01 AM;Phi;6.371092806E+17;862
2010-07-27T00:02:00.0000000;Rho;634,157,857,200,000,000.00000000;940
2015-07-29 00:01:00;Lambda;635737248600000000;342
12-17-2014 12:02 AM;Pi;6.355437132E+17;126
2019-09-19 00:01:00;Upsilon;6.37044E+017;32
2019-09-30T00:02:00.0000000;Mu;637,053,985,200,000,000.00000000;906
2013-10-01T00:01:00.0000000;Gamma;635,161,824,600,000,000.00000000;454
2011-01-06 00:01:00;Nu;634298688600000000;52
2016-10-09T00:01:00.0000000;Tau;636,115,680,600,000,000.00000000;388
2011-06-01T00:01:00.0000000;Lambda;634,424,832,600,000,000.00000000;229
