TM;Category;unknown;Quantity
2010-11-03 00:01:00;Iota;6.34243E+017;114
10-22-2010 12:01 AM;Psi;6.342330246E+17;842
2014-10-02 00:01:00;Xi;6.35478E+017;359
01-21-2016 12:01 AM;Kappa;6.358893126E+17;251
01-15-2012 12:01 AM;Gamma;6.346218246E+17;384
2017-10-26 00:01:00;Epsilon;636445728600000000;756
09-27-2011 12:01 AM;Zeta;6.345267846E+17;485
02-15-2013 12:01 AM;Mu;6.349648326E+17;118
2017-08-09 00:01:00;Mu;636378336600000000;444
11-22-2011 12:01 AM;Tau;6.345751686E+17;257
2018-07-22T00:01:00.0000000;Xi;636,678,144,600,000,000.00000000;841
2010-10-06 00:01:00;Eta;634219200600000000;70
2012-10-07 00:01:00;Psi;634851648600000000;649
2014-12-31 00:01:00;Epsilon;635555808600000000;84
2013-02-26 00:02:00;Epsilon;634974337200000000;510
2011-01-28 00:01:00;Xi;634317696600000000;884
2014-01-19 00:01:00;Kappa;635256864600000000;293
12-24-2018 12:01 AM;Upsilon;6.368120646E+17;925
03-10-2018 12:01 AM;Epsilon;6.365623686E+17;286
2012-10-08 00:02:00;Beta;6.34853E+017;866
2018-11-05 00:01:00;Tau;636769728600000000;418
2013-04-01T00:01:00.0000000;Phi;635,003,712,600,000,000.00000000;865
2016-06-03T00:01:00.0000000;Eta;636,005,088,600,000,000.00000000;67
2011-02-01 00:01:00;Mu;6.34321E+017;296
08-16-2019 12:01 AM;Epsilon;6.370151046E+17;494
2010-10-15 00:01:00;Pi;6.34227E+017;319
04-27-2014 12:01 AM;Xi;6.353415366E+17;924
2018-06-05 00:01:00;Omicron;6.36638E+017;714
11-24-2016 12:01 AM;Iota;6.361554246E+17;760
03-28-2019 12:01 AM;Omega;6.368932806E+17;688
08-18-2019 12:02 AM;Xi;6.370168332E+17;818
2013-08-24T00:02:00.0000000;Chi;635,128,993,200,000,000.00000000;898
2014-09-12 00:01:00;Rho;635460768600000000;2
01-31-2013 12:02 AM;Pi;6.349518732E+17;658
2011-05-22 00:01:00;Lambda;6.34416E+017;184
2017-09-13 00:01:00;Beta;636408576600000000;961
2016-02-01 00:01:00;Upsilon;635898816600000000;483
2012-01-26 00:01:00;Pi;634631328600000000;142
02-21-2017 12:02 AM;Nu;6.362323212E+17;0
2012-03-19 00:01:00;Gamma;634677120600000000;591
12-03-2013 12:01 AM;Zeta;6.352162566E+17;876
2013-03-12 00:01:00;Omega;634986432600000000;744
2010-12-18 00:01:00;Beta;634282272600000000;712
2017-12-03 00:01:00;Nu;636478560600000000;460
05-18-2013 12:02 AM;Eta;6.350443212E+17;208
2011-11-07 00:02:00;Tau;634562209200000000;103
2013-01-15 00:01:00;Rho;634938048600000000;33
2018-12-30 00:01:00;Phi;636817248600000000;933
2013-01-19T00:01:00.0000000;Pi;634,941,504,600,000,000.00000000;682
05-05-2011 12:01 AM;Epsilon;6.344015046E+17;378
2017-02-26 00:01:00;Lambda;636236640600000000;925
2012-05-09 00:01:00;Sigma;634721184600000000;489
2018-10-05 00:01:00;Tau;636742944600000000;524
2013-09-29T00:01:00.0000000;Omega;635,160,096,600,000,000.00000000;686
01-02-2017 12:01 AM;Kappa;6.361891206E+17;747
2018-06-02 00:01:00;Psi;636634944600000000;755
2019-11-04T00:01:00.0000000;Iota;637,084,224,600,000,000.00000000;259
10-08-2014 12:02 AM;Alpha;6.354832332E+17;297
02-13-2014 12:03 AM;Psi;6.352784658E+17;516
2018-07-20T00:02:00.0000000;Zeta;636,676,417,200,000,000.00000000;363
03-04-2015 12:01 AM;Kappa;6.356102406E+17;204
04-22-2015 12:01 AM;Pi;6.356525766E+17;328
2012-10-05 00:01:00;Sigma;634849920600000000;506
2019-04-21 00:02:00;Omicron;636914017200000000;504
2016-11-19 00:02:00;Gamma;6.36151E+017;25
2011-02-15 00:01:00;Beta;634333248600000000;383
02-23-2016 12:02 AM;Omicron;6.359178252E+17;290
2017-08-17 00:02:00;Upsilon;6.36385E+017;685
03-14-2016 12:01 AM;Theta;6.359351046E+17;212
11-17-2012 12:02 AM;Theta;6.348870732E+17;128
