TM;Category;unknown;Quantity
11-20-2018 12:01 AM;Chi;6.367826886E+17;651
2016-08-22 00:01:00;Gamma;6.36074E+017;693
07-29-2014 12:01 AM;Lambda;6.354218886E+17;77
02-09-2016 12:01 AM;Phi;6.359057286E+17;50
2018-07-01 00:01:00;Xi;636660000600000000;938
2019-07-22 00:02:00;Gamma;636993505200000000;732
2016-03-08 00:01:00;Theta;635929920600000000;232
2012-03-16T00:01:00.0000000;Beta;634,674,528,600,000,000.00000000;764
01-11-2013 12:01 AM;Eta;6.349345926E+17;110
2016-02-04 00:01:00;Delta;6.35901E+017;71
01-03-2010 12:02 AM;Delta;6.339807372E+17;819
2019-08-26T00:01:00.0000000;Upsilon;637,023,744,600,000,000.00000000;284
2016-05-20 00:01:00;Psi;635992992600000000;25
06-13-2017 12:01 AM;Mu;6.363290886E+17;214
08-23-2011 12:01 AM;Iota;6.344965446E+17;425
2012-08-23 00:01:00;Nu;634812768600000000;302
2014-04-19 00:01:00;Theta;635334624600000000;916
2017-08-01 00:01:00;Tau;6.36371E+017;2
2017-08-08 00:01:00;Zeta;636377472600000000;958
2019-03-03 00:02:00;Gamma;6.36872E+017;582
2010-07-25 00:01:00;Pi;634156128600000000;209
09-30-2011 12:01 AM;Gamma;6.345293766E+17;259
04-27-2019 12:02 AM;Sigma;6.369192012E+17;31
2018-03-13 00:03:00;Tau;636564961800000000;745
2019-07-08 00:02:00;Beta;6.36981E+017;375
05-01-2012 12:01 AM;Lambda;6.347142726E+17;446
2017-08-07 00:02:00;Theta;636376609200000000;181
02-28-2010 12:02 AM;Lambda;6.340291212E+17;757
2014-10-13 00:01:00;Iota;635487552600000000;775
2019-09-17 00:02:00;Mu;6.37043E+017;770
2016-03-25 00:01:00;Zeta;635944608600000000;507
2012-04-20 00:01:00;Chi;634704768600000000;819
2012-01-27 00:02:00;Upsilon;6.34632E+017;333
06-26-2012 12:01 AM;Omega;6.347626566E+17;122
2013-06-10 00:02:00;Psi;635064193200000000;143
2018-10-03T00:01:00.0000000;Gamma;636,741,216,600,000,000.00000000;34
01-02-2017 12:01 AM;Pi;6.361891206E+17;578
2016-10-04 00:02:00;Xi;636111361200000000;312
2012-11-09T00:01:00.0000000;Omega;634,880,160,600,000,000.00000000;492
2017-09-20 00:02:00;Omicron;636414625200000000;205
11-27-2010 12:01 AM;Eta;6.342641286E+17;577
2015-07-30 00:01:00;Rho;635738112600000000;967
03-15-2010 12:02 AM;Gamma;6.340420812E+17;387
2017-09-15 00:01:00;Zeta;636410304600000000;183
2016-10-12 00:02:00;Lambda;636118273200000000;478
05-22-2017 12:01 AM;Omega;6.363100806E+17;311
08-18-2018 12:01 AM;Gamma;6.367014726E+17;513
2014-11-24 00:01:00;Phi;635523840600000000;668
