TM;Category;unknown;Quantity
2014-03-29T00:01:00.0000000;Nu;635,316,480,600,000,000.00000000;279
2013-05-30 00:01:00;Nu;635054688600000000;946
2016-06-18 00:01:00;Phi;636018048600000000;76
02-15-2013 12:01 AM;Nu;6.349648326E+17;856
07-13-2018 12:01 AM;Lambda;6.366703686E+17;770
2014-05-03 00:01:00;Gamma;635346720600000000;803
2019-05-08T00:01:00.0000000;Rho;636,928,704,600,000,000.00000000;345
06-01-2014 12:01 AM;Chi;6.353717766E+17;59
2017-07-24T00:01:00.0000000;Chi;636,364,512,600,000,000.00000000;926
2012-05-11T00:01:00.0000000;Nu;634,722,912,600,000,000.00000000;280
02-14-2014 12:02 AM;Iota;6.352793292E+17;144
2010-07-16 00:01:00;Alpha;6.34148E+017;779
2017-01-09 00:01:00;Kappa;636195168600000000;717
09-16-2015 12:01 AM;Delta;6.357795846E+17;167
2013-04-17 00:01:00;Upsilon;635017536600000000;685
2018-01-21T00:01:00.0000000;Omicron;636,520,896,600,000,000.00000000;538
2018-11-09T00:01:00.0000000;Rho;636,773,184,600,000,000.00000000;492
08-23-2016 12:01 AM;Delta;6.360750726E+17;968
12-26-2011 12:01 AM;Rho;6.346045446E+17;287
2011-07-27T00:01:00.0000000;Iota;634,473,216,600,000,000.00000000;134
11-10-2010 12:01 AM;Pi;6.342494406E+17;951
2018-09-14T00:01:00.0000000;Epsilon;636,724,800,600,000,000.00000000;83
2019-12-13 00:01:00;Omicron;637117920600000000;663
2016-04-27T00:01:00.0000000;Pi;635,973,120,600,000,000.00000000;983
2018-09-13 00:01:00;Pi;636723936600000000;88
2015-02-01T00:01:00.0000000;Epsilon;635,583,456,600,000,000.00000000;607
2017-05-31T00:01:00.0000000;Sigma;636,317,856,600,000,000.00000000;39
2015-12-10 00:01:00;Iota;635853024600000000;624
2010-09-26 00:01:00;Pi;6.34211E+017;554
06-08-2012 12:01 AM;Phi;6.347471046E+17;50
2017-02-12T00:01:00.0000000;Theta;636,224,544,600,000,000.00000000;815
12-24-2012 12:01 AM;Upsilon;6.349190406E+17;234
2013-03-14T00:01:00.0000000;Theta;634,988,160,600,000,000.00000000;243
2014-12-30 00:01:00;Rho;635554944600000000;93
03-26-2019 12:01 AM;Tau;6.368915526E+17;186
2010-12-06 00:02:00;Pi;634271905200000000;637
2019-06-29 00:01:00;Gamma;636973632600000000;990
2018-02-06 00:01:00;Beta;636534720600000000;922
2014-12-15 00:02:00;Tau;6.35542E+017;738
2015-05-09 00:01:00;Alpha;6.35667E+017;893
09-17-2015 12:01 AM;Upsilon;6.357804486E+17;292
2012-12-20 00:01:00;Rho;6.34916E+017;283
10-12-2013 12:02 AM;Rho;6.351713292E+17;713
2012-11-23 00:02:00;Eta;634892257200000000;698
2011-01-06 00:01:00;Eta;634298688600000000;158
2015-05-01T00:01:00.0000000;Delta;635,660,352,600,000,000.00000000;737
2019-06-27 00:01:00;Lambda;636971904600000000;732
2015-06-03 00:01:00;Nu;635688864600000000;515
2017-09-04 00:02:00;Lambda;6.36401E+017;692
2018-03-16T00:02:00.0000000;Omega;636,567,553,200,000,000.00000000;22
2019-06-01 00:01:00;Sigma;6.36949E+017;454
2012-01-23T00:02:00.0000000;Tau;634,628,737,200,000,000.00000000;254
2013-08-04 00:01:00;Mu;635111712600000000;97
2011-02-28 00:02:00;Rho;634344481200000000;709
12-05-2013 12:01 AM;Epsilon;6.352179846E+17;145
2012-10-28 00:01:00;Alpha;6.34870E+017;713
04-08-2014 12:02 AM;Beta;6.353251212E+17;20
2013-05-10 00:01:00;Tau;635037408600000000;375
2018-12-11 00:01:00;Eta;636800832600000000;744
2013-07-22 00:02:00;Rho;635100481200000000;222
2012-04-09 00:03:00;Chi;6.34695E+017;769
2018-07-02 00:01:00;Gamma;636660864600000000;718
01-15-2018 12:01 AM;Lambda;6.365157126E+17;693
08-22-2012 12:02 AM;Chi;6.348119052E+17;219
04-21-2016 12:01 AM;Rho;6.359679366E+17;78
2013-12-24 00:02:00;Sigma;635234401200000000;56
2012-11-07T00:01:00.0000000;Omicron;634,878,432,600,000,000.00000000;795
11-12-2013 12:02 AM;Omega;6.351981132E+17;22
2018-02-27T00:01:00.0000000;Chi;636,552,864,600,000,000.00000000;844
2010-06-06T00:01:00.0000000;Mu;634,113,792,600,000,000.00000000;442
01-18-2017 12:02 AM;Psi;6.362029452E+17;603
2010-03-07 00:02:00;Sigma;634035169200000000;352
2011-08-29T00:02:00.0000000;Iota;634,501,729,200,000,000.00000000;644
2016-02-01 00:02:00;Sigma;635898817200000000;782
2014-09-07 00:01:00;Omicron;635456448600000000;131
2017-05-13T00:01:00.0000000;Omega;636,302,304,600,000,000.00000000;78
2019-06-28 00:02:00;Phi;636972769200000000;12
2016-04-16 00:01:00;Phi;6.35964E+017;947
2010-03-25 00:02:00;Xi;634050721200000000;457
2013-02-07T00:02:00.0000000;Upsilon;634,957,921,200,000,000.00000000;310
2017-01-03 00:01:00;Nu;636189984600000000;752
04-18-2017 12:01 AM;Pi;6.362807046E+17;584
04-07-2014 12:01 AM;Phi;6.353242566E+17;254
2014-09-12 00:02:00;Sigma;635460769200000000;234
2019-01-24 00:03:00;Nu;6.36839E+017;147
01-22-2010 12:02 AM;Delta;6.339971532E+17;270
2010-06-02 00:02:00;Mu;634110337200000000;903
07-15-2017 12:01 AM;Delta;6.363567366E+17;368
2010-03-06 00:03:00;Lambda;634034305800000000;462
2016-07-06 00:03:00;Alpha;636033601800000000;24
2016-06-18 00:02:00;Lambda;636018049200000000;239
2013-07-17 00:01:00;Kappa;635096160600000000;240
05-08-2017 12:02 AM;Chi;6.362979852E+17;138
2012-01-11 00:02:00;Lambda;6.34618E+017;619
09-09-2018 12:02 AM;Beta;6.367204812E+17;376
08-27-2010 12:02 AM;Chi;6.341846412E+17;671
2015-02-21 00:01:00;Beta;635600736600000000;108
2012-01-01 00:02:00;Nu;634609729200000000;573
2015-02-05 00:03:00;Nu;6.35587E+017;756
2017-10-02 00:02:00;Iota;636424993200000000;692
03-22-2014 12:02 AM;Delta;6.353104332E+17;365
2016-01-12T00:01:00.0000000;Theta;635,881,536,600,000,000.00000000;61
2011-01-22 00:02:00;Rho;634312513200000000;807
2018-09-15T00:01:00.0000000;Epsilon;636,725,664,600,000,000.00000000;920
01-28-2014 12:02 AM;Xi;6.352646412E+17;492
2013-02-09 00:02:00;Kappa;634959649200000000;842
2018-08-06 00:01:00;Phi;636691104600000000;166
12-14-2010 12:01 AM;Xi;6.342788166E+17;793
04-30-2018 12:02 AM;Beta;6.366064332E+17;13
2011-09-02 00:03:00;Epsilon;634505185800000000;123
2012-12-02 00:02:00;Epsilon;6.34900E+017;798
2011-02-14T00:01:00.0000000;Theta;634,332,384,600,000,000.00000000;474
2012-10-17 00:02:00;Gamma;634860289200000000;424
2010-09-08 00:03:00;Chi;6.34195E+017;583
2011-08-29 00:01:00;Pi;634501728600000000;428
2019-01-03 00:02:00;Iota;636820705200000000;491
12-16-2010 12:01 AM;Eta;6.342805446E+17;988
02-14-2013 12:02 AM;Beta;6.349639692E+17;765
2015-02-01T00:02:00.0000000;Omicron;635,583,457,200,000,000.00000000;661
2017-12-31 00:02:00;Phi;636502753200000000;328
2013-01-02T00:01:00.0000000;Alpha;634,926,816,600,000,000.00000000;466
02-23-2012 12:02 AM;Nu;6.346555212E+17;601
07-07-2015 12:02 AM;Rho;6.357182412E+17;804
12-05-2017 12:04 AM;Tau;6.364802904E+17;519
2018-07-10 00:02:00;Chi;6.36668E+017;989
07-24-2014 12:02 AM;Phi;6.354175692E+17;957
2019-01-23 00:01:00;Psi;636837984600000000;371
04-24-2015 12:02 AM;Omicron;6.356543052E+17;223
2011-07-10 00:01:00;Psi;634458528600000000;444
2011-07-28 00:02:00;Phi;634474081200000000;664
2010-12-05 00:01:00;Omicron;634271040600000000;844
2017-03-26 00:02:00;Phi;6.36261E+017;290
2014-04-19 00:01:00;Omega;635334624600000000;268
2010-04-16 00:02:00;Delta;6.34070E+017;539
2012-10-28 00:01:00;Zeta;6.34870E+017;915
07-07-2015 12:02 AM;Alpha;6.357182412E+17;805
2012-04-26 00:02:00;Upsilon;634709953200000000;308
2015-02-19T00:02:00.0000000;Kappa;635,599,009,200,000,000.00000000;49
2018-05-30 00:02:00;Delta;636632353200000000;220
08-27-2015 12:01 AM;Kappa;6.357623046E+17;150
2017-01-22 00:02:00;Delta;636206401200000000;477
2016-08-19 00:03:00;Theta;6.36072E+017;219
03-16-2010 12:02 AM;Theta;6.340429452E+17;281
04-06-2015 12:02 AM;Xi;6.356387532E+17;614
2013-06-12T00:02:00.0000000;Lambda;635,065,921,200,000,000.00000000;17
2012-03-21 00:01:00;Tau;634678848600000000;990
2011-03-21T00:01:00.0000000;Rho;634,362,624,600,000,000.00000000;340
2014-07-21 00:02:00;Gamma;6.35415E+017;95
2019-01-08 00:01:00;Nu;6.36825E+017;314
07-15-2012 12:01 AM;Alpha;6.347790726E+17;251
05-16-2019 12:02 AM;Tau;6.369356172E+17;631
2016-08-12 00:02:00;Pi;636065569200000000;852
09-25-2018 12:02 AM;Eta;6.367343052E+17;152
09-17-2014 12:03 AM;Xi;6.354650898E+17;209
02-27-2016 12:02 AM;Omicron;6.359212812E+17;940
2018-10-26 00:01:00;Xi;6.36761E+017;604
2019-02-22 00:02:00;Omicron;636863905200000000;14
11-17-2013 12:02 AM;Psi;6.352024332E+17;979
