TM;Category;unknown;Quantity
2010-06-24T00:01:00.0000000;Eta;634,129,344,600,000,000.00000000;835
2019-01-03 00:01:00;Chi;636820704600000000;415
2018-12-17 00:01:00;Gamma;636806016600000000;965
03-09-2019 12:01 AM;Nu;6.368768646E+17;804
2016-01-15 00:01:00;Tau;635884128600000000;896
03-23-2019 12:01 AM;Lambda;6.368889606E+17;833
2013-04-26 00:01:00;Kappa;6.35025E+017;561
2016-03-26 00:01:00;Upsilon;635945472600000000;579
2015-10-10 00:01:00;Mu;635800320600000000;898
06-21-2014 12:02 AM;Nu;6.353890572E+17;308
09-25-2013 12:01 AM;Chi;6.351566406E+17;148
2017-01-26T00:01:00.0000000;Nu;636,209,856,600,000,000.00000000;844
2019-12-16 00:02:00;Psi;6.37121E+017;144
2014-04-23 00:01:00;Beta;6.35338E+017;182
2018-08-09T00:01:00.0000000;Upsilon;636,693,696,600,000,000.00000000;471
2015-12-20 00:01:00;Omega;635861664600000000;593
2013-12-15 00:01:00;Gamma;635226624600000000;293
2010-10-30 00:01:00;Chi;634239936600000000;296
09-21-2019 12:01 AM;Rho;6.370462086E+17;926
03-17-2010 12:01 AM;Eta;6.340438086E+17;39
2019-08-09 00:01:00;Alpha;637009056600000000;710
2013-08-12 00:02:00;Zeta;6.35119E+017;749
03-07-2013 12:02 AM;Zeta;6.349821132E+17;262
02-04-2017 12:01 AM;Mu;6.362176326E+17;410
2014-12-22 00:01:00;Gamma;635548032600000000;622
02-18-2019 12:01 AM;Iota;6.368604486E+17;941
12-24-2013 12:01 AM;Xi;6.352344006E+17;721
10-31-2012 12:01 AM;Theta;6.348723846E+17;456
2019-10-14 00:01:00;Gamma;637066080600000000;26
2010-06-03 00:01:00;Epsilon;634111200600000000;129
2012-02-27T00:01:00.0000000;Omicron;634,658,976,600,000,000.00000000;198
11-16-2012 12:01 AM;Gamma;6.348862086E+17;668
2012-12-19 00:02:00;Pi;6.34915E+017;35
2016-01-26 00:02:00;Beta;635893633200000000;663
2013-04-03T00:01:00.0000000;Epsilon;635,005,440,600,000,000.00000000;27
03-09-2013 12:02 AM;Delta;6.349838412E+17;874
12-19-2013 12:01 AM;Phi;6.352300806E+17;718
2018-09-18 00:02:00;Epsilon;636728257200000000;573
2014-03-17 00:02:00;Eta;6.35306E+017;679
2013-03-12 00:02:00;Pi;634986433200000000;296
06-06-2012 12:02 AM;Xi;6.347453772E+17;295
2016-03-09 00:01:00;Rho;635930784600000000;127
2011-11-14 00:01:00;Kappa;634568256600000000;369
2017-04-27T00:01:00.0000000;Omega;636,288,480,600,000,000.00000000;966
2019-04-05 00:02:00;Upsilon;636900193200000000;395
09-15-2010 12:01 AM;Xi;6.342010566E+17;719
03-24-2013 12:02 AM;Lambda;6.349968012E+17;556
2013-10-16 00:01:00;Pi;635174784600000000;512
2018-08-30 00:01:00;Iota;636711840600000000;880
07-22-2010 12:01 AM;Sigma;6.341535366E+17;995
06-21-2015 12:01 AM;Upsilon;6.357044166E+17;910
2013-10-14 00:02:00;Psi;635173057200000000;522
2019-02-25T00:02:00.0000000;Phi;636,866,497,200,000,000.00000000;368
2012-01-03 00:01:00;Rho;634611456600000000;151
2019-02-11 00:01:00;Eta;6.36854E+017;585
2016-05-04 00:02:00;Epsilon;6.35979E+017;462
04-18-2018 12:01 AM;Zeta;6.365960646E+17;256
2013-11-23T00:02:00.0000000;Zeta;635,207,617,200,000,000.00000000;348
2015-08-15 00:02:00;Omicron;635751937200000000;911
2014-08-20 00:01:00;Nu;635440896600000000;179
08-16-2014 12:02 AM;Rho;6.354374412E+17;195
2016-07-13 00:01:00;Omicron;636039648600000000;99
10-30-2012 12:01 AM;Sigma;6.348715206E+17;842
2015-09-24T00:01:00.0000000;Chi;635,786,496,600,000,000.00000000;277
01-16-2012 12:01 AM;Epsilon;6.346226886E+17;152
01-07-2014 12:02 AM;Delta;6.352464972E+17;623
2011-06-23 00:03:00;Pi;6.34444E+017;193
2012-01-24T00:01:00.0000000;Gamma;634,629,600,600,000,000.00000000;581
2017-07-20 00:02:00;Pi;636361057200000000;0
02-09-2016 12:02 AM;Phi;6.359057292E+17;257
08-26-2015 12:02 AM;Lambda;6.357614412E+17;38
06-13-2017 12:02 AM;Omicron;6.363290892E+17;482
08-25-2010 12:03 AM;Pi;6.341829138E+17;752
2015-08-26 00:01:00;Sigma;6.35761E+017;722
10-10-2013 12:02 AM;Mu;6.351696012E+17;661
2010-12-15 00:03:00;Mu;634279681800000000;258
04-23-2015 12:01 AM;Beta;6.356534406E+17;703
2016-10-13 00:01:00;Gamma;6.36119E+017;711
2018-06-20 00:02:00;Chi;6.36650E+017;897
2018-08-22 00:03:00;Nu;636704929800000000;155
2011-05-21 00:02:00;Eta;6.34415E+017;911
2010-03-02 00:01:00;Xi;634030848600000000;442
03-09-2013 12:02 AM;Beta;6.349838412E+17;633
2019-05-10 00:01:00;Iota;636930432600000000;673
2015-04-13T00:02:00.0000000;Tau;635,644,801,200,000,000.00000000;245
04-19-2017 12:02 AM;Lambda;6.362815692E+17;804
2016-06-25 00:02:00;Phi;636024097200000000;969
2011-01-26T00:02:00.0000000;Lambda;634,315,969,200,000,000.00000000;400
2011-01-11 00:02:00;Phi;634303009200000000;188
2011-12-23 00:01:00;Psi;6.34602E+017;28
2019-05-11 00:04:00;Beta;6.36931E+017;132
03-13-2011 12:02 AM;Chi;6.343557132E+17;334
12-22-2012 12:02 AM;Gamma;6.349173132E+17;97
2011-09-02 00:02:00;Rho;634505185200000000;989
2014-03-12T00:01:00.0000000;Beta;635,301,792,600,000,000.00000000;219
2019-05-28 00:01:00;Chi;636945984600000000;67
05-07-2011 12:01 AM;Omicron;6.344032326E+17;561
09-17-2014 12:01 AM;Delta;6.354650886E+17;250
2012-07-04T00:02:00.0000000;Phi;634,769,569,200,000,000.00000000;547
2010-05-05 00:02:00;Rho;6.34086E+017;742
09-06-2018 12:01 AM;Theta;6.367178886E+17;958
2019-12-24 00:03:00;Delta;637127425800000000;915
06-04-2014 12:01 AM;Eta;6.353743686E+17;885
11-08-2010 12:02 AM;Chi;6.342477132E+17;552
05-25-2016 12:01 AM;Delta;6.359973126E+17;726
2011-03-02T00:02:00.0000000;Lambda;634,346,209,200,000,000.00000000;233
2010-08-21 00:02:00;Kappa;6.34179E+017;676
03-12-2017 12:01 AM;Epsilon;6.362487366E+17;951
2018-11-12 00:01:00;Zeta;636775776600000000;186
2017-11-27 00:01:00;Zeta;636473376600000000;369
11-26-2016 12:01 AM;Omega;6.361571526E+17;377
2012-04-28 00:01:00;Zeta;6.34712E+017;248
2014-06-10 00:05:00;Kappa;635379555000000000;720
11-10-2015 12:02 AM;Delta;6.358271052E+17;473
2012-10-09 00:02:00;Zeta;6.34853E+017;19
08-22-2018 12:02 AM;Omicron;6.367049292E+17;569
2014-08-03T00:01:00.0000000;Zeta;635,426,208,600,000,000.00000000;641
2015-12-03 00:02:00;Theta;635846977200000000;633
2019-05-06 00:01:00;Chi;636926976600000000;853
06-01-2015 12:02 AM;Mu;6.356871372E+17;789
2014-05-05T00:01:00.0000000;Kappa;635,348,448,600,000,000.00000000;759
2014-07-21 00:01:00;Iota;635414976600000000;410
03-12-2017 12:03 AM;Chi;6.362487378E+17;993
2015-12-08 00:03:00;Kappa;635851297800000000;546
2018-07-08 00:01:00;Beta;636666048600000000;498
2013-02-12 00:01:00;Theta;6.34962E+017;939
2019-09-30T00:02:00.0000000;Zeta;637,053,985,200,000,000.00000000;404
2017-05-17 00:02:00;Phi;636305761200000000;190
2018-12-15 00:02:00;Chi;636804289200000000;687
2015-02-14 00:02:00;Rho;635594689200000000;663
2010-11-16T00:01:00.0000000;Eta;634,254,624,600,000,000.00000000;87
2011-08-13T00:01:00.0000000;Iota;634,487,904,600,000,000.00000000;6
11-26-2015 12:02 AM;Beta;6.358409292E+17;189
2010-08-17T00:01:00.0000000;Omega;634,176,000,600,000,000.00000000;576
2013-12-16 00:01:00;Upsilon;6.35227E+017;640
2014-07-23 00:02:00;Delta;6.35417E+017;92
2015-05-07 00:02:00;Rho;6.35666E+017;682
2017-01-24T00:02:00.0000000;Mu;636,208,129,200,000,000.00000000;796
10-06-2014 12:03 AM;Chi;6.354815058E+17;847
2013-05-25T00:02:00.0000000;Tau;635,050,369,200,000,000.00000000;530
2019-03-09 00:03:00;Phi;636876865800000000;760
05-16-2014 12:01 AM;Kappa;6.353579526E+17;482
2012-01-25 00:03:00;Kappa;634630465800000000;631
07-11-2019 12:03 AM;Epsilon;6.369840018E+17;266
09-27-2018 12:01 AM;Chi;6.367360326E+17;662
2017-05-30T00:03:00.0000000;Omega;636,316,993,800,000,000.00000000;646
2011-12-24 00:01:00;Chi;6.34603E+017;568
2011-01-06T00:03:00.0000000;Pi;634,298,689,800,000,000.00000000;406
2010-06-21 00:01:00;Gamma;634126752600000000;833
2013-12-13 00:03:00;Iota;635224897800000000;129
2010-01-31 00:02:00;Rho;634004929200000000;339
2014-08-23T00:01:00.0000000;Psi;635,443,488,600,000,000.00000000;672
2014-08-06 00:01:00;Zeta;635428800600000000;695
07-07-2014 12:03 AM;Eta;6.354028818E+17;105
2015-03-12 00:03:00;Eta;6.35617E+017;320
2016-11-27 00:04:00;Sigma;636158018400000000;64
2013-08-31 00:01:00;Epsilon;6.35135E+017;709
06-23-2019 12:03 AM;Sigma;6.369684498E+17;816
2012-12-18 00:04:00;Chi;6.34914E+017;619
09-23-2012 12:02 AM;Chi;6.348395532E+17;459
12-02-2019 12:02 AM;Delta;6.371084172E+17;757
2015-04-14T00:02:00.0000000;Beta;635,645,665,200,000,000.00000000;237
2016-08-18 00:03:00;Phi;6.36071E+017;588
2014-04-13 00:02:00;Sigma;635329441200000000;24
2014-08-23T00:01:00.0000000;Mu;635,443,488,600,000,000.00000000;611
2013-09-24 00:04:00;Tau;635155778400000000;777
05-30-2015 12:03 AM;Tau;6.356854098E+17;606
2012-07-04T00:02:00.0000000;Omicron;634,769,569,200,000,000.00000000;508
04-04-2010 12:03 AM;Sigma;6.340593618E+17;858
2010-01-18 00:01:00;Sigma;6.33994E+017;497
2015-10-11T00:03:00.0000000;Kappa;635,801,185,800,000,000.00000000;290
2016-10-29 00:04:00;Kappa;6.36133E+017;268
05-18-2018 12:03 AM;Kappa;6.366219858E+17;741
2014-10-18 00:03:00;Eta;6.35492E+017;605
06-08-2017 12:04 AM;Tau;6.363247704E+17;72
11-02-2016 12:03 AM;Upsilon;6.361364178E+17;306
2018-06-02 00:01:00;Alpha;636634944600000000;142
2013-07-04 00:03:00;Phi;635084929800000000;125
09-17-2015 12:01 AM;Pi;6.357804486E+17;855
2015-06-23T00:05:00.0000000;Upsilon;635,706,147,000,000,000.00000000;902
01-13-2017 12:03 AM;Chi;6.361986258E+17;67
2013-04-01T00:03:00.0000000;Sigma;635,003,713,800,000,000.00000000;957
2010-04-25 00:03:00;Phi;634077505800000000;933
09-28-2017 12:01 AM;Omega;6.364215366E+17;337
04-17-2011 12:03 AM;Tau;6.343859538E+17;661
2015-07-12T00:02:00.0000000;Omicron;635,722,561,200,000,000.00000000;487
2010-04-27T00:03:00.0000000;Upsilon;634,079,233,800,000,000.00000000;659
2018-10-18T00:03:00.0000000;Kappa;636,754,177,800,000,000.00000000;191
2012-04-21T00:02:00.0000000;Rho;634,705,633,200,000,000.00000000;352
2016-11-30T00:03:00.0000000;Omega;636,160,609,800,000,000.00000000;586
2013-01-22 00:03:00;Rho;634944097800000000;134
09-06-2012 12:04 AM;Iota;6.348248664E+17;262
2014-06-12 00:03:00;Theta;635381281800000000;981
2014-11-07 00:03:00;Omicron;6.35509E+017;864
2016-04-28T00:03:00.0000000;Eta;635,973,985,800,000,000.00000000;934
2015-12-12 00:02:00;Iota;6.35855E+017;381
2012-06-18 00:03:00;Omicron;634755745800000000;636
2014-08-17 00:02:00;Omega;635438305200000000;72
01-18-2017 12:03 AM;Omega;6.362029458E+17;900
2015-03-29 00:01:00;Phi;635631840600000000;82
2017-02-13 00:02:00;Iota;636225409200000000;492
09-20-2013 12:05 AM;Rho;6.35152323E+17;423
2012-02-24 00:01:00;Phi;634656384600000000;786
2011-09-21 00:02:00;Beta;634521601200000000;46
07-03-2010 12:02 AM;Gamma;6.341371212E+17;40
11-18-2017 12:03 AM;Nu;6.364656018E+17;304
09-02-2012 12:04 AM;Alpha;6.348214104E+17;468
09-22-2019 12:03 AM;Phi;6.370470738E+17;765
2010-03-21T00:03:00.0000000;Zeta;634,047,265,800,000,000.00000000;778
2019-12-10T00:04:00.0000000;Zeta;637,115,330,400,000,000.00000000;965
2014-04-03 00:02:00;Xi;6.35321E+017;39
2015-03-13 00:03:00;Delta;6.35618E+017;809
2012-07-09 00:04:00;Chi;6.34774E+017;173
2016-09-16 00:03:00;Pi;636095809800000000;568
2011-12-30 00:03:00;Kappa;634608001800000000;117
11-16-2013 12:02 AM;Epsilon;6.352015692E+17;614
11-14-2018 12:08 AM;Mu;6.367775088E+17;742
11-06-2016 12:04 AM;Phi;6.361398744E+17;646
08-31-2019 12:06 AM;Xi;6.370280676E+17;314
12-18-2014 12:03 AM;Nu;6.355445778E+17;443
2014-12-04 00:04:00;Chi;635532482400000000;710
2016-02-28 00:03:00;Sigma;635922145800000000;360
10-08-2019 12:04 AM;Phi;6.370608984E+17;148
2016-05-05 00:02:00;Iota;6.35980E+017;610
2010-12-21 00:03:00;Beta;634284865800000000;407
2016-01-04 00:05:00;Theta;635874627000000000;71
