TM;Category;unknown;Quantity
2011-03-10T00:01:00.0000000;Sigma;6.34353E+017;325
2015-02-27T00:01:00.0000000;Alpha;6.356059206E+17;210
2012-04-12T00:01:00.0000000;Zeta;6.34698E+017;99
2012-01-24T00:01:00.0000000;Lambda;634,629,600,600,000,000.00000000;178
2016-06-03T00:01:00.0000000;Theta;636,005,088,600,000,000.00000000;417
2015-03-22T00:01:00.0000000;Rho;6.356257926E+17;964
2018-05-06T00:01:00.0000000;Xi;6.366116166E+17;501
2017-04-22T00:01:00.0000000;Omega;636284160600000000;735
2010-03-21T00:01:00.0000000;Chi;634047264600000000;934
2012-02-10T00:01:00.0000000;Sigma;634,644,288,600,000,000.00000000;832
2013-08-05T00:01:00.0000000;Tau;635,112,576,600,000,000.00000000;405
2014-11-26T00:01:00.0000000;Theta;6.35526E+017;959
2019-12-26T00:01:00.0000000;Delta;637129152600000000;653
2014-05-28T00:01:00.0000000;Tau;6.35368E+017;419
2010-12-05T00:01:00.0000000;Xi;634271040600000000;867
2016-08-16T00:01:00.0000000;Alpha;636,069,024,600,000,000.00000000;712
2018-08-07T00:01:00.0000000;Tau;636691968600000000;851
2016-04-11T00:02:00.0000000;Omicron;635959297200000000;409
2010-10-18T00:01:00.0000000;Sigma;6.342295686E+17;530
2014-12-13T00:01:00.0000000;Gamma;6.35540E+017;480
2015-12-15T00:01:00.0000000;Rho;6.358573446E+17;214
2015-08-06T00:01:00.0000000;Gamma;6.35744E+017;414
2010-01-23T00:02:00.0000000;Xi;6.339980172E+17;606
2016-12-04T00:01:00.0000000;Omega;636164064600000000;643
2012-05-13T00:01:00.0000000;Lambda;634724640600000000;907
2018-06-04T00:01:00.0000000;Rho;6.36637E+017;487
2014-07-08T00:01:00.0000000;Omega;6.354037446E+17;764
2014-04-09T00:01:00.0000000;Pi;6.353259846E+17;523
2012-03-26T00:02:00.0000000;Mu;6.346831692E+17;444
2014-09-12T00:01:00.0000000;Mu;635460768600000000;271
2010-09-07T00:01:00.0000000;Xi;634194144600000000;363
2016-05-06T00:01:00.0000000;Mu;6.359808966E+17;973
2014-03-18T00:02:00.0000000;Eta;6.35307E+017;626
2019-08-18T00:01:00.0000000;Kappa;6.370168326E+17;886
2014-02-03T00:02:00.0000000;Rho;635,269,825,200,000,000.00000000;252
2018-10-03T00:01:00.0000000;Beta;636,741,216,600,000,000.00000000;143
2016-03-10T00:01:00.0000000;Omega;6.35932E+017;462
2010-01-09T00:01:00.0000000;Phi;633985920600000000;688
2010-06-08T00:01:00.0000000;Tau;634115520600000000;879
2011-04-28T00:02:00.0000000;Pi;634395457200000000;300
2010-01-26T00:02:00.0000000;Mu;634000609200000000;706
2010-12-08T00:01:00.0000000;Psi;6.34274E+017;447
2017-04-15T00:01:00.0000000;Pi;6.36278E+017;817
2016-06-19T00:01:00.0000000;Pi;636018912600000000;524
2018-07-15T00:01:00.0000000;Theta;6.366720966E+17;131
2017-05-14T00:01:00.0000000;Upsilon;636,303,168,600,000,000.00000000;798
2018-07-04T00:01:00.0000000;Xi;636,662,592,600,000,000.00000000;732
2016-04-14T00:01:00.0000000;Omicron;635961888600000000;285
2014-05-06T00:02:00.0000000;Theta;635349313200000000;251
2017-07-04T00:01:00.0000000;Lambda;636347232600000000;205
2014-10-11T00:02:00.0000000;Pi;635485825200000000;662
2013-03-27T00:01:00.0000000;Lambda;6.349993926E+17;402
2014-03-15T00:01:00.0000000;Tau;635304384600000000;83
2019-10-09T00:02:00.0000000;Theta;6.370617612E+17;593
2016-01-28T00:01:00.0000000;Nu;635,895,360,600,000,000.00000000;819
2011-03-20T00:01:00.0000000;Alpha;634,361,760,600,000,000.00000000;427
2014-07-01T00:03:00.0000000;Omicron;635397697800000000;671
2011-01-03T00:01:00.0000000;Nu;6.342960966E+17;15
2014-01-19T00:01:00.0000000;Beta;635256864600000000;769
2012-05-21T00:01:00.0000000;Eta;6.347315526E+17;881
2019-12-11T00:02:00.0000000;Epsilon;637,116,193,200,000,000.00000000;849
2011-02-13T00:01:00.0000000;Beta;634,331,520,600,000,000.00000000;691
2014-09-22T00:02:00.0000000;Iota;635469409200000000;639
2010-11-20T00:03:00.0000000;Beta;6.34258E+017;502
2011-07-14T00:01:00.0000000;Iota;6.34462E+017;827
2012-05-26T00:01:00.0000000;Chi;634735872600000000;942
2017-04-13T00:01:00.0000000;Sigma;6.36276E+017;939
2017-09-20T00:02:00.0000000;Theta;636414625200000000;907
2012-03-18T00:02:00.0000000;Gamma;634,676,257,200,000,000.00000000;666
2010-04-12T00:01:00.0000000;Eta;634,066,272,600,000,000.00000000;690
2011-04-23T00:01:00.0000000;Omega;634391136600000000;758
2018-05-27T00:02:00.0000000;Alpha;636,629,761,200,000,000.00000000;690
2017-03-14T00:01:00.0000000;Omicron;6.362504646E+17;324
2016-11-08T00:02:00.0000000;Mu;6.361416012E+17;557
2015-12-16T00:01:00.0000000;Beta;6.358582086E+17;91
2018-10-23T00:01:00.0000000;Psi;636758496600000000;13
2011-01-12T00:03:00.0000000;Alpha;6.34304E+017;482
2014-04-13T00:02:00.0000000;Iota;635329441200000000;516
2018-06-11T00:02:00.0000000;Sigma;636642721200000000;26
2011-06-24T00:01:00.0000000;Tau;634444704600000000;958
2012-02-15T00:01:00.0000000;Beta;6.34649E+017;752
2018-08-02T00:02:00.0000000;Omicron;6.366876492E+17;46
2011-02-19T00:02:00.0000000;Zeta;6.34337E+017;688
2010-10-11T00:02:00.0000000;Upsilon;634223521200000000;112
2011-07-29T00:02:00.0000000;Beta;634474945200000000;209
2014-05-31T00:01:00.0000000;Chi;6.353709126E+17;289
2012-05-19T00:01:00.0000000;Beta;6.347298246E+17;859
2013-01-22T00:02:00.0000000;Nu;634944097200000000;447
2013-01-23T00:02:00.0000000;Tau;6.34945E+017;925
2010-11-01T00:01:00.0000000;Gamma;6.34242E+017;166
2018-01-05T00:02:00.0000000;Omicron;636507073200000000;362
2012-07-07T00:01:00.0000000;Eta;634772160600000000;586
2012-08-24T00:01:00.0000000;Iota;634813632600000000;202
2014-09-27T00:01:00.0000000;Rho;635,473,728,600,000,000.00000000;319
2015-02-16T00:02:00.0000000;Rho;635596417200000000;438
2018-07-22T00:04:00.0000000;Omicron;636678146400000000;226
2010-04-25T00:01:00.0000000;Alpha;634077504600000000;212
2014-12-01T00:01:00.0000000;Upsilon;6.355298886E+17;536
2016-06-19T00:01:00.0000000;Nu;636018912600000000;223
2019-07-13T00:01:00.0000000;Omicron;6.369857286E+17;133
2019-12-12T00:02:00.0000000;Epsilon;637117057200000000;28
2011-12-18T00:03:00.0000000;Chi;634597633800000000;263
2010-02-25T00:01:00.0000000;Tau;6.340265286E+17;789
2013-07-23T00:02:00.0000000;Epsilon;635101345200000000;712
2014-04-21T00:01:00.0000000;Iota;635336352600000000;809
2014-09-19T00:02:00.0000000;Phi;6.354668172E+17;370
2017-08-25T00:02:00.0000000;Omicron;636392161200000000;937
2014-07-18T00:02:00.0000000;Rho;635412385200000000;817
2018-12-23T00:04:00.0000000;Eta;6.368112024E+17;130
2015-07-04T00:02:00.0000000;Pi;6.357156492E+17;293
2014-03-07T00:01:00.0000000;Epsilon;6.352974726E+17;734
2014-05-08T00:01:00.0000000;Kappa;635351040600000000;529
2019-07-23T00:02:00.0000000;Zeta;636994369200000000;241
