TM;Category;unknown;Quantity
2014-04-15T00:01:00.0000000;Chi;635331168600000000;677
2010-02-19T00:01:00.0000000;Rho;634021344600000000;252
2016-10-11T00:01:00.0000000;Beta;636117408600000000;171
2017-02-16T00:01:00.0000000;Nu;636228000600000000;154
2012-07-28T00:01:00.0000000;Omega;6.34790E+017;720
2010-07-16T00:01:00.0000000;Rho;6.34148E+017;811
2015-01-23T00:01:00.0000000;Beta;6.355756806E+17;173
2019-08-16T00:01:00.0000000;Mu;6.370151046E+17;895
2011-07-23T00:01:00.0000000;Pi;634469760600000000;778
2017-08-09T00:01:00.0000000;Omega;636378336600000000;621
2018-01-20T00:02:00.0000000;Pi;636,520,033,200,000,000.00000000;103
2013-10-05T00:01:00.0000000;Rho;6.35165E+017;422
2017-07-07T00:02:00.0000000;Omega;636,349,825,200,000,000.00000000;358
2012-05-29T00:02:00.0000000;Gamma;634,738,465,200,000,000.00000000;559
2010-05-13T00:01:00.0000000;Epsilon;634093056600000000;92
2013-02-06T00:01:00.0000000;Theta;634,957,056,600,000,000.00000000;905
2018-03-03T00:01:00.0000000;Xi;636556320600000000;501
2018-02-15T00:01:00.0000000;Omega;6.36542E+017;49
2011-04-12T00:01:00.0000000;Delta;634381632600000000;270
2019-10-10T00:01:00.0000000;Iota;6.370626246E+17;493
2016-07-16T00:01:00.0000000;Alpha;6.36042E+017;676
2010-06-25T00:01:00.0000000;Alpha;634130208600000000;505
2013-11-24T00:02:00.0000000;Upsilon;635208481200000000;768
2012-06-03T00:01:00.0000000;Phi;6.34743E+017;281
2010-07-10T00:02:00.0000000;Omicron;634,143,169,200,000,000.00000000;251
2017-03-10T00:01:00.0000000;Rho;6.362470086E+17;922
2017-08-02T00:01:00.0000000;Alpha;6.363722886E+17;117
2011-02-22T00:01:00.0000000;Tau;6.343392966E+17;720
2015-07-15T00:01:00.0000000;Pi;635,725,152,600,000,000.00000000;405
2012-06-12T00:01:00.0000000;Lambda;634750560600000000;687
2012-03-12T00:01:00.0000000;Omega;6.346710726E+17;328
2015-06-19T00:01:00.0000000;Pi;6.357026886E+17;463
2018-05-25T00:01:00.0000000;Theta;636628032600000000;301
2018-02-26T00:01:00.0000000;Upsilon;636,552,000,600,000,000.00000000;411
2012-10-28T00:01:00.0000000;Phi;6.34870E+017;853
2019-07-17T00:01:00.0000000;Gamma;636989184600000000;449
2012-06-19T00:02:00.0000000;Xi;634756609200000000;939
2016-05-13T00:02:00.0000000;Omicron;635986945200000000;41
2018-11-01T00:01:00.0000000;Zeta;6.367662726E+17;684
2013-12-19T00:01:00.0000000;Beta;6.352300806E+17;58
2019-08-24T00:01:00.0000000;Chi;637,022,016,600,000,000.00000000;804
2013-02-19T00:01:00.0000000;Psi;6.349682886E+17;262
2012-04-14T00:02:00.0000000;Theta;6.346995852E+17;654
2014-03-01T00:02:00.0000000;Upsilon;6.352922892E+17;712
2017-09-09T00:01:00.0000000;Eta;6.364051206E+17;883
2012-02-19T00:01:00.0000000;Iota;6.346520646E+17;842
2018-12-10T00:01:00.0000000;Nu;636799968600000000;9
2015-08-27T00:01:00.0000000;Theta;6.357623046E+17;695
2011-03-23T00:01:00.0000000;Iota;634364352600000000;722
2011-11-05T00:02:00.0000000;Upsilon;6.345604812E+17;545
2018-11-06T00:01:00.0000000;Kappa;636770592600000000;555
2014-06-22T00:01:00.0000000;Alpha;6.353899206E+17;250
2015-01-24T00:02:00.0000000;Theta;6.355765452E+17;235
2018-04-11T00:04:00.0000000;Chi;6.365900184E+17;907
2016-12-06T00:02:00.0000000;Rho;6.36166E+017;437
2017-02-11T00:01:00.0000000;Mu;636,223,680,600,000,000.00000000;915
2018-03-09T00:03:00.0000000;Epsilon;6.365615058E+17;186
2018-04-29T00:01:00.0000000;Omega;6.36606E+017;340
2011-04-16T00:04:00.0000000;Chi;6.343850904E+17;674
2012-08-29T00:02:00.0000000;Sigma;634817953200000000;649
2013-01-31T00:01:00.0000000;Tau;6.349518726E+17;193
2019-12-16T00:02:00.0000000;Omicron;6.37121E+017;389
2016-03-19T00:02:00.0000000;Sigma;635939425200000000;24
2017-06-08T00:01:00.0000000;Sigma;6.36325E+017;669
2012-04-15T00:02:00.0000000;Iota;6.347004492E+17;260
2012-10-21T00:02:00.0000000;Beta;634,863,745,200,000,000.00000000;68
2011-09-25T00:01:00.0000000;Omega;6.34525E+017;297
2019-07-22T00:03:00.0000000;Beta;636993505800000000;849
2019-08-08T00:03:00.0000000;Beta;637008193800000000;384
2014-12-05T00:03:00.0000000;Kappa;635533345800000000;115
2016-02-22T00:01:00.0000000;Upsilon;6.35917E+017;318
2015-03-25T00:01:00.0000000;Lambda;635628384600000000;846
2017-10-10T00:02:00.0000000;Gamma;6.36432E+017;886
2017-05-01T00:01:00.0000000;Eta;6.36292E+017;313
2018-03-09T00:01:00.0000000;Xi;6.365615046E+17;237
2012-03-29T00:04:00.0000000;Upsilon;634685762400000000;534
2013-11-28T00:01:00.0000000;Mu;6.35212E+017;374
2010-06-25T00:03:00.0000000;Epsilon;634130209800000000;907
2019-10-14T00:03:00.0000000;Pi;637066081800000000;109
2018-11-05T00:01:00.0000000;Chi;636769728600000000;115
2019-10-16T00:03:00.0000000;Rho;637,067,809,800,000,000.00000000;685
2011-01-08T00:03:00.0000000;Sigma;634300417800000000;865
2019-08-21T00:01:00.0000000;Pi;637019424600000000;809
2017-06-19T00:01:00.0000000;Gamma;636,334,272,600,000,000.00000000;216
2010-03-17T00:01:00.0000000;Gamma;6.340438086E+17;764
2010-12-11T00:02:00.0000000;Delta;6.342762252E+17;820
2012-12-22T00:03:00.0000000;Theta;6.349173138E+17;177
2019-08-07T00:03:00.0000000;Chi;637007329800000000;236
2012-12-20T00:02:00.0000000;Chi;6.34916E+017;414
2013-05-24T00:01:00.0000000;Omega;635049504600000000;502
2011-02-17T00:02:00.0000000;Eta;6.34335E+017;365
2018-11-06T00:03:00.0000000;Kappa;636,770,593,800,000,000.00000000;794
2017-10-12T00:02:00.0000000;Kappa;6.36434E+017;496
2014-10-28T00:01:00.0000000;Upsilon;6.355005126E+17;839
2010-10-02T00:02:00.0000000;Lambda;6.342157452E+17;116
2018-09-22T00:01:00.0000000;Sigma;6.36732E+017;515
