TM;Category;unknown;Quantity
2016-08-02T00:01:00.0000000;Delta;6.36057E+017;557
2012-05-06T00:01:00.0000000;Sigma;6.347185926E+17;345
2019-09-02T00:01:00.0000000;Beta;6.370297926E+17;528
2013-07-16T00:01:00.0000000;Xi;635095296600000000;790
2017-01-22T00:01:00.0000000;Upsilon;636206400600000000;661
2017-04-03T00:01:00.0000000;Kappa;636267744600000000;448
2016-01-22T00:01:00.0000000;Pi;6.358901766E+17;4
2011-05-24T00:01:00.0000000;Chi;6.344179206E+17;679
2019-08-27T00:01:00.0000000;Chi;637024608600000000;287
2019-12-03T00:01:00.0000000;Rho;6.371092806E+17;896
2012-03-11T00:01:00.0000000;Gamma;6.346702086E+17;672
2016-05-30T00:02:00.0000000;Epsilon;636001633200000000;805
2014-05-15T00:01:00.0000000;Theta;6.353570886E+17;491
2010-06-11T00:01:00.0000000;Nu;6.34118E+017;942
2013-05-24T00:01:00.0000000;Kappa;635049504600000000;387
2010-05-05T00:01:00.0000000;Mu;6.34086E+017;607
2019-04-15T00:01:00.0000000;Gamma;6.369088326E+17;21
2017-04-30T00:01:00.0000000;Delta;636291072600000000;694
2012-10-21T00:01:00.0000000;Beta;634,863,744,600,000,000.00000000;774
2018-07-11T00:01:00.0000000;Nu;6.36669E+017;795
2014-04-20T00:01:00.0000000;Sigma;635335488600000000;776
2018-01-21T00:01:00.0000000;Pi;636,520,896,600,000,000.00000000;216
2018-11-13T00:01:00.0000000;Psi;6.36777E+017;916
2010-02-21T00:02:00.0000000;Theta;6.34023E+017;616
2012-12-15T00:03:00.0000000;Epsilon;634911265800000000;941
2015-08-16T00:01:00.0000000;Upsilon;635752800600000000;631
2013-06-22T00:02:00.0000000;Psi;6.350745612E+17;561
2012-03-03T00:02:00.0000000;Kappa;634663297200000000;246
2010-03-29T00:01:00.0000000;Gamma;6.34054E+017;170
2012-11-25T00:01:00.0000000;Eta;634,893,984,600,000,000.00000000;670
2011-11-18T00:01:00.0000000;Tau;6.34572E+017;750
2015-11-25T00:02:00.0000000;Mu;6.358400652E+17;425
2017-02-14T00:01:00.0000000;Lambda;636226272600000000;549
2019-01-13T00:02:00.0000000;Sigma;6.368293452E+17;277
2012-10-27T00:01:00.0000000;Pi;6.34869E+017;369
2014-10-20T00:01:00.0000000;Eta;6.35494E+017;159
2014-03-02T00:02:00.0000000;Upsilon;6.352931532E+17;29
2012-05-29T00:02:00.0000000;Iota;634,738,465,200,000,000.00000000;867
2013-04-24T00:01:00.0000000;Rho;635023584600000000;442
2011-09-22T00:01:00.0000000;Epsilon;634522464600000000;289
2016-03-11T00:02:00.0000000;Omicron;6.35933E+017;773
2012-03-31T00:02:00.0000000;Delta;634687489200000000;914
2012-01-26T00:02:00.0000000;Nu;634631329200000000;904
2016-11-30T00:02:00.0000000;Beta;636,160,609,200,000,000.00000000;344
2016-05-29T00:02:00.0000000;Nu;6.360007692E+17;898
2018-10-15T00:01:00.0000000;Sigma;6.367515846E+17;916
2019-10-27T00:01:00.0000000;Phi;6.370773126E+17;20
2014-03-17T00:01:00.0000000;Omicron;6.35306E+017;151
2012-10-28T00:01:00.0000000;Lambda;6.34870E+017;818
2013-03-07T00:03:00.0000000;Rho;6.349821138E+17;334
2014-06-22T00:02:00.0000000;Iota;6.353899212E+17;365
2014-09-09T00:01:00.0000000;Iota;635,458,176,600,000,000.00000000;3
2018-01-31T00:02:00.0000000;Epsilon;6.365295372E+17;425
2018-03-28T00:02:00.0000000;Nu;6.365779212E+17;413
2019-12-19T00:02:00.0000000;Nu;6.371231052E+17;542
2010-03-25T00:01:00.0000000;Beta;634,050,720,600,000,000.00000000;627
2019-04-29T00:01:00.0000000;Beta;6.369209286E+17;74
2012-03-03T00:02:00.0000000;Beta;634663297200000000;173
2017-03-16T00:01:00.0000000;Nu;636252192600000000;166
2014-09-26T00:02:00.0000000;Phi;635,472,865,200,000,000.00000000;865
2016-04-02T00:01:00.0000000;Gamma;6.359515206E+17;397
2019-03-02T00:01:00.0000000;Eta;6.36871E+017;227
2012-10-14T00:01:00.0000000;Beta;6.348576966E+17;124
2012-06-29T00:01:00.0000000;Pi;6.347652486E+17;254
2017-05-14T00:02:00.0000000;Omega;636,303,169,200,000,000.00000000;444
2011-04-17T00:02:00.0000000;Tau;6.343859532E+17;310
2019-01-03T00:01:00.0000000;Upsilon;636820704600000000;211
2015-11-03T00:01:00.0000000;Omicron;635821056600000000;413
2016-12-29T00:02:00.0000000;Eta;6.361856652E+17;52
2013-12-23T00:01:00.0000000;Theta;6.352335366E+17;336
2013-12-15T00:02:00.0000000;Rho;6.35227E+017;332
2013-11-10T00:02:00.0000000;Psi;6.35196E+017;322
2012-08-31T00:01:00.0000000;Chi;634819680600000000;134
2013-04-22T00:02:00.0000000;Lambda;635021857200000000;2
2018-03-25T00:01:00.0000000;Psi;6.36575E+017;822
2018-08-13T00:01:00.0000000;Upsilon;636697152600000000;644
2014-10-26T00:01:00.0000000;Beta;6.354987846E+17;319
2015-10-06T00:01:00.0000000;Alpha;6.357968646E+17;178
2011-10-10T00:02:00.0000000;Nu;634538017200000000;112
2017-10-13T00:02:00.0000000;Psi;6.364344972E+17;690
2013-03-07T00:01:00.0000000;Kappa;6.349821126E+17;424
2014-02-19T00:03:00.0000000;Mu;635,283,649,800,000,000.00000000;189
2017-03-09T00:02:00.0000000;Lambda;6.362461452E+17;782
2015-06-13T00:01:00.0000000;Iota;6.35698E+017;993
2010-09-27T00:03:00.0000000;Xi;6.34211E+017;383
2013-11-02T00:02:00.0000000;Tau;635189473200000000;502
2017-11-29T00:01:00.0000000;Omega;636,475,104,600,000,000.00000000;60
2015-07-05T00:01:00.0000000;Epsilon;6.357165126E+17;477
2014-06-10T00:01:00.0000000;Omega;635,379,552,600,000,000.00000000;339
2013-01-27T00:01:00.0000000;Iota;6.349484166E+17;700
2016-01-07T00:02:00.0000000;Alpha;635877217200000000;971
2010-10-21T00:01:00.0000000;Gamma;6.342321606E+17;701
2013-09-24T00:01:00.0000000;Alpha;6.351557766E+17;879
2010-09-24T00:01:00.0000000;Gamma;634208832600000000;142
2019-06-26T00:02:00.0000000;Omicron;636971041200000000;724
2011-01-03T00:01:00.0000000;Zeta;6.342960966E+17;110
2014-01-24T00:01:00.0000000;Omicron;6.35261E+017;258
2011-08-11T00:02:00.0000000;Delta;634,486,177,200,000,000.00000000;182
2012-02-16T00:02:00.0000000;Upsilon;6.34649E+017;563
2010-07-01T00:02:00.0000000;Psi;6.341353932E+17;264
2010-07-04T00:02:00.0000000;Eta;6.341379852E+17;250
