TM;Category;unknown;Quantity
2016-02-11T00:01:00.0000000;Mu;6.359074566E+17;272
2011-09-07T00:01:00.0000000;Omicron;6.34510E+017;12
2019-02-04T00:01:00.0000000;Chi;636848352600000000;792
2012-04-12T00:01:00.0000000;Tau;6.34698E+017;43
2018-08-24T00:01:00.0000000;Upsilon;636706656600000000;516
2013-05-01T00:01:00.0000000;Mu;6.350296326E+17;341
2015-03-30T00:01:00.0000000;Phi;635632704600000000;392
2014-08-17T00:01:00.0000000;Zeta;6.354383046E+17;594
2016-03-09T00:01:00.0000000;Delta;635930784600000000;504
2015-10-11T00:01:00.0000000;Alpha;635,801,184,600,000,000.00000000;392
2013-12-19T00:01:00.0000000;Xi;6.352300806E+17;517
2012-11-09T00:01:00.0000000;Phi;634,880,160,600,000,000.00000000;737
2011-08-20T00:01:00.0000000;Xi;6.34494E+017;621
2011-05-19T00:01:00.0000000;Zeta;634413600600000000;528
2010-11-10T00:02:00.0000000;Phi;634249441200000000;235
2019-08-18T00:01:00.0000000;Eta;6.370168326E+17;737
2018-04-09T00:02:00.0000000;Alpha;6.36588E+017;353
2018-03-31T00:01:00.0000000;Xi;6.365805126E+17;57
2018-03-30T00:01:00.0000000;Chi;6.365796486E+17;91
2013-09-03T00:02:00.0000000;Omega;6.351376332E+17;30
2014-03-02T00:01:00.0000000;Tau;6.352931526E+17;192
2010-06-28T00:01:00.0000000;Nu;6.34133E+017;964
2015-09-20T00:01:00.0000000;Sigma;635783040600000000;674
2015-10-06T00:01:00.0000000;Theta;6.357968646E+17;458
2012-05-26T00:02:00.0000000;Gamma;634735873200000000;581
2017-07-02T00:01:00.0000000;Mu;6.363455046E+17;507
2017-08-08T00:02:00.0000000;Omicron;636377473200000000;109
2016-02-10T00:01:00.0000000;Mu;6.359065926E+17;738
2011-01-30T00:01:00.0000000;Beta;634319424600000000;455
2017-01-17T00:01:00.0000000;Upsilon;6.362020806E+17;222
2012-03-29T00:01:00.0000000;Tau;6.346857606E+17;146
2016-10-08T00:02:00.0000000;Rho;636,114,817,200,000,000.00000000;422
2010-06-05T00:01:00.0000000;Psi;634,112,928,600,000,000.00000000;450
2018-05-22T00:01:00.0000000;Mu;6.366254406E+17;422
2013-05-05T00:01:00.0000000;Theta;635033088600000000;742
2010-06-02T00:02:00.0000000;Chi;634110337200000000;434
2017-10-11T00:03:00.0000000;Alpha;6.36433E+017;307
2012-05-15T00:01:00.0000000;Lambda;634726368600000000;329
2013-01-19T00:02:00.0000000;Theta;634,941,505,200,000,000.00000000;771
2011-03-23T00:02:00.0000000;Kappa;634364353200000000;64
2019-04-27T00:01:00.0000000;Upsilon;6.36919E+017;336
2013-08-21T00:02:00.0000000;Epsilon;635126401200000000;996
2018-04-30T00:01:00.0000000;Theta;6.36606E+017;890
2017-02-24T00:01:00.0000000;Eta;6.362349126E+17;476
2014-09-12T00:02:00.0000000;Alpha;635460769200000000;235
2017-03-26T00:02:00.0000000;Tau;6.36261E+017;811
2019-03-07T00:02:00.0000000;Nu;6.368751372E+17;799
2019-04-12T00:02:00.0000000;Theta;6.369062412E+17;693
2014-03-31T00:02:00.0000000;Psi;635318209200000000;647
2010-03-02T00:01:00.0000000;Pi;634030848600000000;668
2010-08-02T00:02:00.0000000;Phi;6.34163E+017;844
2015-08-10T00:02:00.0000000;Phi;6.357476172E+17;150
2012-12-31T00:02:00.0000000;Psi;634,925,089,200,000,000.00000000;576
2017-04-16T00:01:00.0000000;Epsilon;6.362789766E+17;440
2015-05-08T00:01:00.0000000;Zeta;6.35666E+017;925
2018-07-23T00:01:00.0000000;Kappa;636,679,008,600,000,000.00000000;177
2013-03-12T00:02:00.0000000;Alpha;634986433200000000;580
2017-07-29T00:01:00.0000000;Alpha;636368832600000000;362
2011-10-28T00:01:00.0000000;Gamma;634553568600000000;105
2016-09-29T00:03:00.0000000;Mu;6.361070418E+17;363
2015-10-02T00:01:00.0000000;Phi;6.357934086E+17;140
2011-12-22T00:02:00.0000000;Gamma;6.34601E+017;515
2019-02-20T00:01:00.0000000;Theta;6.368621766E+17;794
2018-10-11T00:02:00.0000000;Psi;6.367481292E+17;714
2013-10-13T00:02:00.0000000;Tau;635172193200000000;585
2014-10-20T00:02:00.0000000;Sigma;6.35494E+017;253
2011-03-22T00:02:00.0000000;Omega;634363489200000000;77
2013-07-19T00:02:00.0000000;Beta;635,097,889,200,000,000.00000000;201
2016-01-14T00:02:00.0000000;Gamma;635883265200000000;430
2011-06-11T00:02:00.0000000;Alpha;6.344334732E+17;514
2010-04-02T00:02:00.0000000;Beta;6.340576332E+17;868
2013-10-27T00:03:00.0000000;Kappa;6.351842898E+17;747
2016-10-06T00:02:00.0000000;Psi;636113089200000000;56
2017-10-01T00:01:00.0000000;Gamma;6.364241286E+17;750
2010-10-09T00:01:00.0000000;Iota;634,221,792,600,000,000.00000000;405
2019-01-17T00:03:00.0000000;Mu;636,832,801,800,000,000.00000000;892
2017-04-03T00:01:00.0000000;Xi;636267744600000000;640
2016-08-02T00:02:00.0000000;Psi;6.36057E+017;492
2012-03-29T00:02:00.0000000;Iota;6.346857612E+17;295
2019-09-20T00:02:00.0000000;Omega;6.370453452E+17;710
2016-07-03T00:02:00.0000000;Pi;6.360310092E+17;765
2013-06-11T00:01:00.0000000;Theta;635065056600000000;192
2018-12-13T00:03:00.0000000;Alpha;636,802,561,800,000,000.00000000;462
2017-11-22T00:02:00.0000000;Pi;6.364690572E+17;710
2017-03-29T00:01:00.0000000;Rho;6.362634246E+17;978
2018-01-29T00:02:00.0000000;Xi;6.365278092E+17;981
2013-02-23T00:02:00.0000000;Lambda;634,971,745,200,000,000.00000000;558
2018-02-17T00:02:00.0000000;Lambda;6.365442252E+17;744
2011-01-12T00:01:00.0000000;Beta;634303872600000000;186
2015-01-29T00:02:00.0000000;Kappa;635580865200000000;531
2018-02-14T00:02:00.0000000;Zeta;6.36542E+017;335
2018-03-08T00:01:00.0000000;Rho;6.365606406E+17;230
2018-05-21T00:02:00.0000000;Zeta;6.366245772E+17;967
2019-07-12T00:02:00.0000000;Eta;6.369848652E+17;135
2017-01-02T00:01:00.0000000;Rho;6.361891206E+17;765
2016-04-13T00:02:00.0000000;Epsilon;635961025200000000;995
2011-12-10T00:02:00.0000000;Tau;6.345907212E+17;508
2013-09-18T00:01:00.0000000;Chi;6.35151E+017;401
2018-01-16T00:01:00.0000000;Alpha;6.365165766E+17;743
2013-08-23T00:02:00.0000000;Psi;635,128,129,200,000,000.00000000;874
2016-07-14T00:02:00.0000000;Nu;6.36041E+017;75
2010-11-03T00:03:00.0000000;Sigma;6.342433938E+17;229
2013-11-10T00:01:00.0000000;Sigma;6.35196E+017;180
2017-01-12T00:03:00.0000000;Tau;6.36198E+017;774
2015-07-26T00:01:00.0000000;Eta;6.357346566E+17;994
2016-05-15T00:02:00.0000000;Theta;635,988,673,200,000,000.00000000;36
