TM;Category;unknown;Quantity
2015-03-18T00:01:00.0000000;Sigma;6.356223366E+17;150
2019-05-28T00:01:00.0000000;Delta;636945984600000000;406
2012-10-23T00:01:00.0000000;Lambda;634865472600000000;264
2018-08-31T00:01:00.0000000;Pi;636712704600000000;351
2012-07-17T00:01:00.0000000;Theta;6.347808006E+17;645
2017-09-19T00:01:00.0000000;Gamma;636413760600000000;846
2013-10-10T00:01:00.0000000;Alpha;6.351696006E+17;735
2012-06-24T00:01:00.0000000;Omega;6.347609286E+17;732
2014-11-07T00:01:00.0000000;Rho;6.35509E+017;761
2014-11-13T00:01:00.0000000;Epsilon;6.355143366E+17;930
2014-04-20T00:02:00.0000000;Rho;635335489200000000;129
2019-06-06T00:02:00.0000000;Tau;6.369537612E+17;434
2017-08-08T00:01:00.0000000;Phi;636377472600000000;418
2019-08-28T00:01:00.0000000;Zeta;637025472600000000;461
2016-12-05T00:01:00.0000000;Psi;636164928600000000;699
2014-05-18T00:01:00.0000000;Omega;6.353596806E+17;802
2015-07-23T00:01:00.0000000;Gamma;6.357320646E+17;978
2017-01-08T00:01:00.0000000;Gamma;636,194,304,600,000,000.00000000;823
2012-06-06T00:01:00.0000000;Upsilon;6.347453766E+17;295
2013-09-22T00:01:00.0000000;Epsilon;6.351540486E+17;266
2018-12-25T00:01:00.0000000;Beta;6.368129286E+17;454
2014-09-14T00:01:00.0000000;Xi;6.35462E+017;819
2011-02-02T00:01:00.0000000;Epsilon;6.34322E+017;15
2015-09-05T00:01:00.0000000;Omicron;635,770,080,600,000,000.00000000;77
2019-09-05T00:01:00.0000000;Zeta;6.370323846E+17;96
2017-03-31T00:01:00.0000000;Mu;6.362651526E+17;634
2019-10-02T00:01:00.0000000;Iota;637055712600000000;211
2018-11-17T00:01:00.0000000;Omicron;6.367800966E+17;948
2019-08-09T00:02:00.0000000;Tau;637009057200000000;592
2016-12-10T00:01:00.0000000;Theta;6.361692486E+17;597
2017-07-17T00:02:00.0000000;Upsilon;6.363584652E+17;63
2018-11-13T00:02:00.0000000;Iota;6.36777E+017;743
2016-03-04T00:01:00.0000000;Gamma;635,926,464,600,000,000.00000000;574
2017-01-11T00:01:00.0000000;Upsilon;636196896600000000;227
2011-04-29T00:02:00.0000000;Xi;634396321200000000;988
2017-11-16T00:02:00.0000000;Pi;6.36464E+017;802
2015-02-07T00:01:00.0000000;Iota;6.35589E+017;332
2013-05-27T00:01:00.0000000;Tau;635,052,096,600,000,000.00000000;615
2015-08-05T00:01:00.0000000;Mu;635743296600000000;724
2018-07-11T00:02:00.0000000;Nu;6.366686412E+17;852
2016-10-28T00:01:00.0000000;Epsilon;636132096600000000;390
