TM;Category;unknown;Quantity
2013-03-24T00:01:00.0000000;Omicron;6.349968006E+17;527
2017-07-10T00:01:00.0000000;Sigma;636352416600000000;373
2019-05-08T00:01:00.0000000;Sigma;636,928,704,600,000,000.00000000;647
2010-07-04T00:01:00.0000000;Gamma;6.341379846E+17;720
2013-02-19T00:01:00.0000000;Delta;6.349682886E+17;89
2017-12-19T00:01:00.0000000;Upsilon;636492384600000000;620
2018-02-06T00:01:00.0000000;Gamma;636534720600000000;232
2017-07-17T00:01:00.0000000;Delta;6.363584646E+17;798
2017-03-18T00:01:00.0000000;Beta;636253920600000000;456
2012-01-20T00:01:00.0000000;Omega;634626144600000000;860
2017-11-28T00:01:00.0000000;Nu;636,474,240,600,000,000.00000000;817
2014-06-04T00:01:00.0000000;Xi;6.353743686E+17;575
2012-01-04T00:01:00.0000000;Omicron;634,612,320,600,000,000.00000000;76
2011-05-10T00:02:00.0000000;Phi;634405825200000000;127
2019-12-24T00:01:00.0000000;Pi;6.371274246E+17;549
2015-07-22T00:01:00.0000000;Iota;6.357312006E+17;586
2017-01-01T00:01:00.0000000;Theta;6.361882566E+17;413
2010-03-15T00:01:00.0000000;Beta;6.340420806E+17;717
2013-05-31T00:02:00.0000000;Tau;6.35056E+017;309
2014-04-17T00:02:00.0000000;Mu;635,332,897,200,000,000.00000000;866
2011-09-18T00:01:00.0000000;Alpha;634,519,008,600,000,000.00000000;53
2012-08-06T00:01:00.0000000;Lambda;634798080600000000;170
2015-08-12T00:01:00.0000000;Chi;6.357493446E+17;404
2013-01-03T00:01:00.0000000;Omicron;634927680600000000;787
2017-09-24T00:01:00.0000000;Alpha;6.36418E+017;874
2011-04-23T00:02:00.0000000;Kappa;634391137200000000;10
2016-09-13T00:01:00.0000000;Psi;6.360932166E+17;954
2018-03-07T00:01:00.0000000;Rho;6.365597766E+17;209
2019-06-03T00:01:00.0000000;Xi;6.369511686E+17;891
2017-02-11T00:01:00.0000000;Gamma;636,223,680,600,000,000.00000000;252
2010-04-19T00:01:00.0000000;Omega;6.340723206E+17;745
2011-02-27T00:01:00.0000000;Gamma;634343616600000000;817
2012-07-23T00:02:00.0000000;Kappa;634785985200000000;801
2017-06-14T00:02:00.0000000;Xi;636329953200000000;287
2014-04-12T00:01:00.0000000;Zeta;6.353285766E+17;489
2015-08-01T00:01:00.0000000;Iota;635,739,840,600,000,000.00000000;136
2012-03-24T00:01:00.0000000;Psi;6.34681E+017;9
2013-07-20T00:01:00.0000000;Eta;635,098,752,600,000,000.00000000;48
2010-10-24T00:02:00.0000000;Kappa;634234753200000000;899
2019-07-12T00:01:00.0000000;Phi;6.369848646E+17;101
2016-10-28T00:01:00.0000000;Iota;636132096600000000;96
2010-10-04T00:01:00.0000000;Epsilon;6.342174726E+17;704
2013-12-22T00:01:00.0000000;Rho;6.352326726E+17;352
2012-12-23T00:02:00.0000000;Omicron;6.349181772E+17;11
2014-09-09T00:02:00.0000000;Lambda;635,458,177,200,000,000.00000000;342
2013-03-13T00:01:00.0000000;Tau;634987296600000000;666
2015-06-25T00:01:00.0000000;Upsilon;635,707,872,600,000,000.00000000;549
2019-03-09T00:02:00.0000000;Omega;6.368768652E+17;54
2019-06-16T00:03:00.0000000;Gamma;636962401800000000;971
2012-12-17T00:01:00.0000000;Gamma;634912992600000000;819
2013-04-17T00:02:00.0000000;Sigma;635017537200000000;499
2012-08-23T00:02:00.0000000;Beta;634812769200000000;386
2016-06-01T00:01:00.0000000;Xi;636003360600000000;29
2017-09-29T00:01:00.0000000;Kappa;6.364224006E+17;118
2015-06-21T00:01:00.0000000;Eta;6.357044166E+17;604
2010-06-07T00:01:00.0000000;Phi;634114656600000000;964
2013-02-05T00:02:00.0000000;Nu;634,956,193,200,000,000.00000000;286
2016-05-01T00:01:00.0000000;Sigma;635976576600000000;888
2018-04-23T00:01:00.0000000;Nu;636,600,384,600,000,000.00000000;269
2016-02-16T00:02:00.0000000;Epsilon;635,911,777,200,000,000.00000000;296
2014-06-22T00:03:00.0000000;Upsilon;6.353899218E+17;919
2016-11-12T00:02:00.0000000;Pi;636,145,057,200,000,000.00000000;671
2019-10-05T00:01:00.0000000;Theta;6.37058E+017;498
2010-10-14T00:01:00.0000000;Eta;6.34226E+017;391
2017-05-18T00:03:00.0000000;Delta;6.36307E+017;591
2016-03-10T00:02:00.0000000;Alpha;6.35932E+017;636
2011-06-04T00:04:00.0000000;Tau;6.34427E+017;626
2012-04-04T00:02:00.0000000;Zeta;634,690,945,200,000,000.00000000;686
2010-11-29T00:02:00.0000000;Xi;634265857200000000;203
2011-01-27T00:03:00.0000000;Iota;634316833800000000;833
2015-01-12T00:02:00.0000000;Psi;635,566,177,200,000,000.00000000;653
2011-01-21T00:02:00.0000000;Nu;634311649200000000;696
2011-09-21T00:01:00.0000000;Omega;634521600600000000;219
2016-10-26T00:02:00.0000000;Mu;636,130,369,200,000,000.00000000;756
2010-10-13T00:01:00.0000000;Beta;634225248600000000;436
2017-12-22T00:01:00.0000000;Iota;6.36495E+017;184
2018-11-02T00:01:00.0000000;Xi;6.367671366E+17;513
2011-08-26T00:01:00.0000000;Chi;6.344991366E+17;648
2015-11-27T00:01:00.0000000;Eta;6.358417926E+17;530
2012-10-01T00:01:00.0000000;Phi;634846464600000000;189
2012-02-22T00:02:00.0000000;Delta;6.346546572E+17;762
2010-07-14T00:02:00.0000000;Beta;634146625200000000;872
2011-10-06T00:03:00.0000000;Tau;634,534,561,800,000,000.00000000;765
