TM;Category;unknown;Quantity
2014-01-05T00:01:00.0000000;Pi;6.35245E+017;950
2014-02-19T00:01:00.0000000;Alpha;635283648600000000;415
2015-08-01T00:01:00.0000000;Alpha;635,739,840,600,000,000.00000000;525
2017-11-12T00:01:00.0000000;Nu;636,460,416,600,000,000.00000000;248
2015-11-03T00:01:00.0000000;Eta;635821056600000000;948
2011-01-02T00:01:00.0000000;Pi;6.342952326E+17;532
2015-03-28T00:01:00.0000000;Mu;635,630,976,600,000,000.00000000;227
2014-02-23T00:01:00.0000000;Theta;635,287,104,600,000,000.00000000;321
2013-08-19T00:01:00.0000000;Phi;6.351246726E+17;951
2010-07-11T00:01:00.0000000;Psi;634,144,032,600,000,000.00000000;92
2013-12-29T00:01:00.0000000;Phi;635,238,720,600,000,000.00000000;770
2017-03-05T00:01:00.0000000;Lambda;636242688600000000;792
2015-12-10T00:01:00.0000000;Sigma;635853024600000000;71
2019-03-01T00:01:00.0000000;Lambda;636869952600000000;303
2015-09-27T00:01:00.0000000;Omega;635789088600000000;36
2018-07-25T00:01:00.0000000;Upsilon;636680736600000000;666
2019-07-18T00:01:00.0000000;Alpha;636,990,048,600,000,000.00000000;132
2012-07-01T00:02:00.0000000;Delta;634766977200000000;648
2010-07-24T00:01:00.0000000;Chi;6.341552646E+17;546
2010-05-22T00:01:00.0000000;Theta;634100832600000000;315
2019-03-22T00:01:00.0000000;Tau;6.36888E+017;232
2011-06-22T00:01:00.0000000;Omicron;634442976600000000;863
2010-02-24T00:01:00.0000000;Iota;6.340256646E+17;184
2010-10-29T00:02:00.0000000;Zeta;634239073200000000;349
2011-03-06T00:01:00.0000000;Sigma;634349664600000000;659
2014-05-10T00:01:00.0000000;Psi;6.35353E+017;438
2017-12-05T00:01:00.0000000;Psi;6.36480E+017;816
2017-12-07T00:01:00.0000000;Psi;6.364820166E+17;438
2018-10-04T00:01:00.0000000;Kappa;636,742,080,600,000,000.00000000;542
2016-04-25T00:03:00.0000000;Rho;635971393800000000;428
2013-01-08T00:02:00.0000000;Chi;6.349320012E+17;125
2011-12-05T00:01:00.0000000;Beta;6.34586E+017;113
2011-03-17T00:01:00.0000000;Chi;634359168600000000;505
2013-05-31T00:02:00.0000000;Iota;6.35056E+017;871
2017-04-07T00:01:00.0000000;Beta;636,271,200,600,000,000.00000000;17
2019-01-05T00:02:00.0000000;Gamma;6.36822E+017;507
2018-06-21T00:02:00.0000000;Zeta;6.36651E+017;643
2015-09-23T00:01:00.0000000;Chi;635,785,632,600,000,000.00000000;599
2017-10-09T00:01:00.0000000;Eta;636431040600000000;617
2017-10-22T00:02:00.0000000;Chi;636,442,273,200,000,000.00000000;292
2018-01-06T00:01:00.0000000;Iota;636507936600000000;27
2019-06-11T00:01:00.0000000;Omega;636958080600000000;732
2013-12-20T00:01:00.0000000;Epsilon;6.352309446E+17;391
2018-07-11T00:02:00.0000000;Tau;6.366686412E+17;447
2014-10-19T00:01:00.0000000;Theta;635492736600000000;560
2015-01-31T00:01:00.0000000;Theta;635,582,592,600,000,000.00000000;448
2018-03-01T00:01:00.0000000;Omicron;636554592600000000;412
2011-12-19T00:01:00.0000000;Omicron;634,598,496,600,000,000.00000000;290
2014-12-16T00:02:00.0000000;Chi;6.355428492E+17;90
2018-01-26T00:01:00.0000000;Alpha;636525216600000000;4
2013-08-18T00:01:00.0000000;Delta;6.351238086E+17;412
2010-07-03T00:02:00.0000000;Upsilon;6.341371212E+17;775
2013-08-21T00:02:00.0000000;Chi;635126401200000000;343
2015-07-07T00:02:00.0000000;Tau;6.357182412E+17;248
2012-12-14T00:02:00.0000000;Rho;634,910,401,200,000,000.00000000;458
2019-09-26T00:01:00.0000000;Xi;637050528600000000;158
2013-06-14T00:01:00.0000000;Phi;635,067,648,600,000,000.00000000;596
2015-06-22T00:03:00.0000000;Rho;635705281800000000;962
2014-02-11T00:01:00.0000000;Nu;6.35277E+017;23
2017-05-10T00:02:00.0000000;Tau;636299713200000000;864
2010-02-03T00:02:00.0000000;Upsilon;6.34008E+017;708
2015-03-08T00:01:00.0000000;Mu;635,613,696,600,000,000.00000000;789
2012-10-03T00:02:00.0000000;Omicron;634,848,193,200,000,000.00000000;191
