TM;Category;unknown;Quantity
2017-08-28T00:01:00.0000000;Sigma;636394752600000000;441
2010-10-17T00:01:00.0000000;Gamma;6.342287046E+17;91
2017-11-12T00:01:00.0000000;Theta;636,460,416,600,000,000.00000000;584
2015-06-29T00:01:00.0000000;Eta;635711328600000000;807
2014-12-22T00:01:00.0000000;Upsilon;635548032600000000;805
2012-02-04T00:01:00.0000000;Kappa;6.346391046E+17;536
2014-06-21T00:01:00.0000000;Sigma;6.353890566E+17;985
2017-06-29T00:01:00.0000000;Chi;6.363429126E+17;221
2019-06-09T00:01:00.0000000;Omega;636956352600000000;627
2016-01-08T00:01:00.0000000;Nu;635878080600000000;130
2019-05-12T00:01:00.0000000;Sigma;636932160600000000;822
2014-06-04T00:01:00.0000000;Omicron;6.353743686E+17;701
2015-11-10T00:01:00.0000000;Nu;6.358271046E+17;121
2017-02-05T00:01:00.0000000;Upsilon;6.362184966E+17;766
2018-01-01T00:01:00.0000000;Omega;636503616600000000;152
2012-08-23T00:01:00.0000000;Xi;634812768600000000;87
2013-12-06T00:02:00.0000000;Phi;635218849200000000;725
2016-05-27T00:02:00.0000000;Nu;6.359990412E+17;311
2015-09-21T00:01:00.0000000;Gamma;635783904600000000;890
2015-06-18T00:02:00.0000000;Psi;6.357018252E+17;807
2015-12-08T00:01:00.0000000;Gamma;635851296600000000;975
2013-10-04T00:02:00.0000000;Xi;6.35164E+017;624
2011-10-02T00:02:00.0000000;Lambda;634531105200000000;456
2014-03-16T00:01:00.0000000;Rho;635305248600000000;293
2011-10-25T00:01:00.0000000;Rho;634,550,976,600,000,000.00000000;78
2012-07-16T00:02:00.0000000;Omicron;6.347799372E+17;348
2016-11-02T00:01:00.0000000;Upsilon;6.36136E+017;124
2014-11-20T00:01:00.0000000;Beta;635,520,384,600,000,000.00000000;696
2012-05-16T00:01:00.0000000;Chi;6.34727E+017;931
2018-01-03T00:01:00.0000000;Chi;636,505,344,600,000,000.00000000;500
2014-12-16T00:01:00.0000000;Gamma;6.355428486E+17;841
2010-08-31T00:01:00.0000000;Omega;634188096600000000;43
2012-09-27T00:01:00.0000000;Xi;6.348430086E+17;322
2014-09-08T00:01:00.0000000;Alpha;635,457,312,600,000,000.00000000;87
2018-01-28T00:01:00.0000000;Chi;6.36527E+017;694
2014-05-12T00:01:00.0000000;Nu;6.35354E+017;488
2017-07-25T00:01:00.0000000;Iota;636,365,376,600,000,000.00000000;788
2010-01-01T00:01:00.0000000;Iota;6.339790086E+17;270
2013-03-07T00:02:00.0000000;Phi;6.349821132E+17;251
2012-05-15T00:01:00.0000000;Omicron;634726368600000000;934
2018-11-22T00:01:00.0000000;Beta;636784416600000000;119
2017-03-11T00:01:00.0000000;Gamma;6.362478726E+17;530
2014-08-22T00:02:00.0000000;Chi;635,442,625,200,000,000.00000000;926
2018-02-18T00:01:00.0000000;Xi;6.365450886E+17;284
2013-05-01T00:02:00.0000000;Rho;6.350296332E+17;653
2013-04-30T00:02:00.0000000;Xi;6.350287692E+17;861
2012-10-29T00:01:00.0000000;Chi;6.348706566E+17;463
2017-02-21T00:01:00.0000000;Rho;6.362323206E+17;734
2015-05-21T00:02:00.0000000;Nu;635,677,633,200,000,000.00000000;391
2015-06-27T00:01:00.0000000;Omega;635,709,600,600,000,000.00000000;122
2014-09-25T00:01:00.0000000;Psi;635472000600000000;895
2013-04-11T00:01:00.0000000;Epsilon;6.350123526E+17;892
2012-04-20T00:01:00.0000000;Pi;634704768600000000;564
2014-02-18T00:01:00.0000000;Theta;635282784600000000;809
2013-09-29T00:02:00.0000000;Gamma;635,160,097,200,000,000.00000000;583
2012-03-03T00:01:00.0000000;Xi;634663296600000000;839
2014-01-02T00:01:00.0000000;Omega;635242176600000000;639
2012-10-08T00:02:00.0000000;Delta;6.34853E+017;935
2018-12-19T00:01:00.0000000;Upsilon;6.36808E+017;451
2012-04-05T00:01:00.0000000;Zeta;634,691,808,600,000,000.00000000;688
2019-07-03T00:02:00.0000000;Tau;636977089200000000;597
2015-11-03T00:02:00.0000000;Iota;635821057200000000;299
2015-03-08T00:02:00.0000000;Omega;635,613,697,200,000,000.00000000;78
2013-10-06T00:02:00.0000000;Nu;6.35166E+017;485
2018-08-20T00:01:00.0000000;Sigma;6.367032006E+17;130
2010-03-06T00:01:00.0000000;Chi;634,034,304,600,000,000.00000000;381
2011-04-07T00:01:00.0000000;Omicron;634,377,312,600,000,000.00000000;169
2016-12-07T00:01:00.0000000;Theta;6.36167E+017;467
2016-03-22T00:01:00.0000000;Lambda;635,942,016,600,000,000.00000000;14
2019-12-27T00:01:00.0000000;Omega;637130016600000000;500
2010-10-25T00:01:00.0000000;Gamma;634235616600000000;261
2011-04-18T00:02:00.0000000;Upsilon;6.343868172E+17;579
2018-12-10T00:01:00.0000000;Omega;636799968600000000;682
2015-09-24T00:02:00.0000000;Omicron;635,786,497,200,000,000.00000000;575
2012-12-16T00:01:00.0000000;Omega;634912128600000000;169
2010-05-17T00:03:00.0000000;Nu;634,096,513,800,000,000.00000000;898
2010-08-10T00:02:00.0000000;Zeta;6.341699532E+17;773
2013-02-19T00:01:00.0000000;Xi;6.349682886E+17;793
2019-12-14T00:01:00.0000000;Kappa;637118784600000000;347
2014-10-12T00:02:00.0000000;Tau;635486689200000000;93
2014-09-13T00:02:00.0000000;Mu;6.35462E+017;918
2018-12-31T00:01:00.0000000;Lambda;636,818,112,600,000,000.00000000;903
2011-12-23T00:02:00.0000000;Tau;6.34602E+017;222
2016-04-30T00:01:00.0000000;Delta;635975712600000000;992
2018-04-15T00:02:00.0000000;Theta;6.365934732E+17;477
2012-02-24T00:02:00.0000000;Pi;634656385200000000;846
2015-01-08T00:03:00.0000000;Tau;635562721800000000;319
2016-02-20T00:03:00.0000000;Upsilon;6.35915E+017;30
2017-05-15T00:02:00.0000000;Phi;636304033200000000;431
2013-02-06T00:01:00.0000000;Upsilon;634,957,056,600,000,000.00000000;795
2014-08-19T00:01:00.0000000;Eta;635440032600000000;771
2012-03-13T00:01:00.0000000;Delta;634671936600000000;188
2014-01-28T00:03:00.0000000;Upsilon;6.352646418E+17;729
2016-04-22T00:03:00.0000000;Sigma;6.359688018E+17;73
2012-08-15T00:01:00.0000000;Iota;6.34806E+017;679
2019-03-04T00:02:00.0000000;Gamma;6.368725452E+17;562
2010-08-21T00:01:00.0000000;Eta;6.34179E+017;736
2011-03-29T00:01:00.0000000;Epsilon;6.343695366E+17;534
2018-10-18T00:02:00.0000000;Gamma;636754177200000000;742
2011-05-31T00:02:00.0000000;Gamma;634,423,969,200,000,000.00000000;788
2015-08-06T00:04:00.0000000;Tau;6.357441624E+17;962
2011-08-13T00:03:00.0000000;Omicron;634,487,905,800,000,000.00000000;188
2014-01-02T00:02:00.0000000;Epsilon;635242177200000000;977
2015-12-15T00:01:00.0000000;Upsilon;6.358573446E+17;772
2011-08-07T00:01:00.0000000;Rho;6.344827206E+17;72
2014-12-20T00:02:00.0000000;Lambda;6.355463052E+17;491
2012-10-08T00:02:00.0000000;Sigma;6.34853E+017;78
2017-12-14T00:03:00.0000000;Gamma;636,488,065,800,000,000.00000000;459
2010-01-27T00:01:00.0000000;Eta;634001472600000000;707
2011-11-16T00:01:00.0000000;Epsilon;634569984600000000;857
2013-12-17T00:02:00.0000000;Chi;6.35228E+017;252
2011-07-10T00:02:00.0000000;Theta;634458529200000000;981
2014-12-21T00:01:00.0000000;Gamma;6.355471686E+17;690
2011-11-26T00:01:00.0000000;Psi;634578624600000000;497
2015-10-31T00:02:00.0000000;Alpha;635,818,465,200,000,000.00000000;199
2015-11-12T00:01:00.0000000;Gamma;6.358288326E+17;547
2016-12-31T00:02:00.0000000;Zeta;6.361873932E+17;190
2015-09-30T00:01:00.0000000;Phi;6.35792E+017;783
2010-10-12T00:03:00.0000000;Chi;634224385800000000;669
2014-10-16T00:02:00.0000000;Omega;635490145200000000;769
2012-09-04T00:02:00.0000000;Beta;6.348231372E+17;516
2018-10-13T00:04:00.0000000;Theta;6.367498584E+17;846
2018-09-22T00:01:00.0000000;Psi;6.36732E+017;33
2016-02-17T00:01:00.0000000;Epsilon;635,912,640,600,000,000.00000000;171
2012-09-09T00:02:00.0000000;Lambda;6.348274572E+17;32
2011-04-01T00:01:00.0000000;Theta;6.343721286E+17;11
2011-06-17T00:02:00.0000000;Phi;634438657200000000;369
2018-10-05T00:03:00.0000000;Psi;636742945800000000;371
2018-06-27T00:02:00.0000000;Pi;6.366565452E+17;502
2015-08-07T00:02:00.0000000;Mu;6.35745E+017;776
2012-10-16T00:01:00.0000000;Epsilon;6.348594246E+17;524
2013-04-02T00:02:00.0000000;Upsilon;635,004,577,200,000,000.00000000;394
2010-07-06T00:02:00.0000000;Nu;634139713200000000;726
2012-10-08T00:03:00.0000000;Sigma;6.34853E+017;766
2019-07-19T00:03:00.0000000;Epsilon;636,990,913,800,000,000.00000000;44
2019-11-20T00:01:00.0000000;Delta;637098048600000000;969
2018-10-24T00:03:00.0000000;Omega;6.36759E+017;933
2016-03-02T00:01:00.0000000;Theta;635924736600000000;21
2013-07-07T00:03:00.0000000;Lambda;6.35088E+017;884
2011-07-13T00:01:00.0000000;Rho;6.34461E+017;920
2018-05-05T00:04:00.0000000;Beta;636610754400000000;887
2019-12-21T00:02:00.0000000;Upsilon;6.371248332E+17;25
2016-08-30T00:02:00.0000000;Nu;636081121200000000;7
2016-04-23T00:02:00.0000000;Xi;6.359696652E+17;656
2016-12-06T00:01:00.0000000;Lambda;636165792600000000;286
2017-05-12T00:02:00.0000000;Phi;636,301,441,200,000,000.00000000;683
2014-10-27T00:01:00.0000000;Sigma;6.354996486E+17;680
2010-06-15T00:01:00.0000000;Sigma;6.341215686E+17;833
2010-07-16T00:02:00.0000000;Eta;6.34148E+017;397
2015-05-09T00:03:00.0000000;Omega;6.356672658E+17;874
2016-10-28T00:02:00.0000000;Tau;636132097200000000;683
2011-05-13T00:03:00.0000000;Nu;634,408,417,800,000,000.00000000;749
2017-10-27T00:02:00.0000000;Alpha;636446593200000000;190
2015-03-02T00:02:00.0000000;Lambda;6.356085132E+17;28
2018-11-09T00:01:00.0000000;Omega;636,773,184,600,000,000.00000000;588
2017-11-18T00:02:00.0000000;Psi;6.364656012E+17;796
2011-09-17T00:01:00.0000000;Omega;634,518,144,600,000,000.00000000;530
2017-10-02T00:03:00.0000000;Omicron;636424993800000000;152
2019-09-06T00:02:00.0000000;Psi;6.370332492E+17;461
2011-07-17T00:01:00.0000000;Psi;6.344645766E+17;754
2010-02-04T00:03:00.0000000;Omicron;6.340083858E+17;873
2019-07-16T00:02:00.0000000;Epsilon;636988321200000000;636
2011-03-05T00:02:00.0000000;Zeta;634348801200000000;215
2018-07-15T00:02:00.0000000;Delta;6.366720972E+17;484
2011-07-10T00:02:00.0000000;Sigma;634458529200000000;111
2018-12-20T00:04:00.0000000;Iota;6.368086104E+17;825
2015-03-25T00:02:00.0000000;Zeta;635,628,385,200,000,000.00000000;516
2019-01-30T00:02:00.0000000;Upsilon;6.368440332E+17;641
2013-04-10T00:01:00.0000000;Alpha;6.350114886E+17;621
2014-08-14T00:02:00.0000000;Beta;6.354357132E+17;951
2012-11-11T00:02:00.0000000;Delta;634881889200000000;920
2012-04-16T00:04:00.0000000;Xi;634701314400000000;163
2016-01-28T00:02:00.0000000;Pi;635,895,361,200,000,000.00000000;133
2017-07-13T00:03:00.0000000;Omicron;6.363550098E+17;765
2015-05-02T00:02:00.0000000;Xi;635,661,217,200,000,000.00000000;338
2015-06-21T00:03:00.0000000;Omega;635704417800000000;560
2015-05-19T00:02:00.0000000;Sigma;635,675,905,200,000,000.00000000;155
2010-03-24T00:03:00.0000000;Theta;634049857800000000;867
2010-11-25T00:03:00.0000000;Phi;6.342624018E+17;83
2017-06-09T00:03:00.0000000;Omicron;6.363256338E+17;411
2014-03-29T00:01:00.0000000;Nu;635,316,480,600,000,000.00000000;247
2012-11-16T00:02:00.0000000;Chi;6.348862092E+17;763
2012-01-17T00:02:00.0000000;Omega;6.346235532E+17;218
2011-04-26T00:02:00.0000000;Lambda;634,393,729,200,000,000.00000000;894
2014-05-20T00:02:00.0000000;Delta;635361409200000000;147
2012-12-18T00:02:00.0000000;Theta;6.34914E+017;401
2019-06-22T00:03:00.0000000;Tau;6.369675858E+17;23
2011-12-14T00:03:00.0000000;Beta;634594177800000000;71
2016-01-15T00:03:00.0000000;Kappa;6.35884E+017;828
2014-07-20T00:03:00.0000000;Phi;6.35414E+017;706
2011-12-20T00:03:00.0000000;Upsilon;634599361800000000;621
2016-01-06T00:03:00.0000000;Iota;635876353800000000;369
2012-09-06T00:03:00.0000000;Iota;6.348248658E+17;45
2018-01-14T00:01:00.0000000;Pi;6.365148486E+17;404
2019-09-17T00:03:00.0000000;Eta;6.37043E+017;491
2011-08-07T00:02:00.0000000;Eta;6.344827212E+17;151
2016-10-13T00:02:00.0000000;Omega;6.36119E+017;881
2012-06-26T00:03:00.0000000;Zeta;6.347626578E+17;34
2010-02-13T00:02:00.0000000;Eta;634016161200000000;411
2019-03-19T00:03:00.0000000;Chi;6.36886E+017;834
2018-08-26T00:04:00.0000000;Alpha;636,708,386,400,000,000.00000000;181
2014-08-02T00:03:00.0000000;Phi;635,425,345,800,000,000.00000000;309
2019-10-16T00:03:00.0000000;Xi;637,067,809,800,000,000.00000000;396
2019-03-05T00:04:00.0000000;Pi;6.368734104E+17;153
2013-05-12T00:02:00.0000000;Tau;6.35039E+017;285
2014-07-04T00:03:00.0000000;Upsilon;6.35400E+017;311
2017-01-03T00:02:00.0000000;Nu;636189985200000000;284
2019-05-30T00:04:00.0000000;Epsilon;6.36948E+017;337
2011-10-18T00:04:00.0000000;Alpha;634544930400000000;789
2018-04-24T00:02:00.0000000;Chi;636601249200000000;817
2012-06-01T00:04:00.0000000;Omega;6.34741E+017;219
2010-06-22T00:04:00.0000000;Epsilon;634127618400000000;505
2018-07-21T00:04:00.0000000;Kappa;636,677,282,400,000,000.00000000;534
2016-01-09T00:03:00.0000000;Xi;635,878,945,800,000,000.00000000;617
2011-01-31T00:03:00.0000000;Gamma;6.34320E+017;649
2019-01-25T00:04:00.0000000;Delta;6.368397144E+17;274
2010-07-24T00:04:00.0000000;Pi;634155266400000000;125
2010-11-14T00:02:00.0000000;Gamma;634,252,897,200,000,000.00000000;588
2018-03-19T00:02:00.0000000;Mu;636570145200000000;206
2011-01-08T00:03:00.0000000;Omicron;634300417800000000;651
2016-03-16T00:02:00.0000000;Rho;6.359368332E+17;129
2019-11-27T00:04:00.0000000;Upsilon;6.37104E+017;953
2013-05-14T00:04:00.0000000;Xi;6.350408664E+17;506
2012-11-06T00:02:00.0000000;Phi;634,877,569,200,000,000.00000000;260
2012-09-12T00:03:00.0000000;Rho;634,830,049,800,000,000.00000000;593
2013-10-29T00:02:00.0000000;Mu;6.351860172E+17;152
2010-06-25T00:02:00.0000000;Eta;634130209200000000;629
2013-12-24T00:02:00.0000000;Theta;635234401200000000;146
2019-09-18T00:03:00.0000000;Delta;6.370436178E+17;712
2019-04-26T00:03:00.0000000;Sigma;6.369183378E+17;819
2014-10-21T00:02:00.0000000;Chi;6.35494E+017;18
2015-12-26T00:03:00.0000000;Beta;635866849800000000;932
2011-09-02T00:05:00.0000000;Omega;6.34505E+017;831
2011-05-25T00:02:00.0000000;Tau;6.344187852E+17;633
2016-12-07T00:02:00.0000000;Pi;6.36167E+017;727
2019-07-25T00:02:00.0000000;Delta;6.36996E+017;926
2014-11-21T00:02:00.0000000;Alpha;635521249200000000;758
2018-09-05T00:04:00.0000000;Delta;6.367170264E+17;236
2016-01-02T00:03:00.0000000;Zeta;6.358728978E+17;192
2016-01-29T00:02:00.0000000;Xi;635,896,225,200,000,000.00000000;86
2015-05-12T00:05:00.0000000;Upsilon;6.35669859E+17;207
2010-04-03T00:04:00.0000000;Nu;6.340584984E+17;24
2016-08-10T00:03:00.0000000;Lambda;636063841800000000;768
2018-03-14T00:06:00.0000000;Kappa;636,565,827,600,000,000.00000000;144
2018-10-23T00:03:00.0000000;Alpha;636758497800000000;187
2019-04-24T00:03:00.0000000;Rho;6.36917E+017;323
2012-01-14T00:05:00.0000000;Psi;6.34620963E+17;296
