TM;Category;unknown;Quantity
2010-05-14T00:01:00.0000000;Iota;634093920600000000;385
2019-04-17T00:01:00.0000000;Upsilon;636910560600000000;169
2016-06-21T00:01:00.0000000;Sigma;636,020,640,600,000,000.00000000;561
2016-12-22T00:01:00.0000000;Beta;636179616600000000;441
2012-03-16T00:01:00.0000000;Zeta;634,674,528,600,000,000.00000000;967
2012-03-03T00:01:00.0000000;Lambda;634663296600000000;135
2017-05-04T00:01:00.0000000;Rho;6.362945286E+17;968
2018-08-18T00:01:00.0000000;Epsilon;6.367014726E+17;544
2013-05-18T00:02:00.0000000;Theta;6.350443212E+17;3
2013-06-14T00:01:00.0000000;Omicron;635,067,648,600,000,000.00000000;249
2014-11-01T00:01:00.0000000;Iota;635,503,968,600,000,000.00000000;502
2018-05-10T00:01:00.0000000;Omicron;636,615,072,600,000,000.00000000;956
2012-02-18T00:01:00.0000000;Xi;6.346512006E+17;383
2013-06-12T00:01:00.0000000;Psi;635,065,920,600,000,000.00000000;295
2010-12-25T00:01:00.0000000;Eta;634288320600000000;313
2017-11-05T00:01:00.0000000;Upsilon;6.364543686E+17;316
2019-03-17T00:02:00.0000000;Mu;636883777200000000;492
2011-12-21T00:01:00.0000000;Gamma;634600224600000000;655
2018-10-10T00:01:00.0000000;Phi;6.36747E+017;805
2012-09-13T00:01:00.0000000;Beta;634830912600000000;606
2015-12-31T00:02:00.0000000;Nu;6.358711692E+17;636
2017-09-15T00:03:00.0000000;Pi;636,410,305,800,000,000.00000000;574
2011-10-23T00:01:00.0000000;Xi;634549248600000000;899
2019-11-22T00:01:00.0000000;Beta;637,099,776,600,000,000.00000000;341
2019-06-14T00:01:00.0000000;Theta;636,960,672,600,000,000.00000000;508
2013-09-16T00:01:00.0000000;Alpha;635148864600000000;568
2018-01-01T00:01:00.0000000;Delta;636503616600000000;665
2015-09-14T00:02:00.0000000;Beta;6.357778572E+17;361
2011-05-02T00:01:00.0000000;Tau;6.34399E+017;828
2016-10-08T00:01:00.0000000;Lambda;636,114,816,600,000,000.00000000;876
2011-06-13T00:02:00.0000000;Pi;6.344352012E+17;825
2010-05-25T00:01:00.0000000;Omicron;6.34103E+017;562
2012-02-25T00:01:00.0000000;Beta;634657248600000000;392
2015-12-31T00:01:00.0000000;Theta;6.35871E+017;997
2012-08-20T00:01:00.0000000;Theta;6.348101766E+17;815
2014-12-22T00:01:00.0000000;Mu;635548032600000000;385
2011-08-25T00:01:00.0000000;Iota;6.344982726E+17;878
2016-10-19T00:01:00.0000000;Lambda;6.361243206E+17;318
2016-02-06T00:01:00.0000000;Gamma;6.359031366E+17;444
2010-10-21T00:01:00.0000000;Iota;6.342321606E+17;47
2017-06-04T00:01:00.0000000;Pi;636321312600000000;243
2017-05-25T00:01:00.0000000;Sigma;6.363126726E+17;605
