TM;Category;unknown;Quantity
2012-07-03T00:01:00.0000000;Theta;634,768,704,600,000,000.00000000;723
2017-02-04T00:01:00.0000000;Gamma;6.362176326E+17;956
2013-11-05T00:01:00.0000000;Rho;635,192,064,600,000,000.00000000;308
2012-02-03T00:01:00.0000000;Iota;6.346382406E+17;429
2014-07-03T00:01:00.0000000;Nu;6.35399E+017;881
2014-08-24T00:01:00.0000000;Xi;635444352600000000;137
2017-06-18T00:01:00.0000000;Nu;636,333,408,600,000,000.00000000;410
2014-12-20T00:01:00.0000000;Upsilon;6.355463046E+17;709
2018-07-30T00:01:00.0000000;Beta;6.366850566E+17;85
2016-07-01T00:01:00.0000000;Tau;6.360292806E+17;35
2019-07-05T00:01:00.0000000;Lambda;636978816600000000;939
2013-10-05T00:01:00.0000000;Beta;6.35165E+017;491
2014-01-14T00:01:00.0000000;Beta;635252544600000000;431
2018-07-09T00:01:00.0000000;Zeta;6.36667E+017;881
2019-11-28T00:01:00.0000000;Iota;6.37105E+017;384
2018-10-13T00:01:00.0000000;Psi;6.367498566E+17;895
2017-12-21T00:01:00.0000000;Pi;636494112600000000;142
2010-03-26T00:01:00.0000000;Rho;634051584600000000;527
2011-10-13T00:02:00.0000000;Eta;6.34541E+017;496
2017-07-05T00:01:00.0000000;Nu;636348096600000000;243
2014-08-13T00:01:00.0000000;Delta;6.354348486E+17;333
2016-02-05T00:01:00.0000000;Phi;6.35902E+017;908
2010-12-24T00:01:00.0000000;Zeta;634287456600000000;928
2014-12-02T00:01:00.0000000;Upsilon;6.355307526E+17;462
2010-07-12T00:01:00.0000000;Alpha;634,144,896,600,000,000.00000000;552
2012-10-30T00:02:00.0000000;Delta;6.348715212E+17;451
2014-09-03T00:02:00.0000000;Xi;6.354529932E+17;396
2015-05-03T00:02:00.0000000;Zeta;635662081200000000;560
2015-11-12T00:01:00.0000000;Iota;6.358288326E+17;96
2010-11-10T00:01:00.0000000;Pi;6.342494406E+17;239
2019-11-26T00:02:00.0000000;Eta;637103233200000000;55
2016-03-12T00:01:00.0000000;Upsilon;6.35933E+017;686
2010-09-11T00:01:00.0000000;Omega;6.341976006E+17;249
2018-06-23T00:01:00.0000000;Zeta;6.36653E+017;300
2014-07-28T00:01:00.0000000;Sigma;6.354210246E+17;9
2019-01-25T00:01:00.0000000;Omega;6.36840E+017;404
2014-12-03T00:01:00.0000000;Omega;6.355316166E+17;977
2018-09-03T00:01:00.0000000;Psi;6.36715E+017;981
2017-01-11T00:01:00.0000000;Delta;636196896600000000;434
2017-06-02T00:02:00.0000000;Xi;636319585200000000;841
2019-08-09T00:01:00.0000000;Beta;637009056600000000;266
2016-05-23T00:01:00.0000000;Mu;6.35996E+017;890
2012-01-08T00:01:00.0000000;Upsilon;634615776600000000;366
2010-01-31T00:01:00.0000000;Xi;634004928600000000;976
2011-10-04T00:01:00.0000000;Omicron;634532832600000000;905
2015-11-21T00:01:00.0000000;Delta;635836608600000000;847
2012-07-17T00:01:00.0000000;Beta;6.347808006E+17;430
2011-08-21T00:02:00.0000000;Sigma;6.344948172E+17;381
2016-05-21T00:01:00.0000000;Nu;635993856600000000;632
2016-03-03T00:01:00.0000000;Omicron;635925600600000000;622
2014-07-24T00:01:00.0000000;Epsilon;6.35418E+017;217
2010-01-15T00:01:00.0000000;Kappa;633991104600000000;502
2018-08-30T00:01:00.0000000;Xi;636711840600000000;234
2017-06-05T00:01:00.0000000;Rho;636322176600000000;712
2019-08-21T00:01:00.0000000;Theta;637019424600000000;219
2011-01-15T00:01:00.0000000;Alpha;6.34306E+017;746
2015-12-12T00:02:00.0000000;Nu;6.35855E+017;495
2013-06-08T00:01:00.0000000;Delta;6.350624646E+17;734
2019-03-11T00:01:00.0000000;Chi;636878592600000000;689
2013-05-21T00:02:00.0000000;Eta;635046913200000000;538
2012-04-08T00:01:00.0000000;Alpha;634694400600000000;845
2018-12-10T00:01:00.0000000;Psi;636799968600000000;174
