TM;Category;unknown;Quantity
2012-10-23T00:01:00.0000000;Tau;634865472600000000;181
2015-05-31T00:01:00.0000000;Xi;6.356862726E+17;860
2018-02-03T00:01:00.0000000;Beta;6.365321286E+17;255
2015-11-01T00:01:00.0000000;Rho;635819328600000000;569
2016-01-30T00:01:00.0000000;Epsilon;635,897,088,600,000,000.00000000;43
2015-03-02T00:02:00.0000000;Theta;6.356085132E+17;121
2015-03-24T00:01:00.0000000;Chi;635627520600000000;182
2012-10-10T00:01:00.0000000;Chi;6.34854E+017;818
2019-02-17T00:01:00.0000000;Sigma;6.368595846E+17;69
2018-06-19T00:01:00.0000000;Psi;636649632600000000;792
2011-01-04T00:02:00.0000000;Eta;634296961200000000;426
2015-01-26T00:01:00.0000000;Zeta;6.355782726E+17;567
2015-12-21T00:01:00.0000000;Gamma;635862528600000000;432
2015-07-14T00:01:00.0000000;Alpha;635,724,288,600,000,000.00000000;583
2015-05-05T00:01:00.0000000;Phi;635663808600000000;542
2017-12-22T00:01:00.0000000;Epsilon;6.36495E+017;2
2018-06-19T00:01:00.0000000;Eta;636649632600000000;686
2019-07-19T00:02:00.0000000;Delta;636,990,913,200,000,000.00000000;137
2012-12-23T00:01:00.0000000;Sigma;6.349181766E+17;555
2015-04-27T00:01:00.0000000;Nu;6.356568966E+17;482
2016-05-08T00:02:00.0000000;Omega;6.359826252E+17;494
2011-09-01T00:02:00.0000000;Kappa;634504321200000000;912
2015-03-06T00:01:00.0000000;Alpha;635611968600000000;158
2014-02-11T00:01:00.0000000;Omega;6.35277E+017;688
2010-07-23T00:01:00.0000000;Lambda;6.341544006E+17;337
2014-06-18T00:01:00.0000000;Xi;6.353864646E+17;944
2012-09-28T00:01:00.0000000;Epsilon;6.348438726E+17;802
2015-09-22T00:02:00.0000000;Upsilon;635,784,769,200,000,000.00000000;716
2016-03-18T00:02:00.0000000;Beta;635938561200000000;400
2011-11-02T00:01:00.0000000;Eta;6.345578886E+17;340
2014-10-19T00:01:00.0000000;Lambda;635492736600000000;904
2019-10-22T00:02:00.0000000;Alpha;6.37073E+017;800
2012-10-24T00:01:00.0000000;Eta;634866336600000000;976
2019-10-09T00:01:00.0000000;Nu;6.370617606E+17;432
2018-02-09T00:01:00.0000000;Phi;636,537,312,600,000,000.00000000;78
2018-09-15T00:01:00.0000000;Delta;636,725,664,600,000,000.00000000;275
2016-02-06T00:01:00.0000000;Delta;6.359031366E+17;148
2010-08-22T00:02:00.0000000;Gamma;6.34180E+017;344
2017-12-04T00:02:00.0000000;Phi;6.36479E+017;751
2012-05-03T00:02:00.0000000;Rho;6.347160012E+17;933
2013-09-03T00:03:00.0000000;Phi;6.351376338E+17;586
2019-03-30T00:01:00.0000000;Sigma;636895008600000000;784
2017-03-30T00:02:00.0000000;Iota;6.362642892E+17;587
2012-11-13T00:02:00.0000000;Beta;6.34884E+017;333
2014-03-14T00:02:00.0000000;Alpha;635303521200000000;864
2014-06-25T00:02:00.0000000;Lambda;635392513200000000;75
2013-12-13T00:01:00.0000000;Chi;635224896600000000;726
2015-05-14T00:01:00.0000000;Beta;6.356715846E+17;554
2016-07-19T00:01:00.0000000;Theta;6.360448326E+17;297
2017-06-29T00:01:00.0000000;Phi;6.363429126E+17;411
2011-08-15T00:01:00.0000000;Upsilon;634489632600000000;301
2015-01-04T00:01:00.0000000;Xi;6.355592646E+17;556
2016-02-20T00:01:00.0000000;Phi;635915232600000000;130
2010-07-20T00:01:00.0000000;Psi;6.341518086E+17;164
2019-02-11T00:01:00.0000000;Theta;6.36854E+017;792
2018-06-30T00:01:00.0000000;Gamma;636659136600000000;134
2015-12-20T00:01:00.0000000;Lambda;635861664600000000;300
2013-01-22T00:01:00.0000000;Zeta;634944096600000000;987
2015-04-27T00:02:00.0000000;Omega;635656897200000000;136
2010-04-17T00:02:00.0000000;Psi;6.34071E+017;21
2017-10-10T00:02:00.0000000;Iota;6.36432E+017;898
2018-07-06T00:01:00.0000000;Zeta;636664320600000000;775
2017-04-20T00:01:00.0000000;Beta;6.362824326E+17;584
2014-11-25T00:02:00.0000000;Iota;6.35525E+017;438
2010-11-01T00:01:00.0000000;Delta;6.34242E+017;495
2016-10-12T00:01:00.0000000;Alpha;636118272600000000;611
2012-12-02T00:01:00.0000000;Gamma;6.34900E+017;671
2019-11-20T00:01:00.0000000;Rho;637098048600000000;831
2017-06-30T00:01:00.0000000;Iota;6.363437766E+17;175
2018-08-22T00:01:00.0000000;Gamma;6.367049286E+17;180
2012-02-03T00:02:00.0000000;Omega;6.346382412E+17;452
2018-02-15T00:01:00.0000000;Beta;6.36542E+017;848
2014-12-26T00:02:00.0000000;Psi;635,551,489,200,000,000.00000000;182
2016-09-25T00:03:00.0000000;Pi;6.36104E+017;193
2013-06-09T00:01:00.0000000;Theta;635063328600000000;832
2010-01-27T00:01:00.0000000;Mu;634001472600000000;599
2010-08-23T00:01:00.0000000;Pi;6.34181E+017;650
2014-06-02T00:01:00.0000000;Tau;6.353726406E+17;909
2015-11-28T00:02:00.0000000;Eta;6.358426572E+17;770
2015-04-01T00:04:00.0000000;Upsilon;6.35634E+017;691
2018-08-31T00:01:00.0000000;Epsilon;636712704600000000;759
2010-01-13T00:02:00.0000000;Alpha;633989377200000000;472
2016-03-22T00:03:00.0000000;Alpha;635,942,017,800,000,000.00000000;544
2013-11-23T00:02:00.0000000;Xi;635,207,617,200,000,000.00000000;353
2013-06-24T00:01:00.0000000;Sigma;6.350762886E+17;841
2014-11-11T00:02:00.0000000;Iota;6.355126092E+17;961
2011-03-31T00:02:00.0000000;Rho;6.343712652E+17;265
2013-09-09T00:02:00.0000000;Iota;635142817200000000;849
2016-03-27T00:01:00.0000000;Kappa;635946336600000000;503
2016-10-25T00:01:00.0000000;Omicron;636,129,504,600,000,000.00000000;870
2013-12-07T00:01:00.0000000;Delta;635219712600000000;453
2012-08-21T00:02:00.0000000;Beta;6.348110412E+17;140
2016-11-04T00:04:00.0000000;Gamma;6.361381464E+17;639
2017-06-10T00:01:00.0000000;Kappa;6.363264966E+17;630
2010-07-30T00:02:00.0000000;Pi;634160449200000000;350
2011-11-02T00:03:00.0000000;Alpha;6.345578898E+17;16
2014-10-23T00:02:00.0000000;Sigma;6.354961932E+17;750
2010-09-02T00:01:00.0000000;Eta;634,189,824,600,000,000.00000000;814
2010-05-03T00:02:00.0000000;Eta;634084417200000000;514
2011-10-09T00:02:00.0000000;Kappa;634537153200000000;912
2019-08-13T00:02:00.0000000;Xi;6.37013E+017;337
2010-11-05T00:02:00.0000000;Lambda;6.342451212E+17;640
2010-12-25T00:01:00.0000000;Xi;634288320600000000;1
2019-05-14T00:02:00.0000000;Alpha;6.36934E+017;96
2013-05-20T00:02:00.0000000;Mu;6.350460492E+17;382
2011-02-19T00:05:00.0000000;Theta;6.34336707E+17;589
2011-11-13T00:01:00.0000000;Gamma;634,567,392,600,000,000.00000000;781
2018-01-02T00:01:00.0000000;Upsilon;636504480600000000;734
2019-04-14T00:01:00.0000000;Zeta;6.369079686E+17;544
2010-08-31T00:04:00.0000000;Psi;634,188,098,400,000,000.00000000;581
2019-08-10T00:02:00.0000000;Delta;637009921200000000;910
2019-04-14T00:01:00.0000000;Rho;6.369079686E+17;832
2018-11-18T00:02:00.0000000;Sigma;6.367809612E+17;363
2019-04-24T00:02:00.0000000;Gamma;6.36917E+017;488
2014-05-12T00:02:00.0000000;Rho;6.353544972E+17;21
2013-03-01T00:01:00.0000000;Beta;634976928600000000;721
2010-11-12T00:02:00.0000000;Mu;634251169200000000;649
2017-02-21T00:01:00.0000000;Epsilon;6.362323206E+17;175
2015-10-06T00:02:00.0000000;Theta;6.357968652E+17;996
2012-01-07T00:01:00.0000000;Upsilon;634614912600000000;314
2018-10-20T00:02:00.0000000;Pi;636,755,905,200,000,000.00000000;315
2014-08-05T00:02:00.0000000;Iota;635427937200000000;763
2017-08-02T00:04:00.0000000;Iota;6.363722904E+17;302
2018-05-04T00:02:00.0000000;Nu;6.366098892E+17;551
2016-05-14T00:02:00.0000000;Delta;635987809200000000;569
2016-03-06T00:02:00.0000000;Rho;635928193200000000;394
2017-07-17T00:03:00.0000000;Sigma;6.363584658E+17;528
2017-06-25T00:01:00.0000000;Phi;6.36339E+017;617
2018-03-12T00:01:00.0000000;Rho;6.365640966E+17;102
2016-12-16T00:02:00.0000000;Upsilon;636174433200000000;137
2010-06-15T00:02:00.0000000;Zeta;6.341215692E+17;248
2015-06-22T00:02:00.0000000;Zeta;635705281200000000;619
2015-10-12T00:01:00.0000000;Beta;635,802,048,600,000,000.00000000;991
2015-10-09T00:03:00.0000000;Psi;635799457800000000;681
2012-07-21T00:03:00.0000000;Mu;634,784,257,800,000,000.00000000;381
2011-03-22T00:01:00.0000000;Delta;634,363,488,600,000,000.00000000;813
2012-04-06T00:02:00.0000000;Iota;634692673200000000;429
2017-09-28T00:01:00.0000000;Alpha;6.364215366E+17;766
2011-04-17T00:02:00.0000000;Delta;6.343859532E+17;677
2016-11-22T00:02:00.0000000;Xi;6.361536972E+17;348
2016-12-09T00:01:00.0000000;Chi;6.36168E+017;41
2015-07-24T00:02:00.0000000;Phi;6.357329292E+17;649
2015-03-23T00:01:00.0000000;Omicron;635626656600000000;317
2010-01-10T00:02:00.0000000;Sigma;633,986,785,200,000,000.00000000;721
2019-06-22T00:03:00.0000000;Omicron;6.369675858E+17;260
2014-11-16T00:01:00.0000000;Rho;635516928600000000;582
2012-09-05T00:03:00.0000000;Xi;6.348240018E+17;896
2014-10-17T00:02:00.0000000;Chi;635491009200000000;298
2019-06-20T00:02:00.0000000;Pi;6.369658572E+17;771
2019-12-28T00:02:00.0000000;Kappa;637,130,881,200,000,000.00000000;97
2017-03-07T00:01:00.0000000;Psi;6.36244E+017;794
2015-09-28T00:03:00.0000000;Rho;6.35790E+017;812
2010-02-20T00:03:00.0000000;Alpha;6.34022E+017;312
2011-04-22T00:03:00.0000000;Omega;634390273800000000;398
2018-08-25T00:02:00.0000000;Iota;636707521200000000;821
2017-07-17T00:02:00.0000000;Beta;6.363584652E+17;938
2017-05-26T00:03:00.0000000;Eta;636313537800000000;636
2018-11-08T00:03:00.0000000;Theta;636772321800000000;71
2017-11-05T00:02:00.0000000;Delta;6.364543692E+17;500
2011-10-13T00:01:00.0000000;Tau;6.34541E+017;979
2015-09-09T00:02:00.0000000;Zeta;635773537200000000;546
