TM;Category;unknown;Quantity
2014-12-23T00:01:00.0000000;Rho;635548896600000000;636
2013-10-20T00:01:00.0000000;Beta;635178240600000000;712
2014-04-15T00:02:00.0000000;Chi;635,331,169,200,000,000.00000000;952
2013-01-23T00:01:00.0000000;Tau;634944960600000000;226
2013-07-19T00:01:00.0000000;Gamma;635,097,888,600,000,000.00000000;884
2016-03-08T00:01:00.0000000;Psi;635929920600000000;10
2017-06-14T00:01:00.0000000;Gamma;6.363299526E+17;912
2017-08-19T00:01:00.0000000;Omicron;6.36387E+017;965
2018-03-28T00:01:00.0000000;Kappa;6.365779206E+17;418
2019-07-26T00:01:00.0000000;Nu;6.36997E+017;693
2016-06-23T00:01:00.0000000;Gamma;636,022,368,600,000,000.00000000;885
2015-12-12T00:01:00.0000000;Psi;6.35855E+017;239
2013-10-18T00:02:00.0000000;Tau;635,176,513,200,000,000.00000000;208
2013-08-01T00:01:00.0000000;Gamma;6.351091206E+17;462
2010-02-09T00:01:00.0000000;Delta;6.340127046E+17;898
2012-10-19T00:01:00.0000000;Pi;634862016600000000;809
2012-03-26T00:01:00.0000000;Theta;6.346831686E+17;128
2012-10-09T00:01:00.0000000;Xi;6.34853E+017;987
2019-05-20T00:02:00.0000000;Omega;6.369390732E+17;290
2018-03-24T00:01:00.0000000;Rho;6.36574E+017;184
2010-07-16T00:02:00.0000000;Epsilon;6.34148E+017;551
2017-12-02T00:02:00.0000000;Kappa;636477697200000000;332
2017-03-28T00:01:00.0000000;Nu;6.362625606E+17;592
2019-02-12T00:02:00.0000000;Phi;6.36855E+017;818
2013-02-22T00:01:00.0000000;Zeta;634970880600000000;807
2010-07-30T00:01:00.0000000;Tau;634,160,448,600,000,000.00000000;456
2014-12-26T00:01:00.0000000;Alpha;635,551,488,600,000,000.00000000;629
2011-05-24T00:01:00.0000000;Pi;6.344179206E+17;29
2013-09-05T00:01:00.0000000;Lambda;6.351393606E+17;147
2018-08-31T00:02:00.0000000;Upsilon;636712705200000000;43
2019-07-01T00:01:00.0000000;Nu;636,975,360,600,000,000.00000000;624
2014-12-22T00:02:00.0000000;Mu;635548033200000000;877
2018-03-24T00:01:00.0000000;Iota;6.36574E+017;83
2014-08-08T00:02:00.0000000;Chi;6.35431E+017;211
2016-04-28T00:02:00.0000000;Mu;635,973,985,200,000,000.00000000;507
2011-11-05T00:02:00.0000000;Sigma;6.345604812E+17;437
2016-04-09T00:01:00.0000000;Omicron;635,957,568,600,000,000.00000000;817
2010-03-10T00:01:00.0000000;Sigma;634037760600000000;859
2017-05-29T00:02:00.0000000;Zeta;636316129200000000;454
2017-06-09T00:01:00.0000000;Alpha;6.363256326E+17;985
2019-05-01T00:01:00.0000000;Pi;6.369226566E+17;104
2019-03-05T00:02:00.0000000;Mu;6.368734092E+17;948
2019-12-05T00:01:00.0000000;Kappa;6.371110086E+17;93
2015-11-22T00:01:00.0000000;Phi;6.35837E+017;789
2013-08-08T00:02:00.0000000;Xi;635115169200000000;471
2014-02-14T00:01:00.0000000;Theta;6.352793286E+17;127
2014-01-25T00:02:00.0000000;Nu;6.352620492E+17;765
2018-02-24T00:01:00.0000000;Phi;636550272600000000;921
2016-04-30T00:02:00.0000000;Chi;635975713200000000;14
2019-12-18T00:01:00.0000000;Pi;6.37122E+017;130
2012-07-21T00:02:00.0000000;Xi;634,784,257,200,000,000.00000000;259
2016-06-03T00:01:00.0000000;Nu;636,005,088,600,000,000.00000000;835
2016-09-01T00:02:00.0000000;Zeta;636,082,849,200,000,000.00000000;6
2011-04-28T00:01:00.0000000;Alpha;634,395,456,600,000,000.00000000;724
2011-04-10T00:02:00.0000000;Phi;634379905200000000;718
2010-02-05T00:02:00.0000000;Phi;6.340092492E+17;305
2015-10-17T00:02:00.0000000;Iota;6.35806E+017;787
2014-04-05T00:01:00.0000000;Delta;6.35323E+017;653
2016-02-19T00:01:00.0000000;Gamma;635914368600000000;640
2018-09-25T00:01:00.0000000;Gamma;6.367343046E+17;188
2019-11-07T00:01:00.0000000;Upsilon;637086816600000000;672
2013-09-26T00:02:00.0000000;Iota;635157505200000000;426
2013-11-02T00:01:00.0000000;Sigma;635189472600000000;916
2018-09-09T00:01:00.0000000;Rho;6.367204806E+17;454
2014-01-15T00:01:00.0000000;Pi;635,253,408,600,000,000.00000000;745
2019-04-30T00:03:00.0000000;Nu;6.369217938E+17;739
2011-03-16T00:01:00.0000000;Sigma;6.343583046E+17;935
2012-07-29T00:02:00.0000000;Sigma;6.347911692E+17;297
2017-02-06T00:01:00.0000000;Gamma;6.362193606E+17;920
2015-11-19T00:01:00.0000000;Upsilon;635834880600000000;122
2019-12-31T00:01:00.0000000;Tau;637133472600000000;455
2016-11-14T00:02:00.0000000;Kappa;636,146,785,200,000,000.00000000;701
2018-10-25T00:02:00.0000000;Psi;6.36760E+017;98
2017-05-08T00:01:00.0000000;Chi;6.362979846E+17;697
2018-01-13T00:01:00.0000000;Sigma;6.365139846E+17;677
2019-01-06T00:01:00.0000000;Pi;6.36823E+017;117
2011-02-09T00:01:00.0000000;Mu;634328064600000000;294
2010-08-20T00:01:00.0000000;Phi;634178592600000000;834
2018-07-17T00:01:00.0000000;Alpha;6.366738246E+17;334
2010-11-09T00:02:00.0000000;Nu;6.342485772E+17;297
2015-05-26T00:01:00.0000000;Zeta;6.35682E+017;619
2016-11-04T00:02:00.0000000;Psi;6.361381452E+17;545
2013-06-16T00:02:00.0000000;Delta;635069377200000000;463
2014-05-30T00:01:00.0000000;Gamma;6.35370E+017;945
2019-05-14T00:01:00.0000000;Mu;6.36934E+017;259
2013-09-20T00:02:00.0000000;Xi;6.351523212E+17;336
2016-09-12T00:01:00.0000000;Xi;6.360923526E+17;822
2012-10-26T00:02:00.0000000;Alpha;6.34868E+017;357
2013-08-11T00:01:00.0000000;Sigma;635117760600000000;924
2017-04-08T00:01:00.0000000;Tau;636,272,064,600,000,000.00000000;482
2019-10-30T00:02:00.0000000;Rho;6.370799052E+17;246
2013-12-09T00:03:00.0000000;Rho;635,221,441,800,000,000.00000000;164
2016-02-20T00:01:00.0000000;Iota;635915232600000000;631
2010-04-07T00:02:00.0000000;Sigma;634061953200000000;131
2016-04-20T00:02:00.0000000;Zeta;6.359670732E+17;270
2012-12-05T00:03:00.0000000;Rho;6.349026258E+17;68
2011-11-22T00:01:00.0000000;Omega;6.345751686E+17;377
2018-03-09T00:02:00.0000000;Lambda;6.365615052E+17;143
2017-11-16T00:01:00.0000000;Tau;6.36464E+017;177
2013-02-13T00:01:00.0000000;Lambda;6.34963E+017;534
2018-12-07T00:01:00.0000000;Tau;6.367973766E+17;778
2017-01-03T00:01:00.0000000;Alpha;636189984600000000;658
2017-02-16T00:02:00.0000000;Pi;6.36228E+017;595
2019-01-21T00:02:00.0000000;Omega;636836257200000000;938
2011-05-30T00:02:00.0000000;Kappa;634423105200000000;669
2015-05-14T00:03:00.0000000;Eta;6.356715858E+17;712
2017-04-06T00:01:00.0000000;Omega;636,270,336,600,000,000.00000000;36
2013-01-11T00:01:00.0000000;Tau;6.349345926E+17;712
2017-01-11T00:01:00.0000000;Eta;636196896600000000;618
2013-04-18T00:03:00.0000000;Omicron;635,018,401,800,000,000.00000000;451
2016-05-08T00:01:00.0000000;Phi;6.359826246E+17;370
2015-02-13T00:02:00.0000000;Lambda;6.355938252E+17;741
2011-05-10T00:03:00.0000000;Lambda;634405825800000000;85
2015-11-17T00:03:00.0000000;Omicron;635,833,153,800,000,000.00000000;504
2012-11-19T00:02:00.0000000;Lambda;6.348888012E+17;174
2012-08-22T00:03:00.0000000;Chi;634811905800000000;45
2011-03-22T00:02:00.0000000;Mu;634363489200000000;845
2018-03-19T00:01:00.0000000;Iota;636,570,144,600,000,000.00000000;401
2015-02-13T00:01:00.0000000;Alpha;6.355938246E+17;266
2013-11-12T00:02:00.0000000;Zeta;6.351981132E+17;736
2011-01-08T00:02:00.0000000;Theta;634,300,417,200,000,000.00000000;94
2010-03-11T00:02:00.0000000;Phi;6.34039E+017;843
2013-10-17T00:02:00.0000000;Psi;635,175,649,200,000,000.00000000;677
2014-07-24T00:01:00.0000000;Omega;6.35418E+017;616
2014-02-06T00:01:00.0000000;Kappa;635272416600000000;909
2010-02-06T00:02:00.0000000;Alpha;6.340101132E+17;423
2017-08-12T00:02:00.0000000;Kappa;636,380,929,200,000,000.00000000;692
2013-11-27T00:01:00.0000000;Epsilon;635211072600000000;332
2017-07-20T00:02:00.0000000;Epsilon;636361057200000000;356
2013-02-05T00:03:00.0000000;Nu;634,956,193,800,000,000.00000000;45
2014-12-25T00:02:00.0000000;Lambda;635,550,625,200,000,000.00000000;167
2010-04-23T00:01:00.0000000;Sigma;6.340757766E+17;973
2014-10-14T00:03:00.0000000;Kappa;635,488,417,800,000,000.00000000;592
2018-08-26T00:02:00.0000000;Gamma;636,708,385,200,000,000.00000000;528
2019-04-23T00:01:00.0000000;Kappa;636915744600000000;178
2017-03-06T00:02:00.0000000;Sigma;6.36244E+017;756
2016-02-02T00:01:00.0000000;Mu;635899680600000000;768
2014-04-07T00:02:00.0000000;Tau;6.353242572E+17;610
2019-07-10T00:03:00.0000000;Delta;6.369831378E+17;719
2012-05-26T00:02:00.0000000;Phi;634735873200000000;530
2010-11-06T00:01:00.0000000;Gamma;6.342459846E+17;339
2018-01-24T00:03:00.0000000;Chi;636523489800000000;392
2011-07-26T00:03:00.0000000;Delta;634472353800000000;308
2011-03-08T00:01:00.0000000;Tau;6.34351E+017;377
2014-08-21T00:02:00.0000000;Sigma;635,441,761,200,000,000.00000000;61
2011-05-23T00:02:00.0000000;Eta;6.344170572E+17;991
2017-09-03T00:04:00.0000000;Alpha;6.36400E+017;115
2016-11-08T00:02:00.0000000;Chi;6.361416012E+17;341
2016-02-03T00:02:00.0000000;Alpha;6.35901E+017;91
2015-01-25T00:01:00.0000000;Xi;6.355774086E+17;201
2017-04-04T00:02:00.0000000;Epsilon;636268609200000000;971
2011-08-29T00:01:00.0000000;Tau;634501728600000000;347
2014-11-22T00:02:00.0000000;Zeta;635522113200000000;134
2017-11-18T00:01:00.0000000;Pi;6.36466E+017;338
2015-02-19T00:02:00.0000000;Gamma;635,599,009,200,000,000.00000000;572
2012-03-26T00:02:00.0000000;Alpha;6.346831692E+17;443
2017-12-04T00:01:00.0000000;Chi;6.36479E+017;782
2010-10-07T00:02:00.0000000;Eta;634220065200000000;418
2012-06-06T00:03:00.0000000;Upsilon;6.347453778E+17;113
2011-09-08T00:02:00.0000000;Rho;6.345103692E+17;539
2018-12-25T00:01:00.0000000;Omicron;6.368129286E+17;958
2014-01-15T00:04:00.0000000;Kappa;635,253,410,400,000,000.00000000;598
2013-01-27T00:01:00.0000000;Epsilon;6.349484166E+17;75
2012-02-11T00:02:00.0000000;Xi;634645153200000000;216
2018-08-13T00:03:00.0000000;Rho;6.36697E+017;467
2013-05-04T00:02:00.0000000;Gamma;635032225200000000;596
2012-05-11T00:02:00.0000000;Alpha;634,722,913,200,000,000.00000000;603
2011-08-05T00:02:00.0000000;Kappa;6.344809932E+17;874
2019-10-19T00:02:00.0000000;Sigma;637070401200000000;304
2016-12-13T00:05:00.0000000;Rho;636171843000000000;887
2012-05-19T00:03:00.0000000;Pi;6.347298258E+17;244
2014-02-17T00:01:00.0000000;Chi;6.352819206E+17;154
2010-01-19T00:01:00.0000000;Rho;6.339945606E+17;185
2018-09-13T00:03:00.0000000;Lambda;636,723,937,800,000,000.00000000;98
2013-02-03T00:03:00.0000000;Omega;634954465800000000;490
2018-12-30T00:03:00.0000000;Nu;636,817,249,800,000,000.00000000;626
2019-01-15T00:02:00.0000000;Omicron;636831073200000000;954
2015-07-18T00:03:00.0000000;Eta;6.35728E+017;309
2013-03-01T00:02:00.0000000;Delta;6.34977E+017;707
2011-07-25T00:01:00.0000000;Kappa;634,471,488,600,000,000.00000000;845
2014-07-23T00:02:00.0000000;Lambda;6.35417E+017;585
2015-11-07T00:04:00.0000000;Phi;6.358245144E+17;494
2018-01-05T00:04:00.0000000;Upsilon;636507074400000000;823
2015-06-05T00:03:00.0000000;Upsilon;635,690,593,800,000,000.00000000;700
2013-11-28T00:02:00.0000000;Zeta;6.35212E+017;350
2011-05-11T00:02:00.0000000;Pi;634406689200000000;819
2016-11-02T00:02:00.0000000;Theta;6.36136E+017;922
2018-12-24T00:03:00.0000000;Phi;6.368120658E+17;603
2016-04-12T00:02:00.0000000;Rho;635960161200000000;243
2011-06-28T00:04:00.0000000;Epsilon;6.344481624E+17;220
2016-08-09T00:04:00.0000000;Epsilon;636062978400000000;31
2018-07-23T00:03:00.0000000;Beta;636679009800000000;851
2012-12-03T00:02:00.0000000;Phi;6.349008972E+17;315
2016-10-07T00:01:00.0000000;Alpha;636,113,952,600,000,000.00000000;397
2018-10-03T00:03:00.0000000;Tau;636741217800000000;712
2017-04-29T00:02:00.0000000;Eta;636290209200000000;42
2016-01-18T00:03:00.0000000;Pi;6.358867218E+17;760
2016-02-25T00:03:00.0000000;Lambda;6.359195538E+17;867
2011-11-20T00:01:00.0000000;Rho;6.345734406E+17;917
2012-07-29T00:02:00.0000000;Omega;6.347911692E+17;543
2010-01-14T00:03:00.0000000;Tau;6.33990E+017;576
2012-07-27T00:05:00.0000000;Pi;6.34789443E+17;46
2019-11-26T00:01:00.0000000;Sigma;637103232600000000;247
2018-03-05T00:02:00.0000000;Nu;6.36558E+017;523
2018-02-06T00:04:00.0000000;Zeta;636,534,722,400,000,000.00000000;131
2013-11-16T00:03:00.0000000;Delta;6.352015698E+17;275
2015-09-06T00:03:00.0000000;Lambda;635770945800000000;58
2013-12-19T00:01:00.0000000;Theta;6.352300806E+17;799
2014-10-01T00:03:00.0000000;Rho;6.35477E+017;542
2011-11-07T00:05:00.0000000;Xi;634,562,211,000,000,000.00000000;927
2015-02-06T00:02:00.0000000;Mu;6.35588E+017;453
2012-07-08T00:01:00.0000000;Tau;634773024600000000;352
2011-10-21T00:04:00.0000000;Iota;634,547,522,400,000,000.00000000;186
2010-11-09T00:01:00.0000000;Chi;6.342485766E+17;924
2014-05-31T00:03:00.0000000;Theta;6.353709138E+17;762
2017-09-23T00:02:00.0000000;Upsilon;6.36417E+017;208
2019-05-01T00:02:00.0000000;Alpha;6.369226572E+17;322
2012-11-24T00:02:00.0000000;Alpha;634,893,121,200,000,000.00000000;470
2012-03-01T00:02:00.0000000;Kappa;634661569200000000;104
2013-12-06T00:02:00.0000000;Sigma;635218849200000000;297
2018-02-09T00:01:00.0000000;Rho;636,537,312,600,000,000.00000000;672
2014-11-05T00:03:00.0000000;Chi;635507425800000000;321
2014-08-20T00:04:00.0000000;Omicron;635,440,898,400,000,000.00000000;636
2018-05-07T00:06:00.0000000;Omicron;636,612,483,600,000,000.00000000;500
2017-09-23T00:03:00.0000000;Iota;6.36417E+017;709
2017-10-26T00:03:00.0000000;Omicron;636445729800000000;589
2013-07-02T00:03:00.0000000;Rho;635083201800000000;100
2016-11-23T00:04:00.0000000;Gamma;6.361545624E+17;610
2010-08-21T00:02:00.0000000;Mu;6.34179E+017;654
2019-02-17T00:04:00.0000000;Epsilon;6.368595864E+17;833
2015-04-24T00:03:00.0000000;Tau;6.356543058E+17;85
2019-10-30T00:03:00.0000000;Kappa;637079905800000000;879
2014-09-08T00:04:00.0000000;Epsilon;635457314400000000;962
2010-01-27T00:03:00.0000000;Rho;634,001,473,800,000,000.00000000;664
2010-02-13T00:02:00.0000000;Omega;634016161200000000;646
2016-08-11T00:04:00.0000000;Zeta;636064706400000000;929
2013-06-25T00:05:00.0000000;Omega;635077155000000000;86
2016-07-19T00:03:00.0000000;Rho;6.360448338E+17;539
2010-12-18T00:03:00.0000000;Phi;634,282,273,800,000,000.00000000;934
2012-07-01T00:02:00.0000000;Psi;634766977200000000;981
2014-06-23T00:03:00.0000000;Chi;635390785800000000;526
2012-07-02T00:03:00.0000000;Nu;634,767,841,800,000,000.00000000;817
2019-11-26T00:03:00.0000000;Chi;637103233800000000;338
2011-12-23T00:04:00.0000000;Theta;6.346019544E+17;599
2013-09-24T00:03:00.0000000;Zeta;635155777800000000;112
