TM;Category;unknown;Quantity
2019-09-11T00:01:00.0000000;Sigma;637,037,568,600,000,000.00000000;995
2017-03-15T00:01:00.0000000;Zeta;6.362513286E+17;212
2010-11-26T00:01:00.0000000;Phi;6.342632646E+17;647
2017-12-29T00:01:00.0000000;Psi;6.365010246E+17;226
2017-01-19T00:01:00.0000000;Pi;6.362038086E+17;611
2016-12-22T00:01:00.0000000;Iota;636179616600000000;725
2018-08-20T00:01:00.0000000;Upsilon;6.367032006E+17;183
2017-10-19T00:01:00.0000000;Lambda;6.364396806E+17;291
2014-11-02T00:01:00.0000000;Iota;635,504,832,600,000,000.00000000;297
2010-03-14T00:02:00.0000000;Gamma;6.340412172E+17;667
2015-12-01T00:01:00.0000000;Eta;6.358452486E+17;594
2015-06-16T00:01:00.0000000;Gamma;6.357000966E+17;125
2016-11-17T00:01:00.0000000;Sigma;636149376600000000;883
2011-09-05T00:01:00.0000000;Epsilon;6.34508E+017;905
2016-11-22T00:01:00.0000000;Upsilon;6.361536966E+17;514
2011-06-10T00:01:00.0000000;Epsilon;6.344326086E+17;421
2015-10-08T00:01:00.0000000;Phi;635798592600000000;835
2018-06-27T00:01:00.0000000;Lambda;6.366565446E+17;571
2017-07-27T00:02:00.0000000;Rho;636367105200000000;728
2019-07-26T00:02:00.0000000;Pi;6.36997E+017;511
2018-01-30T00:01:00.0000000;Mu;6.365286726E+17;697
2019-09-12T00:02:00.0000000;Chi;637,038,433,200,000,000.00000000;128
2011-12-10T00:02:00.0000000;Gamma;6.345907212E+17;260
2010-02-19T00:01:00.0000000;Theta;634021344600000000;280
2017-03-06T00:02:00.0000000;Zeta;6.36244E+017;561
2010-01-17T00:01:00.0000000;Theta;6.33993E+017;228
2019-05-02T00:01:00.0000000;Epsilon;6.369235206E+17;332
2010-05-17T00:01:00.0000000;Sigma;634,096,512,600,000,000.00000000;306
2011-12-13T00:01:00.0000000;Rho;6.345933126E+17;771
2016-04-18T00:01:00.0000000;Eta;6.359653446E+17;789
2019-01-15T00:01:00.0000000;Tau;636831072600000000;79
2013-06-09T00:03:00.0000000;Alpha;635063329800000000;569
2011-02-07T00:01:00.0000000;Omicron;6.343263366E+17;933
2018-02-05T00:02:00.0000000;Xi;636533857200000000;82
2019-09-24T00:01:00.0000000;Zeta;6.370488006E+17;722
2014-12-21T00:02:00.0000000;Tau;6.355471692E+17;927
2012-11-17T00:03:00.0000000;Eta;6.348870738E+17;911
2012-03-02T00:02:00.0000000;Kappa;634662433200000000;805
2012-01-03T00:01:00.0000000;Iota;634611456600000000;263
2011-04-01T00:01:00.0000000;Kappa;6.343721286E+17;681
2018-06-16T00:01:00.0000000;Tau;636,647,040,600,000,000.00000000;613
2015-07-04T00:02:00.0000000;Omega;6.357156492E+17;942
2017-06-20T00:01:00.0000000;Psi;636,335,136,600,000,000.00000000;508
2019-11-08T00:02:00.0000000;Chi;637087681200000000;336
2019-05-13T00:01:00.0000000;Delta;6.36933E+017;604
2017-08-27T00:01:00.0000000;Iota;636393888600000000;832
2016-06-27T00:02:00.0000000;Epsilon;6.36026E+017;385
2017-02-18T00:02:00.0000000;Chi;6.36230E+017;248
2015-01-03T00:01:00.0000000;Alpha;6.35558E+017;220
2018-03-30T00:01:00.0000000;Tau;6.365796486E+17;257
