TM;Category;unknown;Quantity
2018-08-16T00:01:00.0000000;Beta;6.36700E+017;104
2014-11-17T00:01:00.0000000;Theta;635517792600000000;432
2012-11-17T00:01:00.0000000;Eta;6.348870726E+17;326
2013-06-21T00:01:00.0000000;Tau;6.350736966E+17;630
2015-11-09T00:01:00.0000000;Eta;6.358262406E+17;7
2011-05-21T00:01:00.0000000;Gamma;6.34415E+017;266
2017-08-21T00:01:00.0000000;Epsilon;6.363887046E+17;762
2016-10-12T00:01:00.0000000;Omicron;636118272600000000;843
2018-03-25T00:01:00.0000000;Beta;6.36575E+017;453
2012-06-04T00:01:00.0000000;Upsilon;6.34744E+017;502
2013-07-04T00:01:00.0000000;Iota;635084928600000000;286
2013-06-04T00:01:00.0000000;Lambda;6.350590086E+17;921
2015-09-05T00:02:00.0000000;Theta;635,770,081,200,000,000.00000000;628
2017-04-17T00:01:00.0000000;Mu;6.362798406E+17;516
2014-08-31T00:01:00.0000000;Mu;6.354504006E+17;494
2011-01-05T00:01:00.0000000;Beta;634297824600000000;667
2018-10-11T00:01:00.0000000;Rho;6.367481286E+17;944
2014-02-24T00:01:00.0000000;Psi;635287968600000000;442
2012-10-19T00:01:00.0000000;Beta;634862016600000000;134
2013-08-21T00:01:00.0000000;Xi;635126400600000000;127
2018-04-08T00:01:00.0000000;Rho;636587424600000000;384
2015-11-18T00:01:00.0000000;Zeta;635,834,016,600,000,000.00000000;827
2019-07-12T00:01:00.0000000;Gamma;6.369848646E+17;671
2010-12-13T00:02:00.0000000;Chi;6.342779532E+17;846
2012-03-29T00:01:00.0000000;Omicron;6.346857606E+17;59
2017-06-14T00:01:00.0000000;Kappa;6.363299526E+17;627
2016-05-15T00:01:00.0000000;Rho;635988672600000000;67
2018-11-12T00:02:00.0000000;Phi;6.36776E+017;433
2010-07-10T00:02:00.0000000;Theta;634,143,169,200,000,000.00000000;43
2010-08-28T00:01:00.0000000;Tau;6.341855046E+17;46
2017-12-01T00:01:00.0000000;Tau;636476832600000000;934
2011-06-06T00:01:00.0000000;Pi;634429152600000000;460
2015-03-07T00:01:00.0000000;Kappa;635612832600000000;768
2016-02-02T00:02:00.0000000;Psi;6.35900E+017;149
