TM;Category;unknown;Quantity
2019-05-14T00:01:00.0000000;Omega;6.36934E+017;808
2012-03-13T00:01:00.0000000;Tau;634671936600000000;284
2017-11-22T00:01:00.0000000;Upsilon;6.364690566E+17;266
2012-02-10T00:01:00.0000000;Lambda;634,644,288,600,000,000.00000000;901
2012-09-21T00:01:00.0000000;Chi;6.34838E+017;990
2019-01-26T00:01:00.0000000;Omega;6.36841E+017;631
2015-07-10T00:01:00.0000000;Beta;635720832600000000;639
2018-10-24T00:01:00.0000000;Iota;636759360600000000;940
2011-10-05T00:02:00.0000000;Pi;634,533,697,200,000,000.00000000;176
2011-09-15T00:01:00.0000000;Mu;634516416600000000;515
2013-12-08T00:01:00.0000000;Mu;635220576600000000;958
2013-04-15T00:01:00.0000000;Lambda;6.350158086E+17;387
2010-01-17T00:01:00.0000000;Zeta;6.33993E+017;196
2010-11-15T00:01:00.0000000;Theta;634,253,760,600,000,000.00000000;807
2016-06-10T00:01:00.0000000;Upsilon;6.36011E+017;5
2014-02-25T00:01:00.0000000;Tau;635288832600000000;238
2018-08-12T00:01:00.0000000;Sigma;636696288600000000;429
2012-03-03T00:01:00.0000000;Zeta;634663296600000000;95
2013-10-13T00:02:00.0000000;Gamma;635172193200000000;391
2010-03-04T00:01:00.0000000;Upsilon;634032576600000000;586
2014-08-28T00:02:00.0000000;Delta;6.35448E+017;109
2016-09-06T00:01:00.0000000;Nu;636087168600000000;242
2017-09-02T00:01:00.0000000;Alpha;636399072600000000;334
2019-02-11T00:01:00.0000000;Tau;6.36854E+017;598
2018-09-25T00:01:00.0000000;Pi;6.367343046E+17;820
2013-08-08T00:02:00.0000000;Sigma;635115169200000000;915
2016-07-28T00:02:00.0000000;Omega;636,052,609,200,000,000.00000000;630
2016-08-08T00:01:00.0000000;Mu;6.360621126E+17;815
2017-10-02T00:01:00.0000000;Kappa;636424992600000000;333
2016-10-13T00:02:00.0000000;Psi;6.36119E+017;534
2017-02-01T00:01:00.0000000;Beta;6.36215E+017;642
2015-08-08T00:01:00.0000000;Delta;6.35746E+017;90
2015-12-18T00:01:00.0000000;Iota;6.358599366E+17;912
2019-07-04T00:01:00.0000000;Pi;636977952600000000;438
2019-12-14T00:01:00.0000000;Tau;637118784600000000;204
2015-07-19T00:01:00.0000000;Sigma;6.35729E+017;47
2011-10-23T00:01:00.0000000;Zeta;634549248600000000;763
2013-05-14T00:01:00.0000000;Kappa;6.35041E+017;490
2017-04-10T00:01:00.0000000;Tau;636273792600000000;629
2016-07-09T00:02:00.0000000;Beta;636,036,193,200,000,000.00000000;344
2019-09-09T00:01:00.0000000;Omega;637035840600000000;925
2013-07-08T00:01:00.0000000;Theta;6.35088E+017;396
2012-11-11T00:02:00.0000000;Kappa;634881889200000000;466
2017-06-24T00:01:00.0000000;Tau;6.36339E+017;226
2014-03-04T00:01:00.0000000;Phi;6.352948806E+17;599
2018-03-25T00:01:00.0000000;Lambda;6.36575E+017;151
2010-01-30T00:01:00.0000000;Chi;634,004,064,600,000,000.00000000;533
2019-07-28T00:01:00.0000000;Alpha;6.369986886E+17;73
2017-09-04T00:01:00.0000000;Gamma;6.36401E+017;148
2016-07-18T00:01:00.0000000;Omicron;6.360439686E+17;132
2010-06-24T00:02:00.0000000;Iota;634129345200000000;315
2010-08-07T00:02:00.0000000;Theta;6.341673612E+17;615
2019-08-05T00:01:00.0000000;Iota;637005600600000000;278
2010-12-13T00:01:00.0000000;Mu;6.342779526E+17;951
2012-07-30T00:01:00.0000000;Lambda;6.347920326E+17;172
2014-08-21T00:02:00.0000000;Mu;635,441,761,200,000,000.00000000;166
2012-09-14T00:04:00.0000000;Rho;634831778400000000;495
2016-05-26T00:03:00.0000000;Sigma;6.359981778E+17;168
2010-05-30T00:01:00.0000000;Kappa;6.341077446E+17;563
2018-02-20T00:01:00.0000000;Eta;6.365468166E+17;986
2016-07-26T00:01:00.0000000;Nu;636050880600000000;859
2012-05-29T00:01:00.0000000;Beta;634,738,464,600,000,000.00000000;611
2017-06-20T00:02:00.0000000;Theta;636335137200000000;649
2011-11-10T00:03:00.0000000;Mu;634,564,801,800,000,000.00000000;334
2013-09-05T00:01:00.0000000;Iota;6.351393606E+17;96
2012-10-24T00:01:00.0000000;Lambda;634866336600000000;345
2019-10-06T00:03:00.0000000;Phi;6.370591698E+17;850
2018-09-11T00:01:00.0000000;Chi;636722208600000000;661
2019-08-14T00:02:00.0000000;Rho;6.370133772E+17;962
2019-05-02T00:02:00.0000000;Eta;6.369235212E+17;167
2011-06-22T00:02:00.0000000;Eta;634442977200000000;655
2011-11-13T00:03:00.0000000;Iota;634567393800000000;105
2014-07-02T00:01:00.0000000;Upsilon;635398560600000000;886
2019-05-30T00:01:00.0000000;Xi;636947712600000000;448
2014-08-10T00:03:00.0000000;Omega;6.354322578E+17;187
2011-09-27T00:01:00.0000000;Chi;6.345267846E+17;649
2014-04-19T00:01:00.0000000;Gamma;635334624600000000;25
2016-12-23T00:02:00.0000000;Zeta;636180481200000000;242
2011-09-30T00:02:00.0000000;Omega;6.345293772E+17;25
2019-04-27T00:02:00.0000000;Theta;6.369192012E+17;919
2012-12-09T00:01:00.0000000;Sigma;6.349060806E+17;957
2016-08-10T00:02:00.0000000;Pi;636063841200000000;424
2014-11-30T00:03:00.0000000;Mu;6.355290258E+17;932
2017-01-03T00:03:00.0000000;Omicron;636189985800000000;27
2013-05-20T00:01:00.0000000;Pi;6.350460486E+17;467
2014-10-13T00:03:00.0000000;Psi;635,487,553,800,000,000.00000000;487
2019-07-19T00:01:00.0000000;Chi;636,990,912,600,000,000.00000000;280
2013-02-16T00:01:00.0000000;Psi;6.349656966E+17;564
2017-01-22T00:02:00.0000000;Chi;636206401200000000;91
2013-11-01T00:02:00.0000000;Phi;635188609200000000;428
2015-05-10T00:02:00.0000000;Eta;6.356681292E+17;551
2016-05-20T00:02:00.0000000;Nu;635992993200000000;926
2014-07-14T00:01:00.0000000;Rho;635408928600000000;763
2011-03-18T00:01:00.0000000;Xi;634360032600000000;539
2011-12-26T00:02:00.0000000;Iota;6.346045452E+17;142
2013-03-14T00:01:00.0000000;Pi;634,988,160,600,000,000.00000000;965
2010-06-13T00:01:00.0000000;Beta;6.341198406E+17;189
2018-09-05T00:02:00.0000000;Psi;6.367170252E+17;925
2010-06-20T00:02:00.0000000;Beta;634125889200000000;985
2019-05-15T00:02:00.0000000;Omicron;6.369347532E+17;685
2014-08-12T00:02:00.0000000;Delta;6.354339852E+17;768
2016-12-29T00:02:00.0000000;Theta;6.361856652E+17;580
2016-04-19T00:01:00.0000000;Psi;6.359662086E+17;170
2013-12-11T00:03:00.0000000;Delta;635,223,169,800,000,000.00000000;770
2010-12-20T00:02:00.0000000;Eta;634,284,001,200,000,000.00000000;764
2018-05-20T00:02:00.0000000;Rho;6.366237132E+17;668
2016-08-05T00:02:00.0000000;Iota;6.360595212E+17;997
2012-02-02T00:03:00.0000000;Eta;6.346373778E+17;836
2015-03-19T00:02:00.0000000;Xi;6.356232012E+17;824
2016-08-03T00:04:00.0000000;Alpha;6.360577944E+17;280
2014-08-31T00:03:00.0000000;Kappa;6.354504018E+17;454
2019-03-28T00:02:00.0000000;Delta;636893281200000000;55
2018-08-12T00:01:00.0000000;Pi;636696288600000000;991
2019-07-08T00:01:00.0000000;Chi;6.36981E+017;510
2011-11-04T00:01:00.0000000;Mu;6.345596166E+17;830
2018-03-06T00:02:00.0000000;Rho;6.36559E+017;695
2012-06-04T00:01:00.0000000;Pi;6.34744E+017;608
2017-02-23T00:02:00.0000000;Psi;6.362340492E+17;22
2015-06-04T00:01:00.0000000;Rho;635689728600000000;90
2019-03-27T00:03:00.0000000;Pi;636892417800000000;126
2015-02-24T00:02:00.0000000;Mu;6.35603E+017;551
2018-06-28T00:03:00.0000000;Xi;636657409800000000;427
2016-10-02T00:02:00.0000000;Nu;6.361096332E+17;488
2018-11-12T00:03:00.0000000;Xi;6.36776E+017;165
2017-07-22T00:02:00.0000000;Gamma;636362785200000000;736
2015-11-14T00:02:00.0000000;Pi;635830561200000000;125
2015-08-29T00:02:00.0000000;Omega;6.357640332E+17;528
2012-05-18T00:02:00.0000000;Delta;6.347289612E+17;398
2014-12-31T00:03:00.0000000;Nu;6.35556E+017;419
2019-11-13T00:01:00.0000000;Eta;6.370920006E+17;400
2013-09-02T00:03:00.0000000;Zeta;6.351367698E+17;8
2012-10-15T00:02:00.0000000;Chi;6.348585612E+17;218
2019-11-11T00:02:00.0000000;Chi;6.37090E+017;660
2019-05-28T00:02:00.0000000;Upsilon;636945985200000000;466
2013-04-18T00:01:00.0000000;Zeta;635018400600000000;960
2013-09-26T00:02:00.0000000;Pi;635157505200000000;508
2012-09-23T00:03:00.0000000;Nu;6.348395538E+17;767
2018-01-31T00:01:00.0000000;Alpha;6.365295366E+17;962
2018-07-29T00:03:00.0000000;Pi;6.366841938E+17;537
2011-08-12T00:01:00.0000000;Chi;634,487,040,600,000,000.00000000;260
2014-04-27T00:01:00.0000000;Xi;6.353415366E+17;765
2010-10-24T00:03:00.0000000;Rho;634234753800000000;126
2014-11-29T00:03:00.0000000;Eta;6.355281618E+17;46
2017-08-12T00:03:00.0000000;Lambda;636,380,929,800,000,000.00000000;148
2011-03-25T00:02:00.0000000;Tau;634366081200000000;21
2013-04-12T00:03:00.0000000;Gamma;6.350132178E+17;787
2016-04-21T00:01:00.0000000;Upsilon;6.359679366E+17;913
2017-07-07T00:03:00.0000000;Alpha;636349825800000000;23
2017-11-13T00:03:00.0000000;Kappa;636461281800000000;107
2019-09-30T00:01:00.0000000;Psi;637,053,984,600,000,000.00000000;144
2017-08-01T00:01:00.0000000;Kappa;6.36371E+017;741
2017-11-13T00:03:00.0000000;Theta;636461281800000000;170
2017-12-16T00:02:00.0000000;Upsilon;636,489,793,200,000,000.00000000;466
2015-08-20T00:02:00.0000000;Gamma;635756257200000000;312
2019-03-16T00:02:00.0000000;Eta;636882913200000000;885
2011-04-09T00:04:00.0000000;Phi;634379042400000000;44
2015-07-03T00:01:00.0000000;Chi;6.35715E+017;563
2015-10-26T00:01:00.0000000;Zeta;635814144600000000;113
2014-07-05T00:02:00.0000000;Chi;6.35401E+017;699
2017-06-06T00:03:00.0000000;Chi;6.36323E+017;343
2013-06-09T00:02:00.0000000;Psi;635063329200000000;566
2011-12-20T00:02:00.0000000;Alpha;634599361200000000;192
2016-06-11T00:01:00.0000000;Psi;6.36012E+017;677
2014-07-17T00:03:00.0000000;Eta;635411521800000000;846
2019-11-11T00:01:00.0000000;Xi;6.37090E+017;368
2015-05-30T00:04:00.0000000;Psi;6.356854104E+17;69
2017-05-20T00:03:00.0000000;Nu;6.363083538E+17;740
2012-02-07T00:01:00.0000000;Upsilon;634641696600000000;292
2012-05-13T00:04:00.0000000;Zeta;6.34725E+017;892
2012-04-17T00:01:00.0000000;Psi;6.347021766E+17;897
2019-10-30T00:03:00.0000000;Phi;637079905800000000;218
2011-10-11T00:01:00.0000000;Iota;634538880600000000;968
2012-06-07T00:02:00.0000000;Iota;6.347462412E+17;440
2010-08-11T00:02:00.0000000;Iota;634170817200000000;791
2014-01-20T00:02:00.0000000;Tau;635257729200000000;100
2017-05-07T00:02:00.0000000;Eta;6.362971212E+17;904
2010-11-16T00:02:00.0000000;Sigma;634254625200000000;962
2010-01-25T00:03:00.0000000;Alpha;633999745800000000;162
2012-03-16T00:01:00.0000000;Xi;634,674,528,600,000,000.00000000;627
2014-05-27T00:02:00.0000000;Epsilon;6.35367E+017;23
2015-01-11T00:04:00.0000000;Epsilon;635,565,314,400,000,000.00000000;379
2017-08-14T00:04:00.0000000;Alpha;636382658400000000;941
2018-06-07T00:04:00.0000000;Pi;6.366392664E+17;888
2017-04-17T00:03:00.0000000;Iota;6.362798418E+17;313
2010-01-15T00:02:00.0000000;Lambda;6.33991E+017;364
2011-11-27T00:02:00.0000000;Psi;634579489200000000;508
2013-03-26T00:03:00.0000000;Lambda;6.349985298E+17;307
2013-04-11T00:03:00.0000000;Gamma;6.350123538E+17;660
2016-08-10T00:01:00.0000000;Rho;6.360638406E+17;767
2011-09-04T00:05:00.0000000;Mu;6.34507E+017;917
2014-09-18T00:01:00.0000000;Gamma;6.354659526E+17;751
2010-04-06T00:03:00.0000000;Mu;634061089800000000;897
2016-05-19T00:03:00.0000000;Nu;635992129800000000;958
2019-11-14T00:02:00.0000000;Eta;6.370928652E+17;587
2011-07-09T00:02:00.0000000;Iota;634457665200000000;733
2017-04-10T00:02:00.0000000;Epsilon;636273793200000000;802
2016-05-14T00:03:00.0000000;Epsilon;635,987,809,800,000,000.00000000;833
2018-02-11T00:02:00.0000000;Tau;636539041200000000;380
2015-01-12T00:04:00.0000000;Epsilon;635,566,178,400,000,000.00000000;813
2018-02-21T00:02:00.0000000;Sigma;6.365476812E+17;955
2015-12-29T00:02:00.0000000;Epsilon;6.35869E+017;482
2010-10-28T00:03:00.0000000;Eta;634238209800000000;370
2016-12-31T00:04:00.0000000;Eta;636187394400000000;516
2012-10-12T00:03:00.0000000;Beta;6.348559698E+17;960
2014-07-25T00:03:00.0000000;Theta;6.354184338E+17;646
2016-07-30T00:03:00.0000000;Beta;636054337800000000;322
2010-03-12T00:05:00.0000000;Upsilon;6.34039491E+17;106
2019-07-13T00:02:00.0000000;Alpha;6.369857292E+17;437
2010-01-23T00:02:00.0000000;Upsilon;6.339980172E+17;761
2012-12-30T00:03:00.0000000;Nu;634,924,225,800,000,000.00000000;390
2015-04-15T00:02:00.0000000;Sigma;635646529200000000;218
