TM;Category;unknown;Quantity
2012-01-29T00:01:00.0000000;Zeta;6.34634E+017;527
2017-01-19T00:01:00.0000000;Omicron;6.362038086E+17;313
2014-01-12T00:01:00.0000000;Omicron;635250816600000000;88
2010-10-21T00:01:00.0000000;Zeta;6.342321606E+17;355
2017-05-03T00:01:00.0000000;Gamma;6.36294E+017;857
2011-11-02T00:01:00.0000000;Beta;6.345578886E+17;435
2013-07-12T00:01:00.0000000;Rho;6.350918406E+17;83
2018-03-24T00:01:00.0000000;Tau;6.36574E+017;83
2011-05-07T00:02:00.0000000;Upsilon;6.344032332E+17;556
2018-06-24T00:01:00.0000000;Zeta;6.366539526E+17;232
2017-06-08T00:01:00.0000000;Chi;6.36325E+017;383
2014-10-04T00:02:00.0000000;Kappa;6.354797772E+17;979
2016-11-27T00:01:00.0000000;Alpha;6.361580166E+17;294
2015-04-01T00:01:00.0000000;Rho;6.35634E+017;64
2014-10-03T00:01:00.0000000;Epsilon;6.35479E+017;337
2018-09-30T00:01:00.0000000;Pi;636738624600000000;865
2014-04-14T00:02:00.0000000;Zeta;635330305200000000;709
2017-12-25T00:01:00.0000000;Kappa;6.364975686E+17;393
2010-02-10T00:02:00.0000000;Omicron;6.340135692E+17;274
2018-02-15T00:01:00.0000000;Nu;6.36542E+017;256
2013-05-13T00:01:00.0000000;Eta;6.35040E+017;395
2010-12-09T00:01:00.0000000;Zeta;6.34274E+017;863
2013-03-01T00:02:00.0000000;Iota;6.34977E+017;382
2018-12-31T00:01:00.0000000;Alpha;636,818,112,600,000,000.00000000;737
2019-03-03T00:01:00.0000000;Lambda;6.36872E+017;576
2011-08-03T00:01:00.0000000;Eta;6.344792646E+17;545
2015-06-20T00:01:00.0000000;Sigma;6.357035526E+17;532
2011-01-25T00:01:00.0000000;Tau;634,315,104,600,000,000.00000000;998
2013-02-26T00:01:00.0000000;Omega;634,974,336,600,000,000.00000000;256
2011-02-09T00:03:00.0000000;Xi;634328065800000000;53
2014-09-20T00:02:00.0000000;Kappa;6.354676812E+17;909
2011-06-21T00:01:00.0000000;Omicron;634,442,112,600,000,000.00000000;281
2018-11-19T00:01:00.0000000;Rho;6.367818246E+17;803
2012-04-26T00:01:00.0000000;Lambda;634709952600000000;927
2011-08-19T00:01:00.0000000;Pi;6.34493E+017;0
2017-03-20T00:01:00.0000000;Epsilon;636,255,648,600,000,000.00000000;857
2015-02-16T00:02:00.0000000;Psi;635596417200000000;565
2012-12-01T00:01:00.0000000;Omega;6.34899E+017;197
2015-07-16T00:01:00.0000000;Gamma;635726016600000000;155
2014-11-28T00:01:00.0000000;Gamma;6.355272966E+17;773
2018-05-08T00:01:00.0000000;Eta;636613344600000000;570
2019-09-07T00:01:00.0000000;Eta;6.370341126E+17;779
2018-10-03T00:01:00.0000000;Chi;636,741,216,600,000,000.00000000;227
2013-09-03T00:01:00.0000000;Omicron;6.351376326E+17;842
2013-02-09T00:01:00.0000000;Beta;634959648600000000;943
2018-05-25T00:01:00.0000000;Epsilon;636628032600000000;600
2016-04-01T00:02:00.0000000;Pi;6.359506572E+17;463
2016-06-24T00:02:00.0000000;Gamma;636023233200000000;725
2015-11-13T00:01:00.0000000;Eta;635829696600000000;808
2014-08-06T00:02:00.0000000;Omicron;635428801200000000;290
2018-10-22T00:01:00.0000000;Mu;636,757,632,600,000,000.00000000;10
2010-01-10T00:02:00.0000000;Omega;633,986,785,200,000,000.00000000;695
2012-06-15T00:01:00.0000000;Sigma;634,753,152,600,000,000.00000000;517
2019-03-24T00:01:00.0000000;Zeta;6.368898246E+17;887
2012-03-31T00:02:00.0000000;Omicron;634687489200000000;968
2013-10-02T00:01:00.0000000;Beta;635162688600000000;406
2010-06-20T00:02:00.0000000;Upsilon;634125889200000000;802
2011-07-14T00:01:00.0000000;Chi;6.34462E+017;333
2016-09-01T00:01:00.0000000;Omicron;636,082,848,600,000,000.00000000;655
2017-09-19T00:02:00.0000000;Theta;636413761200000000;124
2018-03-19T00:01:00.0000000;Omega;636,570,144,600,000,000.00000000;591
2011-04-27T00:02:00.0000000;Theta;634,394,593,200,000,000.00000000;72
