TM;Category;unknown;Quantity
2018-09-24T00:01:00.0000000;Theta;6.367334406E+17;658
2018-08-01T00:01:00.0000000;Kappa;6.366867846E+17;43
2010-04-15T00:01:00.0000000;Omega;634068864600000000;696
2019-06-25T00:01:00.0000000;Alpha;6.369701766E+17;624
2010-04-18T00:01:00.0000000;Beta;6.34071E+017;10
2018-09-14T00:01:00.0000000;Tau;636,724,800,600,000,000.00000000;231
2014-06-24T00:01:00.0000000;Upsilon;635391648600000000;855
2017-01-07T00:01:00.0000000;Nu;636,193,440,600,000,000.00000000;512
2018-06-20T00:01:00.0000000;Eta;636650496600000000;182
2019-07-15T00:01:00.0000000;Xi;636987456600000000;502
2015-01-06T00:02:00.0000000;Delta;6.355609932E+17;143
2011-04-18T00:01:00.0000000;Xi;6.343868166E+17;96
2010-09-25T00:01:00.0000000;Xi;634209696600000000;558
2016-09-08T00:01:00.0000000;Nu;6.36089E+017;123
2015-11-06T00:01:00.0000000;Tau;6.35824E+017;825
2015-08-22T00:01:00.0000000;Beta;635757984600000000;907
2017-01-16T00:01:00.0000000;Nu;6.362012166E+17;903
2018-09-20T00:01:00.0000000;Sigma;6.36730E+017;574
2011-08-05T00:01:00.0000000;Upsilon;6.344809926E+17;113
2016-11-09T00:01:00.0000000;Epsilon;6.361424646E+17;450
2011-09-26T00:01:00.0000000;Delta;6.345259206E+17;833
2018-06-22T00:01:00.0000000;Theta;6.36652E+017;78
2019-08-01T00:01:00.0000000;Gamma;6.370021446E+17;340
2011-06-27T00:01:00.0000000;Nu;6.34447E+017;329
2011-12-11T00:01:00.0000000;Phi;6.345915846E+17;854
2016-04-27T00:01:00.0000000;Theta;635,973,120,600,000,000.00000000;109
2013-02-25T00:01:00.0000000;Iota;634,973,472,600,000,000.00000000;703
2015-08-03T00:01:00.0000000;Omega;635741568600000000;615
2012-08-22T00:01:00.0000000;Gamma;6.348119046E+17;635
2017-12-29T00:02:00.0000000;Psi;6.365010252E+17;269
2014-08-25T00:02:00.0000000;Iota;635445217200000000;131
2014-08-22T00:01:00.0000000;Iota;635,442,624,600,000,000.00000000;123
2011-05-21T00:01:00.0000000;Beta;6.34415E+017;676
2011-06-28T00:02:00.0000000;Lambda;6.344481612E+17;137
2016-02-25T00:01:00.0000000;Alpha;6.359195526E+17;269
2015-10-15T00:02:00.0000000;Chi;635804641200000000;961
2015-03-02T00:01:00.0000000;Mu;6.356085126E+17;453
2018-03-11T00:01:00.0000000;Xi;6.365632326E+17;501
2018-06-12T00:01:00.0000000;Psi;636643584600000000;230
2010-06-03T00:01:00.0000000;Delta;634111200600000000;844
2016-10-13T00:01:00.0000000;Upsilon;6.36119E+017;786
2016-09-30T00:01:00.0000000;Nu;6.361079046E+17;356
2016-01-23T00:01:00.0000000;Beta;6.358910406E+17;633
2018-12-25T00:01:00.0000000;Gamma;6.368129286E+17;818
2011-07-24T00:02:00.0000000;Theta;634,470,625,200,000,000.00000000;319
2017-04-28T00:01:00.0000000;Omicron;636289344600000000;411
2016-11-02T00:02:00.0000000;Omicron;6.36136E+017;442
2017-11-19T00:01:00.0000000;Gamma;6.364664646E+17;108
2011-12-06T00:02:00.0000000;Mu;6.34587E+017;996
2013-11-16T00:01:00.0000000;Mu;6.352015686E+17;749
2015-04-16T00:01:00.0000000;Tau;635647392600000000;855
2010-01-19T00:02:00.0000000;Tau;6.339945612E+17;478
2019-11-19T00:01:00.0000000;Alpha;637097184600000000;588
