TM;Category;unknown;Quantity
2011-10-25T00:01:00.0000000;Pi;634,550,976,600,000,000.00000000;874
2013-10-16T00:01:00.0000000;Lambda;635174784600000000;633
2015-08-12T00:01:00.0000000;Psi;6.357493446E+17;737
2012-03-22T00:01:00.0000000;Rho;634679712600000000;640
2018-08-23T00:01:00.0000000;Theta;636705792600000000;803
2013-08-12T00:01:00.0000000;Tau;6.35119E+017;473
2013-04-12T00:01:00.0000000;Iota;6.350132166E+17;913
2017-12-05T00:01:00.0000000;Tau;6.36480E+017;649
2015-03-16T00:01:00.0000000;Epsilon;6.35621E+017;599
2012-12-31T00:01:00.0000000;Tau;634,925,088,600,000,000.00000000;824
2016-07-26T00:01:00.0000000;Epsilon;636050880600000000;881
2017-10-14T00:01:00.0000000;Theta;6.364353606E+17;851
2019-07-10T00:01:00.0000000;Beta;6.369831366E+17;920
2016-06-22T00:01:00.0000000;Lambda;636,021,504,600,000,000.00000000;407
2011-01-22T00:01:00.0000000;Upsilon;634312512600000000;795
2012-07-25T00:02:00.0000000;Nu;634787713200000000;529
2014-11-25T00:01:00.0000000;Psi;6.35525E+017;641
2013-08-19T00:01:00.0000000;Iota;6.351246726E+17;631
2012-08-23T00:01:00.0000000;Eta;634812768600000000;536
2017-01-13T00:01:00.0000000;Xi;6.36199E+017;60
2012-10-13T00:01:00.0000000;Upsilon;6.348568326E+17;831
2018-02-08T00:01:00.0000000;Sigma;636,536,448,600,000,000.00000000;803
2017-01-23T00:01:00.0000000;Gamma;636207264600000000;491
2012-10-12T00:02:00.0000000;Chi;6.348559692E+17;310
2019-01-10T00:01:00.0000000;Alpha;6.368267526E+17;421
2018-09-25T00:01:00.0000000;Eta;6.367343046E+17;638
2019-08-16T00:01:00.0000000;Upsilon;6.370151046E+17;105
2015-06-22T00:01:00.0000000;Phi;635705280600000000;246
2017-02-26T00:02:00.0000000;Eta;636236641200000000;961
2012-01-12T00:01:00.0000000;Xi;6.34619E+017;690
2015-02-05T00:01:00.0000000;Rho;635586912600000000;681
2011-03-28T00:01:00.0000000;Nu;6.34369E+017;931
2010-05-22T00:01:00.0000000;Gamma;634100832600000000;423
2018-03-08T00:01:00.0000000;Gamma;6.365606406E+17;382
2012-09-06T00:01:00.0000000;Kappa;6.348248646E+17;221
2015-06-18T00:02:00.0000000;Kappa;6.357018252E+17;305
2019-02-22T00:02:00.0000000;Eta;636863905200000000;786
2011-07-11T00:01:00.0000000;Zeta;634459392600000000;548
2016-04-22T00:01:00.0000000;Eta;6.359688006E+17;260
2018-07-04T00:01:00.0000000;Lambda;636,662,592,600,000,000.00000000;881
2011-04-17T00:03:00.0000000;Zeta;6.343859538E+17;723
2018-01-31T00:01:00.0000000;Epsilon;6.365295366E+17;650
2018-02-06T00:01:00.0000000;Theta;636534720600000000;770
2016-08-25T00:02:00.0000000;Omega;6.360768012E+17;151
2012-11-20T00:02:00.0000000;Zeta;6.348896652E+17;180
2013-06-15T00:02:00.0000000;Sigma;635068513200000000;330
2010-08-18T00:01:00.0000000;Kappa;634176864600000000;620
2012-04-02T00:01:00.0000000;Nu;634689216600000000;844
2018-07-27T00:01:00.0000000;Alpha;6.36682E+017;201
2018-05-14T00:01:00.0000000;Kappa;636618528600000000;512
2015-05-24T00:02:00.0000000;Zeta;635680225200000000;69
2015-04-20T00:01:00.0000000;Theta;6.35651E+017;367
