TM;Category;unknown;Quantity
2013-03-31T00:01:00.0000000;Phi;635002848600000000;86
2017-06-07T00:01:00.0000000;Lambda;6.36324E+017;619
2012-04-24T00:01:00.0000000;Mu;634,708,224,600,000,000.00000000;566
2019-04-07T00:01:00.0000000;Iota;6.36902E+017;439
2014-01-15T00:01:00.0000000;Iota;635,253,408,600,000,000.00000000;398
2018-08-31T00:01:00.0000000;Sigma;636712704600000000;390
2015-01-12T00:01:00.0000000;Sigma;635566176600000000;911
2010-09-30T00:01:00.0000000;Zeta;6.342140166E+17;837
2010-11-07T00:01:00.0000000;Nu;6.342468486E+17;466
2018-05-09T00:01:00.0000000;Zeta;636614208600000000;196
2014-02-04T00:01:00.0000000;Alpha;635,270,688,600,000,000.00000000;768
2015-06-24T00:01:00.0000000;Iota;635707008600000000;726
2015-11-08T00:01:00.0000000;Lambda;6.358253766E+17;300
2014-02-04T00:01:00.0000000;Nu;635,270,688,600,000,000.00000000;552
2013-03-05T00:01:00.0000000;Theta;6.349803846E+17;248
2013-10-30T00:01:00.0000000;Eta;6.351868806E+17;15
2014-06-21T00:01:00.0000000;Gamma;6.353890566E+17;484
2013-02-11T00:01:00.0000000;Upsilon;6.34961E+017;209
2014-09-02T00:01:00.0000000;Phi;6.354521286E+17;626
2012-01-22T00:01:00.0000000;Chi;634,627,872,600,000,000.00000000;816
2018-10-06T00:01:00.0000000;Epsilon;636743808600000000;746
2013-04-24T00:02:00.0000000;Phi;6.35024E+017;743
2014-12-20T00:02:00.0000000;Psi;6.355463052E+17;319
2016-07-22T00:01:00.0000000;Mu;6.360474246E+17;331
2019-04-06T00:01:00.0000000;Rho;636901056600000000;221
2010-09-05T00:01:00.0000000;Nu;634192416600000000;111
2018-09-21T00:01:00.0000000;Chi;6.36731E+017;138
2018-12-10T00:01:00.0000000;Lambda;636799968600000000;175
2019-12-23T00:01:00.0000000;Psi;6.371265606E+17;785
2013-12-20T00:01:00.0000000;Gamma;6.352309446E+17;491
2016-08-17T00:01:00.0000000;Tau;636069888600000000;518
2016-10-25T00:01:00.0000000;Beta;636,129,504,600,000,000.00000000;719
2011-08-30T00:01:00.0000000;Omicron;634,502,592,600,000,000.00000000;533
2011-06-11T00:01:00.0000000;Psi;6.344334726E+17;770
2015-04-09T00:01:00.0000000;Delta;6.356413446E+17;694
2018-02-23T00:01:00.0000000;Psi;636549408600000000;308
2011-01-11T00:02:00.0000000;Xi;634303009200000000;9
2018-07-02T00:01:00.0000000;Upsilon;636660864600000000;614
2010-01-17T00:01:00.0000000;Mu;6.33993E+017;356
2016-03-02T00:01:00.0000000;Chi;635924736600000000;663
2014-11-27T00:02:00.0000000;Alpha;6.355264332E+17;283
2013-07-17T00:01:00.0000000;Epsilon;635096160600000000;826
2018-11-07T00:01:00.0000000;Chi;636,771,456,600,000,000.00000000;726
2019-05-14T00:01:00.0000000;Omicron;6.36934E+017;34
2010-12-25T00:02:00.0000000;Alpha;6.34288E+017;926
2017-10-27T00:01:00.0000000;Sigma;636446592600000000;253
2014-05-09T00:01:00.0000000;Mu;635351904600000000;119
2018-09-21T00:01:00.0000000;Omega;6.36731E+017;476
2012-02-07T00:01:00.0000000;Alpha;634641696600000000;830
2019-09-29T00:02:00.0000000;Upsilon;637,053,121,200,000,000.00000000;328
2018-05-17T00:01:00.0000000;Pi;6.36621E+017;239
2011-07-20T00:03:00.0000000;Alpha;634467169800000000;107
2013-04-14T00:03:00.0000000;Mu;635014945800000000;610
2013-01-30T00:02:00.0000000;Sigma;6.349510092E+17;264
2019-10-28T00:01:00.0000000;Sigma;6.370781766E+17;991
2013-07-20T00:02:00.0000000;Alpha;635,098,753,200,000,000.00000000;275
2010-05-03T00:01:00.0000000;Zeta;634084416600000000;182
2012-08-15T00:02:00.0000000;Phi;6.34806E+017;164
2013-09-12T00:03:00.0000000;Theta;635145409800000000;658
2016-05-24T00:02:00.0000000;Psi;6.359964492E+17;148
2013-06-08T00:01:00.0000000;Zeta;6.350624646E+17;529
2010-09-17T00:01:00.0000000;Upsilon;634202784600000000;350
2012-02-24T00:01:00.0000000;Epsilon;634656384600000000;886
2011-05-23T00:01:00.0000000;Beta;6.344170566E+17;5
2015-02-21T00:01:00.0000000;Zeta;635600736600000000;866
2018-08-29T00:02:00.0000000;Gamma;636710977200000000;78
2019-09-11T00:01:00.0000000;Beta;637,037,568,600,000,000.00000000;661
2010-04-25T00:02:00.0000000;Pi;634077505200000000;274
2016-07-14T00:01:00.0000000;Kappa;636040512600000000;975
2013-06-12T00:03:00.0000000;Beta;635,065,921,800,000,000.00000000;220
2015-08-27T00:02:00.0000000;Upsilon;6.357623052E+17;414
2016-10-29T00:01:00.0000000;Pi;636132960600000000;529
2014-04-13T00:01:00.0000000;Omega;635329440600000000;273
2015-11-22T00:02:00.0000000;Pi;6.35837E+017;679
2016-08-30T00:01:00.0000000;Eta;636081120600000000;778
2010-06-11T00:02:00.0000000;Theta;6.34118E+017;49
2019-10-08T00:02:00.0000000;Pi;6.370608972E+17;675
2012-03-07T00:03:00.0000000;Eta;6.346667538E+17;78
2012-06-17T00:01:00.0000000;Iota;634,754,880,600,000,000.00000000;702
2011-04-08T00:02:00.0000000;Epsilon;634,378,177,200,000,000.00000000;934
2015-06-27T00:03:00.0000000;Epsilon;635709601800000000;262
2017-10-15T00:02:00.0000000;Xi;6.364362252E+17;9
2015-06-10T00:02:00.0000000;Beta;635694913200000000;918
2019-07-03T00:01:00.0000000;Omega;636977088600000000;478
2016-09-15T00:01:00.0000000;Xi;6.360949446E+17;897
2015-08-04T00:02:00.0000000;Psi;635742433200000000;523
2019-02-10T00:03:00.0000000;Chi;6.36854E+017;77
2017-07-28T00:03:00.0000000;Mu;6.36368E+017;392
2018-10-12T00:02:00.0000000;Gamma;6.367489932E+17;454
2011-06-16T00:02:00.0000000;Mu;634437793200000000;207
2013-07-08T00:02:00.0000000;Beta;6.350883852E+17;589
2018-03-25T00:01:00.0000000;Delta;6.36575E+017;135
2014-06-17T00:02:00.0000000;Nu;6.35386E+017;729
2016-04-06T00:02:00.0000000;Beta;635954977200000000;514
2014-04-28T00:03:00.0000000;Sigma;6.353424018E+17;286
2016-07-15T00:02:00.0000000;Tau;6.36041E+017;924
2011-02-02T00:02:00.0000000;Upsilon;6.343220172E+17;457
2013-06-11T00:01:00.0000000;Upsilon;635065056600000000;306
2012-06-03T00:01:00.0000000;Nu;6.34743E+017;614
2018-12-16T00:02:00.0000000;Omicron;636805153200000000;450
2012-06-11T00:01:00.0000000;Psi;6.347496966E+17;648
2012-09-11T00:01:00.0000000;Omega;634829184600000000;885
2018-03-17T00:01:00.0000000;Kappa;636,568,416,600,000,000.00000000;888
2013-04-01T00:02:00.0000000;Kappa;635,003,713,200,000,000.00000000;195
2011-02-24T00:01:00.0000000;Upsilon;6.343410246E+17;924
2014-09-18T00:02:00.0000000;Kappa;6.354659532E+17;68
2019-04-25T00:03:00.0000000;Omicron;6.36917E+017;627
2019-07-29T00:02:00.0000000;Epsilon;6.369995532E+17;494
2010-06-29T00:02:00.0000000;Pi;6.34134E+017;109
2014-01-18T00:03:00.0000000;Omicron;635256001800000000;557
2017-03-02T00:02:00.0000000;Pi;636,240,097,200,000,000.00000000;183
2016-11-26T00:01:00.0000000;Kappa;6.361571526E+17;865
2017-06-16T00:03:00.0000000;Omega;636,331,681,800,000,000.00000000;430
2015-02-05T00:03:00.0000000;Pi;6.35587E+017;299
2013-03-30T00:01:00.0000000;Rho;635001984600000000;212
2014-05-07T00:03:00.0000000;Lambda;635350177800000000;197
2018-08-27T00:01:00.0000000;Theta;636,709,248,600,000,000.00000000;581
2015-07-16T00:03:00.0000000;Kappa;635726017800000000;80
2015-04-21T00:01:00.0000000;Theta;6.35652E+017;233
2014-11-11T00:02:00.0000000;Rho;6.355126092E+17;431
2019-04-22T00:01:00.0000000;Zeta;636914880600000000;767
2015-06-19T00:02:00.0000000;Zeta;6.357026892E+17;114
2011-03-19T00:02:00.0000000;Upsilon;634,360,897,200,000,000.00000000;55
2017-08-14T00:02:00.0000000;Chi;636382657200000000;960
2010-05-18T00:01:00.0000000;Rho;634,097,376,600,000,000.00000000;739
2016-09-12T00:03:00.0000000;Omega;6.360923538E+17;144
2011-06-28T00:03:00.0000000;Gamma;6.344481618E+17;315
2017-03-07T00:01:00.0000000;Kappa;6.36244E+017;198
2013-01-14T00:02:00.0000000;Tau;634937185200000000;171
2017-06-10T00:01:00.0000000;Iota;6.363264966E+17;513
2011-11-30T00:05:00.0000000;Pi;634582083000000000;443
2014-08-11T00:03:00.0000000;Nu;6.354331218E+17;844
2015-11-21T00:01:00.0000000;Tau;635836608600000000;372
2016-02-20T00:01:00.0000000;Mu;635915232600000000;798
