TM;Category;unknown;Quantity
2016-05-18T00:01:00.0000000;Beta;635,991,264,600,000,000.00000000;462
2014-10-31T00:01:00.0000000;Chi;635503104600000000;116
2013-11-23T00:01:00.0000000;Upsilon;635,207,616,600,000,000.00000000;714
2011-04-01T00:01:00.0000000;Epsilon;6.343721286E+17;672
2016-02-04T00:01:00.0000000;Epsilon;6.35901E+017;134
2010-07-15T00:01:00.0000000;Zeta;634147488600000000;391
2010-12-28T00:01:00.0000000;Kappa;6.34291E+017;275
2018-03-12T00:01:00.0000000;Nu;6.365640966E+17;398
2015-02-24T00:01:00.0000000;Chi;6.35603E+017;209
2016-11-13T00:01:00.0000000;Lambda;636,145,920,600,000,000.00000000;560
2019-05-05T00:01:00.0000000;Beta;636926112600000000;32
2016-06-05T00:01:00.0000000;Nu;636,006,816,600,000,000.00000000;480
2010-03-07T00:02:00.0000000;Omega;634035169200000000;190
2012-10-20T00:02:00.0000000;Sigma;634,862,881,200,000,000.00000000;911
2012-01-19T00:01:00.0000000;Epsilon;634625280600000000;287
2013-04-12T00:01:00.0000000;Delta;6.350132166E+17;752
2017-10-31T00:01:00.0000000;Gamma;6.36450E+017;947
2018-11-05T00:01:00.0000000;Epsilon;636769728600000000;640
2017-12-19T00:02:00.0000000;Delta;636492385200000000;958
2015-06-25T00:01:00.0000000;Beta;635,707,872,600,000,000.00000000;402
2010-07-11T00:01:00.0000000;Omega;634,144,032,600,000,000.00000000;589
2017-03-18T00:01:00.0000000;Chi;636253920600000000;956
2014-05-22T00:01:00.0000000;Xi;635,363,136,600,000,000.00000000;266
2014-03-29T00:01:00.0000000;Eta;635,316,480,600,000,000.00000000;26
2010-08-31T00:01:00.0000000;Iota;634188096600000000;56
2019-11-02T00:01:00.0000000;Sigma;637082496600000000;622
2017-02-28T00:02:00.0000000;Eta;636,238,369,200,000,000.00000000;269
2019-08-30T00:01:00.0000000;Omicron;6.37027E+017;432
2012-08-29T00:01:00.0000000;Alpha;634817952600000000;553
2013-05-14T00:01:00.0000000;Eta;6.35041E+017;681
2010-05-03T00:02:00.0000000;Rho;634084417200000000;739
2010-02-07T00:02:00.0000000;Kappa;6.340109772E+17;549
2019-03-24T00:01:00.0000000;Lambda;6.368898246E+17;264
2017-11-23T00:01:00.0000000;Gamma;6.364699206E+17;729
2016-03-27T00:01:00.0000000;Delta;635946336600000000;174
2011-06-25T00:01:00.0000000;Iota;6.34446E+017;31
2016-08-24T00:01:00.0000000;Upsilon;6.360759366E+17;13
2012-11-26T00:01:00.0000000;Eta;634,894,848,600,000,000.00000000;702
2010-08-03T00:02:00.0000000;Phi;6.34164E+017;748
2014-01-27T00:01:00.0000000;Omicron;6.352637766E+17;38
2012-11-17T00:02:00.0000000;Eta;6.348870732E+17;421
2014-08-16T00:01:00.0000000;Gamma;6.354374406E+17;326
2014-10-08T00:01:00.0000000;Nu;6.354832326E+17;949
2016-05-03T00:02:00.0000000;Theta;6.35978E+017;670
2013-02-17T00:02:00.0000000;Omega;6.349665612E+17;390
2014-05-11T00:02:00.0000000;Lambda;6.35354E+017;19
2012-12-07T00:01:00.0000000;Zeta;6.349043526E+17;457
2014-12-12T00:01:00.0000000;Upsilon;635539392600000000;773
2015-11-16T00:02:00.0000000;Sigma;635,832,289,200,000,000.00000000;874
2014-07-03T00:01:00.0000000;Omicron;6.35399E+017;360
2013-09-07T00:02:00.0000000;Kappa;635141089200000000;429
2017-09-29T00:01:00.0000000;Delta;6.364224006E+17;818
2014-01-26T00:01:00.0000000;Upsilon;6.352629126E+17;608
2013-04-09T00:01:00.0000000;Chi;6.35011E+017;180
2017-09-23T00:01:00.0000000;Sigma;6.36417E+017;143
2017-03-05T00:01:00.0000000;Delta;636242688600000000;968
2018-10-13T00:02:00.0000000;Alpha;6.367498572E+17;233
2011-05-18T00:02:00.0000000;Iota;634412737200000000;640
2017-06-04T00:01:00.0000000;Mu;636321312600000000;18
2016-09-21T00:01:00.0000000;Nu;636,100,128,600,000,000.00000000;184
2014-10-23T00:02:00.0000000;Tau;6.354961932E+17;712
2012-08-23T00:01:00.0000000;Upsilon;634812768600000000;454
2012-02-26T00:03:00.0000000;Zeta;634,658,113,800,000,000.00000000;560
2014-08-07T00:01:00.0000000;Nu;635429664600000000;166
2011-06-14T00:02:00.0000000;Pi;6.344360652E+17;504
2014-11-02T00:01:00.0000000;Beta;635,504,832,600,000,000.00000000;661
2010-10-24T00:01:00.0000000;Zeta;634234752600000000;604
2018-01-30T00:02:00.0000000;Delta;6.365286732E+17;231
2018-08-02T00:02:00.0000000;Phi;6.366876492E+17;600
2019-11-28T00:01:00.0000000;Omega;6.37105E+017;493
2012-04-20T00:01:00.0000000;Xi;634704768600000000;140
2013-03-21T00:01:00.0000000;Epsilon;6.34994E+017;736
2019-01-26T00:01:00.0000000;Omicron;6.36841E+017;931
