TM;Category;unknown;Quantity
2017-03-20T00:01:00.0000000;Zeta;636,255,648,600,000,000.00000000;100
2015-06-19T00:01:00.0000000;Epsilon;6.357026886E+17;163
2010-11-29T00:01:00.0000000;Pi;634265856600000000;765
2014-11-03T00:01:00.0000000;Alpha;635,505,696,600,000,000.00000000;587
2010-05-30T00:02:00.0000000;Sigma;6.341077452E+17;803
2017-03-23T00:01:00.0000000;Alpha;636258240600000000;374
2015-05-31T00:01:00.0000000;Kappa;6.356862726E+17;701
2012-11-25T00:01:00.0000000;Kappa;634,893,984,600,000,000.00000000;294
2010-11-03T00:01:00.0000000;Mu;6.34243E+017;557
2014-05-04T00:01:00.0000000;Omega;635,347,584,600,000,000.00000000;474
2012-08-20T00:01:00.0000000;Rho;6.348101766E+17;388
2013-07-08T00:01:00.0000000;Zeta;6.35088E+017;851
2019-04-05T00:01:00.0000000;Chi;636900192600000000;766
2012-08-09T00:01:00.0000000;Beta;634,800,672,600,000,000.00000000;948
2014-02-28T00:01:00.0000000;Chi;6.35291E+017;477
2014-04-22T00:01:00.0000000;Tau;6.35337E+017;927
2019-05-02T00:01:00.0000000;Nu;6.369235206E+17;798
2012-02-17T00:01:00.0000000;Alpha;6.34650E+017;93
2019-10-20T00:01:00.0000000;Upsilon;637071264600000000;848
2018-09-05T00:01:00.0000000;Omicron;6.367170246E+17;973
2015-10-04T00:01:00.0000000;Zeta;6.357951366E+17;649
2014-11-24T00:01:00.0000000;Gamma;635523840600000000;197
2018-04-22T00:01:00.0000000;Phi;636,599,520,600,000,000.00000000;17
2012-04-03T00:01:00.0000000;Psi;634690080600000000;742
2012-08-23T00:02:00.0000000;Epsilon;634812769200000000;59
2019-10-18T00:01:00.0000000;Pi;637,069,536,600,000,000.00000000;238
2018-06-23T00:01:00.0000000;Omicron;6.36653E+017;443
2016-07-27T00:02:00.0000000;Omicron;636,051,745,200,000,000.00000000;240
2012-05-12T00:01:00.0000000;Gamma;634,723,776,600,000,000.00000000;114
2014-04-25T00:02:00.0000000;Tau;6.353398092E+17;558
2011-10-25T00:01:00.0000000;Nu;634,550,976,600,000,000.00000000;708
2015-06-17T00:01:00.0000000;Iota;6.357009606E+17;873
2018-08-17T00:02:00.0000000;Epsilon;6.367006092E+17;826
2019-07-24T00:01:00.0000000;Xi;6.36995E+017;337
2011-05-23T00:01:00.0000000;Epsilon;6.344170566E+17;105
2014-09-15T00:01:00.0000000;Delta;6.35463E+017;610
2010-08-30T00:01:00.0000000;Xi;634187232600000000;193
2014-01-12T00:01:00.0000000;Iota;635250816600000000;716
2017-05-07T00:02:00.0000000;Theta;6.362971212E+17;311
2010-07-23T00:02:00.0000000;Chi;6.341544012E+17;846
2010-03-31T00:01:00.0000000;Tau;6.34056E+017;945
2016-07-18T00:01:00.0000000;Zeta;6.360439686E+17;471
2010-01-26T00:01:00.0000000;Eta;634000608600000000;384
2011-12-31T00:01:00.0000000;Sigma;6.346088646E+17;735
2014-07-08T00:02:00.0000000;Omega;6.354037452E+17;597
2015-10-07T00:03:00.0000000;Iota;635797729800000000;797
2011-10-22T00:01:00.0000000;Tau;634548384600000000;798
2010-07-21T00:03:00.0000000;Nu;6.341526738E+17;101
2019-07-13T00:01:00.0000000;Theta;6.369857286E+17;558
2014-02-23T00:01:00.0000000;Omicron;635,287,104,600,000,000.00000000;146
2019-08-15T00:02:00.0000000;Omega;6.370142412E+17;60
2016-07-26T00:01:00.0000000;Upsilon;636050880600000000;554
2012-08-20T00:01:00.0000000;Phi;6.348101766E+17;145
2016-01-16T00:02:00.0000000;Alpha;6.35885E+017;992
2019-04-30T00:02:00.0000000;Pi;6.369217932E+17;35
2010-10-03T00:03:00.0000000;Eta;6.342166098E+17;16
2015-04-13T00:01:00.0000000;Nu;635,644,800,600,000,000.00000000;659
2019-08-27T00:02:00.0000000;Delta;637024609200000000;738
2017-08-13T00:02:00.0000000;Sigma;636381793200000000;452
2010-09-12T00:01:00.0000000;Lambda;6.341984646E+17;350
2010-01-12T00:02:00.0000000;Tau;633988513200000000;431
2019-09-04T00:01:00.0000000;Omicron;6.370315206E+17;445
2014-01-25T00:01:00.0000000;Iota;6.352620486E+17;220
2016-05-31T00:02:00.0000000;Upsilon;636002497200000000;138
2012-05-15T00:03:00.0000000;Kappa;6.34726E+017;978
2019-12-19T00:01:00.0000000;Gamma;6.371231046E+17;195
2011-06-10T00:01:00.0000000;Tau;6.344326086E+17;729
2012-09-26T00:02:00.0000000;Iota;6.348421452E+17;936
2018-12-18T00:01:00.0000000;Rho;636806880600000000;812
2010-05-26T00:03:00.0000000;Iota;6.341042898E+17;113
2013-03-19T00:01:00.0000000;Beta;634992480600000000;73
2012-11-12T00:01:00.0000000;Phi;634882752600000000;999
2010-04-22T00:03:00.0000000;Tau;6.340749138E+17;813
2018-09-27T00:02:00.0000000;Gamma;6.367360332E+17;500
2019-09-04T00:01:00.0000000;Gamma;6.370315206E+17;427
2010-03-07T00:02:00.0000000;Omicron;634035169200000000;68
2015-08-21T00:02:00.0000000;Nu;635757121200000000;112
2018-12-20T00:02:00.0000000;Xi;6.36809E+017;354
2015-09-28T00:02:00.0000000;Eta;6.35790E+017;144
2019-12-23T00:02:00.0000000;Omega;6.371265612E+17;952
2016-03-24T00:01:00.0000000;Zeta;635,943,744,600,000,000.00000000;82
2017-03-19T00:01:00.0000000;Iota;636,254,784,600,000,000.00000000;849
2011-11-02T00:01:00.0000000;Zeta;6.345578886E+17;329
2016-12-24T00:01:00.0000000;Omega;636181344600000000;677
2019-04-15T00:02:00.0000000;Tau;636908833200000000;79
2017-06-18T00:01:00.0000000;Eta;636,333,408,600,000,000.00000000;871
2013-05-10T00:02:00.0000000;Nu;635037409200000000;554
2017-11-17T00:02:00.0000000;Zeta;6.36465E+017;384
2016-01-21T00:03:00.0000000;Alpha;6.358893138E+17;801
2011-08-24T00:02:00.0000000;Delta;6.344974092E+17;469
2019-01-15T00:01:00.0000000;Eta;636831072600000000;35
2010-04-17T00:02:00.0000000;Nu;6.34071E+017;634
2015-01-14T00:01:00.0000000;Theta;635,567,904,600,000,000.00000000;459
2012-05-15T00:01:00.0000000;Iota;634726368600000000;715
2019-09-24T00:02:00.0000000;Chi;6.370488012E+17;929
2017-04-24T00:02:00.0000000;Zeta;636,285,889,200,000,000.00000000;423
2017-11-22T00:01:00.0000000;Epsilon;6.364690566E+17;438
2012-03-19T00:02:00.0000000;Delta;634677121200000000;789
2015-02-24T00:01:00.0000000;Pi;6.35603E+017;727
2017-06-17T00:03:00.0000000;Delta;636,332,545,800,000,000.00000000;9
2014-08-08T00:01:00.0000000;Sigma;635430528600000000;331
2011-12-15T00:01:00.0000000;Omega;634595040600000000;779
2016-11-26T00:01:00.0000000;Phi;6.361571526E+17;494
2013-07-29T00:01:00.0000000;Phi;6.351065286E+17;193
2013-05-17T00:01:00.0000000;Alpha;6.350434566E+17;78
2016-07-02T00:01:00.0000000;Mu;6.360301446E+17;145
2012-05-15T00:02:00.0000000;Epsilon;6.34726E+017;20
