TM;Category;unknown;Quantity
2012-10-31T00:01:00.0000000;Tau;6.348723846E+17;711
2014-02-26T00:01:00.0000000;Zeta;635289696600000000;983
2010-10-31T00:01:00.0000000;Kappa;634240800600000000;783
2017-11-01T00:01:00.0000000;Omicron;6.364509126E+17;145
2010-07-01T00:01:00.0000000;Eta;6.341353926E+17;914
2010-01-12T00:01:00.0000000;Tau;633,988,512,600,000,000.00000000;963
2017-03-24T00:01:00.0000000;Chi;636259104600000000;629
2013-10-04T00:01:00.0000000;Iota;635164416600000000;724
2015-06-09T00:01:00.0000000;Xi;635694048600000000;250
2015-03-25T00:01:00.0000000;Kappa;635628384600000000;75
2019-01-28T00:01:00.0000000;Rho;6.368423046E+17;13
2013-09-02T00:01:00.0000000;Phi;6.351367686E+17;683
2013-07-04T00:01:00.0000000;Omega;635084928600000000;293
2010-04-28T00:02:00.0000000;Lambda;634,080,097,200,000,000.00000000;921
2015-03-26T00:01:00.0000000;Eta;635,629,248,600,000,000.00000000;441
2012-08-02T00:01:00.0000000;Omega;6.347946246E+17;235
2018-04-16T00:01:00.0000000;Delta;6.365943366E+17;891
2018-10-01T00:01:00.0000000;Theta;636739488600000000;815
2016-02-07T00:01:00.0000000;Eta;6.359040006E+17;106
2019-08-02T00:01:00.0000000;Sigma;637003008600000000;63
2015-07-06T00:02:00.0000000;Nu;6.357173772E+17;341
2015-10-31T00:01:00.0000000;Sigma;635,818,464,600,000,000.00000000;161
2017-03-23T00:02:00.0000000;Xi;636258241200000000;814
2012-03-12T00:01:00.0000000;Psi;6.346710726E+17;607
2017-05-29T00:01:00.0000000;Gamma;636316128600000000;63
2016-10-22T00:02:00.0000000;Beta;636126913200000000;832
2019-12-01T00:01:00.0000000;Iota;6.371075526E+17;391
2016-05-31T00:02:00.0000000;Xi;636002497200000000;299
2010-06-17T00:01:00.0000000;Rho;6.341232966E+17;301
2012-03-15T00:01:00.0000000;Phi;634673664600000000;335
2011-04-15T00:01:00.0000000;Epsilon;6.34384E+017;17
2016-12-04T00:02:00.0000000;Phi;636164065200000000;215
2014-08-11T00:01:00.0000000;Chi;6.35433E+017;119
2015-08-14T00:01:00.0000000;Kappa;6.357510726E+17;408
2013-03-22T00:01:00.0000000;Xi;6.34995E+017;701
2019-01-27T00:02:00.0000000;Gamma;6.368414412E+17;643
2013-08-24T00:01:00.0000000;Mu;635,128,992,600,000,000.00000000;981
2010-06-09T00:01:00.0000000;Phi;634116384600000000;18
2014-05-23T00:02:00.0000000;Tau;635,364,001,200,000,000.00000000;29
