TM;Category;unknown;Quantity
2019-12-04T00:01:00.0000000;Pi;6.371101446E+17;189
2010-12-28T00:01:00.0000000;Sigma;6.34291E+017;942
2018-07-02T00:01:00.0000000;Psi;636660864600000000;835
2015-03-30T00:01:00.0000000;Epsilon;635632704600000000;918
2011-12-14T00:01:00.0000000;Eta;634594176600000000;214
2019-10-18T00:01:00.0000000;Xi;637,069,536,600,000,000.00000000;163
2017-08-31T00:01:00.0000000;Lambda;636,397,344,600,000,000.00000000;993
2018-10-13T00:02:00.0000000;Beta;6.367498572E+17;124
2013-06-15T00:01:00.0000000;Nu;635068512600000000;817
2011-09-25T00:01:00.0000000;Psi;6.34525E+017;693
2013-04-28T00:01:00.0000000;Gamma;6.350270406E+17;219
2012-03-25T00:01:00.0000000;Psi;6.34682E+017;567
2016-03-28T00:01:00.0000000;Mu;6.35947E+017;750
2013-11-14T00:01:00.0000000;Beta;6.351998406E+17;778
2019-10-12T00:01:00.0000000;Alpha;6.370643526E+17;34
2014-10-01T00:01:00.0000000;Zeta;635477184600000000;345
2015-11-28T00:01:00.0000000;Eta;6.358426566E+17;369
2011-10-27T00:01:00.0000000;Kappa;634552704600000000;230
2014-09-12T00:01:00.0000000;Omicron;635460768600000000;259
2012-03-03T00:01:00.0000000;Beta;634663296600000000;19
2015-03-16T00:01:00.0000000;Sigma;6.35621E+017;62
2014-04-26T00:01:00.0000000;Omega;6.353406726E+17;899
2017-12-14T00:01:00.0000000;Lambda;636488064600000000;616
2014-05-21T00:01:00.0000000;Kappa;635362272600000000;32
2019-10-25T00:01:00.0000000;Delta;6.37076E+017;291
2015-11-06T00:02:00.0000000;Tau;6.35824E+017;437
2010-01-26T00:01:00.0000000;Chi;634000608600000000;872
2011-04-17T00:01:00.0000000;Theta;6.343859526E+17;974
2011-07-20T00:01:00.0000000;Omega;6.344671686E+17;628
2014-10-26T00:01:00.0000000;Theta;6.354987846E+17;651
2011-02-26T00:01:00.0000000;Xi;6.343427526E+17;107
2012-05-11T00:01:00.0000000;Omega;634,722,912,600,000,000.00000000;731
2017-10-09T00:01:00.0000000;Omega;636431040600000000;34
2019-12-23T00:01:00.0000000;Eta;6.371265606E+17;911
2014-01-24T00:01:00.0000000;Kappa;6.35261E+017;247
2013-02-05T00:02:00.0000000;Eta;634,956,193,200,000,000.00000000;186
2010-12-31T00:01:00.0000000;Nu;6.342935046E+17;48
2014-11-01T00:01:00.0000000;Gamma;635,503,968,600,000,000.00000000;950
2017-05-02T00:02:00.0000000;Tau;6.36293E+017;626
2012-06-12T00:02:00.0000000;Psi;634750561200000000;506
2011-05-04T00:01:00.0000000;Alpha;6.34401E+017;897
2015-07-14T00:02:00.0000000;Beta;635,724,289,200,000,000.00000000;979
2014-03-20T00:02:00.0000000;Eta;6.353087052E+17;18
2014-10-11T00:02:00.0000000;Zeta;635485825200000000;908
2015-04-20T00:01:00.0000000;Epsilon;6.35651E+017;781
2013-08-03T00:01:00.0000000;Pi;635110848600000000;463
2013-02-13T00:02:00.0000000;Sigma;6.34963E+017;94
2012-02-24T00:02:00.0000000;Beta;634656385200000000;975
2015-03-03T00:01:00.0000000;Nu;6.356093766E+17;685
2012-05-29T00:02:00.0000000;Sigma;634,738,465,200,000,000.00000000;550
2013-05-31T00:01:00.0000000;Omega;6.35056E+017;411
2016-07-19T00:02:00.0000000;Pi;6.360448332E+17;111
2016-09-06T00:02:00.0000000;Gamma;6.36087E+017;64
2018-04-28T00:02:00.0000000;Nu;6.36605E+017;654
2014-05-06T00:02:00.0000000;Psi;635349313200000000;578
2010-09-08T00:01:00.0000000;Rho;6.34195E+017;804
2018-09-05T00:02:00.0000000;Beta;6.367170252E+17;128
2013-08-11T00:02:00.0000000;Lambda;6.35118E+017;193
2013-06-25T00:02:00.0000000;Xi;6.350771532E+17;708
2016-06-21T00:02:00.0000000;Sigma;636,020,641,200,000,000.00000000;441
2017-09-20T00:01:00.0000000;Phi;636414624600000000;626
2011-02-01T00:02:00.0000000;Iota;6.34321E+017;924
2012-09-01T00:02:00.0000000;Xi;6.34821E+017;860
2018-09-23T00:01:00.0000000;Mu;6.367325766E+17;63
2010-06-23T00:01:00.0000000;Lambda;634,128,480,600,000,000.00000000;687
2012-02-20T00:02:00.0000000;Zeta;6.346529292E+17;442
2012-03-06T00:01:00.0000000;Nu;6.34666E+017;98
2018-02-05T00:02:00.0000000;Pi;636533857200000000;935
2012-05-25T00:01:00.0000000;Alpha;634735008600000000;116
2019-04-11T00:02:00.0000000;Phi;6.369053772E+17;863
2014-08-05T00:02:00.0000000;Xi;635427937200000000;701
2016-09-17T00:03:00.0000000;Chi;636096673800000000;600
2015-09-25T00:01:00.0000000;Eta;635,787,360,600,000,000.00000000;729
2013-07-07T00:03:00.0000000;Nu;6.35088E+017;884
2014-05-30T00:01:00.0000000;Psi;6.35370E+017;729
2013-04-04T00:01:00.0000000;Upsilon;635006304600000000;955
2017-07-29T00:01:00.0000000;Omega;636368832600000000;963
2011-02-03T00:02:00.0000000;Pi;6.343228812E+17;249
2017-03-21T00:02:00.0000000;Theta;636,256,513,200,000,000.00000000;59
2016-10-21T00:01:00.0000000;Lambda;6.361260486E+17;317
2019-02-17T00:01:00.0000000;Kappa;6.368595846E+17;47
2019-08-11T00:01:00.0000000;Omega;637010784600000000;59
2013-05-05T00:03:00.0000000;Phi;635,033,089,800,000,000.00000000;259
2017-08-03T00:02:00.0000000;Theta;6.363731532E+17;233
2013-04-18T00:02:00.0000000;Rho;635,018,401,200,000,000.00000000;222
2013-02-16T00:02:00.0000000;Alpha;6.349656972E+17;409
2013-07-01T00:02:00.0000000;Delta;635,082,337,200,000,000.00000000;16
2015-03-15T00:01:00.0000000;Eta;6.35620E+017;354
2018-05-17T00:03:00.0000000;Beta;6.366211218E+17;172
2017-03-05T00:03:00.0000000;Lambda;636242689800000000;952
2013-05-25T00:01:00.0000000;Iota;635,050,368,600,000,000.00000000;906
2015-03-21T00:01:00.0000000;Eta;6.356249286E+17;161
2011-03-20T00:02:00.0000000;Omicron;634,361,761,200,000,000.00000000;932
2014-04-04T00:02:00.0000000;Mu;6.35322E+017;412
2012-07-03T00:03:00.0000000;Iota;634,768,705,800,000,000.00000000;646
2016-05-22T00:03:00.0000000;Theta;6.35995E+017;101
2012-11-10T00:02:00.0000000;Pi;634881025200000000;314
2010-05-15T00:02:00.0000000;Zeta;634094785200000000;45
2014-09-26T00:03:00.0000000;Theta;635,472,865,800,000,000.00000000;80
2013-03-31T00:02:00.0000000;Omicron;635,002,849,200,000,000.00000000;438
2015-04-28T00:01:00.0000000;Psi;635657760600000000;107
2012-07-18T00:02:00.0000000;Mu;634781665200000000;336
2015-06-22T00:01:00.0000000;Chi;635705280600000000;259
2011-10-10T00:02:00.0000000;Pi;634538017200000000;340
2018-11-07T00:03:00.0000000;Eta;636,771,457,800,000,000.00000000;337
2011-09-14T00:01:00.0000000;Psi;634515552600000000;366
2018-05-26T00:02:00.0000000;Beta;636628897200000000;205
2019-02-27T00:02:00.0000000;Upsilon;636868225200000000;671
2014-03-10T00:01:00.0000000;Phi;635300064600000000;550
2016-12-21T00:01:00.0000000;Upsilon;636,178,752,600,000,000.00000000;523
2017-04-23T00:02:00.0000000;Theta;636285025200000000;591
2013-07-14T00:01:00.0000000;Beta;6.350935686E+17;814
2012-02-25T00:03:00.0000000;Nu;634657249800000000;28
2019-04-19T00:01:00.0000000;Tau;636,912,288,600,000,000.00000000;701
2010-01-17T00:02:00.0000000;Sigma;6.33993E+017;987
2016-10-09T00:02:00.0000000;Upsilon;636,115,681,200,000,000.00000000;445
2015-01-03T00:02:00.0000000;Eta;6.355584012E+17;16
2012-08-03T00:02:00.0000000;Iota;6.347954892E+17;98
2016-08-14T00:02:00.0000000;Omega;636,067,297,200,000,000.00000000;491
2013-06-26T00:01:00.0000000;Upsilon;6.350780166E+17;623
2014-07-23T00:02:00.0000000;Phi;6.35417E+017;335
2017-12-12T00:02:00.0000000;Omega;636486337200000000;823
2017-04-18T00:01:00.0000000;Kappa;6.362807046E+17;303
2019-07-01T00:01:00.0000000;Theta;636,975,360,600,000,000.00000000;795
2011-11-17T00:02:00.0000000;Omicron;6.34571E+017;123
2011-03-23T00:02:00.0000000;Lambda;634364353200000000;666
2014-09-30T00:02:00.0000000;Beta;635476321200000000;862
2016-10-25T00:02:00.0000000;Gamma;636,129,505,200,000,000.00000000;383
2012-08-02T00:03:00.0000000;Omega;6.347946258E+17;234
2012-08-03T00:02:00.0000000;Beta;6.347954892E+17;127
2016-03-05T00:02:00.0000000;Upsilon;635,927,329,200,000,000.00000000;875
2011-11-29T00:02:00.0000000;Gamma;634,581,217,200,000,000.00000000;494
2015-08-19T00:04:00.0000000;Delta;635755394400000000;923
2013-08-01T00:02:00.0000000;Omicron;6.351091212E+17;534
2019-06-22T00:02:00.0000000;Phi;6.369675852E+17;928
2014-04-04T00:02:00.0000000;Sigma;6.35322E+017;442
2014-01-08T00:02:00.0000000;Nu;6.352473612E+17;858
2012-12-24T00:01:00.0000000;Psi;6.349190406E+17;906
2016-08-13T00:03:00.0000000;Beta;636,066,433,800,000,000.00000000;113
2012-02-19T00:03:00.0000000;Beta;6.346520658E+17;303
2013-04-04T00:03:00.0000000;Chi;635006305800000000;491
2017-08-12T00:02:00.0000000;Zeta;636,380,929,200,000,000.00000000;928
2013-03-14T00:02:00.0000000;Iota;634,988,161,200,000,000.00000000;483
2012-08-28T00:01:00.0000000;Xi;634,817,088,600,000,000.00000000;566
2012-02-09T00:01:00.0000000;Upsilon;634,643,424,600,000,000.00000000;457
2019-06-23T00:01:00.0000000;Rho;6.369684486E+17;983
2013-10-30T00:02:00.0000000;Omicron;6.351868812E+17;754
2016-03-08T00:02:00.0000000;Psi;635929921200000000;735
2019-09-17T00:01:00.0000000;Rho;6.37043E+017;144
2013-01-29T00:02:00.0000000;Upsilon;6.349501452E+17;275
2010-04-13T00:01:00.0000000;Zeta;634067136600000000;515
2016-07-20T00:02:00.0000000;Tau;6.360456972E+17;484
2015-03-05T00:01:00.0000000;Omicron;635611104600000000;329
2014-10-10T00:02:00.0000000;Rho;635484961200000000;258
2019-09-11T00:02:00.0000000;Phi;637,037,569,200,000,000.00000000;442
2017-01-04T00:01:00.0000000;Delta;636190848600000000;792
2019-03-04T00:03:00.0000000;Theta;6.368725458E+17;683
2011-11-11T00:03:00.0000000;Iota;634,565,665,800,000,000.00000000;975
2013-09-19T00:02:00.0000000;Iota;6.351514572E+17;922
