TM;Category;unknown;Quantity
2017-08-29T00:01:00.0000000;Delta;636,395,616,600,000,000.00000000;996
2018-04-10T00:01:00.0000000;Xi;6.36589E+017;883
2017-08-16T00:01:00.0000000;Tau;636384384600000000;959
2016-07-04T00:01:00.0000000;Sigma;6.360318726E+17;359
2017-08-13T00:01:00.0000000;Kappa;636,381,792,600,000,000.00000000;58
2012-09-09T00:01:00.0000000;Epsilon;6.348274566E+17;645
2018-11-04T00:01:00.0000000;Chi;636768864600000000;779
2012-06-26T00:01:00.0000000;Upsilon;6.347626566E+17;792
2013-10-14T00:01:00.0000000;Epsilon;635173056600000000;165
2014-11-13T00:01:00.0000000;Alpha;6.355143366E+17;397
2010-01-21T00:01:00.0000000;Mu;6.339962886E+17;438
2014-12-14T00:01:00.0000000;Theta;6.35541E+017;9
2011-06-06T00:01:00.0000000;Omega;634429152600000000;260
2013-08-29T00:01:00.0000000;Epsilon;635133312600000000;84
2017-08-23T00:01:00.0000000;Delta;6.363904326E+17;565
2015-11-05T00:01:00.0000000;Omicron;6.35823E+017;857
2018-10-24T00:01:00.0000000;Beta;636759360600000000;501
2016-08-24T00:02:00.0000000;Tau;6.360759372E+17;227
2014-12-05T00:01:00.0000000;Omega;635533344600000000;672
2012-06-26T00:01:00.0000000;Theta;6.347626566E+17;319
2018-12-13T00:01:00.0000000;Beta;636,802,560,600,000,000.00000000;927
2018-06-26T00:01:00.0000000;Omega;6.366556806E+17;713
2017-08-17T00:01:00.0000000;Beta;6.36385E+017;687
2017-01-15T00:01:00.0000000;Phi;6.362003526E+17;47
2012-07-18T00:01:00.0000000;Phi;634781664600000000;347
2016-03-26T00:01:00.0000000;Iota;635945472600000000;638
2015-01-13T00:01:00.0000000;Phi;635,567,040,600,000,000.00000000;514
2017-01-06T00:01:00.0000000;Omega;636,192,576,600,000,000.00000000;216
2016-02-12T00:01:00.0000000;Epsilon;635908320600000000;354
2012-08-12T00:01:00.0000000;Mu;634803264600000000;723
2016-09-03T00:01:00.0000000;Tau;636,084,576,600,000,000.00000000;238
2011-04-08T00:01:00.0000000;Beta;634,378,176,600,000,000.00000000;545
2012-06-01T00:01:00.0000000;Xi;634741056600000000;663
2019-09-12T00:01:00.0000000;Rho;637,038,432,600,000,000.00000000;315
2012-08-21T00:01:00.0000000;Chi;6.348110406E+17;199
2018-02-20T00:01:00.0000000;Xi;6.365468166E+17;400
2017-09-16T00:01:00.0000000;Rho;636,411,168,600,000,000.00000000;261
2016-11-01T00:01:00.0000000;Lambda;6.36136E+017;968
2018-06-18T00:01:00.0000000;Chi;636648768600000000;651
2012-11-21T00:02:00.0000000;Epsilon;634890529200000000;938
2015-03-04T00:02:00.0000000;Chi;635610241200000000;124
2012-06-02T00:01:00.0000000;Psi;634741920600000000;793
2011-01-15T00:01:00.0000000;Lambda;6.34306E+017;955
2015-09-15T00:01:00.0000000;Eta;6.357787206E+17;143
2012-05-25T00:01:00.0000000;Beta;634735008600000000;878
2012-12-28T00:02:00.0000000;Kappa;634922497200000000;532
2016-07-11T00:01:00.0000000;Alpha;636,037,920,600,000,000.00000000;847
2019-10-11T00:01:00.0000000;Pi;6.370634886E+17;35
2013-06-23T00:02:00.0000000;Sigma;6.350754252E+17;626
2010-12-31T00:02:00.0000000;Pi;6.342935052E+17;200
2016-11-06T00:02:00.0000000;Eta;6.361398732E+17;365
2019-12-11T00:02:00.0000000;Kappa;637,116,193,200,000,000.00000000;428
2013-01-20T00:01:00.0000000;Phi;634,942,368,600,000,000.00000000;938
2010-07-05T00:01:00.0000000;Mu;6.341388486E+17;183
2010-03-21T00:01:00.0000000;Nu;634047264600000000;55
2015-10-27T00:01:00.0000000;Pi;635815008600000000;333
2019-04-07T00:03:00.0000000;Sigma;6.36902E+017;17
2018-04-15T00:01:00.0000000;Pi;6.365934726E+17;526
2016-09-13T00:01:00.0000000;Eta;6.360932166E+17;18
2016-12-17T00:02:00.0000000;Zeta;636175297200000000;671
2012-03-16T00:01:00.0000000;Beta;634,674,528,600,000,000.00000000;456
2010-02-06T00:02:00.0000000;Lambda;6.340101132E+17;919
2017-02-21T00:02:00.0000000;Rho;6.362323212E+17;135
2019-08-02T00:03:00.0000000;Sigma;637003009800000000;847
2010-01-06T00:01:00.0000000;Lambda;6.339833286E+17;634
2016-03-25T00:01:00.0000000;Mu;635944608600000000;836
2017-11-17T00:02:00.0000000;Upsilon;6.36465E+017;43
