TM;Category;unknown;Quantity
2016-09-29T00:01:00.0000000;Phi;6.361070406E+17;746
2018-08-09T00:01:00.0000000;Gamma;636,693,696,600,000,000.00000000;465
2014-10-22T00:01:00.0000000;Epsilon;6.35495E+017;695
2019-02-04T00:01:00.0000000;Phi;636848352600000000;260
2011-02-05T00:01:00.0000000;Chi;6.343246086E+17;639
2012-12-06T00:01:00.0000000;Lambda;6.349034886E+17;368
2015-07-02T00:01:00.0000000;Psi;6.35714E+017;344
2011-09-01T00:01:00.0000000;Kappa;634,504,320,600,000,000.00000000;793
2018-10-18T00:01:00.0000000;Gamma;636754176600000000;579
2014-06-10T00:01:00.0000000;Chi;635,379,552,600,000,000.00000000;863
2014-08-14T00:01:00.0000000;Pi;6.354357126E+17;421
2015-03-19T00:01:00.0000000;Chi;6.356232006E+17;292
2017-12-16T00:01:00.0000000;Theta;636,489,792,600,000,000.00000000;124
2019-08-25T00:01:00.0000000;Lambda;637,022,880,600,000,000.00000000;209
2012-12-08T00:01:00.0000000;Pi;6.349052166E+17;828
2011-10-20T00:01:00.0000000;Xi;6.345466566E+17;232
2010-07-31T00:01:00.0000000;Psi;634161312600000000;427
2010-10-11T00:02:00.0000000;Zeta;634223521200000000;645
2010-12-10T00:01:00.0000000;Chi;6.34275E+017;984
2018-07-12T00:01:00.0000000;Theta;6.366695046E+17;887
2010-01-24T00:02:00.0000000;Zeta;633998881200000000;871
2017-01-06T00:01:00.0000000;Kappa;636,192,576,600,000,000.00000000;779
2016-10-15T00:01:00.0000000;Sigma;6.36121E+017;63
2019-03-21T00:01:00.0000000;Omicron;6.36887E+017;620
2013-07-27T00:01:00.0000000;Psi;6.351048006E+17;423
2018-10-19T00:01:00.0000000;Zeta;636755040600000000;490
2015-10-25T00:01:00.0000000;Omega;6.358132806E+17;914
2014-05-12T00:01:00.0000000;Alpha;6.35354E+017;137
2015-12-22T00:02:00.0000000;Pi;635,863,393,200,000,000.00000000;861
2017-11-26T00:01:00.0000000;Psi;636472512600000000;876
2017-03-03T00:01:00.0000000;Psi;636,240,960,600,000,000.00000000;881
2017-05-13T00:01:00.0000000;Kappa;636,302,304,600,000,000.00000000;634
2016-08-27T00:01:00.0000000;Beta;6.360785286E+17;537
2015-10-09T00:01:00.0000000;Lambda;635799456600000000;720
2018-07-04T00:01:00.0000000;Pi;636,662,592,600,000,000.00000000;261
2012-03-20T00:01:00.0000000;Xi;634677984600000000;182
2011-02-25T00:01:00.0000000;Eta;6.343418886E+17;423
2017-12-02T00:01:00.0000000;Psi;636477696600000000;560
2019-09-25T00:02:00.0000000;Upsilon;637049665200000000;535
2016-09-21T00:01:00.0000000;Sigma;636,100,128,600,000,000.00000000;398
2018-07-17T00:02:00.0000000;Chi;636673825200000000;864
2018-08-28T00:02:00.0000000;Pi;636,710,113,200,000,000.00000000;877
2017-02-08T00:01:00.0000000;Lambda;636221088600000000;473
2010-07-08T00:01:00.0000000;Mu;634141440600000000;112
2015-02-08T00:01:00.0000000;Theta;6.35590E+017;69
2016-11-15T00:02:00.0000000;Mu;636147649200000000;284
2016-09-29T00:02:00.0000000;Rho;6.361070412E+17;612
2014-11-08T00:02:00.0000000;Phi;6.35510E+017;502
2015-03-12T00:02:00.0000000;Beta;635617153200000000;783
2012-10-05T00:02:00.0000000;Nu;634849921200000000;475
2010-03-19T00:01:00.0000000;Theta;6.340455366E+17;863
2014-02-19T00:01:00.0000000;Epsilon;635283648600000000;553
2018-11-01T00:01:00.0000000;Epsilon;6.367662726E+17;759
2018-06-24T00:01:00.0000000;Mu;6.366539526E+17;157
2013-04-18T00:01:00.0000000;Mu;635018400600000000;845
2013-08-28T00:02:00.0000000;Mu;635132449200000000;866
2019-10-16T00:02:00.0000000;Omicron;637,067,809,200,000,000.00000000;926
2019-04-10T00:01:00.0000000;Psi;6.369045126E+17;377
2013-07-27T00:02:00.0000000;Chi;6.351048012E+17;494
2014-12-31T00:01:00.0000000;Kappa;635555808600000000;568
2015-01-31T00:01:00.0000000;Alpha;635,582,592,600,000,000.00000000;448
2012-03-31T00:02:00.0000000;Gamma;634687489200000000;928
2012-11-21T00:02:00.0000000;Psi;634890529200000000;850
