TM;Category;unknown;Quantity
2014-01-06T00:01:00.0000000;Omicron;6.352456326E+17;297
2013-06-06T00:01:00.0000000;Mu;6.350607366E+17;916
2014-07-04T00:01:00.0000000;Upsilon;6.35400E+017;399
2014-07-10T00:01:00.0000000;Delta;6.354054726E+17;475
2017-05-06T00:01:00.0000000;Beta;6.362962566E+17;709
2016-02-25T00:01:00.0000000;Beta;6.359195526E+17;109
2019-10-29T00:01:00.0000000;Iota;6.370790406E+17;69
2010-04-07T00:01:00.0000000;Delta;634061952600000000;555
2012-07-12T00:01:00.0000000;Gamma;6.347764806E+17;958
2017-04-09T00:01:00.0000000;Kappa;636272928600000000;110
2012-08-28T00:01:00.0000000;Omicron;634,817,088,600,000,000.00000000;333
2014-03-11T00:01:00.0000000;Alpha;635,300,928,600,000,000.00000000;155
2013-03-20T00:01:00.0000000;Alpha;6.34993E+017;23
2017-06-25T00:01:00.0000000;Theta;6.36339E+017;102
2010-07-20T00:01:00.0000000;Phi;6.341518086E+17;16
2019-05-08T00:01:00.0000000;Psi;636,928,704,600,000,000.00000000;341
2014-11-22T00:01:00.0000000;Alpha;635522112600000000;957
2016-03-13T00:02:00.0000000;Delta;6.359342412E+17;308
2018-08-21T00:01:00.0000000;Beta;6.367040646E+17;169
2019-07-11T00:01:00.0000000;Alpha;6.369840006E+17;454
2011-09-14T00:01:00.0000000;Omega;634515552600000000;927
2010-12-28T00:01:00.0000000;Omicron;6.34291E+017;980
2015-06-23T00:01:00.0000000;Zeta;635706144600000000;425
2016-06-15T00:01:00.0000000;Eta;6.360154566E+17;659
2010-02-23T00:02:00.0000000;Kappa;6.340248012E+17;8
2014-09-27T00:01:00.0000000;Phi;635,473,728,600,000,000.00000000;638
2012-09-14T00:01:00.0000000;Omega;634,831,776,600,000,000.00000000;652
2018-02-02T00:01:00.0000000;Nu;6.365312646E+17;840
2016-03-04T00:01:00.0000000;Tau;635,926,464,600,000,000.00000000;449
2012-08-19T00:01:00.0000000;Omega;6.348093126E+17;861
2018-08-15T00:01:00.0000000;Chi;6.36699E+017;653
2019-10-30T00:01:00.0000000;Kappa;6.370799046E+17;356
2016-06-05T00:01:00.0000000;Mu;636,006,816,600,000,000.00000000;426
2010-05-17T00:01:00.0000000;Theta;634,096,512,600,000,000.00000000;504
