TM;Category;unknown;Quantity
2010-03-24T00:01:00.0000000;Lambda;634,049,856,600,000,000.00000000;471
2010-08-06T00:01:00.0000000;Eta;6.341664966E+17;127
2014-11-12T00:01:00.0000000;Upsilon;6.355134726E+17;763
2015-10-18T00:01:00.0000000;Epsilon;6.35807E+017;889
2012-10-23T00:01:00.0000000;Theta;634865472600000000;611
2018-03-03T00:01:00.0000000;Phi;636556320600000000;758
2019-01-29T00:01:00.0000000;Delta;6.368431686E+17;614
2018-03-12T00:01:00.0000000;Zeta;6.365640966E+17;957
2018-10-24T00:01:00.0000000;Zeta;636759360600000000;13
2011-07-16T00:01:00.0000000;Nu;6.344637126E+17;921
2010-10-25T00:01:00.0000000;Omicron;634235616600000000;315
2013-05-25T00:01:00.0000000;Lambda;635,050,368,600,000,000.00000000;598
2016-07-13T00:01:00.0000000;Theta;636039648600000000;521
2013-11-30T00:01:00.0000000;Omicron;6.35214E+017;117
2019-06-25T00:02:00.0000000;Kappa;6.369701772E+17;403
2010-07-25T00:01:00.0000000;Kappa;634156128600000000;781
2019-07-28T00:02:00.0000000;Xi;6.369986892E+17;835
2013-06-26T00:03:00.0000000;Omicron;635078017800000000;779
2010-05-03T00:01:00.0000000;Gamma;634084416600000000;845
2018-08-29T00:01:00.0000000;Zeta;636710976600000000;616
2010-04-17T00:01:00.0000000;Kappa;6.34071E+017;193
2017-05-20T00:01:00.0000000;Rho;6.36308E+017;230
2019-09-29T00:02:00.0000000;Gamma;637,053,121,200,000,000.00000000;291
2019-11-08T00:01:00.0000000;Beta;637087680600000000;540
2010-06-17T00:02:00.0000000;Mu;6.341232972E+17;854
2018-02-28T00:01:00.0000000;Omega;636,553,728,600,000,000.00000000;703
2015-02-06T00:01:00.0000000;Epsilon;6.35588E+017;139
2012-11-08T00:01:00.0000000;Omicron;634,879,296,600,000,000.00000000;114
2011-02-07T00:01:00.0000000;Theta;6.343263366E+17;862
2018-03-28T00:01:00.0000000;Lambda;6.365779206E+17;657
2011-12-14T00:02:00.0000000;Eta;634594177200000000;141
2011-05-31T00:02:00.0000000;Beta;634,423,969,200,000,000.00000000;464
2013-06-29T00:01:00.0000000;Epsilon;635080608600000000;518
2016-02-13T00:02:00.0000000;Phi;635909185200000000;999
2012-08-14T00:01:00.0000000;Lambda;6.34805E+017;785
2014-03-21T00:01:00.0000000;Lambda;6.353095686E+17;195
2016-03-13T00:01:00.0000000;Rho;6.359342406E+17;875
2015-02-28T00:01:00.0000000;Chi;6.356067846E+17;886
2012-09-09T00:01:00.0000000;Lambda;6.348274566E+17;853
2010-07-03T00:02:00.0000000;Mu;6.341371212E+17;672
2019-01-03T00:01:00.0000000;Xi;636820704600000000;917
2015-10-30T00:01:00.0000000;Zeta;635,817,600,600,000,000.00000000;468
2011-03-19T00:02:00.0000000;Delta;634,360,897,200,000,000.00000000;957
2015-08-07T00:01:00.0000000;Lambda;6.35745E+017;467
2010-06-01T00:02:00.0000000;Sigma;634109473200000000;340
2010-12-22T00:01:00.0000000;Zeta;634,285,728,600,000,000.00000000;333
2015-04-13T00:01:00.0000000;Epsilon;635,644,800,600,000,000.00000000;507
2016-03-30T00:01:00.0000000;Omega;6.35949E+017;84
2016-06-10T00:01:00.0000000;Rho;6.36011E+017;978
2012-10-31T00:02:00.0000000;Rho;6.348723852E+17;367
2014-04-05T00:01:00.0000000;Iota;6.35323E+017;587
2017-11-24T00:02:00.0000000;Kappa;636470785200000000;649
2013-02-13T00:01:00.0000000;Theta;6.34963E+017;402
2010-03-30T00:02:00.0000000;Rho;6.34055E+017;785
2018-04-22T00:01:00.0000000;Alpha;636,599,520,600,000,000.00000000;897
2019-07-28T00:02:00.0000000;Alpha;6.369986892E+17;231
2011-03-22T00:01:00.0000000;Rho;634,363,488,600,000,000.00000000;84
2014-04-26T00:01:00.0000000;Gamma;6.353406726E+17;559
2012-02-05T00:01:00.0000000;Mu;6.346399686E+17;734
2018-06-06T00:02:00.0000000;Eta;6.366384012E+17;344
2011-02-27T00:01:00.0000000;Phi;634343616600000000;573
2018-12-02T00:01:00.0000000;Rho;6.36793E+017;700
2017-11-04T00:03:00.0000000;Nu;6.364535058E+17;259
2010-08-09T00:01:00.0000000;Omega;6.341690886E+17;526
2014-05-07T00:01:00.0000000;Omega;635350176600000000;572
2016-07-17T00:03:00.0000000;Iota;6.360431058E+17;777
2016-05-17T00:01:00.0000000;Iota;635,990,400,600,000,000.00000000;741
2012-01-24T00:01:00.0000000;Zeta;634,629,600,600,000,000.00000000;398
2012-12-23T00:01:00.0000000;Alpha;6.349181766E+17;480
2016-01-23T00:03:00.0000000;Omega;635891041800000000;183
2014-04-08T00:02:00.0000000;Zeta;6.353251212E+17;174
2017-05-30T00:02:00.0000000;Nu;636,316,993,200,000,000.00000000;540
2010-05-26T00:02:00.0000000;Delta;6.341042892E+17;645
2015-09-22T00:02:00.0000000;Chi;635,784,769,200,000,000.00000000;603
2016-12-17T00:01:00.0000000;Nu;636175296600000000;50
2012-10-03T00:03:00.0000000;Psi;634848193800000000;965
2014-01-14T00:01:00.0000000;Lambda;635252544600000000;721
2014-05-27T00:04:00.0000000;Sigma;6.35367E+017;958
2018-05-29T00:02:00.0000000;Tau;636,631,489,200,000,000.00000000;423
2010-03-25T00:02:00.0000000;Beta;634050721200000000;661
2017-05-18T00:01:00.0000000;Chi;636306624600000000;239
2013-09-26T00:01:00.0000000;Tau;635157504600000000;578
2011-06-09T00:02:00.0000000;Pi;6.344317452E+17;387
2016-08-03T00:01:00.0000000;Upsilon;6.36058E+017;300
2019-10-14T00:03:00.0000000;Chi;637066081800000000;398
2017-01-03T00:02:00.0000000;Xi;636189985200000000;598
2012-08-19T00:03:00.0000000;Zeta;6.348093138E+17;721
2019-01-12T00:03:00.0000000;Nu;6.368284818E+17;540
2017-07-14T00:02:00.0000000;Pi;6.363558732E+17;7
2013-04-11T00:02:00.0000000;Omega;6.350123532E+17;305
2013-11-24T00:01:00.0000000;Psi;635,208,480,600,000,000.00000000;193
2019-10-10T00:01:00.0000000;Alpha;6.370626246E+17;502
2012-05-24T00:02:00.0000000;Rho;634734145200000000;74
2010-10-27T00:03:00.0000000;Chi;634,237,345,800,000,000.00000000;69
2016-01-26T00:02:00.0000000;Eta;635893633200000000;921
2019-06-24T00:01:00.0000000;Psi;6.369693126E+17;109
2016-01-24T00:02:00.0000000;Omicron;635891905200000000;527
2013-07-12T00:01:00.0000000;Psi;6.350918406E+17;970
2011-02-22T00:02:00.0000000;Kappa;6.343392972E+17;322
2018-05-04T00:01:00.0000000;Tau;6.366098886E+17;978
2012-04-22T00:02:00.0000000;Gamma;634,706,497,200,000,000.00000000;244
2013-02-11T00:01:00.0000000;Tau;6.34961E+017;373
2019-01-14T00:02:00.0000000;Nu;636830209200000000;109
2011-03-26T00:03:00.0000000;Omicron;6.34367E+017;468
2013-03-18T00:03:00.0000000;Zeta;6.34992E+017;581
2015-07-07T00:03:00.0000000;Tau;6.357182418E+17;795
2017-09-18T00:02:00.0000000;Theta;636,412,897,200,000,000.00000000;897
2014-10-04T00:03:00.0000000;Phi;6.354797778E+17;837
2018-01-17T00:02:00.0000000;Lambda;636517441200000000;384
2013-06-21T00:02:00.0000000;Omicron;6.350736972E+17;385
2010-05-16T00:03:00.0000000;Beta;634,095,649,800,000,000.00000000;107
2017-07-23T00:03:00.0000000;Upsilon;636,363,649,800,000,000.00000000;401
2013-04-27T00:03:00.0000000;Zeta;6.350261778E+17;641
2011-06-30T00:02:00.0000000;Beta;6.344498892E+17;96
2019-05-01T00:01:00.0000000;Tau;6.369226566E+17;802
2011-02-23T00:02:00.0000000;Omega;6.343401612E+17;905
2018-02-20T00:02:00.0000000;Sigma;6.365468172E+17;431
2019-02-17T00:01:00.0000000;Omicron;6.368595846E+17;722
2016-06-18T00:02:00.0000000;Epsilon;636018049200000000;789
2015-04-11T00:01:00.0000000;Chi;635643072600000000;449
2019-05-21T00:01:00.0000000;Alpha;6.369399366E+17;254
2011-10-07T00:01:00.0000000;Xi;634,535,424,600,000,000.00000000;100
2017-09-29T00:02:00.0000000;Kappa;6.364224012E+17;373
2017-06-27T00:01:00.0000000;Nu;6.363411846E+17;243
2018-01-02T00:02:00.0000000;Nu;636,504,481,200,000,000.00000000;760
2014-01-24T00:01:00.0000000;Gamma;6.35261E+017;626
2010-05-12T00:02:00.0000000;Delta;6.340921932E+17;693
2013-05-09T00:01:00.0000000;Lambda;635,036,544,600,000,000.00000000;575
2017-01-18T00:02:00.0000000;Chi;6.362029452E+17;952
2016-01-08T00:01:00.0000000;Chi;635878080600000000;21
2017-12-03T00:02:00.0000000;Phi;6.36479E+017;217
2018-08-31T00:03:00.0000000;Zeta;6.36713E+017;115
2010-08-25T00:02:00.0000000;Omega;6.341829132E+17;670
2013-03-20T00:02:00.0000000;Omega;6.34993E+017;949
2017-05-21T00:02:00.0000000;Lambda;6.363092172E+17;884
2019-01-14T00:03:00.0000000;Chi;636830209800000000;905
2019-07-27T00:01:00.0000000;Nu;6.369978246E+17;863
2011-12-20T00:02:00.0000000;Epsilon;634599361200000000;268
2017-09-06T00:02:00.0000000;Mu;6.36403E+017;239
2015-04-04T00:03:00.0000000;Mu;6.356370258E+17;446
2016-05-13T00:03:00.0000000;Epsilon;635986945800000000;335
2014-09-03T00:02:00.0000000;Rho;6.354529932E+17;784
2012-11-08T00:02:00.0000000;Phi;634,879,297,200,000,000.00000000;285
2017-03-24T00:02:00.0000000;Alpha;636259105200000000;812
2014-03-14T00:01:00.0000000;Gamma;635303520600000000;822
2015-12-12T00:01:00.0000000;Phi;6.35855E+017;473
2017-09-18T00:01:00.0000000;Chi;636,412,896,600,000,000.00000000;531
2019-06-18T00:01:00.0000000;Tau;6.36964E+017;170
2012-07-23T00:02:00.0000000;Psi;634785985200000000;494
2014-04-13T00:02:00.0000000;Chi;635329441200000000;469
2019-09-06T00:02:00.0000000;Eta;6.370332492E+17;160
2016-04-14T00:02:00.0000000;Tau;6.35962E+017;820
2014-01-12T00:02:00.0000000;Phi;635250817200000000;416
2013-12-05T00:01:00.0000000;Pi;6.352179846E+17;894
2015-01-28T00:02:00.0000000;Xi;635580001200000000;554
2014-05-01T00:01:00.0000000;Beta;635344992600000000;610
2012-06-26T00:01:00.0000000;Zeta;6.347626566E+17;860
2016-02-20T00:02:00.0000000;Omicron;6.35915E+017;28
2018-08-16T00:03:00.0000000;Beta;6.366997458E+17;713
2016-01-16T00:05:00.0000000;Mu;6.35884995E+17;186
2019-05-25T00:04:00.0000000;Beta;636,943,394,400,000,000.00000000;799
2012-11-02T00:02:00.0000000;Iota;6.348741132E+17;900
2017-01-08T00:04:00.0000000;Epsilon;636194306400000000;729
2016-09-24T00:02:00.0000000;Nu;6.36103E+017;54
2014-08-06T00:02:00.0000000;Nu;635428801200000000;59
2011-10-21T00:04:00.0000000;Gamma;634,547,522,400,000,000.00000000;368
2012-04-19T00:02:00.0000000;Mu;634703905200000000;50
2012-03-25T00:02:00.0000000;Theta;6.346823052E+17;703
2014-07-06T00:02:00.0000000;Phi;6.354020172E+17;456
2013-05-14T00:01:00.0000000;Psi;6.35041E+017;705
2015-11-23T00:02:00.0000000;Epsilon;6.35838E+017;907
2019-11-30T00:02:00.0000000;Zeta;6.371066892E+17;539
2016-03-04T00:02:00.0000000;Delta;635,926,465,200,000,000.00000000;970
2010-12-19T00:03:00.0000000;Beta;634,283,137,800,000,000.00000000;975
2016-02-10T00:02:00.0000000;Lambda;6.359065932E+17;262
2019-09-04T00:03:00.0000000;Gamma;6.370315218E+17;66
2017-07-22T00:03:00.0000000;Delta;636,362,785,800,000,000.00000000;685
2010-05-19T00:02:00.0000000;Iota;634098241200000000;382
2015-07-07T00:02:00.0000000;Xi;6.357182412E+17;741
2011-12-11T00:03:00.0000000;Gamma;6.345915858E+17;985
2013-04-07T00:02:00.0000000;Alpha;6.35009E+017;58
2012-02-25T00:05:00.0000000;Epsilon;634,657,251,000,000,000.00000000;52
2019-08-19T00:02:00.0000000;Beta;6.370176972E+17;535
2016-06-14T00:03:00.0000000;Delta;6.360145938E+17;305
2015-12-18T00:02:00.0000000;Mu;6.358599372E+17;850
2012-09-30T00:02:00.0000000;Pi;634845601200000000;564
2019-11-06T00:03:00.0000000;Sigma;637085953800000000;430
2010-03-14T00:03:00.0000000;Delta;6.340412178E+17;385
2011-06-08T00:02:00.0000000;Lambda;6.34431E+017;237
2016-11-26T00:03:00.0000000;Iota;636157153800000000;83
2010-01-12T00:03:00.0000000;Xi;633988513800000000;692
2014-05-02T00:01:00.0000000;Mu;635345856600000000;738
2015-12-25T00:03:00.0000000;Gamma;635865985800000000;918
2011-11-15T00:02:00.0000000;Chi;634569121200000000;987
2015-08-19T00:02:00.0000000;Rho;635,755,393,200,000,000.00000000;289
2016-04-09T00:02:00.0000000;Upsilon;635,957,569,200,000,000.00000000;705
2013-07-15T00:02:00.0000000;Omega;635094433200000000;773
2017-08-21T00:01:00.0000000;Zeta;6.363887046E+17;514
2017-02-04T00:03:00.0000000;Chi;6.362176338E+17;865
2011-01-09T00:02:00.0000000;Psi;634301281200000000;55
2015-10-03T00:01:00.0000000;Gamma;6.357942726E+17;97
2014-10-26T00:02:00.0000000;Xi;6.354987852E+17;107
2019-08-18T00:04:00.0000000;Rho;637016834400000000;166
2012-12-12T00:02:00.0000000;Zeta;634,908,673,200,000,000.00000000;440
2019-10-21T00:03:00.0000000;Iota;6.37072E+017;449
2012-11-25T00:02:00.0000000;Zeta;634,893,985,200,000,000.00000000;501
2014-04-29T00:02:00.0000000;Alpha;6.353432652E+17;326
2016-07-20T00:03:00.0000000;Sigma;6.360456978E+17;853
2011-10-18T00:05:00.0000000;Theta;634544931000000000;450
2012-02-09T00:02:00.0000000;Upsilon;634,643,425,200,000,000.00000000;240
2010-08-09T00:02:00.0000000;Xi;6.341690892E+17;329
2018-06-09T00:04:00.0000000;Psi;636640994400000000;802
2014-11-20T00:02:00.0000000;Chi;635,520,385,200,000,000.00000000;12
2014-02-19T00:05:00.0000000;Upsilon;635,283,651,000,000,000.00000000;321
2019-11-10T00:06:00.0000000;Beta;6.370894116E+17;966
2018-09-07T00:02:00.0000000;Epsilon;6.367187532E+17;267
2013-09-26T00:02:00.0000000;Xi;635157505200000000;348
2015-03-22T00:04:00.0000000;Psi;635625794400000000;70
2017-10-27T00:04:00.0000000;Tau;6.36447E+017;420
2017-07-12T00:04:00.0000000;Gamma;6.36354E+017;488
2017-03-09T00:03:00.0000000;Upsilon;6.362461458E+17;98
2013-05-01T00:03:00.0000000;Sigma;6.350296338E+17;404
2015-12-11T00:04:00.0000000;Zeta;6.358538904E+17;95
2012-09-29T00:03:00.0000000;Beta;634844737800000000;206
2013-04-24T00:04:00.0000000;Sigma;6.35024E+017;932
2016-11-27T00:03:00.0000000;Beta;636158017800000000;717
2013-04-03T00:03:00.0000000;Psi;635005441800000000;959
2018-02-24T00:03:00.0000000;Zeta;636550273800000000;459
2017-11-04T00:03:00.0000000;Epsilon;6.364535058E+17;937
2013-06-28T00:03:00.0000000;Iota;635079745800000000;669
2017-04-07T00:04:00.0000000;Lambda;636271202400000000;282
2011-02-15T00:06:00.0000000;Lambda;6.34333E+017;731
2014-09-09T00:06:00.0000000;Iota;635458179600000000;818
2014-07-27T00:04:00.0000000;Epsilon;6.354201624E+17;320
2017-01-07T00:02:00.0000000;Kappa;636,193,441,200,000,000.00000000;247
2018-05-02T00:02:00.0000000;Theta;6.366081612E+17;403
2010-01-06T00:04:00.0000000;Pi;633983330400000000;40
2011-12-09T00:04:00.0000000;Theta;6.345898584E+17;117
2010-04-29T00:03:00.0000000;Sigma;634,080,961,800,000,000.00000000;966
