TM;Category;unknown;Quantity
2019-01-14T00:01:00.0000000;Epsilon;6.368302086E+17;790
2018-08-09T00:01:00.0000000;Rho;636,693,696,600,000,000.00000000;610
2019-01-20T00:02:00.0000000;Zeta;636835393200000000;255
2010-09-17T00:01:00.0000000;Kappa;634202784600000000;774
2019-09-29T00:02:00.0000000;Iota;637,053,121,200,000,000.00000000;144
2014-12-20T00:01:00.0000000;Iota;6.355463046E+17;239
2013-07-31T00:01:00.0000000;Upsilon;6.351082566E+17;844
2015-10-04T00:01:00.0000000;Upsilon;6.357951366E+17;394
2012-12-12T00:01:00.0000000;Omega;634908672600000000;341
2019-08-30T00:01:00.0000000;Phi;6.37027E+017;493
2011-04-27T00:01:00.0000000;Omicron;634,394,592,600,000,000.00000000;397
2018-02-14T00:01:00.0000000;Omega;6.36542E+017;808
2012-09-09T00:01:00.0000000;Kappa;6.348274566E+17;929
2014-09-13T00:01:00.0000000;Theta;635461632600000000;349
2012-03-07T00:01:00.0000000;Nu;6.346667526E+17;475
2010-02-20T00:02:00.0000000;Phi;6.34022E+017;872
2010-03-12T00:01:00.0000000;Delta;6.34039E+017;273
2015-08-29T00:01:00.0000000;Zeta;6.357640326E+17;215
2014-09-26T00:01:00.0000000;Tau;635,472,864,600,000,000.00000000;151
2011-09-28T00:01:00.0000000;Phi;6.345276486E+17;64
2018-01-20T00:02:00.0000000;Theta;636,520,033,200,000,000.00000000;810
2010-11-09T00:02:00.0000000;Eta;6.342485772E+17;558
2018-11-27T00:01:00.0000000;Tau;636,788,736,600,000,000.00000000;720
2018-02-25T00:02:00.0000000;Mu;636551137200000000;886
2012-12-17T00:01:00.0000000;Psi;634912992600000000;508
2015-02-16T00:01:00.0000000;Kappa;635596416600000000;125
2013-10-14T00:02:00.0000000;Gamma;635173057200000000;823
2014-02-28T00:02:00.0000000;Mu;6.35291E+017;247
2018-07-17T00:02:00.0000000;Epsilon;636673825200000000;641
2012-02-18T00:02:00.0000000;Zeta;6.346512012E+17;77
2014-06-12T00:02:00.0000000;Nu;635381281200000000;487
2016-08-12T00:02:00.0000000;Tau;636065569200000000;480
2013-08-02T00:02:00.0000000;Mu;635109985200000000;361
2014-05-09T00:02:00.0000000;Eta;6.35352E+017;891
2014-10-02T00:01:00.0000000;Lambda;6.35478E+017;926
2018-04-29T00:02:00.0000000;Delta;6.36606E+017;7
2011-03-02T00:03:00.0000000;Zeta;634,346,209,800,000,000.00000000;827
2018-06-22T00:02:00.0000000;Rho;6.36652E+017;288
2016-01-01T00:01:00.0000000;Kappa;6.358720326E+17;410
2011-01-18T00:01:00.0000000;Lambda;6.343090566E+17;504
2019-06-08T00:02:00.0000000;Xi;636955489200000000;483
2016-03-30T00:01:00.0000000;Kappa;6.35949E+017;796
2017-07-03T00:01:00.0000000;Rho;636346368600000000;573
2015-02-23T00:01:00.0000000;Psi;635602464600000000;219
2018-01-08T00:01:00.0000000;Eta;636509664600000000;320
2012-02-08T00:02:00.0000000;Delta;634,642,561,200,000,000.00000000;361
2017-11-14T00:02:00.0000000;Lambda;636462145200000000;128
2015-07-12T00:02:00.0000000;Eta;635,722,561,200,000,000.00000000;388
2015-09-19T00:01:00.0000000;Pi;6.357821766E+17;544
2019-02-12T00:02:00.0000000;Omega;6.36855E+017;101
2018-03-20T00:01:00.0000000;Gamma;636571008600000000;192
2010-04-20T00:01:00.0000000;Alpha;6.340731846E+17;304
2012-03-23T00:02:00.0000000;Nu;6.34681E+017;345
2011-07-01T00:02:00.0000000;Zeta;6.344507532E+17;716
2013-12-08T00:02:00.0000000;Theta;635220577200000000;497
2014-12-28T00:01:00.0000000;Zeta;635,553,216,600,000,000.00000000;424
2018-03-03T00:01:00.0000000;Delta;636556320600000000;851
