TM;Category;unknown;Quantity
2018-05-09T00:01:00.0000000;Psi;636614208600000000;9
2013-09-20T00:01:00.0000000;Psi;6.351523206E+17;406
2015-10-16T00:01:00.0000000;Eta;635805504600000000;286
2013-06-22T00:01:00.0000000;Psi;6.350745606E+17;372
2010-03-20T00:01:00.0000000;Chi;634046400600000000;143
2019-07-01T00:01:00.0000000;Eta;636,975,360,600,000,000.00000000;117
2019-08-17T00:01:00.0000000;Psi;6.370159686E+17;486
2010-11-06T00:02:00.0000000;Upsilon;6.342459852E+17;4
2015-05-19T00:01:00.0000000;Tau;635,675,904,600,000,000.00000000;233
2014-04-05T00:01:00.0000000;Psi;6.35323E+017;185
2010-03-08T00:01:00.0000000;Iota;634036032600000000;576
2011-06-11T00:01:00.0000000;Iota;6.344334726E+17;52
2014-06-15T00:01:00.0000000;Upsilon;6.35384E+017;225
2010-09-21T00:01:00.0000000;Kappa;634,206,240,600,000,000.00000000;196
2018-06-24T00:01:00.0000000;Kappa;6.366539526E+17;580
2010-12-25T00:01:00.0000000;Delta;634288320600000000;374
2019-02-16T00:01:00.0000000;Theta;6.368587206E+17;229
2012-04-22T00:01:00.0000000;Gamma;634,706,496,600,000,000.00000000;156
2016-04-24T00:02:00.0000000;Iota;635970529200000000;188
2014-07-26T00:01:00.0000000;Beta;6.354192966E+17;81
2011-09-27T00:01:00.0000000;Beta;6.345267846E+17;109
2015-03-19T00:01:00.0000000;Upsilon;6.356232006E+17;255
2018-03-30T00:01:00.0000000;Xi;6.365796486E+17;916
2012-05-12T00:01:00.0000000;Alpha;634,723,776,600,000,000.00000000;571
2016-09-30T00:01:00.0000000;Zeta;6.361079046E+17;391
2010-10-03T00:02:00.0000000;Epsilon;6.342166092E+17;592
2011-01-14T00:01:00.0000000;Xi;6.34306E+017;43
2014-03-23T00:02:00.0000000;Upsilon;6.353112972E+17;494
2012-04-26T00:01:00.0000000;Rho;634709952600000000;866
2010-08-03T00:02:00.0000000;Rho;6.34164E+017;840
2012-12-09T00:01:00.0000000;Xi;6.349060806E+17;925
2016-10-05T00:02:00.0000000;Tau;636112225200000000;888
2013-02-02T00:01:00.0000000;Alpha;634953600600000000;622
2019-03-19T00:01:00.0000000;Kappa;636885504600000000;9
2016-08-17T00:01:00.0000000;Zeta;636069888600000000;519
2016-04-30T00:01:00.0000000;Nu;635975712600000000;222
2011-05-21T00:01:00.0000000;Upsilon;6.34415E+017;673
2016-06-12T00:01:00.0000000;Chi;6.360128646E+17;217
2018-02-04T00:01:00.0000000;Phi;6.365329926E+17;72
2018-11-06T00:01:00.0000000;Mu;636770592600000000;582
2016-02-12T00:01:00.0000000;Nu;635908320600000000;66
2016-06-21T00:01:00.0000000;Mu;636,020,640,600,000,000.00000000;726
2018-05-28T00:01:00.0000000;Tau;636,630,624,600,000,000.00000000;859
2015-11-13T00:01:00.0000000;Psi;635829696600000000;745
2010-09-04T00:01:00.0000000;Beta;634,191,552,600,000,000.00000000;637
2018-04-04T00:02:00.0000000;Epsilon;636,583,969,200,000,000.00000000;961
2019-01-23T00:02:00.0000000;Nu;636837985200000000;103
2014-10-30T00:01:00.0000000;Omega;635502240600000000;855
2018-12-23T00:01:00.0000000;Omega;6.368112006E+17;673
2014-07-14T00:02:00.0000000;Tau;635408929200000000;686
2016-01-14T00:01:00.0000000;Gamma;635883264600000000;302
2016-04-27T00:02:00.0000000;Chi;635,973,121,200,000,000.00000000;376
2017-03-02T00:01:00.0000000;Kappa;636,240,096,600,000,000.00000000;36
