TM;Category;unknown;Quantity
2012-07-07T00:01:00.0000000;Pi;634772160600000000;486
2019-04-05T00:01:00.0000000;Rho;636900192600000000;462
2011-03-09T00:01:00.0000000;Tau;6.34352E+017;710
2011-08-28T00:01:00.0000000;Tau;634500864600000000;163
2013-01-24T00:01:00.0000000;Iota;6.34946E+017;225
2017-07-30T00:01:00.0000000;Tau;6.36370E+017;244
2017-08-25T00:01:00.0000000;Sigma;6.363921606E+17;722
2015-02-10T00:01:00.0000000;Iota;6.355912326E+17;957
2019-03-25T00:01:00.0000000;Omega;6.368906886E+17;179
2019-03-15T00:01:00.0000000;Psi;636,882,048,600,000,000.00000000;454
2016-01-06T00:01:00.0000000;Iota;6.358763526E+17;607
2013-04-24T00:01:00.0000000;Psi;635023584600000000;854
2013-08-21T00:01:00.0000000;Zeta;635126400600000000;66
2011-11-13T00:01:00.0000000;Alpha;634,567,392,600,000,000.00000000;4
2012-01-15T00:01:00.0000000;Iota;6.346218246E+17;126
2010-05-29T00:01:00.0000000;Theta;6.341068806E+17;57
2016-02-08T00:01:00.0000000;Sigma;6.359048646E+17;296
2010-04-30T00:02:00.0000000;Psi;634,081,825,200,000,000.00000000;567
2010-10-22T00:01:00.0000000;Epsilon;6.342330246E+17;521
2017-11-07T00:01:00.0000000;Kappa;636456096600000000;82
2016-05-07T00:01:00.0000000;Eta;6.359817606E+17;452
2013-03-07T00:01:00.0000000;Epsilon;6.349821126E+17;75
2013-11-09T00:01:00.0000000;Omega;635195520600000000;712
2012-03-09T00:01:00.0000000;Sigma;6.346684806E+17;274
2013-05-23T00:01:00.0000000;Iota;635048640600000000;107
2013-10-04T00:02:00.0000000;Mu;6.35164E+017;748
2015-12-21T00:02:00.0000000;Psi;635862529200000000;451
2019-03-01T00:01:00.0000000;Tau;636869952600000000;92
2015-04-27T00:01:00.0000000;Zeta;6.356568966E+17;213
2014-02-21T00:01:00.0000000;Sigma;635,285,376,600,000,000.00000000;878
2013-03-28T00:01:00.0000000;Kappa;6.350002566E+17;310
2012-12-24T00:01:00.0000000;Beta;6.349190406E+17;112
2015-06-01T00:01:00.0000000;Xi;6.356871366E+17;304
2013-12-26T00:01:00.0000000;Upsilon;635236128600000000;873
2011-01-20T00:02:00.0000000;Tau;6.343107852E+17;506
2016-03-16T00:01:00.0000000;Nu;6.359368326E+17;393
