TM;Category;unknown;Quantity
2014-04-25T00:01:00.0000000;Omega;6.353398086E+17;646
2011-02-07T00:01:00.0000000;Upsilon;6.343263366E+17;463
2015-08-10T00:01:00.0000000;Phi;6.357476166E+17;635
2017-06-19T00:01:00.0000000;Chi;636,334,272,600,000,000.00000000;632
2011-01-10T00:01:00.0000000;Alpha;634302144600000000;512
2019-11-22T00:01:00.0000000;Rho;637,099,776,600,000,000.00000000;765
2019-08-07T00:01:00.0000000;Iota;637,007,328,600,000,000.00000000;95
2014-07-02T00:01:00.0000000;Omicron;635398560600000000;872
2010-09-16T00:01:00.0000000;Xi;6.342019206E+17;698
2014-07-21T00:01:00.0000000;Iota;635414976600000000;315
2012-01-23T00:01:00.0000000;Zeta;634,628,736,600,000,000.00000000;810
2017-01-18T00:01:00.0000000;Epsilon;6.362029446E+17;237
2015-06-13T00:01:00.0000000;Chi;6.35698E+017;889
2013-12-29T00:01:00.0000000;Theta;635,238,720,600,000,000.00000000;709
2016-11-29T00:01:00.0000000;Omicron;636159744600000000;399
2013-10-23T00:01:00.0000000;Lambda;6.35181E+017;760
2018-10-14T00:01:00.0000000;Mu;6.367507206E+17;178
2010-10-01T00:01:00.0000000;Nu;6.342148806E+17;374
2013-09-12T00:01:00.0000000;Xi;635,145,408,600,000,000.00000000;700
2016-04-22T00:01:00.0000000;Omicron;6.359688006E+17;353
2010-06-23T00:01:00.0000000;Alpha;634,128,480,600,000,000.00000000;488
2016-04-10T00:01:00.0000000;Eta;635,958,432,600,000,000.00000000;831
2014-05-13T00:01:00.0000000;Eta;6.353553606E+17;712
2012-09-26T00:01:00.0000000;Iota;6.348421446E+17;562
2010-07-14T00:02:00.0000000;Upsilon;634146625200000000;375
2013-01-23T00:01:00.0000000;Eta;634944960600000000;606
2010-09-09T00:01:00.0000000;Pi;6.34196E+017;579
2017-01-16T00:01:00.0000000;Mu;6.362012166E+17;560
2013-02-19T00:02:00.0000000;Beta;6.349682892E+17;716
2016-08-16T00:01:00.0000000;Psi;636,069,024,600,000,000.00000000;449
2018-06-12T00:02:00.0000000;Tau;636643585200000000;919
2016-03-19T00:01:00.0000000;Zeta;635939424600000000;152
2012-02-15T00:01:00.0000000;Epsilon;6.34649E+017;208
2013-10-10T00:01:00.0000000;Beta;6.351696006E+17;799
2019-11-01T00:01:00.0000000;Omicron;637081632600000000;853
2016-04-04T00:01:00.0000000;Xi;6.359532486E+17;546
2018-02-14T00:01:00.0000000;Omicron;6.36542E+017;762
2016-02-23T00:01:00.0000000;Sigma;6.35918E+017;240
2017-01-31T00:01:00.0000000;Beta;6.36214E+017;381
2012-08-28T00:01:00.0000000;Tau;634,817,088,600,000,000.00000000;303
2013-09-30T00:01:00.0000000;Xi;635,160,960,600,000,000.00000000;379
2019-11-19T00:01:00.0000000;Omega;637097184600000000;691
2011-05-13T00:01:00.0000000;Omega;634408416600000000;253
2010-09-29T00:02:00.0000000;Omega;6.342131532E+17;703
2014-06-25T00:01:00.0000000;Kappa;635392512600000000;981
2016-02-17T00:02:00.0000000;Delta;635912641200000000;576
2014-04-09T00:02:00.0000000;Phi;6.353259852E+17;302
2019-03-31T00:02:00.0000000;Gamma;636,895,873,200,000,000.00000000;23
2013-12-09T00:02:00.0000000;Eta;635,221,441,200,000,000.00000000;13
2016-04-17T00:01:00.0000000;Sigma;6.35964E+017;165
2019-09-08T00:01:00.0000000;Omicron;637034976600000000;177
2018-04-04T00:02:00.0000000;Alpha;636,583,969,200,000,000.00000000;690
2010-10-09T00:01:00.0000000;Sigma;634,221,792,600,000,000.00000000;602
2012-05-01T00:02:00.0000000;Sigma;6.347142732E+17;43
2014-07-12T00:01:00.0000000;Upsilon;6.354072006E+17;640
2017-02-18T00:01:00.0000000;Iota;6.36230E+017;588
2016-01-16T00:01:00.0000000;Omicron;6.35885E+017;404
2016-08-01T00:02:00.0000000;Nu;6.36056E+017;624
2013-12-01T00:02:00.0000000;Beta;6.352145292E+17;657
2010-12-05T00:02:00.0000000;Nu;634271041200000000;277
2017-08-31T00:02:00.0000000;Omicron;636397345200000000;17
2011-02-04T00:01:00.0000000;Upsilon;6.343237446E+17;928
2010-09-02T00:01:00.0000000;Upsilon;634,189,824,600,000,000.00000000;543
2010-12-31T00:02:00.0000000;Xi;6.342935052E+17;422
2018-02-16T00:01:00.0000000;Beta;6.36543E+017;963
2016-05-16T00:02:00.0000000;Upsilon;635,989,537,200,000,000.00000000;675
2010-02-26T00:01:00.0000000;Eta;6.340273926E+17;73
2013-07-11T00:02:00.0000000;Phi;6.350909772E+17;918
2014-02-10T00:01:00.0000000;Beta;6.35276E+017;618
2013-10-27T00:02:00.0000000;Delta;6.351842892E+17;811
2011-04-30T00:02:00.0000000;Theta;634397185200000000;211
2011-11-01T00:01:00.0000000;Gamma;6.34557E+017;615
2016-03-07T00:02:00.0000000;Omega;635929057200000000;270
2010-01-16T00:01:00.0000000;Xi;6.33992E+017;98
2014-08-06T00:04:00.0000000;Chi;6.35429E+017;597
2011-08-30T00:01:00.0000000;Rho;634,502,592,600,000,000.00000000;678
2018-10-10T00:02:00.0000000;Zeta;6.367472652E+17;78
2015-06-16T00:01:00.0000000;Eta;6.357000966E+17;540
2010-09-14T00:01:00.0000000;Pi;6.342001926E+17;91
2019-03-21T00:02:00.0000000;Eta;6.36887E+017;850
2013-07-31T00:01:00.0000000;Zeta;6.351082566E+17;121
2015-05-25T00:02:00.0000000;Iota;6.35681E+017;91
2017-08-14T00:01:00.0000000;Xi;636382656600000000;40
2019-12-13T00:02:00.0000000;Theta;637117921200000000;406
2014-03-29T00:02:00.0000000;Delta;635,316,481,200,000,000.00000000;241
2013-04-18T00:01:00.0000000;Iota;635018400600000000;870
2017-03-29T00:02:00.0000000;Tau;6.362634252E+17;887
2013-10-14T00:01:00.0000000;Delta;635173056600000000;355
2012-03-10T00:01:00.0000000;Omicron;6.346693446E+17;924
2019-08-18T00:02:00.0000000;Theta;6.370168332E+17;595
2011-05-03T00:02:00.0000000;Epsilon;6.34400E+017;384
2018-04-03T00:03:00.0000000;Xi;636,583,105,800,000,000.00000000;691
2012-08-27T00:02:00.0000000;Eta;634,816,225,200,000,000.00000000;882
2011-12-27T00:02:00.0000000;Omicron;6.346054092E+17;912
2016-05-25T00:02:00.0000000;Pi;6.359973132E+17;733
2012-11-18T00:01:00.0000000;Lambda;6.348879366E+17;563
2011-07-11T00:01:00.0000000;Phi;634459392600000000;987
2010-04-07T00:02:00.0000000;Upsilon;634061953200000000;677
2017-07-22T00:02:00.0000000;Omicron;636362785200000000;861
2016-11-18T00:02:00.0000000;Alpha;6.36150E+017;888
2013-12-16T00:02:00.0000000;Chi;6.35227E+017;955
2016-01-24T00:02:00.0000000;Eta;635891905200000000;340
2016-01-08T00:01:00.0000000;Lambda;635878080600000000;148
2014-06-26T00:04:00.0000000;Xi;635,393,378,400,000,000.00000000;181
2016-02-05T00:01:00.0000000;Sigma;6.35902E+017;86
2014-02-22T00:02:00.0000000;Psi;635,286,241,200,000,000.00000000;113
2015-06-22T00:03:00.0000000;Iota;635705281800000000;83
2013-05-27T00:03:00.0000000;Xi;635052097800000000;870
2013-09-24T00:02:00.0000000;Theta;6.351557772E+17;134
2017-04-17T00:02:00.0000000;Phi;6.362798412E+17;294
2011-08-03T00:03:00.0000000;Lambda;6.344792658E+17;916
2010-08-01T00:02:00.0000000;Omicron;634162177200000000;356
2011-03-26T00:02:00.0000000;Beta;6.34367E+017;448
2011-10-09T00:03:00.0000000;Zeta;634537153800000000;924
2017-12-18T00:01:00.0000000;Pi;636,491,520,600,000,000.00000000;550
2017-05-13T00:02:00.0000000;Phi;636,302,305,200,000,000.00000000;135
2012-02-23T00:02:00.0000000;Omicron;6.346555212E+17;374
2016-01-22T00:01:00.0000000;Zeta;6.358901766E+17;695
2015-03-24T00:01:00.0000000;Rho;635627520600000000;964
2015-10-15T00:01:00.0000000;Omega;635804640600000000;55
2011-06-22T00:02:00.0000000;Upsilon;634442977200000000;365
2014-10-20T00:02:00.0000000;Zeta;6.35494E+017;286
2019-06-13T00:02:00.0000000;Lambda;636,959,809,200,000,000.00000000;53
2010-04-24T00:02:00.0000000;Alpha;6.340766412E+17;602
2013-01-25T00:01:00.0000000;Tau;6.34947E+017;743
2012-08-22T00:02:00.0000000;Zeta;6.348119052E+17;428
