TM;Category;unknown;Quantity
2011-04-29T00:01:00.0000000;Pi;634396320600000000;576
2016-02-23T00:01:00.0000000;Xi;6.35918E+017;388
2016-07-17T00:01:00.0000000;Omicron;6.36043E+017;136
2013-11-30T00:01:00.0000000;Beta;6.35214E+017;133
2019-10-02T00:01:00.0000000;Gamma;637055712600000000;843
2012-02-07T00:01:00.0000000;Kappa;634641696600000000;848
2019-07-16T00:01:00.0000000;Upsilon;636988320600000000;505
2013-09-25T00:01:00.0000000;Epsilon;6.351566406E+17;525
2018-06-14T00:01:00.0000000;Xi;636645312600000000;20
2015-02-12T00:01:00.0000000;Kappa;6.355929606E+17;308
2016-07-13T00:02:00.0000000;Zeta;636039649200000000;560
2012-08-23T00:01:00.0000000;Psi;634812768600000000;113
2014-10-08T00:01:00.0000000;Omicron;6.354832326E+17;111
2012-12-21T00:01:00.0000000;Sigma;6.34916E+017;673
2012-06-17T00:01:00.0000000;Kappa;634,754,880,600,000,000.00000000;149
2015-08-19T00:01:00.0000000;Phi;635,755,392,600,000,000.00000000;70
2017-12-21T00:01:00.0000000;Zeta;636494112600000000;156
2012-08-22T00:01:00.0000000;Psi;6.348119046E+17;617
2019-03-13T00:01:00.0000000;Beta;636880320600000000;753
2016-03-10T00:01:00.0000000;Tau;6.35932E+017;214
2016-07-31T00:01:00.0000000;Gamma;636055200600000000;216
2010-11-28T00:01:00.0000000;Epsilon;6.342649926E+17;861
2014-11-23T00:02:00.0000000;Zeta;635522977200000000;715
2010-12-10T00:01:00.0000000;Phi;6.34275E+017;988
2017-05-01T00:01:00.0000000;Zeta;6.36292E+017;133
2019-06-30T00:02:00.0000000;Beta;636,974,497,200,000,000.00000000;387
2012-10-28T00:01:00.0000000;Zeta;6.34870E+017;590
2011-01-19T00:01:00.0000000;Pi;6.343099206E+17;86
2017-07-31T00:01:00.0000000;Delta;6.36371E+017;766
2017-09-07T00:01:00.0000000;Kappa;6.364033926E+17;299
2013-12-23T00:01:00.0000000;Upsilon;6.352335366E+17;582
2016-07-20T00:01:00.0000000;Iota;6.360456966E+17;21
2013-11-23T00:02:00.0000000;Epsilon;635,207,617,200,000,000.00000000;418
2015-01-28T00:02:00.0000000;Iota;635580001200000000;368
2019-06-15T00:01:00.0000000;Eta;636961536600000000;938
2015-02-02T00:01:00.0000000;Eta;635,584,320,600,000,000.00000000;573
2017-03-03T00:01:00.0000000;Alpha;636,240,960,600,000,000.00000000;122
2019-10-21T00:02:00.0000000;Mu;637072129200000000;972
2014-09-04T00:01:00.0000000;Iota;6.354538566E+17;964
2012-02-04T00:02:00.0000000;Upsilon;6.346391052E+17;967
2016-06-01T00:01:00.0000000;Rho;636003360600000000;940
2014-12-26T00:01:00.0000000;Psi;635,551,488,600,000,000.00000000;758
2013-09-24T00:02:00.0000000;Iota;6.351557772E+17;82
2010-05-08T00:01:00.0000000;Iota;6.340887366E+17;218
2011-09-30T00:02:00.0000000;Upsilon;6.345293772E+17;792
2018-04-04T00:02:00.0000000;Theta;636,583,969,200,000,000.00000000;497
2015-08-19T00:01:00.0000000;Omicron;635,755,392,600,000,000.00000000;113
2016-03-21T00:01:00.0000000;Zeta;635941152600000000;742
2013-09-29T00:01:00.0000000;Psi;635,160,096,600,000,000.00000000;421
2012-08-31T00:02:00.0000000;Zeta;634819681200000000;512
2010-05-08T00:02:00.0000000;Beta;6.340887372E+17;766
2014-03-05T00:01:00.0000000;Mu;6.352957446E+17;632
2010-09-19T00:01:00.0000000;Chi;634204512600000000;992
2017-03-24T00:01:00.0000000;Eta;636259104600000000;678
2018-12-12T00:02:00.0000000;Phi;636,801,697,200,000,000.00000000;393
2017-02-28T00:02:00.0000000;Zeta;636,238,369,200,000,000.00000000;731
2010-06-04T00:01:00.0000000;Iota;634,112,064,600,000,000.00000000;260
2016-01-02T00:02:00.0000000;Nu;6.358728972E+17;231
2014-12-03T00:01:00.0000000;Theta;6.355316166E+17;765
2019-11-15T00:02:00.0000000;Epsilon;6.370937292E+17;492
2011-04-19T00:02:00.0000000;Kappa;6.343876812E+17;347
2011-08-08T00:02:00.0000000;Upsilon;634483585200000000;538
2017-12-14T00:02:00.0000000;Eta;636488065200000000;698
2015-06-23T00:02:00.0000000;Theta;635706145200000000;644
2010-10-13T00:02:00.0000000;Phi;634225249200000000;19
2013-09-08T00:01:00.0000000;Eta;635141952600000000;674
2018-01-09T00:03:00.0000000;Lambda;6.36511E+017;709
2019-12-09T00:02:00.0000000;Zeta;637,114,465,200,000,000.00000000;357
2016-09-27T00:02:00.0000000;Tau;6.361053132E+17;440
2019-02-27T00:02:00.0000000;Delta;636868225200000000;880
2010-11-14T00:02:00.0000000;Nu;634,252,897,200,000,000.00000000;475
2019-01-16T00:02:00.0000000;Nu;636831937200000000;708
2018-07-11T00:02:00.0000000;Delta;6.366686412E+17;603
2014-12-10T00:01:00.0000000;Upsilon;635537664600000000;118
2016-09-05T00:01:00.0000000;Phi;636086304600000000;327
2013-02-15T00:01:00.0000000;Phi;6.349648326E+17;781
2017-08-11T00:03:00.0000000;Alpha;636,380,065,800,000,000.00000000;38
2015-02-12T00:02:00.0000000;Epsilon;6.355929612E+17;784
2012-12-09T00:02:00.0000000;Zeta;634906081200000000;806
2018-01-14T00:01:00.0000000;Mu;6.365148486E+17;156
2016-08-06T00:01:00.0000000;Delta;6.360603846E+17;196
2014-12-20T00:01:00.0000000;Kappa;6.355463046E+17;642
2015-10-05T00:01:00.0000000;Kappa;6.357960006E+17;955
2011-07-29T00:01:00.0000000;Rho;634474944600000000;610
2014-03-25T00:03:00.0000000;Beta;635313025800000000;751
2011-06-14T00:01:00.0000000;Beta;6.344360646E+17;461
2017-08-27T00:02:00.0000000;Epsilon;636393889200000000;919
2010-01-19T00:01:00.0000000;Omicron;6.339945606E+17;423
2018-04-14T00:01:00.0000000;Lambda;6.365926086E+17;294
2019-04-17T00:02:00.0000000;Pi;636910561200000000;39
2018-02-16T00:01:00.0000000;Omega;6.36543E+017;17
2016-10-10T00:01:00.0000000;Eta;636116544600000000;513
