TM;Category;unknown;Quantity
2016-05-05T00:01:00.0000000;Lambda;6.35980E+017;414
2014-05-21T00:01:00.0000000;Sigma;635362272600000000;273
2010-01-28T00:01:00.0000000;Sigma;634,002,336,600,000,000.00000000;147
2011-04-11T00:01:00.0000000;Pi;634380768600000000;569
2016-07-02T00:01:00.0000000;Delta;6.360301446E+17;529
2016-07-04T00:01:00.0000000;Omega;6.360318726E+17;71
2018-02-17T00:01:00.0000000;Eta;6.365442246E+17;500
2012-07-27T00:01:00.0000000;Chi;6.34789E+017;948
2019-05-17T00:01:00.0000000;Sigma;6.369364806E+17;5
2018-08-26T00:01:00.0000000;Pi;636,708,384,600,000,000.00000000;232
2010-06-01T00:01:00.0000000;Chi;634109472600000000;496
2018-02-19T00:01:00.0000000;Iota;6.365459526E+17;413
2018-06-27T00:01:00.0000000;Alpha;6.366565446E+17;664
2011-06-01T00:02:00.0000000;Nu;634,424,833,200,000,000.00000000;413
2016-11-24T00:01:00.0000000;Xi;6.361554246E+17;658
2016-01-18T00:02:00.0000000;Omicron;6.358867212E+17;177
2010-02-13T00:02:00.0000000;Nu;634016161200000000;742
2010-07-17T00:01:00.0000000;Upsilon;6.34149E+017;235
2013-01-30T00:01:00.0000000;Pi;6.349510086E+17;269
2018-10-22T00:01:00.0000000;Upsilon;636,757,632,600,000,000.00000000;219
2018-06-18T00:01:00.0000000;Pi;636648768600000000;858
2010-09-27T00:03:00.0000000;Lambda;6.34211E+017;572
2017-07-19T00:01:00.0000000;Mu;6.363601926E+17;810
2011-04-23T00:02:00.0000000;Beta;634391137200000000;593
2014-01-06T00:01:00.0000000;Zeta;6.352456326E+17;294
2015-04-28T00:01:00.0000000;Zeta;635657760600000000;950
2012-03-01T00:01:00.0000000;Beta;634661568600000000;441
2016-02-18T00:01:00.0000000;Psi;635913504600000000;241
2016-12-02T00:01:00.0000000;Theta;636,162,336,600,000,000.00000000;339
2016-12-25T00:01:00.0000000;Tau;6.36182E+017;551
2011-04-14T00:02:00.0000000;Tau;6.34383E+017;679
2011-11-17T00:01:00.0000000;Eta;6.34571E+017;898
2018-11-27T00:01:00.0000000;Nu;636,788,736,600,000,000.00000000;870
2019-10-01T00:02:00.0000000;Epsilon;637054849200000000;108
2012-08-14T00:01:00.0000000;Rho;6.34805E+017;531
2017-04-24T00:01:00.0000000;Mu;636285888600000000;353
2012-02-14T00:02:00.0000000;Iota;6.34648E+017;396
2014-02-26T00:02:00.0000000;Chi;6.35290E+017;145
2016-08-02T00:01:00.0000000;Iota;6.36057E+017;339
