TM;Category;unknown;Quantity
2010-06-29T00:01:00.0000000;Upsilon;6.34134E+017;221
2016-02-16T00:01:00.0000000;Delta;635,911,776,600,000,000.00000000;170
2018-10-19T00:01:00.0000000;Psi;636755040600000000;720
2012-03-17T00:01:00.0000000;Upsilon;634,675,392,600,000,000.00000000;485
2016-06-22T00:01:00.0000000;Theta;636,021,504,600,000,000.00000000;47
2012-07-12T00:01:00.0000000;Nu;6.347764806E+17;822
2015-06-09T00:01:00.0000000;Psi;635694048600000000;791
2011-09-10T00:01:00.0000000;Eta;6.345120966E+17;636
2010-09-12T00:01:00.0000000;Nu;6.341984646E+17;25
2010-10-02T00:01:00.0000000;Omega;6.342157446E+17;850
2019-07-30T00:01:00.0000000;Delta;6.370004166E+17;777
2011-06-21T00:01:00.0000000;Nu;634,442,112,600,000,000.00000000;493
2012-08-14T00:01:00.0000000;Kappa;6.34805E+017;682
2011-09-17T00:01:00.0000000;Alpha;634,518,144,600,000,000.00000000;926
2013-11-03T00:01:00.0000000;Omicron;635190336600000000;258
2019-05-09T00:01:00.0000000;Iota;636,929,568,600,000,000.00000000;135
2018-10-05T00:02:00.0000000;Iota;636742945200000000;875
2013-01-07T00:01:00.0000000;Delta;6.34931E+017;824
2010-10-07T00:01:00.0000000;Sigma;634220064600000000;499
2018-07-15T00:01:00.0000000;Omega;6.366720966E+17;300
2016-11-09T00:01:00.0000000;Omicron;6.361424646E+17;732
2018-09-13T00:02:00.0000000;Sigma;636,723,937,200,000,000.00000000;999
2015-10-13T00:01:00.0000000;Beta;635,802,912,600,000,000.00000000;712
2013-03-28T00:02:00.0000000;Theta;635000257200000000;184
2014-09-15T00:01:00.0000000;Tau;6.35463E+017;377
2017-11-30T00:02:00.0000000;Kappa;636475969200000000;692
2019-03-01T00:02:00.0000000;Upsilon;6.36870E+017;211
2014-03-20T00:01:00.0000000;Chi;6.353087046E+17;457
2014-09-23T00:01:00.0000000;Delta;635470272600000000;777
2017-07-04T00:01:00.0000000;Chi;636347232600000000;153
2012-03-23T00:01:00.0000000;Beta;6.34681E+017;875
2016-12-08T00:01:00.0000000;Psi;6.36168E+017;309
2012-09-26T00:01:00.0000000;Pi;6.348421446E+17;311
2012-09-03T00:01:00.0000000;Delta;6.34822E+017;131
2012-12-02T00:01:00.0000000;Xi;6.34900E+017;580
2011-05-12T00:01:00.0000000;Tau;634407552600000000;468
2013-08-06T00:01:00.0000000;Chi;635,113,440,600,000,000.00000000;580
2012-08-11T00:04:00.0000000;Sigma;634802402400000000;653
2010-07-11T00:01:00.0000000;Pi;634,144,032,600,000,000.00000000;789
2012-05-23T00:02:00.0000000;Gamma;6.347332812E+17;616
2015-02-25T00:03:00.0000000;Iota;6.356041938E+17;129
2016-02-21T00:01:00.0000000;Chi;6.35916E+017;137
2018-12-28T00:02:00.0000000;Eta;636815521200000000;522
2014-06-15T00:01:00.0000000;Alpha;6.35384E+017;963
2012-07-17T00:02:00.0000000;Beta;634780801200000000;609
2012-12-14T00:01:00.0000000;Eta;634,910,400,600,000,000.00000000;770
2018-04-03T00:01:00.0000000;Pi;636583104600000000;319
2010-03-18T00:02:00.0000000;Mu;6.340446732E+17;351
2019-05-26T00:02:00.0000000;Nu;636,944,257,200,000,000.00000000;230
2015-03-25T00:02:00.0000000;Rho;635,628,385,200,000,000.00000000;496
2019-07-22T00:01:00.0000000;Nu;636993504600000000;351
2011-01-16T00:01:00.0000000;Omega;6.343073286E+17;128
2018-12-25T00:01:00.0000000;Pi;6.368129286E+17;558
2013-12-23T00:01:00.0000000;Xi;6.352335366E+17;883
2013-09-14T00:01:00.0000000;Psi;635147136600000000;844
2016-04-17T00:02:00.0000000;Delta;6.35964E+017;394
2012-09-24T00:02:00.0000000;Iota;6.348404172E+17;990
