TM;Category;unknown;Quantity
2012-07-08T00:01:00.0000000;Lambda;634773024600000000;385
2018-06-18T00:01:00.0000000;Omega;636648768600000000;526
2010-04-11T00:01:00.0000000;Psi;634,065,408,600,000,000.00000000;766
2013-09-30T00:01:00.0000000;Gamma;635,160,960,600,000,000.00000000;705
2018-07-10T00:01:00.0000000;Sigma;6.36668E+017;993
2013-11-30T00:01:00.0000000;Eta;6.35214E+017;859
2012-03-08T00:01:00.0000000;Upsilon;6.346676166E+17;23
2010-06-27T00:01:00.0000000;Kappa;634131936600000000;582
2019-05-20T00:01:00.0000000;Zeta;6.369390726E+17;656
2017-12-24T00:01:00.0000000;Eta;6.36497E+017;216
2016-02-16T00:01:00.0000000;Upsilon;635,911,776,600,000,000.00000000;916
2010-02-24T00:01:00.0000000;Zeta;6.340256646E+17;765
2011-03-14T00:01:00.0000000;Gamma;6.343565766E+17;900
2015-12-21T00:01:00.0000000;Zeta;635862528600000000;394
2019-06-14T00:02:00.0000000;Beta;636960673200000000;508
2016-09-23T00:01:00.0000000;Alpha;636101856600000000;466
2014-10-02T00:01:00.0000000;Iota;6.35478E+017;175
2015-11-21T00:01:00.0000000;Psi;635836608600000000;672
2017-01-30T00:01:00.0000000;Zeta;6.36213E+017;372
2010-09-11T00:01:00.0000000;Beta;6.341976006E+17;915
2015-10-11T00:01:00.0000000;Lambda;635,801,184,600,000,000.00000000;263
2018-11-01T00:01:00.0000000;Rho;6.367662726E+17;107
2010-05-05T00:01:00.0000000;Nu;6.34086E+017;3
2013-08-08T00:01:00.0000000;Sigma;635,115,168,600,000,000.00000000;590
2013-06-10T00:01:00.0000000;Lambda;635064192600000000;846
2019-08-07T00:02:00.0000000;Tau;637,007,329,200,000,000.00000000;956
2012-06-25T00:01:00.0000000;Epsilon;6.347617926E+17;951
2018-08-27T00:01:00.0000000;Kappa;636,709,248,600,000,000.00000000;529
2014-10-03T00:01:00.0000000;Delta;6.35479E+017;329
2012-06-26T00:01:00.0000000;Chi;6.347626566E+17;362
2011-12-16T00:01:00.0000000;Upsilon;634595904600000000;694
2018-06-07T00:02:00.0000000;Alpha;6.366392652E+17;857
2010-09-09T00:01:00.0000000;Gamma;6.34196E+017;875
2019-08-27T00:03:00.0000000;Xi;637024609800000000;194
2015-02-24T00:01:00.0000000;Psi;6.35603E+017;740
2017-06-27T00:02:00.0000000;Upsilon;6.363411852E+17;912
