TM;Category;unknown;Quantity
2011-05-07T00:01:00.0000000;Beta;6.344032326E+17;179
2018-12-30T00:01:00.0000000;Epsilon;636817248600000000;845
2013-12-20T00:01:00.0000000;Eta;6.352309446E+17;424
2016-12-22T00:01:00.0000000;Alpha;636179616600000000;307
2016-11-12T00:01:00.0000000;Upsilon;636145056600000000;282
2010-10-31T00:01:00.0000000;Chi;634240800600000000;438
2013-12-30T00:01:00.0000000;Xi;635,239,584,600,000,000.00000000;791
2012-12-29T00:01:00.0000000;Mu;634923360600000000;724
2018-05-04T00:02:00.0000000;Epsilon;6.366098892E+17;164
2017-10-29T00:01:00.0000000;Eta;6.36448E+017;627
2019-04-06T00:01:00.0000000;Iota;636901056600000000;903
2013-02-09T00:01:00.0000000;Upsilon;634959648600000000;181
2011-12-12T00:01:00.0000000;Xi;6.345924486E+17;0
2011-11-05T00:01:00.0000000;Mu;6.345604806E+17;247
2011-09-29T00:01:00.0000000;Zeta;6.345285126E+17;984
2013-07-06T00:01:00.0000000;Xi;6.35087E+017;451
2019-08-11T00:01:00.0000000;Chi;637010784600000000;191
2011-02-05T00:01:00.0000000;Kappa;6.343246086E+17;498
2014-08-17T00:02:00.0000000;Sigma;635438305200000000;10
2010-03-16T00:01:00.0000000;Iota;6.340429446E+17;909
2013-08-16T00:01:00.0000000;Rho;6.351220806E+17;454
2015-02-25T00:01:00.0000000;Kappa;6.35604E+017;298
2019-05-22T00:01:00.0000000;Alpha;636940800600000000;975
2017-09-30T00:02:00.0000000;Chi;6.364232652E+17;897
2011-06-12T00:01:00.0000000;Mu;6.344343366E+17;449
2019-09-27T00:01:00.0000000;Omega;637051392600000000;721
2013-10-24T00:01:00.0000000;Kappa;6.35182E+017;745
2019-02-15T00:01:00.0000000;Lambda;6.368578566E+17;746
2012-12-22T00:01:00.0000000;Epsilon;6.349173126E+17;317
2017-08-31T00:01:00.0000000;Eta;636,397,344,600,000,000.00000000;971
2010-11-27T00:01:00.0000000;Sigma;6.342641286E+17;428
2016-08-29T00:01:00.0000000;Nu;636080256600000000;441
2010-07-26T00:02:00.0000000;Rho;634156993200000000;271
2010-08-31T00:01:00.0000000;Eta;634188096600000000;348
2011-10-18T00:02:00.0000000;Psi;6.345449292E+17;702
2010-12-22T00:01:00.0000000;Rho;634,285,728,600,000,000.00000000;699
2019-08-02T00:02:00.0000000;Iota;637003009200000000;54
2012-06-19T00:01:00.0000000;Alpha;634756608600000000;189
2019-10-17T00:02:00.0000000;Rho;637,068,673,200,000,000.00000000;700
2010-12-29T00:01:00.0000000;Epsilon;6.342917766E+17;271
2014-07-04T00:01:00.0000000;Phi;6.35400E+017;247
2014-11-26T00:01:00.0000000;Upsilon;6.35526E+017;61
2012-03-17T00:01:00.0000000;Delta;634,675,392,600,000,000.00000000;129
2015-03-21T00:02:00.0000000;Tau;6.356249292E+17;613
2018-08-14T00:01:00.0000000;Delta;6.36698E+017;546
2015-01-30T00:01:00.0000000;Gamma;635581728600000000;953
2014-09-11T00:01:00.0000000;Theta;635459904600000000;412
2010-10-01T00:03:00.0000000;Nu;6.342148818E+17;223
2016-10-08T00:01:00.0000000;Eta;636,114,816,600,000,000.00000000;822
2016-05-27T00:01:00.0000000;Mu;6.359990406E+17;756
2010-12-29T00:02:00.0000000;Gamma;6.342917772E+17;548
2019-02-26T00:03:00.0000000;Sigma;636867361800000000;301
2011-02-08T00:01:00.0000000;Psi;6.343272006E+17;350
2012-11-21T00:01:00.0000000;Lambda;6.348905286E+17;224
2018-10-14T00:01:00.0000000;Eta;6.367507206E+17;771
2018-12-29T00:02:00.0000000;Nu;636816385200000000;42
2015-01-08T00:02:00.0000000;Tau;6.355627212E+17;570
2014-09-08T00:02:00.0000000;Omicron;635,457,313,200,000,000.00000000;327
2018-11-11T00:01:00.0000000;Beta;636774912600000000;989
2012-05-12T00:01:00.0000000;Sigma;634,723,776,600,000,000.00000000;35
2016-12-24T00:02:00.0000000;Pi;6.36181E+017;38
2011-11-23T00:02:00.0000000;Zeta;6.345760332E+17;545
2017-05-14T00:01:00.0000000;Psi;636,303,168,600,000,000.00000000;322
2017-07-30T00:02:00.0000000;Eta;6.36370E+017;223
2016-08-23T00:01:00.0000000;Eta;6.360750726E+17;751
2016-12-03T00:01:00.0000000;Mu;636,163,200,600,000,000.00000000;25
2018-08-15T00:01:00.0000000;Lambda;6.36699E+017;207
2016-04-28T00:01:00.0000000;Omicron;635,973,984,600,000,000.00000000;369
2010-01-23T00:01:00.0000000;Omega;6.339980166E+17;625
2013-07-27T00:01:00.0000000;Rho;6.351048006E+17;427
2012-08-14T00:02:00.0000000;Lambda;6.34805E+017;394
2013-02-22T00:01:00.0000000;Pi;634970880600000000;924
2016-12-21T00:03:00.0000000;Zeta;636178753800000000;320
2017-07-17T00:01:00.0000000;Tau;6.363584646E+17;412
2016-11-02T00:01:00.0000000;Rho;6.36136E+017;161
2012-03-19T00:01:00.0000000;Delta;634677120600000000;365
