TM;Category;unknown;Quantity
2015-03-19T00:01:00.0000000;Epsilon;6.356232006E+17;151
2011-03-19T00:01:00.0000000;Theta;634360896600000000;220
2016-12-03T00:01:00.0000000;Eta;636,163,200,600,000,000.00000000;472
2018-11-27T00:01:00.0000000;Epsilon;636,788,736,600,000,000.00000000;700
2015-06-24T00:01:00.0000000;Sigma;635707008600000000;214
2010-09-04T00:01:00.0000000;Psi;634,191,552,600,000,000.00000000;983
2018-06-24T00:01:00.0000000;Eta;6.366539526E+17;95
2013-01-28T00:01:00.0000000;Theta;6.349492806E+17;349
2013-08-16T00:02:00.0000000;Lambda;6.351220812E+17;864
2018-06-20T00:02:00.0000000;Eta;6.36650E+017;202
2011-07-16T00:01:00.0000000;Gamma;6.344637126E+17;125
2016-04-12T00:01:00.0000000;Beta;635960160600000000;133
2018-10-01T00:01:00.0000000;Psi;636739488600000000;83
2018-10-27T00:01:00.0000000;Beta;6.36762E+017;73
2016-11-03T00:01:00.0000000;Eta;6.36137E+017;947
2014-09-21T00:02:00.0000000;Mu;6.354685452E+17;994
2011-08-05T00:01:00.0000000;Omicron;6.344809926E+17;437
2019-01-28T00:02:00.0000000;Epsilon;6.368423052E+17;141
2014-11-22T00:01:00.0000000;Lambda;635522112600000000;897
2018-09-20T00:01:00.0000000;Phi;6.36730E+017;303
2017-05-31T00:01:00.0000000;Upsilon;636,317,856,600,000,000.00000000;15
2011-04-22T00:02:00.0000000;Psi;634390273200000000;359
2017-03-11T00:01:00.0000000;Nu;6.362478726E+17;233
2010-09-09T00:01:00.0000000;Chi;6.34196E+017;951
2010-03-06T00:01:00.0000000;Rho;634,034,304,600,000,000.00000000;125
2013-03-27T00:02:00.0000000;Nu;6.349993932E+17;210
2011-02-14T00:02:00.0000000;Rho;634332385200000000;892
2013-12-26T00:01:00.0000000;Nu;635236128600000000;606
2018-04-02T00:01:00.0000000;Upsilon;636582240600000000;398
2019-05-01T00:02:00.0000000;Epsilon;6.369226572E+17;439
2010-03-30T00:02:00.0000000;Nu;6.34055E+017;760
2013-04-28T00:02:00.0000000;Iota;6.350270412E+17;417
2018-05-24T00:02:00.0000000;Alpha;636627169200000000;156
2011-07-11T00:01:00.0000000;Beta;634459392600000000;207
2015-10-13T00:01:00.0000000;Phi;635,802,912,600,000,000.00000000;13
2017-12-16T00:01:00.0000000;Delta;636,489,792,600,000,000.00000000;697
2017-06-06T00:01:00.0000000;Kappa;6.36323E+017;699
2015-08-09T00:01:00.0000000;Xi;6.357467526E+17;801
2017-09-07T00:01:00.0000000;Chi;6.364033926E+17;466
2011-09-25T00:01:00.0000000;Delta;6.34525E+017;600
2011-10-02T00:01:00.0000000;Upsilon;634531104600000000;896
2013-06-25T00:02:00.0000000;Rho;6.350771532E+17;950
2016-06-29T00:02:00.0000000;Epsilon;6.360275532E+17;26
2019-03-03T00:01:00.0000000;Sigma;6.36872E+017;233
2016-05-10T00:03:00.0000000;Pi;6.359843538E+17;925
2011-02-16T00:02:00.0000000;Iota;634334113200000000;641
2017-03-10T00:01:00.0000000;Lambda;6.362470086E+17;353
2019-12-26T00:02:00.0000000;Rho;637129153200000000;74
2011-10-20T00:02:00.0000000;Mu;634546657200000000;449
2016-03-18T00:02:00.0000000;Pi;635938561200000000;368
2018-11-07T00:02:00.0000000;Lambda;636,771,457,200,000,000.00000000;762
