TM;Category;unknown;Quantity
2015-09-17T00:01:00.0000000;Rho;6.357804486E+17;77
2017-05-25T00:01:00.0000000;Epsilon;6.363126726E+17;918
2019-06-30T00:01:00.0000000;Tau;636,974,496,600,000,000.00000000;926
2015-04-29T00:01:00.0000000;Nu;635658624600000000;71
2014-12-05T00:01:00.0000000;Tau;635533344600000000;230
2015-03-23T00:01:00.0000000;Pi;635626656600000000;170
2018-04-01T00:01:00.0000000;Rho;636581376600000000;297
2018-02-03T00:01:00.0000000;Delta;6.365321286E+17;571
2016-08-30T00:01:00.0000000;Sigma;636081120600000000;795
2010-12-27T00:01:00.0000000;Zeta;6.34290E+017;762
2018-03-18T00:01:00.0000000;Nu;636,569,280,600,000,000.00000000;798
2012-01-03T00:01:00.0000000;Zeta;634611456600000000;500
2017-01-30T00:01:00.0000000;Delta;6.36213E+017;910
2013-06-07T00:01:00.0000000;Xi;6.350616006E+17;323
2010-01-29T00:01:00.0000000;Phi;634,003,200,600,000,000.00000000;367
2011-03-13T00:01:00.0000000;Epsilon;6.343557126E+17;301
2017-10-17T00:01:00.0000000;Nu;6.364379526E+17;877
2010-04-06T00:01:00.0000000;Lambda;6.340610886E+17;39
2012-04-27T00:01:00.0000000;Theta;634710816600000000;604
2017-12-14T00:01:00.0000000;Chi;636488064600000000;851
2017-11-22T00:01:00.0000000;Rho;6.364690566E+17;669
2015-06-01T00:01:00.0000000;Lambda;6.356871366E+17;494
2017-11-06T00:01:00.0000000;Beta;6.364552326E+17;74
2010-11-08T00:01:00.0000000;Epsilon;6.342477126E+17;595
2014-01-24T00:01:00.0000000;Upsilon;6.35261E+017;50
2015-12-29T00:02:00.0000000;Pi;6.35869E+017;48
2014-06-23T00:01:00.0000000;Upsilon;6.353907846E+17;262
2016-03-07T00:02:00.0000000;Beta;635929057200000000;876
2017-07-24T00:01:00.0000000;Rho;636,364,512,600,000,000.00000000;201
2016-06-16T00:01:00.0000000;Lambda;6.360163206E+17;667
2018-03-17T00:02:00.0000000;Omega;636,568,417,200,000,000.00000000;921
2011-01-22T00:01:00.0000000;Beta;634312512600000000;410
2010-08-02T00:01:00.0000000;Omicron;634163040600000000;588
2019-09-16T00:02:00.0000000;Sigma;6.37042E+017;308
2018-05-14T00:01:00.0000000;Theta;636618528600000000;814
2019-03-02T00:02:00.0000000;Nu;6.36871E+017;600
2019-06-25T00:01:00.0000000;Iota;6.369701766E+17;448
2015-11-11T00:01:00.0000000;Tau;6.358279686E+17;460
2010-09-28T00:03:00.0000000;Psi;6.342122898E+17;586
2016-03-15T00:02:00.0000000;Alpha;6.359359692E+17;318
2014-03-02T00:01:00.0000000;Chi;6.352931526E+17;179
2018-10-12T00:01:00.0000000;Chi;6.367489926E+17;184
2018-04-25T00:01:00.0000000;Epsilon;636602112600000000;907
2018-05-08T00:02:00.0000000;Zeta;636613345200000000;103
2019-05-04T00:01:00.0000000;Zeta;636925248600000000;106
2017-12-10T00:03:00.0000000;Epsilon;6.364846098E+17;967
2012-09-27T00:01:00.0000000;Alpha;6.348430086E+17;665
2014-09-21T00:02:00.0000000;Sigma;6.354685452E+17;639
2010-07-26T00:01:00.0000000;Omicron;634156992600000000;283
2018-03-28T00:02:00.0000000;Lambda;6.365779212E+17;455
2019-12-10T00:01:00.0000000;Eta;637,115,328,600,000,000.00000000;806
2019-10-30T00:01:00.0000000;Upsilon;6.370799046E+17;239
2014-06-25T00:03:00.0000000;Gamma;635392513800000000;432
2016-09-12T00:01:00.0000000;Zeta;6.360923526E+17;973
2010-05-24T00:02:00.0000000;Nu;6.34103E+017;61
2014-12-16T00:01:00.0000000;Delta;6.355428486E+17;548
2015-05-24T00:01:00.0000000;Zeta;635680224600000000;572
2019-02-25T00:02:00.0000000;Xi;636,866,497,200,000,000.00000000;71
2018-07-05T00:01:00.0000000;Kappa;636,663,456,600,000,000.00000000;686
2019-03-29T00:01:00.0000000;Upsilon;636894144600000000;60
2011-03-04T00:01:00.0000000;Psi;634,347,936,600,000,000.00000000;924
2018-02-14T00:03:00.0000000;Eta;6.36542E+017;379
