TM;Category;unknown;Quantity
2012-05-23T00:01:00.0000000;Delta;6.347332806E+17;944
2016-12-07T00:01:00.0000000;Upsilon;6.36167E+017;542
2010-07-11T00:01:00.0000000;Chi;634,144,032,600,000,000.00000000;897
2010-01-05T00:01:00.0000000;Kappa;6.339824646E+17;253
2010-05-10T00:01:00.0000000;Mu;6.340904646E+17;128
2019-03-05T00:01:00.0000000;Chi;6.368734086E+17;575
2017-10-11T00:01:00.0000000;Alpha;6.36433E+017;477
2015-12-18T00:01:00.0000000;Kappa;6.358599366E+17;362
2011-07-25T00:01:00.0000000;Eta;634,471,488,600,000,000.00000000;499
2012-11-12T00:01:00.0000000;Iota;634882752600000000;598
2018-04-23T00:01:00.0000000;Xi;636,600,384,600,000,000.00000000;506
2011-03-13T00:01:00.0000000;Omega;6.343557126E+17;295
2014-08-26T00:01:00.0000000;Theta;635446080600000000;372
2015-08-17T00:01:00.0000000;Omega;635753664600000000;134
2011-06-07T00:01:00.0000000;Beta;6.34430E+017;351
2013-03-28T00:01:00.0000000;Xi;6.350002566E+17;499
2014-04-03T00:01:00.0000000;Upsilon;635320800600000000;643
2014-04-23T00:01:00.0000000;Sigma;6.35338E+017;369
2013-03-12T00:01:00.0000000;Delta;634986432600000000;551
2012-10-04T00:01:00.0000000;Xi;634,849,056,600,000,000.00000000;819
2017-05-16T00:01:00.0000000;Theta;636304896600000000;999
2015-01-22T00:01:00.0000000;Zeta;6.355748166E+17;71
2010-10-13T00:01:00.0000000;Omicron;634225248600000000;609
2015-10-19T00:01:00.0000000;Chi;6.35808E+017;198
2013-07-30T00:01:00.0000000;Theta;6.351073926E+17;887
2010-02-16T00:02:00.0000000;Mu;634,018,753,200,000,000.00000000;13
2015-02-01T00:01:00.0000000;Delta;635,583,456,600,000,000.00000000;328
2010-09-23T00:02:00.0000000;Alpha;634207969200000000;415
2019-10-07T00:01:00.0000000;Xi;6.37060E+017;761
2010-03-17T00:02:00.0000000;Theta;6.340438092E+17;40
2017-01-23T00:01:00.0000000;Mu;636207264600000000;542
2012-01-23T00:01:00.0000000;Nu;634,628,736,600,000,000.00000000;787
