TM;Category;unknown;Quantity
2013-09-09T00:01:00.0000000;Kappa;635142816600000000;729
2010-07-22T00:01:00.0000000;Omega;6.341535366E+17;368
2019-02-25T00:01:00.0000000;Psi;636,866,496,600,000,000.00000000;465
2017-05-30T00:01:00.0000000;Mu;636316992600000000;907
2015-10-07T00:01:00.0000000;Delta;6.357977286E+17;531
2018-10-14T00:01:00.0000000;Alpha;6.367507206E+17;762
2015-02-03T00:01:00.0000000;Tau;635585184600000000;799
2010-08-24T00:01:00.0000000;Rho;6.341820486E+17;72
2015-09-24T00:01:00.0000000;Kappa;635,786,496,600,000,000.00000000;589
2011-07-03T00:01:00.0000000;Delta;6.344524806E+17;530
2017-11-30T00:01:00.0000000;Kappa;636,475,968,600,000,000.00000000;35
2018-03-17T00:01:00.0000000;Omega;636,568,416,600,000,000.00000000;707
2019-08-14T00:01:00.0000000;Mu;6.37013E+017;818
2011-07-27T00:01:00.0000000;Chi;634,473,216,600,000,000.00000000;720
2019-06-01T00:01:00.0000000;Eta;6.36949E+017;132
2011-02-28T00:01:00.0000000;Eta;634344480600000000;858
2017-01-04T00:01:00.0000000;Lambda;636190848600000000;96
2016-07-20T00:01:00.0000000;Omicron;6.360456966E+17;963
2013-06-17T00:01:00.0000000;Phi;635070240600000000;422
2017-11-06T00:01:00.0000000;Theta;6.364552326E+17;969
2019-10-28T00:01:00.0000000;Rho;6.370781766E+17;881
2017-05-17T00:01:00.0000000;Omega;636305760600000000;283
2018-08-29T00:01:00.0000000;Upsilon;636710976600000000;452
2012-12-11T00:02:00.0000000;Delta;634907809200000000;520
2010-11-14T00:01:00.0000000;Rho;634,252,896,600,000,000.00000000;724
2013-10-04T00:02:00.0000000;Sigma;6.35164E+017;739
2015-06-22T00:01:00.0000000;Delta;635705280600000000;566
2019-07-07T00:01:00.0000000;Phi;6.36981E+017;973
2015-06-10T00:02:00.0000000;Chi;635694913200000000;596
2016-08-28T00:01:00.0000000;Sigma;6.360793926E+17;49
2019-03-10T00:01:00.0000000;Omega;6.368777286E+17;91
2014-01-21T00:02:00.0000000;Nu;6.35259E+017;722
2010-11-03T00:01:00.0000000;Beta;6.34243E+017;700
2017-07-15T00:01:00.0000000;Eta;6.363567366E+17;289
2018-04-17T00:04:00.0000000;Eta;636595202400000000;496
2019-11-10T00:01:00.0000000;Nu;6.37089E+017;549
2010-05-18T00:01:00.0000000;Mu;634,097,376,600,000,000.00000000;733
2017-09-06T00:01:00.0000000;Rho;6.36403E+017;150
2013-03-26T00:01:00.0000000;Tau;6.349985286E+17;998
2013-08-30T00:02:00.0000000;Phi;6.35134E+017;897
2017-01-08T00:01:00.0000000;Alpha;636,194,304,600,000,000.00000000;173
2012-02-01T00:01:00.0000000;Eta;6.346365126E+17;138
2011-09-13T00:01:00.0000000;Psi;6.345146886E+17;898
2017-05-13T00:02:00.0000000;Mu;636,302,305,200,000,000.00000000;954
2019-02-09T00:01:00.0000000;Phi;636852672600000000;171
2010-01-16T00:01:00.0000000;Upsilon;6.33992E+017;541
2015-04-27T00:01:00.0000000;Tau;6.356568966E+17;892
