TM;Category;unknown;Quantity
2017-07-16T00:01:00.0000000;Kappa;6.363576006E+17;504
2014-08-13T00:01:00.0000000;Theta;6.354348486E+17;928
2014-11-11T00:01:00.0000000;Sigma;6.355126086E+17;753
2011-10-31T00:01:00.0000000;Pi;6.34556E+017;351
2015-01-11T00:01:00.0000000;Zeta;635565312600000000;818
2016-05-15T00:01:00.0000000;Upsilon;635988672600000000;127
2018-01-13T00:01:00.0000000;Alpha;6.365139846E+17;605
2014-04-15T00:01:00.0000000;Psi;635331168600000000;38
2012-01-21T00:01:00.0000000;Upsilon;634627008600000000;296
2013-04-18T00:01:00.0000000;Rho;635018400600000000;623
2018-01-28T00:01:00.0000000;Beta;6.36527E+017;293
2014-12-29T00:01:00.0000000;Omicron;635554080600000000;896
2015-08-10T00:01:00.0000000;Upsilon;6.357476166E+17;317
2018-04-17T00:02:00.0000000;Eta;6.365952012E+17;183
2011-12-07T00:01:00.0000000;Xi;6.34588E+017;889
2018-12-26T00:01:00.0000000;Mu;6.368137926E+17;621
2017-02-28T00:01:00.0000000;Tau;636238368600000000;426
2011-01-20T00:01:00.0000000;Alpha;6.343107846E+17;192
2016-02-04T00:01:00.0000000;Kappa;6.35901E+017;706
2015-04-09T00:01:00.0000000;Mu;6.356413446E+17;732
2017-06-24T00:01:00.0000000;Beta;6.36339E+017;561
2017-04-17T00:01:00.0000000;Upsilon;6.362798406E+17;68
2012-04-15T00:01:00.0000000;Nu;6.347004486E+17;155
2018-12-09T00:01:00.0000000;Sigma;6.367991046E+17;287
2016-09-14T00:01:00.0000000;Kappa;6.360940806E+17;131
2019-12-30T00:01:00.0000000;Beta;637,132,608,600,000,000.00000000;992
2010-06-30T00:01:00.0000000;Upsilon;6.34135E+017;969
2013-03-20T00:02:00.0000000;Beta;6.34993E+017;175
2017-01-09T00:01:00.0000000;Gamma;636195168600000000;881
2017-07-10T00:01:00.0000000;Upsilon;636352416600000000;949
2015-02-22T00:02:00.0000000;Xi;635601601200000000;108
2017-12-15T00:01:00.0000000;Psi;636488928600000000;538
2011-09-05T00:02:00.0000000;Alpha;6.34508E+017;216
2019-11-10T00:01:00.0000000;Omicron;6.37089E+017;808
2018-04-01T00:02:00.0000000;Iota;636581377200000000;812
2019-06-24T00:02:00.0000000;Eta;6.369693132E+17;680
2013-01-19T00:01:00.0000000;Nu;634,941,504,600,000,000.00000000;67
2011-07-16T00:01:00.0000000;Tau;6.344637126E+17;963
2017-08-08T00:01:00.0000000;Beta;636377472600000000;327
2016-04-12T00:01:00.0000000;Psi;635960160600000000;455
2015-03-13T00:01:00.0000000;Phi;635618016600000000;553
2010-12-19T00:02:00.0000000;Omicron;634,283,137,200,000,000.00000000;489
2011-12-31T00:02:00.0000000;Lambda;634608865200000000;529
