TM;Category;unknown;Quantity
2019-05-05T00:01:00.0000000;Sigma;636926112600000000;745
2015-06-19T00:01:00.0000000;Zeta;6.357026886E+17;374
2018-08-19T00:01:00.0000000;Epsilon;6.367023366E+17;622
2017-06-19T00:01:00.0000000;Epsilon;636,334,272,600,000,000.00000000;163
2014-02-26T00:01:00.0000000;Omicron;635289696600000000;267
2015-08-12T00:01:00.0000000;Omega;6.357493446E+17;735
2017-03-01T00:01:00.0000000;Rho;636,239,232,600,000,000.00000000;119
2013-04-28T00:02:00.0000000;Beta;6.350270412E+17;786
2011-05-20T00:01:00.0000000;Eta;6.34414E+017;895
2014-08-30T00:01:00.0000000;Upsilon;6.354495366E+17;749
2013-10-05T00:02:00.0000000;Omicron;6.35165E+017;193
2014-03-23T00:01:00.0000000;Epsilon;6.353112966E+17;835
2010-11-04T00:01:00.0000000;Epsilon;6.34244E+017;751
2012-09-05T00:01:00.0000000;Kappa;6.348240006E+17;251
2019-07-30T00:02:00.0000000;Phi;6.370004172E+17;236
2015-10-26T00:01:00.0000000;Iota;635814144600000000;154
2017-10-31T00:01:00.0000000;Omega;6.36450E+017;31
2010-04-07T00:02:00.0000000;Tau;634061953200000000;33
2016-01-04T00:01:00.0000000;Lambda;6.358746246E+17;803
2014-02-12T00:01:00.0000000;Sigma;6.352776006E+17;163
2010-11-20T00:02:00.0000000;Kappa;6.34258E+017;353
2016-09-12T00:01:00.0000000;Omega;6.360923526E+17;728
2019-01-05T00:02:00.0000000;Kappa;6.36822E+017;158
2019-01-05T00:01:00.0000000;Tau;636822432600000000;945
2014-02-13T00:01:00.0000000;Beta;6.352784646E+17;696
2015-09-23T00:01:00.0000000;Omega;635,785,632,600,000,000.00000000;9
2012-06-04T00:01:00.0000000;Sigma;6.34744E+017;149
2018-03-24T00:01:00.0000000;Chi;6.36574E+017;964
2012-06-02T00:01:00.0000000;Lambda;634741920600000000;422
2014-03-07T00:01:00.0000000;Rho;6.352974726E+17;396
2012-09-21T00:01:00.0000000;Psi;6.34838E+017;949
